#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T00:42:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T00:42:31	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/843/16/table2&-out=PGC1,Nm,logK,Dist,sigmaV,R2t,Rg,logMK,logMd&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18430016
#Name: J/ApJ/843/16
#Title: Galaxy groups within 3500km/s (Kourkchi+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	creator=Kourkchi E.	    First author or institution
#INFO	cites=bibcode:2017ApJ...843...16K	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/843/16	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18430016	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_843_16_table2:
#Name: J/ApJ/843/16/table2
#Title: Catalog of galaxy groups
#Column	PGC1	(I7)	[35/9002824] Group Principal Galaxies Catalog ID (1)	[ucd=meta.id]
#Column	Nm	(I3)	[1/714] Number of galaxies in the group	[ucd=meta.number]
#Column	logK	(F5.2)	[1.7/13]? log Ks band absolute luminosity of group	[ucd=phys.luminosity;em.IR]
#Column	Dist	(F5.2)	[0.01/94.2]? Distance of group (G2)	[ucd=pos.distance;pos.heliocentric]
#Column	sigmaV	(I3)	[0/800] Group line-of-sight velocity dispersion (6)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F6.3)	[0.003/1.7] Second turnaround radius of group from luminosity (7)	[ucd=phys.size.radius;pos.lg]
#Column	Rg	(F6.3)	[0.001/8.3]? Projected virial radius of group (8)	[ucd=phys.size.radius]
#Column	logMK	(F6.3)	[6.5/15] log of group mass from luminosity (9)	[ucd=phys.mass]
#Column	logMd	(F6.3)	[2.5/15]? log of group dynamic mass (10)	[ucd=phys.mass]
PGC1	Nm	logK	Dist	sigmaV	R2t	Rg	logMK	logMd
  36561	  2	 9.56	     	 10	 0.128	 0.002	11.326	 8.176
  36176	  1	 9.55	     	  0	 0.128	      	11.322	
  36635	  1	 9.43	     	  0	 0.121	      	11.246	
  36433	  2	 9.39	     	 18	 0.118	 0.160	11.220	10.669
  35804	  1	 9.35	     	  0	 0.116	      	11.193	
  36768	  2	 9.26	     	 16	 0.111	 0.132	11.143	10.467
1528674	  1	 9.11	     	  0	 0.105	      	11.064	
  36214	  1	 9.06	     	  0	 0.102	      	11.033	
  91142	  1	 8.86	     	  0	 0.095	      	10.937	
1538185	  1	 8.78	     	  0	 0.092	      	10.896	
4290681	  1	 8.76	     	  0	 0.091	      	10.883	
1500815	  1	 8.75	     	  0	 0.091	      	10.878	
1425228	  1	 8.69	     	  0	 0.089	      	10.852	
4001464	  1	 8.65	     	  0	 0.087	      	10.829	
1556560	  1	 8.65	     	  0	 0.087	      	10.829	
4291648	  1	 8.63	     	  0	 0.087	      	10.818	
4286798	  1	 8.60	     	  0	 0.086	      	10.805	
5064988	  1	 8.59	     	  0	 0.086	      	10.801	
  36681	  1	 8.57	     	  0	 0.085	      	10.792	
4100143	  1	 8.53	     	  0	 0.084	      	10.772	
4284766	  1	 8.53	     	  0	 0.084	      	10.769	
1463327	  1	 8.43	     	  0	 0.081	      	10.722	
4001305	  1	 8.27	     	  0	 0.076	      	10.639	
  20556	 11	11.65	40.19	 99	 0.630	 0.671	13.401	12.775
  19641	  3	11.22	     	 46	 0.433	 0.310	12.912	11.775
  19524	  1	10.52	     	  0	 0.233	      	12.107	
 340055	  1	 9.74	     	  0	 0.140	      	11.444	
  19816	  1	 9.28	     	  0	 0.113	      	11.158	
  27762	  5	11.44	22.08	138	 0.525	 0.612	13.164	13.025
  29814	 11	11.01	22.89	 82	 0.357	 0.359	12.663	12.338
  27723	  2	10.44	     	 39	 0.220	 0.191	12.029	11.417
  28275	  5	10.13	     	 11	 0.176	 0.021	11.739	 9.330
  27316	  2	10.11	     	  4	 0.174	 0.170	11.728	 9.483
  28517	  2	10.01	20.61	 45	 0.164	 0.038	11.646	10.851
  27998	  2	 9.91	     	 16	 0.154	 0.084	11.569	10.316
  28010	  2	 9.90	     	 38	 0.154	 0.043	11.561	10.756
  28923	  2	 9.78	     	 47	 0.143	 0.094	11.471	11.274
  29471	  2	 9.64	     	 49	 0.134	 0.050	11.382	11.041
  27833	  1	 9.58	     	  0	 0.129	      	11.336	
1145436	  1	 9.12	     	  0	 0.105	      	11.064	
  27696	  2	 9.10	     	 11	 0.104	 0.180	11.057	10.267
  27997	  1	 9.06	     	  0	 0.102	      	11.033	
  28136	  1	 8.98	23.88	  0	 0.099	      	10.993	
  30041	  2	 8.94	20.61	 16	 0.098	 0.006	10.974	 9.140
  28101	  1	 8.73	     	  0	 0.090	      	10.869	
  28408	  1	 8.61	     	  0	 0.086	      	10.810	
4017364	  1	 8.57	     	  0	 0.085	      	10.792	
4614922	  2	 8.29	     	 22	 0.076	 0.060	10.652	10.428
3279575	  1	 8.29	     	  0	 0.076	      	10.648	
1268744	  1	 8.18	     	  0	 0.073	      	10.598	
3256471	  1	 8.14	     	  0	 0.072	      	10.575	
3279243	  1	 8.13	     	  0	 0.072	      	10.569	
 166103	  1	 8.13	     	  0	 0.072	      	10.568	
1276691	  1	 8.12	     	  0	 0.071	      	10.565	
  92910	  1	 8.11	     	  0	 0.071	      	10.561	
 135732	  1	 8.10	     	  0	 0.071	      	10.556	
3279136	  1	 8.08	     	  0	 0.070	      	10.547	
 135728	  1	 8.08	     	  0	 0.070	      	10.545	
1273344	  1	 8.08	     	  0	 0.070	      	10.544	
1200167	  1	 8.07	     	  0	 0.070	      	10.540	
1155688	  1	 7.93	     	  0	 0.066	      	10.470	
3279188	  1	 7.93	     	  0	 0.066	      	10.470	
3998373	  1	 7.91	     	  0	 0.066	      	10.459	
4017435	  1	 7.91	     	  0	 0.066	      	10.458	
3121233	  1	 7.89	     	  0	 0.066	      	10.452	
3281551	  1	 7.86	     	  0	 0.065	      	10.435	
 135733	  1	 7.75	     	  0	 0.062	      	10.380	
  20560	  3	11.22	     	104	 0.433	 0.376	12.911	12.574
2807064	  1	11.01	     	  0	 0.359	      	12.667	
2807067	  1	11.01	     	  0	 0.359	      	12.667	
  20908	  3	10.94	33.57	127	 0.338	 0.330	12.590	12.688
  20904	  2	10.86	     	 26	 0.314	 0.103	12.493	10.807
  77897	  1	10.47	     	  0	 0.225	      	12.061	
3097172	  1	10.43	     	  0	 0.217	      	12.013	
  21569	  1	10.41	     	  0	 0.214	      	11.994	
  21775	  1	10.34	     	  0	 0.204	      	11.933	
  21011	  1	10.09	     	  0	 0.172	      	11.709	
3994639	  1	10.03	     	  0	 0.166	      	11.661	
  21586	  1	 9.85	     	  0	 0.149	      	11.522	
  20577	  1	 9.79	33.73	  0	 0.144	      	11.480	
  78886	  1	 9.76	     	  0	 0.142	      	11.461	
  19985	  1	 9.71	     	  0	 0.138	      	11.423	
   5663	 12	11.57	23.48	 91	 0.587	 0.367	13.307	12.442
   6983	  7	10.99	25.98	107	 0.351	 0.235	12.638	12.389
   7544	  1	10.62	20.14	  0	 0.255	      	12.223	
   6671	  3	10.58	     	 92	 0.245	 0.177	12.173	12.140
   8232	  4	10.55	20.87	 14	 0.239	 0.068	12.140	10.064
   6826	  2	10.49	20.51	 85	 0.229	 0.211	12.079	12.140
   5341	  1	 9.95	23.55	  0	 0.158	      	11.600	
   7998	  7	 9.90	     	 38	 0.154	 0.135	11.565	11.260
   7262	  1	 9.86	20.89	  0	 0.150	      	11.534	
   8673	  1	 9.83	21.09	  0	 0.148	      	11.513	
   8397	  1	 9.65	     	  0	 0.134	      	11.386	
   7109	  1	 9.58	     	  0	 0.129	      	11.338	
   6015	  1	 9.30	     	  0	 0.113	      	11.167	
   7654	  1	 9.22	     	  0	 0.109	      	11.121	
   5329	  1	 9.19	24.77	  0	 0.108	      	11.107	
   6626	  1	 9.19	     	  0	 0.108	      	11.107	
   5441	  1	 9.16	     	  0	 0.107	      	11.090	
   6529	  1	 9.12	     	  0	 0.105	      	11.064	
   6706	  1	 8.97	     	  0	 0.099	      	10.992	
   6244	  1	 8.84	     	  0	 0.094	      	10.926	
   8274	  1	 8.72	     	  0	 0.090	      	10.865	
 916523	  1	 8.69	     	  0	 0.089	      	10.849	
 898241	  1	 8.59	     	  0	 0.086	      	10.799	
   6504	  1	 8.51	     	  0	 0.083	      	10.761	
 993635	  1	 8.49	     	  0	 0.082	      	10.749	
 993763	  1	 8.18	     	  0	 0.073	      	10.593	
 998340	  1	 8.00	     	  0	 0.068	      	10.504	
 999393	  1	 7.75	     	  0	 0.062	      	10.378	
 988388	  1	 7.68	     	  0	 0.060	      	10.344	
  26733	 12	11.42	63.97	204	 0.514	 0.520	13.137	13.297
  35321	  4	11.50	     	 43	 0.554	 0.096	13.233	11.207
  33964	  2	10.84	42.27	  9	 0.308	 0.389	12.470	10.490
  34989	  6	10.83	     	115	 0.306	 0.130	12.459	12.196
  36138	  2	10.74	38.37	 59	 0.282	 0.166	12.354	11.726
  35376	  2	10.43	41.30	  8	 0.218	 0.005	12.017	 8.471
  33242	  1	10.23	39.63	  0	 0.188	      	11.827	
  34508	  2	10.16	39.99	 27	 0.180	 0.041	11.768	10.423
  34666	  1	 9.95	     	  0	 0.158	      	11.601	
  34029	  1	 9.82	     	  0	 0.146	      	11.500	
  35590	  1	 9.78	     	  0	 0.144	      	11.473	
  35486	  1	 9.53	     	  0	 0.126	      	11.307	
3404821	  1	 9.52	     	  0	 0.125	      	11.299	
2408657	  1	 9.41	     	  0	 0.119	      	11.233	
  35916	  1	 9.28	     	  0	 0.113	      	11.158	
  35251	  1	 9.26	     	  0	 0.111	      	11.143	
  35262	  1	 9.20	     	  0	 0.109	      	11.111	
  34848	  1	 9.14	     	  0	 0.106	      	11.076	
2548235	  1	 8.87	     	  0	 0.095	      	10.943	
  34876	  1	 8.71	     	  0	 0.089	      	10.858	
4011018	  1	 8.61	     	  0	 0.086	      	10.810	
4000790	  1	 8.46	     	  0	 0.081	      	10.733	
2505047	  1	 8.40	     	  0	 0.079	      	10.702	
  10266	  9	11.56	15.85	177	 0.583	 0.360	13.301	13.013
   9843	 16	11.45	17.20	143	 0.528	 0.373	13.170	12.844
  10464	  8	10.68	19.53	 43	 0.268	 0.169	12.288	11.462
  10966	  2	 9.69	17.30	 13	 0.137	 0.170	11.413	10.396
  11202	  1	 9.44	17.14	  0	 0.121	      	11.253	
  10854	  1	 9.31	14.26	  0	 0.114	      	11.176	
  10588	  1	 9.19	     	  0	 0.108	      	11.107	
  10813	  1	 8.96	     	  0	 0.099	      	10.984	
  10670	  1	 8.62	     	  0	 0.087	      	10.815	
   9774	  1	 8.57	     	  0	 0.085	      	10.792	
  10334	  1	 8.40	     	  0	 0.080	      	10.706	
1132226	  1	 8.39	     	  0	 0.079	      	10.701	
  10128	  1	 8.24	     	  0	 0.075	      	10.623	
1134429	  1	 8.06	     	  0	 0.070	      	10.534	
  10682	  1	 7.93	     	  0	 0.066	      	10.471	
4074841	  1	 7.73	     	  0	 0.062	      	10.371	
1132466	  1	 7.48	     	  0	 0.056	      	10.246	
  69994	  5	11.23	44.06	142	 0.436	 0.285	12.922	12.723
  69998	  1	 9.44	43.45	  0	 0.121	      	11.250	
  20047	  8	11.19	25.82	204	 0.419	 0.372	12.869	13.149
  20916	  1	10.93	25.94	  0	 0.334	      	12.573	
  20514	  7	10.91	29.19	 51	 0.327	 0.219	12.548	11.711
  78645	  1	10.81	     	  0	 0.301	      	12.438	
  20363	  2	10.65	     	  4	 0.262	 0.027	12.258	 8.650
  86068	  1	10.60	     	  0	 0.250	      	12.199	
  78286	  2	10.51	     	 41	 0.232	 0.303	12.097	11.667
  21161	  2	10.35	     	 17	 0.205	 0.176	11.937	10.682
  20187	  1	10.07	     	  0	 0.170	      	11.695	
  20249	  1	 9.99	     	  0	 0.162	      	11.631	
  20867	  1	 9.92	     	  0	 0.156	      	11.577	
  86060	  1	 9.85	     	  0	 0.149	      	11.524	
3994648	  1	 9.72	     	  0	 0.139	      	11.430	
  76930	  1	 9.65	     	  0	 0.134	      	11.384	
  19917	  1	 8.79	     	  0	 0.092	      	10.899	
  53549	  3	11.23	     	 91	 0.437	 0.216	12.923	12.212
  52521	  3	11.17	37.50	 77	 0.415	 0.318	12.856	12.238
  52839	  2	10.79	     	 62	 0.295	 0.036	12.412	11.107
  52563	  3	10.73	34.20	 55	 0.280	 0.056	12.344	11.193
  52811	  2	10.62	40.26	267	 0.254	 0.067	12.217	12.643
  53634	  1	10.62	36.48	  0	 0.254	      	12.217	
  53624	  2	10.59	39.63	 11	 0.248	 0.143	12.188	10.199
  52824	  1	10.47	35.65	  0	 0.224	      	12.053	
  53415	  1	10.03	33.11	  0	 0.166	      	11.662	
  53595	  1	 9.98	     	  0	 0.160	      	11.618	
  52827	  1	 9.81	     	  0	 0.146	      	11.494	
  53588	  1	 9.80	     	  0	 0.145	      	11.487	
  52761	  1	 9.77	     	  0	 0.143	      	11.468	
  53697	  1	 9.57	     	  0	 0.129	      	11.332	
  52618	  2	 9.54	     	  7	 0.127	 0.001	11.314	 7.732
 854314	  1	 8.91	     	  0	 0.097	      	10.960	
  52249	  1	 8.51	     	  0	 0.083	      	10.760	
 105906	  1	 8.43	     	  0	 0.081	      	10.722	
  59216	  5	11.26	     	131	 0.446	 0.318	12.952	12.695
  59111	  2	11.14	31.77	 38	 0.403	 0.123	12.820	11.215
  58547	  1	11.08	     	  0	 0.382	      	12.748	
  60029	  2	10.82	     	 42	 0.304	 0.391	12.449	11.794
  59038	  1	10.79	     	  0	 0.297	      	12.420	
  57719	  1	10.59	     	  0	 0.247	      	12.185	
  60554	  1	10.42	     	  0	 0.217	      	12.009	
2793364	  1	10.29	     	  0	 0.196	      	11.881	
2800437	  1	10.06	     	  0	 0.169	      	11.684	
  60661	  1	 9.76	     	  0	 0.142	      	11.461	
  96602	  1	 9.56	     	  0	 0.128	      	11.326	
  59497	  1	 9.55	     	  0	 0.127	      	11.318	
 141869	  1	 9.48	     	  0	 0.123	      	11.272	
  19617	 28	11.77	21.50	274	 0.699	 0.467	13.535	13.504
  20551	  1	10.36	     	  0	 0.206	      	11.947	
  19993	  1	10.35	     	  0	 0.204	      	11.934	
  19279	  1	 9.45	     	  0	 0.122	      	11.260	
  19201	  1	 9.09	20.23	  0	 0.104	      	11.049	
  18715	  1	 8.89	     	  0	 0.096	      	10.949	
  51104	 18	11.63	     	251	 0.620	 0.382	13.380	13.342
  51355	  1	10.35	     	  0	 0.205	      	11.941	
  50853	  2	10.12	     	 53	 0.175	 0.179	11.733	11.662
  51470	  1	 9.95	     	  0	 0.158	      	11.595	
  84116	  1	 9.72	     	  0	 0.139	      	11.433	
2069162	  1	 9.27	     	  0	 0.112	      	11.152	
2066503	  1	 8.78	     	  0	 0.092	      	10.893	
4004546	  1	 8.77	     	  0	 0.092	      	10.890	
  52088	  1	 8.67	     	  0	 0.088	      	10.841	
2094994	  1	 8.64	     	  0	 0.087	      	10.823	
4004600	  1	 8.56	     	  0	 0.085	      	10.787	
2055872	  1	 8.48	     	  0	 0.082	      	10.744	
4004193	  1	 8.47	     	  0	 0.082	      	10.743	
4004659	  1	 8.46	     	  0	 0.082	      	10.738	
  21488	  1	11.14	37.84	  0	 0.402	      	12.814	
  22272	  1	10.54	35.97	  0	 0.238	      	12.134	
  86069	  2	10.34	     	 16	 0.204	 0.286	11.929	10.810
  77806	  1	 9.62	     	  0	 0.132	      	11.364	
  86093	  1	 9.61	     	  0	 0.131	      	11.358	
  86064	  1	 9.59	     	  0	 0.130	      	11.344	
  22712	  1	 9.28	37.15	  0	 0.112	      	11.152	
  39568	 11	11.36	     	146	 0.488	 0.269	13.068	12.719
  41621	 13	11.06	34.51	192	 0.375	 0.247	12.723	12.923
  38555	  2	10.85	     	 57	 0.313	 0.093	12.487	11.435
  38788	  1	10.53	     	  0	 0.236	      	12.124	
  38423	  3	10.50	     	 41	 0.230	 0.157	12.086	11.377
  36555	  1	10.27	     	  0	 0.194	      	11.864	
  41527	  2	10.22	     	 32	 0.187	 0.268	11.820	11.410
  38504	  3	10.13	     	 30	 0.176	 0.132	11.739	11.021
  39366	  3	 9.95	36.31	  0	 0.158	 0.048	11.597	 4.800
  39123	  1	 9.54	     	  0	 0.127	      	11.316	
  42849	  3	 9.54	     	  2	 0.127	 0.057	11.312	 8.412
  38849	  1	 9.30	     	  0	 0.113	      	11.167	
2647063	  1	 9.17	     	  0	 0.107	      	11.093	
  41769	  1	 9.15	     	  0	 0.106	      	11.083	
  42469	  1	 9.01	     	  0	 0.101	      	11.009	
4002813	  1	 8.66	     	  0	 0.088	      	10.835	
  86285	  1	11.31	43.65	  0	 0.466	      	13.009	
  86287	  2	11.10	46.56	 36	 0.389	 0.351	12.773	11.615
2797207	  5	11.31	     	216	 0.466	 0.116	13.009	12.693
2691587	  2	11.23	32.81	 82	 0.435	 0.473	12.919	12.462
 138604	  1	11.01	     	  0	 0.359	      	12.669	
2673378	  1	10.78	     	  0	 0.293	      	12.403	
 165358	  1	10.59	     	  0	 0.247	      	12.182	
 166470	  1	10.52	     	  0	 0.234	      	12.111	
 138606	  1	 9.48	     	  0	 0.123	      	11.272	
  51978	 14	11.33	37.84	148	 0.478	 0.388	13.041	12.888
  52266	  6	10.67	40.93	 89	 0.265	 0.244	12.274	12.250
  53657	  2	10.33	38.90	 17	 0.203	 0.087	11.923	10.342
  52307	  1	10.29	38.37	  0	 0.197	      	11.885	
  50728	  3	10.20	40.18	 20	 0.185	 0.123	11.801	10.663
  53217	  2	10.00	38.55	 18	 0.162	 0.004	11.635	 9.111
  52664	  1	 9.64	     	  0	 0.133	      	11.377	
4004644	  1	 8.66	     	  0	 0.088	      	10.834	
  39791	 14	11.23	23.55	168	 0.435	 0.332	12.918	12.932
  38524	 10	11.17	23.35	107	 0.414	 0.320	12.852	12.524
  42139	  4	11.09	20.94	205	 0.384	 0.212	12.756	12.908
  42595	  1	10.41	     	  0	 0.215	      	11.997	
  35266	  1	10.23	     	  0	 0.189	      	11.829	
  40500	  1	 9.86	23.77	  0	 0.150	      	11.531	
  41914	  1	 9.19	     	  0	 0.108	      	11.107	
  42517	  1	 9.00	     	  0	 0.100	      	11.004	
  40483	  1	 8.64	     	  0	 0.087	      	10.827	
  47710	  1	 8.61	     	  0	 0.086	      	10.808	
  38459	  1	 8.47	     	  0	 0.082	      	10.738	
2670839	  1	 8.47	     	  0	 0.082	      	10.738	
  34869	  1	 8.45	21.18	  0	 0.081	      	10.728	
  38360	  1	 8.42	     	  0	 0.080	      	10.717	
2655089	  1	 8.20	     	  0	 0.074	      	10.607	
5065024	  1	 8.16	     	  0	 0.073	      	10.587	
2679292	  1	 8.14	     	  0	 0.072	      	10.577	
2687514	  1	 7.75	     	  0	 0.062	      	10.380	
  34566	 33	11.41	28.53	251	 0.512	 0.405	13.130	13.367
  36505	 12	10.51	26.89	119	 0.233	 0.336	12.104	12.638
  35191	  3	10.47	     	  2	 0.224	 0.148	12.053	 8.697
  33074	  3	10.42	25.59	 32	 0.215	 0.122	12.004	11.053
  33766	  1	 9.94	     	  0	 0.157	      	11.592	
  34929	  2	 8.70	26.92	 11	 0.089	 0.215	10.854	10.382
2624407	  1	 8.70	     	  0	 0.089	      	10.853	
  34528	  1	 8.66	     	  0	 0.088	      	10.835	
  33801	  1	 8.54	     	  0	 0.084	      	10.773	
3409566	  1	 8.36	     	  0	 0.078	      	10.683	
4001225	  1	 8.32	     	  0	 0.077	      	10.663	
2560815	  1	 8.12	     	  0	 0.071	      	10.566	
  36216	  1	 7.99	     	  0	 0.068	      	10.498	
  53516	 11	11.45	52.48	173	 0.528	 0.549	13.173	13.176
  27885	  6	11.23	30.76	200	 0.434	 0.377	12.915	13.140
  27048	  4	10.86	31.62	106	 0.314	 0.139	12.494	12.152
  27351	  3	10.84	31.19	 20	 0.310	 0.316	12.476	11.057
  27873	  1	10.30	     	  0	 0.198	      	11.890	
  27430	  1	 9.67	     	  0	 0.136	      	11.401	
4075944	  1	 9.62	     	  0	 0.132	      	11.364	
  53527	  3	11.28	     	 35	 0.454	 0.291	12.975	11.502
  52381	  2	11.19	38.19	 53	 0.421	 0.475	12.877	12.079
  52161	  2	10.96	     	 21	 0.344	 0.127	12.612	10.719
 580358	  1	 9.33	     	  0	 0.115	      	11.188	
  25067	 10	11.14	31.39	151	 0.402	 0.314	12.817	12.816
  25886	  2	10.90	30.06	 14	 0.324	 0.216	12.535	10.579
  25128	  1	 9.40	     	  0	 0.119	      	11.228	
  50191	 31	11.40	28.19	229	 0.508	 0.398	13.121	13.281
  51564	  6	10.81	28.72	106	 0.301	 0.231	12.438	12.371
  52116	  2	10.65	28.84	 32	 0.260	 0.030	12.248	10.438
  50832	  2	10.11	30.62	 61	 0.174	 0.059	11.724	11.297
  51568	  3	 9.97	     	 27	 0.159	 0.090	11.610	10.788
  51830	  3	 9.92	     	 74	 0.155	 0.076	11.572	11.584
  50581	  2	 9.67	31.48	 50	 0.136	 0.214	11.400	11.697
  50551	  2	 9.56	     	 13	 0.128	 0.182	11.324	10.446
  50505	  2	 9.38	     	  7	 0.118	 0.179	11.212	 9.947
2459580	  1	 9.20	     	  0	 0.109	      	11.111	
  51357	  1	 9.14	     	  0	 0.106	      	11.079	
  48761	  1	 9.12	     	  0	 0.105	      	11.068	
  50018	  1	 9.11	     	  0	 0.105	      	11.061	
  48578	  1	 8.71	     	  0	 0.090	      	10.862	
  50791	  1	 8.69	     	  0	 0.089	      	10.848	
  50757	  1	 8.65	     	  0	 0.088	      	10.831	
2395690	  1	 8.55	     	  0	 0.084	      	10.779	
2591185	  1	 8.50	     	  0	 0.083	      	10.753	
4004365	  1	 8.48	     	  0	 0.082	      	10.747	
2491930	  1	 8.37	     	  0	 0.079	      	10.689	
4012400	  1	 8.32	     	  0	 0.077	      	10.663	
  49784	  1	 8.28	     	  0	 0.076	      	10.645	
2403268	  1	 8.12	     	  0	 0.072	      	10.567	
2450627	  1	 8.02	     	  0	 0.069	      	10.513	
4018302	  1	 7.99	     	  0	 0.068	      	10.502	
2575583	  1	 7.99	     	  0	 0.068	      	10.502	
  51008	  1	 7.96	     	  0	 0.067	      	10.487	
  85930	  1	11.48	     	  0	 0.543	      	13.207	
  18893	  1	11.13	     	  0	 0.400	      	12.808	
  18749	  4	11.23	49.89	 14	 0.436	 0.450	12.923	10.922
  18369	  2	10.01	48.31	 20	 0.163	 0.280	11.642	10.989
  18533	  1	 9.23	49.66	  0	 0.110	      	11.127	
  28027	  2	11.01	50.35	 79	 0.360	 0.517	12.671	12.470
  27882	  4	10.63	48.98	 95	 0.256	 0.389	12.228	12.504
  36101	  9	11.41	42.08	190	 0.510	 0.513	13.127	13.228
  34939	  1	 9.71	     	  0	 0.138	      	11.425	
 624136	  1	 9.08	     	  0	 0.103	      	11.045	
  48767	  9	11.18	38.68	 87	 0.416	 0.320	12.861	12.348
  47441	 11	11.05	38.37	137	 0.371	 0.245	12.709	12.621
  46934	  4	10.34	35.81	 24	 0.204	 0.460	11.929	11.367
  48034	  6	10.24	     	104	 0.190	 0.179	11.836	12.250
  47559	  1	10.04	     	  0	 0.166	      	11.665	
  48379	  1	 9.88	     	  0	 0.152	      	11.545	
  48260	  1	 9.86	     	  0	 0.150	      	11.533	
  46539	  1	 9.51	     	  0	 0.125	      	11.294	
2236491	  1	 9.27	     	  0	 0.112	      	11.149	
  47301	  1	 9.08	     	  0	 0.103	      	11.045	
  47874	  1	 9.07	     	  0	 0.103	      	11.045	
2283026	  1	 8.87	     	  0	 0.095	      	10.942	
2266581	  1	 8.74	     	  0	 0.091	      	10.876	
4003616	  1	 8.66	     	  0	 0.088	      	10.835	
4016085	  1	 8.35	     	  0	 0.078	      	10.679	
4003747	  1	 8.26	     	  0	 0.075	      	10.635	
  50614	  3	11.53	     	 64	 0.569	 0.428	13.267	12.204
2800410	  1	10.68	     	  0	 0.269	      	12.292	
  14508	 15	11.80	13.86	223	 0.720	 0.436	13.574	13.294
  29311	  9	11.26	22.53	192	 0.446	 0.266	12.951	12.952
  26888	  7	11.16	     	 63	 0.408	 0.234	12.836	11.928
  18797	  1	10.80	     	  0	 0.298	      	12.427	
  29141	  1	10.26	24.43	  0	 0.193	      	11.857	
  16423	  1	10.21	14.19	  0	 0.186	      	11.811	
  30273	  1	10.13	     	  0	 0.176	      	11.738	
  25761	  1	 9.95	22.08	  0	 0.158	      	11.594	
2802321	  1	 9.83	     	  0	 0.148	      	11.511	
  26236	  1	 9.60	     	  0	 0.130	      	11.348	
  17736	  1	 9.55	12.59	  0	 0.128	      	11.320	
  18121	  1	 9.10	     	  0	 0.104	      	11.057	
  19459	  1	 8.53	     	  0	 0.084	      	10.770	
  22783	  1	 8.49	     	  0	 0.082	      	10.750	
2761545	  1	 8.12	     	  0	 0.072	      	10.568	
  47404	  6	11.03	 8.14	 77	 0.364	 0.284	12.685	12.190
  39600	 21	10.91	 7.26	241	 0.329	 0.242	12.555	13.111
  46153	  7	10.80	 7.74	110	 0.297	 0.146	12.420	12.207
  43495	  7	10.69	 4.43	 56	 0.271	 0.365	12.299	12.021
  42637	 10	10.60	 6.55	217	 0.250	 0.092	12.199	12.594
  44182	  4	10.57	 5.11	106	 0.243	 0.224	12.158	12.358
  50063	  9	10.44	 6.84	230	 0.219	 0.123	12.025	12.775
  42002	  1	10.18	 8.42	  0	 0.182	      	11.784	
  41333	  6	10.09	 8.70	 65	 0.172	 0.100	11.707	11.585
  42408	  1	 9.30	 5.55	  0	 0.114	      	11.170	
  39422	  4	 9.30	 4.78	 44	 0.113	 0.179	11.164	11.501
  42575	  1	 9.17	 6.52	  0	 0.115	      	11.179	
  51210	  2	 8.88	 8.49	 14	 0.096	 0.108	10.947	10.270
  37523	  2	 8.77	     	 30	 0.092	 0.035	10.891	10.455
  41063	  1	 8.71	     	  0	 0.090	      	10.863	
  41066	  3	 8.69	 7.45	  2	 0.089	 0.039	10.849	 8.037
  43255	  2	 8.65	 6.52	 16	 0.088	 0.057	10.830	10.127
  47368	  1	 8.61	 4.88	  0	 0.086	      	10.812	
  35856	  1	 8.59	 5.30	  0	 0.086	      	10.801	
  42045	  1	 8.38	     	  0	 0.084	      	10.772	
  41620	  1	 8.37	     	  0	 0.079	      	10.690	
  46039	  6	 8.32	 4.36	 79	 0.077	 0.109	10.666	11.791
  41766	  1	 8.24	     	  0	 0.075	      	10.623	
  39211	  1	 8.19	     	  0	 0.074	      	10.602	
3442033	  1	 8.19	     	  0	 0.078	      	10.679	
  41636	  1	 8.17	 5.11	  0	 0.073	      	10.589	
  40596	  2	 8.17	 4.76	173	 0.073	 0.141	10.589	12.588
  47853	  1	 8.07	 4.51	  0	 0.070	      	10.539	
  39873	  2	 8.03	     	  3	 0.069	 0.066	10.521	 8.605
  52142	  1	 7.99	 5.81	  0	 0.068	      	10.502	
  37838	  1	 7.96	     	  0	 0.067	      	10.487	
1942712	  1	 7.81	     	  0	 0.064	      	10.413	
