#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:46:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:46:07	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=VII/155/rc3&-out=name,altname,PGC,T,BT,e_BT,B-VT,e_B-VT,B-VoT,U-BT,Ai,Ag&-out.add=_RAJ2000,_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	e_BT	(F5.2)	? Mean error on BT	[ucd=stat.error]
#Column	B-VT	(F5.2)	? (B-V)T (total (B-V))	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-VT	(F5.2)	? Mean error on (B-V)T	[ucd=stat.error]
#Column	B-VoT	(F5.2)	? (B-V)oT	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-BT	(F5.2)	? (U-B)T (total (U-B))	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Ai	(F5.2)	? Ai (internal B extinction)	[ucd=phys.absorption]
#Column	Ag	(F5.2)	? Ag (galactic extinction in B)	[ucd=phys.absorption]
_RAJ2000	_DEJ2000	name	altname	PGC	T	BT	e_BT	B-VT	e_B-VT	B-VoT	U-BT	Ai	Ag
073.930237	-14.997480	            	 MCG -3-13- 31 	PGC16347   	 7.0	     	     	     	     	     	     	 0.04	 0.14
073.939738	-60.207457	            	 ESO  119- 21  	PGC16348   	-2.0	     	     	     	     	     	     	 0.00	 0.00
073.925103	+67.733295	            	 UGC  3196     	PGC16349   	 6.0	     	     	     	     	     	     	 0.76	 0.80
073.962310	-29.883582	NGC  1701   	 ESO  422- 11  	PGC16352   	 3.2	     	     	     	     	     	     	 0.20	 0.00
073.992323	 +2.937506	            	 UGC  3206     	PGC16355   	 3.5	     	     	     	     	     	     	 0.42	 0.25
073.993156	 +2.234729	            	 MCG  0-13- 35 	PGC16356   	 1.0	     	     	     	     	     	     	 0.21	 0.25
074.043156	 +2.155840	            	 UGC  3207     	PGC16359   	 2.5	     	     	     	     	     	     	 0.70	 0.27
074.063143	+30.051652	            	 UGC  3205     	PGC16360   	 2.0	     	     	     	     	     	     	 0.52	 1.98
074.050239	 +1.583341	            	 UGC  3208     	PGC16364   	 5.0	     	     	     	     	     	     	 0.03	 0.30
074.080236	-15.798591	IC   2104   	 MCG -3-13- 34 	PGC16367   	 4.0	     	     	     	     	     	     	 0.30	 0.14
074.075239	 +0.700008	            	 MCG  0-13- 40 	PGC16368   	    	     	     	     	     	     	     	     	 0.40
074.110656	 +3.031951	            	 UGC  3209     	PGC16369   	 3.5	     	     	     	     	     	     	 0.45	 0.25
074.122319	-17.667478	            	 ESO  552- 27  	PGC16371   	    	     	     	     	     	     	     	 0.00	 0.12
074.141478	-28.502749	IC   2106   	 ESO  422- 12  	PGC16373   	 3.1	     	     	     	     	     	     	 0.36	 0.00
074.149401	-18.865811	            	 ESO  552- 28  	PGC16374   	    	     	     	     	     	     	     	 0.29	 0.04
074.156488	-10.219984	            	 MCG -2-13- 24 	PGC16375   	-2.0	     	     	     	     	     	     	 0.00	 0.16
074.191905	-10.593595	            	 MCG -2-13- 25 	PGC16379   	 4.0	     	     	     	     	     	     	 0.47	 0.17
074.200239	 +2.800006	            	 MCG  0-13- 42 	PGC16381   	    	     	     	     	     	     	     	 0.00	 0.24
074.200239	 -0.583324	            	 MCG  0-13- 43 	PGC16382   	    	     	     	     	     	     	     	     	 0.28
074.234406	 -4.867488	NGC  1700   	 MCG -1-13- 38 	PGC16386   	-5.0	12.20	 0.05	 0.97	 0.01	 0.91	 0.50	 0.00	 0.12
074.246875	-42.800242	            	 ESO  252-  1  	PGC16389   	    	14.40	 0.20	 0.30	 0.08	     	-0.36	     	 0.00
074.248572	 -4.757766	NGC  1699   	 MCG -1-13- 39 	PGC16390   	 3.0	     	     	     	     	     	     	 0.31	 0.15
074.275239	 -0.833324	            	 CGCG 394- 46  	PGC16392   	    	     	     	     	     	     	     	     	 0.28
074.317243	-59.120791	            	 ESO  119- 23  	PGC16395   	10.0	     	     	     	     	     	     	 0.16	 0.00
074.320653	-15.290536	NGC  1710   	 MCG -3-13- 37 	PGC16396   	-3.0	     	     	     	     	     	     	 0.00	 0.16
074.322906	-75.422177	            	 ESO   33-  4  	PGC16397   	 3.8	     	     	     	     	     	     	 0.25	 0.47
074.344823	 +1.893063	            	 UGC  3211     	PGC16400   	 5.5	     	     	     	     	     	     	 0.91	 0.30
074.346164	+78.189125	IC    391   	 UGC  3190     	PGC16402   	 5.0	13.00	 0.20	 0.31	 0.07	 0.19	     	 0.03	 0.45
074.359355	-51.379127	            	 ESO  203- 12  	PGC16403   	    	     	     	     	     	     	     	 0.00	 0.00
074.452115	-73.232456	            	 ESO   33-  3  	PGC16415   	-5.0	     	     	     	     	     	     	 0.00	 0.43
074.475239	 +2.916673	            	 UGC  3213     	PGC16419   	 1.0	     	     	     	     	     	     	 0.45	 0.24
074.486489	 -0.126658	            	 UGC  3214     	PGC16420   	 3.0	     	     	     	     	     	     	 0.95	 0.30
074.475125	+64.983297	            	 UGC  3204     	PGC16421   	 6.0	     	     	     	     	     	     	 0.87	 1.18
074.494680	+68.321351	IC    396   	 UGC  3203     	PGC16423   	    	     	     	     	     	     	     	 0.24	 0.67
074.538566	-21.617754	            	 ESO  552- 32  	PGC16431   	    	     	     	     	     	     	     	 0.10	 0.02
074.552738	 -7.781375	IC    398   	 MCG -1-13- 40 	PGC16433   	 5.0	     	     	     	     	     	     	 0.70	 0.17
074.553983	-20.364421	NGC  1716   	 ESO  552- 34  	PGC16434   	 4.2	     	     	     	     	     	     	 0.12	 0.04
074.565238	 -9.792762	            	 MCG -2-13- 26 	PGC16436   	 6.0	     	     	     	     	     	     	 0.89	 0.19
074.573555	-33.809691	            	 ESO  361- 23  	PGC16438   	 6.0	     	     	     	     	     	     	 0.15	 0.00
074.581072	 +0.741952	            	 UGC  3215     	PGC16439   	-2.3	     	     	     	     	     	     	 0.00	 0.31
074.601394	-62.027458	NGC  1765   	 ESO  119- 24  	PGC16444   	-3.5	     	     	     	     	     	     	 0.00	 0.01
074.600239	 -0.549991	            	 MCG  0-13- 53 	PGC16448   	    	     	     	     	     	     	     	     	 0.31
074.625239	 -1.449990	            	 UGC  3216     	PGC16452   	10.0	     	     	     	     	     	     	 0.28	 0.30
074.677673	-55.892459	            	 ESO  158- 16  	PGC16461   	 8.0	     	     	     	     	     	     	 0.14	 0.00
074.683989	 -0.478324	NGC  1709   	 MCG  0-13- 54 	PGC16462   	-2.0	     	     	     	     	     	     	 0.00	 0.31
074.675239	 -0.883324	            	 UGC  3221     	PGC16464   	 6.0	     	     	     	     	     	     	 0.80	 0.33
074.697316	-21.568587	            	 ESO  552- 40  	PGC16465   	 2.0	     	     	     	     	     	     	 0.27	 0.02
074.703988	 +7.117503	            	 UGC  3220     	PGC16468   	 7.0	     	     	     	     	     	     	 0.37	 0.34
074.711905	 +6.983337	            	 UGC  3219     	PGC16469   	 7.0	     	     	     	     	     	     	 0.58	 0.34
074.727322	 -0.491102	NGC  1713   	 UGC  3222     	PGC16471   	-4.3	13.91	 0.14	 1.17	 0.02	 1.06	     	 0.00	 0.31
074.731386	-63.298013	NGC  1771   	 ESO   85- 27  	PGC16472   	 5.2	14.16	 0.16	 0.74	 0.03	 0.57	 0.06	 0.82	 0.00
074.725239	 -1.483324	            	 MCG  0-13- 57 	PGC16473   	    	     	     	     	     	     	     	     	 0.30
074.757253	-56.668570	            	               	PGC16478   	 9.0	     	     	     	     	     	     	 0.19	 0.00
074.786828	-58.654681	            	 ESO  119- 25  	PGC16480   	 1.0	     	     	     	     	     	     	 0.34	 0.00
074.789405	 +4.975283	A   0456+04 	 UGC  3223     	PGC16482   	 1.0	     	     	     	     	     	     	 0.26	 0.43
074.822737	-11.118872	NGC  1721   	 MCG -2-13- 27 	PGC16484   	-2.0	     	     	     	     	     	     	 0.00	 0.29
074.836905	 -7.859708	NGC  1720   	 MCG -1-13- 41 	PGC16485   	 2.0	     	     	     	     	     	     	 0.23	 0.21
074.838988	 +5.617504	A   0456+05 	 UGC  3224     	PGC16486   	 3.0	13.66	 0.15	 0.63	 0.02	 0.48	     	 0.13	 0.38
074.849822	 -1.158046	            	 MCG  0-13- 59 	PGC16490   	 4.0	     	     	     	     	     	     	 0.93	 0.34
074.858571	-10.981095	NGC  1723   	 MCG -2-13- 29 	PGC16493   	 1.0	     	     	     	     	     	     	 0.21	 0.28
074.863569	-16.560535	            	 MCG -3-13- 42 	PGC16494   	 5.0	     	     	     	     	     	     	 0.11	 0.16
074.866071	-11.122761	NGC  1728   	 MCG -2-13- 30 	PGC16495   	 1.0	     	     	     	     	     	     	 0.47	 0.29
074.882319	-15.823313	NGC  1730   	 MCG -3-13- 43 	PGC16499   	 1.0	     	     	     	     	     	     	 0.35	 0.15
074.892739	 -0.261102	NGC  1719   	 UGC  3226     	PGC16501   	 1.0	     	     	     	     	     	     	 0.58	 0.31
074.895232	-22.699420	            	 ESO  486-  3  	PGC16502   	 9.0	     	     	     	     	     	     	 0.34	 0.03
074.897317	-19.199422	            	 ESO  552- 43  	PGC16504   	 5.5	     	     	     	     	     	     	 0.52	 0.09
074.916868	-45.974963	            	 ESO  252-  4  	PGC16506   	-2.0	     	     	     	     	     	     	 0.00	 0.00
074.922737	-11.271372	            	 MCG -2-13- 31 	PGC16507   	 5.0	     	     	     	     	     	     	 1.02	 0.29
074.925238	 -7.755541	NGC  1726   	 MCG -1-13- 42 	PGC16508   	-2.0	12.66	 0.13	 0.98	 0.01	 0.90	 0.52	 0.00	 0.17
074.924832	+80.149959	            	 UGC  3197     	PGC16509   	-5.0	     	     	     	     	     	     	 0.00	 0.30
074.959397	-23.926364	            	 ESO  486-  4  	PGC16511   	 1.0	     	     	     	     	     	     	 0.35	 0.04
074.971487	-12.036927	            	 MCG -2-13- 32 	PGC16513   	-3.0	     	     	     	     	     	     	 0.00	 0.30
074.993146	-26.026640	NGC  1744   	 ESO  486-  5  	PGC16517   	 7.0	11.60	 0.30	 0.48	 0.03	 0.48	-0.13	 0.37	 0.00
074.998151	-17.459979	            	 ESO  552- 45  	PGC16518   	 1.0	     	     	     	     	     	     	 0.31	 0.19
075.000180	+53.816637	            	 UGC  3217     	PGC16521   	    	     	     	     	     	     	     	 0.50	 1.72
075.044582	-74.903845	            	 ESO   33-  9  	PGC16526   	    	15.10	 0.20	 0.49	 0.10	     	 0.39	     	 0.45
075.065655	 -3.352767	NGC  1729   	 MCG -1-13- 43 	PGC16529   	 5.0	     	     	     	     	     	     	 0.11	 0.18
075.078153	-12.691371	            	 MCG -2-13- 34 	PGC16530   	 7.0	     	     	     	     	     	     	 0.72	 0.25
075.125238	 +4.383339	IC   2112   	 CGCG 420- 27  	PGC16534   	    	     	     	     	     	     	     	     	 0.34
075.150142	+62.233299	            	 UGC  3218     	PGC16537   	 3.0	     	     	     	     	     	     	 0.59	 1.73
075.168942	-49.746351	            	 ESO  203- 15  	PGC16539   	 3.7	     	     	     	     	     	     	 0.51	 0.00
075.173146	-25.075807	            	 ESO  486-  7  	PGC16541   	 3.3	     	     	     	     	     	     	 0.48	 0.03
075.175062	+71.199962	            	 UGC  3212     	PGC16542   	 9.0	     	     	     	     	     	     	 0.48	 0.53
075.204798	-38.674689	NGC  1759   	 ESO  305-  1  	PGC16547   	-3.9	     	     	     	     	     	     	 0.00	 0.00
075.257737	 -8.957485	            	 MCG -2-13- 36 	PGC16553   	 8.0	     	     	     	     	     	     	 0.16	 0.25
075.350238	 +3.766672	            	 CGCG 420- 29  	PGC16564   	    	     	     	     	     	     	     	     	 0.35
075.375551	-63.292736	            	 ESO   85- 30  	PGC16567   	-1.0	     	     	     	     	     	     	 0.00	 0.00
075.386068	-16.166647	            	 MCG -3-13- 51 	PGC16568   	 3.0	     	     	     	     	     	     	 0.76	 0.16
075.398155	 -4.264155	            	               	PGC16570   	 9.1	15.21	 0.15	     	     	     	     	     	 0.25
075.398155	 -4.256655	            	               	PGC16571   	    	     	     	     	     	     	     	     	 0.25
075.400238	 +3.566673	A   0459+03 	               	PGC16572   	    	15.50	 0.20	 0.44	 0.04	     	-0.41	     	 0.31
075.408155	 -4.257766	            	               	PGC16573   	 9.0	13.30	 0.15	 0.38	 0.02	     	-0.55	     	 0.25
075.410238	 -4.256933	NGC  1741   	 MCG -1-13- 45 	PGC16574   	99.0	13.30	 0.15	     	     	     	     	 0.31	 0.25
075.400238	 -0.499991	            	 MCG  0-13- 62 	PGC16575   	    	     	     	     	     	     	     	 0.31	 0.29
075.413540	+43.643866	            	               	PGC16576   	    	     	     	     	     	     	     	     	
075.417735	-15.398314	            	               	PGC16578   	    	15.90	 0.15	     	     	     	     	     	 0.16
075.425638	-34.032191	            	 ESO  361- 25  	PGC16579   	    	     	     	     	     	     	     	 0.58	 0.00
075.433572	 -4.288877	IC    399   	               	PGC16582   	10.0	     	     	     	     	     	     	 0.21	 0.25
075.438569	-15.448869	            	 MCG -3-13- 53 	PGC16583   	    	14.40	 0.15	     	     	     	     	     	 0.16
075.444401	-18.158590	NGC  1738   	 ESO  552- 49  	PGC16585   	 3.8	     	     	     	     	     	     	 0.38	 0.10
075.448567	-18.166923	NGC  1739   	 ESO  552- 50  	PGC16586   	 4.3	     	     	     	     	     	     	 0.42	 0.10
075.478572	 -3.296100	NGC  1740   	 MCG -1-13- 46 	PGC16589   	-3.0	     	     	     	     	     	     	 0.00	 0.25
075.501445	-48.646074	            	 ESO  203- 16  	PGC16594   	-1.7	     	     	     	     	     	     	 0.00	 0.00
075.503566	-21.137199	            	 ESO  552- 52  	PGC16595   	    	13.92	 0.13	 0.90	 0.01	 0.85	     	 0.00	 0.03
075.524247	-69.568846	NGC  1809   	 ESO   56- 48  	PGC16599   	 5.0	13.00	 0.20	 0.86	 0.03	 0.61	 0.17	 0.88	 0.40
075.540237	 -8.241374	NGC  1752   	 MCG -1-13- 47 	PGC16600   	 4.5	13.27	 0.19	 0.88	 0.06	 0.64	 0.26	 0.76	 0.29
075.550238	 +7.633336	            	 UGC  3229     	PGC16602   	 5.0	     	     	     	     	     	     	 0.00	 0.45
075.573975	-30.454416	            	 ESO  422- 23  	PGC16603   	 3.3	     	     	     	     	     	     	 0.34	 0.00
075.576066	-20.001089	            	 ESO  552- 53  	PGC16604   	 3.3	     	     	     	     	     	     	 0.13	 0.04
075.581070	-10.356373	            	 MCG -2-13- 38 	PGC16605   	 1.0	     	     	     	     	     	     	 0.36	 0.28
075.656904	 -8.301097	            	 MCG -1-13- 49 	PGC16607   	 7.0	     	     	     	     	     	     	 0.00	 0.23
075.613623	+86.219958	NGC  1544   	 UGC  3160     	PGC16608   	    	     	     	     	     	     	     	 0.25	 0.40
075.634821	 -3.344156	NGC  1753   	 MCG -1-13- 48 	PGC16610   	 1.0	     	     	     	     	     	     	 0.39	 0.25
075.625235	-15.516647	            	 MCG -3-13- 58 	PGC16611   	    	     	     	     	     	     	     	     	 0.21
075.644822	 +0.245286	            	 UGC  3231     	PGC16613   	 7.3	     	     	     	     	     	     	 0.46	 0.33
075.672315	-22.226643	            	 ESO  552- 55  	PGC16616   	    	     	     	     	     	     	     	 0.37	 0.02
075.680147	-61.139126	NGC  1796   	 ESO  119- 30  	PGC16617   	 5.1	12.86	 0.13	 0.54	 0.01	 0.47	-0.10	 0.41	 0.00
075.687312	-25.536641	            	 ESO  486- 14  	PGC16618   	    	     	     	     	     	     	     	 0.11	 0.00
075.753123	-43.297187	            	 ESO  252-  7  	PGC16628   	    	     	     	     	     	     	     	 0.37	 0.00
075.750238	 +0.250008	            	 UGC  3233     	PGC16631   	 6.0	     	     	     	     	     	     	 0.13	 0.33
075.798148	-22.813587	            	 ESO  486- 17  	PGC16635   	-2.5	13.80	 0.13	 0.99	 0.03	 0.94	     	 0.00	 0.01
075.818981	-22.832198	            	 ESO  486- 19  	PGC16638   	-3.5	12.45	 0.13	 0.88	 0.02	 0.83	     	 0.00	 0.01
075.821905	 -2.936656	            	 MCG -1-13- 50 	PGC16639   	 3.0	     	     	     	     	     	     	 1.05	 0.24
075.825964	-63.751625	            	 ESO   85- 34  	PGC16640   	 1.0	     	     	     	     	     	     	 0.27	 0.01
075.827729	-25.697196	            	 ESO  486- 20  	PGC16641   	    	     	     	     	     	     	     	 0.01	 0.00
075.827734	+18.454995	            	 UGC  3232     	PGC16642   	    	     	     	     	     	     	     	 0.50	 1.88
075.833562	-25.423863	            	 ESO  486- 21  	PGC16643   	    	     	     	     	     	     	     	 0.20	 0.00
075.853151	+16.404719	A   0500+16 	 UGC  3234     	PGC16644   	10.0	15.01	 0.15	 0.67	 0.05	 0.29	 0.01	 0.00	 1.64
075.866071	 +0.659175	            	 UGC  3237     	PGC16646   	 6.0	     	     	     	     	     	     	 1.03	 0.35
075.875238	 +4.666672	            	 CGCG 420- 32  	PGC16649   	    	     	     	     	     	     	     	     	 0.31
075.888154	 +6.659170	            	 UGC  3236     	PGC16650   	 4.0	     	     	     	     	     	     	 0.67	 0.44
075.875116	+65.799965	A   0458+65 	               	PGC16651   	    	     	     	     	     	     	     	     	 0.73
075.902738	 +1.573618	NGC  1762   	 UGC  3238     	PGC16654   	 4.7	13.35	 0.13	 0.75	 0.01	 0.58	     	 0.28	 0.36
075.931061	-27.244418	            	 ESO  486- 22  	PGC16655   	    	     	     	     	     	     	     	 0.15	 0.00
076.003980	-23.996364	            	 ESO  486- 23  	PGC16659   	-3.0	     	     	     	     	     	     	 0.00	 0.05
076.025238	 -1.133324	            	 MCG  0-13- 68 	PGC16662   	    	     	     	     	     	     	     	 0.35	 0.29
076.050238	 -0.399991	            	 UGC  3239     	PGC16666   	 2.0	     	     	     	     	     	     	 0.58	 0.29
076.050238	 +4.650005	            	 UGC  3240     	PGC16668   	 4.0	     	     	     	     	     	     	 0.63	 0.38
076.079715	-63.581070	            	 ESO   85- 38  	PGC16670   	 2.5	13.49	 0.14	 0.76	 0.03	 0.67	     	 0.24	 0.01
076.082737	-10.076095	IC    401   	 MCG -2-13- 40 	PGC16672   	 3.0	     	     	     	     	     	     	 0.63	 0.29
076.122845	-87.029125	            	 ESO    4- 17  	PGC16673   	10.0	     	     	     	     	     	     	 0.14	 0.68
076.125234	-16.583313	            	 MCG -3-13- 63 	PGC16675   	    	     	     	     	     	     	     	 0.00	 0.20
076.124949	+76.866628	            	 UGC  3227     	PGC16677   	 4.0	     	     	     	     	     	     	 0.84	 0.50
076.142734	-17.092480	            	 MCG -3-13- 64 	PGC16678   	 5.0	     	     	     	     	     	     	 1.22	 0.16
076.146839	-55.524406	            	 ESO  158- 17  	PGC16680   	 2.0	     	     	     	     	     	     	 0.17	 0.00
076.153727	-87.572181	            	 ESO    1-  2  	PGC16681   	10.0	     	     	     	     	     	     	 0.15	 0.65
076.200238	 +4.483339	            	 UGC  3242     	PGC16687   	 3.0	     	     	     	     	     	     	 0.91	 0.38
096.261450	+40.294445	            	 CGCG 203-  9  	PGC18996   	    	     	     	     	     	     	     	     	 1.36
076.251425	-81.311347	            	 ESO   15- 18  	PGC16696   	-4.0	14.26	 0.18	 1.03	 0.02	 0.90	 0.41	 0.00	 0.35
076.263478	-61.483571	NGC  1796A  	 ESO  119- 35  	PGC16698   	 2.0	     	     	     	     	     	     	 0.67	 0.00
076.278770	-73.652736	            	 ESO   33- 11  	PGC16700   	 1.0	     	     	     	     	     	     	 0.06	 0.47
076.281473	-31.784416	            	 ESO  422- 27  	PGC16702   	 5.0	     	     	     	     	     	     	 0.28	 0.00
076.285650	-18.987756	            	 ESO  552- 65  	PGC16703   	    	     	     	     	     	     	     	 0.55	 0.08
076.275232	+20.999993	            	 UGC  3243     	PGC16706   	 6.0	     	     	     	     	     	     	 0.07	 2.09
076.309400	-18.391090	            	 ESO  552- 66  	PGC16708   	10.0	     	     	     	     	     	     	 0.17	 0.10
076.313131	-37.979690	NGC  1792   	 ESO  305-  6  	PGC16709   	 4.0	10.87	 0.10	 0.68	 0.01	 0.56	 0.08	 0.45	 0.04
076.324744	-58.221905	            	 ESO  119- 34  	PGC16712   	 9.0	     	     	     	     	     	     	 0.64	 0.00
076.325653	 -9.147485	NGC  1779   	 MCG -2-13- 41 	PGC16713   	 0.0	13.02	 0.16	 0.93	 0.06	 0.80	 0.40	 0.20	 0.25
076.361025	-49.566908	NGC  1803   	 ESO  203- 18  	PGC16715   	 4.0	13.38	 0.13	 0.53	 0.01	 0.43	     	 0.31	 0.00
076.363569	-11.871650	NGC  1784   	 MCG -2-13- 42 	PGC16716   	 5.0	12.44	 0.14	 0.76	 0.03	 0.59	 0.22	 0.31	 0.43
076.393941	-49.596908	            	 ESO  203- 19  	PGC16720   	-1.3	     	     	     	     	     	     	 0.00	 0.00
076.375220	+34.016651	            	 UGC  3244     	PGC16721   	    	     	     	     	     	     	     	 0.10	 4.82
076.400105	+67.016632	            	 UGC  3235     	PGC16722   	 6.0	     	     	     	     	     	     	 0.58	 0.59
076.399971	+76.016629	            	 UGC  3228     	PGC16723   	 4.0	     	     	     	     	     	     	 0.95	 0.55
076.456059	-28.588584	            	 ESO  422- 28  	PGC16728   	    	     	     	     	     	     	     	 0.00	 0.00
076.459376	+41.611090	            	               	PGC16729   	    	     	     	     	     	     	     	     	
076.475238	 +0.533341	            	 UGC  3246     	PGC16734   	    	     	     	     	     	     	     	 0.07	 0.34
076.500234	-16.733313	            	 MCG -3-13- 69 	PGC16735   	    	     	     	     	     	     	     	 0.35	 0.11
076.536838	-55.614406	            	 ESO  158- 18  	PGC16737   	 7.0	14.35	 0.13	 0.44	 0.02	 0.42	     	 0.06	 0.00
076.540619	-45.047465	            	 ESO  252- 10  	PGC16738   	 2.2	     	     	     	     	     	     	 0.12	 0.00
076.561903	 -9.107763	IC    402   	 MCG -2-13- 43 	PGC16742   	 6.3	     	     	     	     	     	     	 0.27	 0.28
076.586899	-19.467478	NGC  1780   	 ESO  553-  1  	PGC16743   	-1.7	     	     	     	     	     	     	 0.00	 0.05
076.600222	-31.949971	            	 MCG -5-13-  5 	PGC16744   	    	     	     	     	     	     	     	 0.00	 0.00
076.609389	-31.954416	NGC  1800   	 ESO  422- 30  	PGC16745   	10.0	13.13	 0.13	 0.54	 0.03	 0.53	-0.17	 0.20	 0.00
076.638567	-17.587757	            	 ESO  553-  2  	PGC16748   	-2.3	13.38	 0.13	 1.03	 0.01	 0.96	     	 0.00	 0.13
076.650397	+75.594963	            	 UGC  3230     	PGC16750   	 0.0	     	     	     	     	     	     	     	 0.58
076.655233	-17.556091	A   0504-17 	 ESO  553-  3  	PGC16751   	 5.0	14.10	 0.30	 0.71	 0.06	 0.59	     	 0.33	 0.13
076.659403	 +8.673336	            	 UGC  3247     	PGC16752   	    	     	     	     	     	     	     	 0.00	 0.60
076.683945	-48.193297	            	 ESO  203- 20  	PGC16755   	    	     	     	     	     	     	     	 0.16	 0.00
076.707310	-27.658029	            	 ESO  422- 33  	PGC16758   	10.0	     	     	     	     	     	     	 0.25	 0.00
076.711482	-20.346367	            	 ESO  553-  5  	PGC16759   	 3.3	     	     	     	     	     	     	 0.28	 0.04
076.734736	-59.723850	NGC  1824   	 ESO  119- 36  	PGC16761   	 9.0	13.00	 0.20	 0.44	 0.03	 0.43	-0.10	 0.59	 0.01
076.777321	 +3.980283	            	 UGC  3248     	PGC16764   	 3.0	     	     	     	     	     	     	 0.47	 0.44
076.775223	+30.816653	            	 UGCA  100     	PGC16765   	10.0	     	     	     	     	     	     	 0.00	 3.20
076.875236	-11.633317	            	               	PGC16772   	 7.0	     	     	     	     	     	     	 1.17	 0.41
076.928548	-37.514135	NGC  1808   	 ESO  305-  8  	PGC16779   	 1.0	10.74	 0.10	 0.81	 0.02	 0.73	 0.28	 0.22	 0.07
076.933467	-62.989960	            	 ESO   85- 47  	PGC16780   	 9.0	     	     	     	     	     	     	 0.07	 0.00
076.933986	 -8.018597	NGC  1797   	 MCG -1-14-  2 	PGC16781   	 1.0	     	     	     	     	     	     	 0.15	 0.22
076.936070	 -7.969430	NGC  1799   	 MCG -1-14-  1 	PGC16783   	-2.0	     	     	     	     	     	     	 0.00	 0.20
076.925234	-16.283314	A   0505-16 	 MCG -3-14-  1 	PGC16784   	 8.5	13.57	 0.17	 0.50	 0.06	 0.44	-0.19	 0.23	 0.18
076.976395	-61.190239	NGC  1796B  	 ESO  119- 37  	PGC16787   	 4.0	     	     	     	     	     	     	 0.83	 0.00
076.981066	-18.190813	NGC  1794   	 ESO  553-  7  	PGC16788   	-1.7	     	     	     	     	     	     	 0.00	 0.07
076.985145	-61.193016	            	 ESO  119- 37A 	PGC16789   	    	     	     	     	     	     	     	     	 0.00
077.034797	-38.311357	            	 ESO  305-  9  	PGC16790   	 8.0	     	     	     	     	     	     	 0.14	 0.06
077.057459	-76.348570	            	 ESO   33- 16  	PGC16793   	 3.0	     	     	     	     	     	     	 1.07	 0.46
077.076482	-19.834701	            	 ESO  553- 10  	PGC16796   	    	     	     	     	     	     	     	 0.00	 0.05
077.089782	-46.346910	            	 ESO  252- 12  	PGC16797   	 4.5	     	     	     	     	     	     	 0.58	 0.00
077.114310	-61.367461	            	 ESO  119- 38  	PGC16803   	 5.0	     	     	     	     	     	     	 0.31	 0.00
077.150233	-16.933314	            	 MCG -3-14-  4 	PGC16809   	    	     	     	     	     	     	     	 0.11	 0.12
077.180641	-29.276918	NGC  1811   	 ESO  422- 37  	PGC16811   	 1.0	     	     	     	     	     	     	 0.61	 0.00
077.175067	+70.466632	A   0503+70 	 UGC  3245     	PGC16813   	 5.0	     	     	     	     	     	     	 0.00	 0.47
077.198985	+13.260555	            	 UGC  3251     	PGC16814   	    	     	     	     	     	     	     	 0.35	 2.05
077.199983	+75.416630	            	 UGC  3241     	PGC16816   	-2.0	     	     	     	     	     	     	     	 0.61
077.222308	-29.252195	NGC  1812   	 ESO  422- 39  	PGC16819   	 1.0	     	     	     	     	     	     	 0.15	 0.00
