#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:11:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:11:19	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,_RA,_DE,Kmag,W50,TT,HRV,Dist,f_Dist,i,vAmp,KLum,MHI,Vlg,Ti1,MD,Ti5&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
Name	_RAJ2000	_DEJ2000	Kmag	W50	TT	HRV	Dist	f_Dist	i	vAmp	KLum	MHI	Vlg	Ti1	MD	Ti5
NGC1592           	067.420000	-27.408611	12.66	 73	10	 945	 9.10	TF  	75	 33	 8.17	 7.99	 798	-1.5	NGC1291        	-1.1
NGC1569           	067.704583	+64.848056	 7.50	101	 8	 -86	 3.06	TRGB	60	 51	 9.37	 8.27	 106	 0.9	IC0342         	 1.1
UGCA092           	068.001250	+63.613889	11.00	 56	10	 -95	 3.01	TRGB	72	 25	 7.98	 8.17	  93	 1.6	NGC1569        	 1.7
NGC1560           	068.207917	+71.881111	 9.26	119	 7	 -36	 3.45	TRGB	90	 52	 8.72	 9.03	 170	 1.0	IC0342         	 1.0
NGC1637           	070.367500	 -2.858056	 7.98	188	 6	 713	 9.29	SN  	39	133	10.07	 9.01	 646	-2.1	UGC03174       	-1.7
CamB              	073.278750	+67.099167	13.36	 21	10	  78	 3.34	TRGB	72	  3	 7.05	 7.08	 267	 0.9	IC0342         	 1.0
NGC1705           	073.557083	-53.361389	10.52	111	 9	 628	 5.11	TRGB	48	 65	 8.52	 7.96	 401	-1.8	NGC0253        	-1.4
HIPASS J0457-42   	074.244583	-42.803889	12.06	 58	10	 657	 7.20	TF  	70	 26	 8.21	 8.13	 448	-1.5	NGC1291        	-1.2
NGC1744           	074.992500	-26.026667	 9.78	195	 7	 741	10.00	TF  	58	101	 9.42	 9.35	 574	 0.1	ESO486-021     	 0.1
ESO486-021        	075.832083	-25.423056	11.43	 65	 9	 831	10.00	mem 	46	 39	 8.74	 8.47	 664	 0.8	NGC1744        	 0.8
NGC1800           	076.607083	-31.954167	10.21	 66	 9	 814	 8.00	TF  	67	 31	 9.04	 8.13	 625	-1.7	NGC1291        	-1.2
UGCA105           	078.562917	+62.580833	 8.20	121	 8	 113	 3.15	TRGB	51	 68	 9.08	 8.58	 281	 0.3	IC0342         	 0.6
LMC               	080.894167	-69.756111	-1.75	 65	 9	 278	 0.05	Cep 	35	 48	 9.42	 8.66	  28	 3.5	Milky Way      	 3.6
UGC03303          	081.247917	 +4.505000	10.73	158	 8	 519	 7.14	BS  	39	109	 8.75	 8.52	 444	-2.2	Orion          	-1.6
ESO553-046        	081.773750	-20.678056	12.00	 62	 9	 541	 5.07	h   	51	 35	 7.93	 7.21	 370	-2.0	NGC0253        	-1.6
KK49              	085.422917	 +6.681667	10.39	 55	 9	 455	 5.15	h   	51	 30	 8.66	 7.73	 376	-2.2	NGC0253        	-1.6
Orion             	086.258333	 +5.068333	10.90	118	 8	 368	 6.46	BS  	62	 58	 8.68	 8.94	 280	-2.1	UGC03303       	-1.7
A0554+07          	089.402917	 +7.491944	13.72	 50	10	 428	 5.50	BS  	90	 21	 7.39	 7.30	 340	-1.4	KK49           	-1.2
KKH34             	089.921667	+73.427500	13.76	 22	10	 106	 4.61	TRGB	66	  3	 7.17	 6.76	 295	-0.7	MESSIER081     	-0.3
ESO364-029        	091.439167	-33.081667	10.27	 76	 9	 787	 7.59	h   	51	 43	 8.97	 8.38	 554	 0.0	NGC2188        	 0.1
HIPASS J0607-34   	091.832083	-34.204444	11.50	127	 9	 765	 7.40	mem 	55	 68	 8.46	 8.09	 529	 1.6	NGC2188        	 1.6
NGC2188           	092.539583	-34.106111	 9.50	112	 8	 745	 7.40	TF  	78	 50	 9.26	 8.61	 508	 0.8	HIPASS J0607-34	 0.9
ESO121-020        	093.977083	-57.726389	12.76	 47	10	 587	 6.05	TRGB	51	 25	 7.78	 7.94	 319	-0.1	LV J0616-5745  	-0.1
LV J0616-5745     	094.038333	-57.765278	14.50	 36	10	 554	 6.00	mem 	41	 20	 7.07	 7.36	 286	 0.6	ESO121-020     	 0.6
UGCA127sat        	095.228333	 -8.650278	11.32	   	10	    	 8.50	mem 	90	   	 8.76	     	    	 3.9	UGCA127        	 3.9
UGCA127           	095.232083	 -8.495556	 8.31	300	 6	 732	 8.50	TF  	77	141	10.00	 9.34	 562	 2.7	UGCA127sat     	 2.7
WHI B0619-07      	095.557500	 -7.837778	 9.51	156	 8	 759	 8.40	TF  	59	 79	 9.45	 8.94	 591	 1.5	UGCA127        	 1.5
ESO489-056        	096.570833	-26.265556	13.09	 24	10	 492	 4.99	TRGB	72	  3	 7.48	 7.16	 263	-2.1	NGC0253        	-1.6
HIPASS J0630+08   	097.537500	 +8.376944	     	 33	10	 367	 3.55	h   	  	   	     	 7.16	 259	-1.9	MESSIER081     	-1.3
UGC03475          	097.620000	+39.503889	12.52	170	 6	 487	20.00	TF  	57	 89	 8.94	 9.25	 525	-2.8	IC0356         	-2.5
UGC03476          	097.621667	+33.301944	12.70	 83	10	 469	 7.01	BS  	90	 36	 7.96	 8.15	 477	-2.1	NGC2683        	-1.6
ESO490-017        	099.485833	-25.999722	12.00	 39	10	 505	 4.23	TRGB	46	 21	 7.78	 7.55	 269	-2.1	NGC0253        	-1.5
CGMW1-260         	099.500417	-15.022778	10.00	195	 8	 746	10.80	TF  	65	 95	 9.44	 8.71	 542	-1.2	NGC2283        	-1.0
UGC03501          	099.660000	+49.258333	13.89	 60	10	 451	15.50	TF  	90	 26	 8.15	 8.31	 530	-1.9	NGC2344        	-1.6
KK55              	099.887083	-40.720278	13.40	 50	10	 824	 7.65	h   	58	 24	 7.73	 7.86	 559	-1.9	NGC2188        	-1.4
Carina            	100.402917	-50.966111	 6.95	   	-3	 224	 0.10	TRGB	62	   	 6.54	 2.32	 -52	 2.6	Milky Way      	 2.8
IC2171            	101.113750	-17.932500	10.81	107	 8	 789	 9.90	TF  	81	 47	 9.05	 8.38	 572	 1.6	NGC2283        	 1.6
NGC2283           	101.469583	-18.210278	 8.83	179	 6	 841	10.00	TF  	41	119	 9.84	 9.44	 622	 1.3	KKSG9          	 1.4
KKSG9             	101.737083	-17.941389	11.66	182	 9	 693	10.00	mem 	52	102	 8.72	 8.64	 474	 2.4	NGC2283        	 2.5
KKH37             	101.940833	+80.123889	13.75	   	10	  11	 3.39	TRGB	55	   	 6.88	 6.70	 214	 0.0	MESSIER081     	 0.3
KKH38             	101.978750	+47.513889	14.68	 58	10	 451	19.30	TF  	68	 27	 8.02	 8.74	 518	-2.6	IC0356         	-2.1
UGC03600          	103.916667	+39.095000	13.22	 82	 8	 398	 7.24	BS  	70	 38	 7.76	 7.78	 421	-1.9	NGC2683        	-1.4
HIZSS003          	105.122083	 -4.208333	11.39	 70	10	 298	 1.67	TRGB	62	 34	 7.36	 7.25	 118	-1.1	MESSIER031     	-0.7
FG202             	106.321250	-58.520556	12.13	 66	10	 564	 4.90	TRGB	76	 29	 7.86	 8.27	 279	-1.9	NGC5128        	-1.3
HIPASS J0705-20   	106.437500	-20.991667	     	 29	 0	 766	 7.23	h   	  	   	     	 8.21	 528	-0.7	HIZSS008       	-0.4
ESO558-011        	106.736667	-22.040556	10.20	125	 8	 731	 8.40	TF  	57	 65	 9.14	 8.07	 489	-1.3	HIZSS008       	-1.0
UGC03698          	107.328333	+44.380000	12.68	 38	10	 421	 7.24	BS  	62	 16	 7.98	 7.86	 464	-1.4	NGC2337        	-1.1
NGC2337           	107.556667	+44.456944	10.34	147	 9	 433	 7.87	BS  	47	 88	 8.98	 8.60	 476	-1.8	NGC2683        	-1.3
UGC03755          	108.465833	+10.521944	11.66	 34	10	 311	 7.41	TRGB	63	 13	 8.40	 8.25	 186	-2.2	NGC2683        	-1.7
UGC03817          	110.685417	+45.108333	11.89	 35	10	 437	 8.55	BS  	72	 13	 8.43	 8.17	 478	-1.6	NGC2337        	-1.1
HIZSS008          	111.341667	-24.475278	 8.50	136	 7	 800	 7.43	h   	66	 65	 9.87	 8.71	 542	-0.1	HIZSS012       	-0.1
DDO043            	112.071667	+40.770278	13.07	 36	10	 353	 5.73	BS  	53	 17	 7.61	 7.85	 370	-1.6	MESSIER081     	-1.2
NGC2366           	112.227500	+69.205278	 9.14	 99	10	  96	 3.19	TRGB	90	 43	 8.67	 8.61	 251	 1.0	NGC2403        	 1.1
HIZSS012          	112.534583	-22.016944	 9.00	268	 8	 779	 7.20	h   	61	139	 9.71	 9.02	 525	 0.0	HIZSS008       	 0.1
ESO059-001        	112.830417	-68.186111	11.25	 85	 9	 530	 4.57	TRGB	40	 57	 8.15	 7.98	 247	-1.6	CIRCINUS       	-1.1
DDO044            	113.547083	+66.886111	11.37	   	-3	 213	 3.19	TRGB	62	   	 7.78	 6.02	 356	 2.3	NGC2403        	 2.3
AGC174585         	114.042917	 +9.986389	15.39	 21	10	 356	 6.10	h'  	60	  3	 6.73	 6.68	 217	-2.1	NGC2683        	-1.6
HIZSS014          	114.094167	-19.494444	10.82	 56	 9	 786	 7.35	h   	62	 27	 8.91	 7.92	 537	-0.1	HIZSS012       	 0.0
NGC2403           	114.214167	+65.599444	 6.19	240	 6	 125	 3.18	Cep 	57	128	 9.86	 9.26	 262	 0.2	DDO044         	 0.6
LV J0737+4724     	114.368750	+47.409167	15.28	 39	10	 404	15.70	TF  	90	 15	 7.61	 7.76	 451	-1.8	NGC2344        	-1.5
DDO046            	115.357500	+40.112500	12.20	 74	10	 364	 6.85	BS  	22	 86	 8.11	 8.22	 373	-1.4	NGC2683        	-1.1
DDO047            	115.479167	+16.800556	11.00	 55	 8	 270	 8.05	TRGB	32	 44	 8.73	 8.81	 160	 1.0	KK65           	 1.0
KK65              	115.630000	+16.561111	12.53	 33	10	 281	 8.02	TRGB	66	 12	 8.11	 7.70	 170	 1.6	DDO047         	 1.6
HIZSS021          	116.568750	-28.469722	11.13	 85	10	 494	 3.00	h   	57	 44	 7.96	 7.66	 219	-1.8	NGC5128        	-1.2
KKH40             	116.735000	+51.296111	14.00	 27	10	 445	 6.98	h   	50	  8	 7.41	 7.48	 510	-0.2	CGCG 262-028   	-0.2
CGCG 262-028      	116.883750	+51.191389	12.81	   	 9	 454	 7.10	h   	70	   	 7.90	     	 518	-0.7	KKH40          	-0.6
AGC174605         	117.590417	 +7.794444	15.56	 24	10	 351	 6.00	h'  	22	  7	 6.65	 6.75	 196	-2.1	NGC2683        	-1.6
UGC04115          	119.257500	+14.390833	12.13	 78	10	 343	 7.73	TRGB	66	 37	 8.24	 8.34	 215	-1.7	DDO047         	-1.2
HIPASS J0801-21   	120.355833	-21.997500	13.97	 56	10	 730	 6.34	h   	67	 26	 7.36	 7.54	 463	-1.5	HIZSS012       	-1.1
NGC2500           	120.471667	+50.737222	 9.28	102	 7	 514	12.40	mem 	33	 81	 9.80	 8.95	 572	-0.8	NGC2541        	-0.4
LV J0812+4836     	123.164583	+48.612500	14.55	   	 9	 521	12.42	mem 	90	   	 7.69	     	 565	 1.3	NGC2541        	 1.3
NGC2537           	123.311250	+45.990556	 9.13	100	 8	 449	12.20	mem 	29	 91	 9.84	 8.74	 479	 1.9	IC2233         	 1.9
IC2233            	123.495417	+45.742222	10.76	178	 7	 557	12.20	TF  	90	 78	 9.22	 9.12	 586	 2.6	NGC2537        	 2.6
NGC2541           	123.667083	+49.061667	10.09	192	 7	 559	12.40	TF  	59	 99	 9.48	 9.52	 605	 0.3	NGC2552        	 0.5
HolmII            	124.766667	+70.714167	 8.00	 64	 9	 157	 3.39	TRGB	34	 49	 9.18	 8.61	 311	 0.7	MESSIER081     	 1.0
NGC2552           	124.835417	+50.009722	10.00	130	 8	 524	12.40	mem 	43	 83	 9.51	 8.88	 574	 0.3	NGC2541        	 0.3
ESO006-001        	124.847083	-85.145556	12.97	   	 9	 738	 6.70	h   	27	   	 7.81	 6.70	 489	-2.0	CIRCINUS       	-1.4
ESO495-008        	125.252917	-23.781389	13.21	 99	10	 789	17.30	TF  	90	 43	 8.52	 8.26	 512	-0.2	NGC2559        	 0.0
KDG052            	125.983333	+71.029444	13.63	 21	10	 116	 3.55	TRGB	26	  6	 6.96	 7.06	 271	 0.8	MESSIER081     	 1.2
KUG 0821+321      	126.270833	+32.017500	14.27	   	10	 642	 8.15	h   	59	   	 7.43	     	 595	-0.3	NGC2683        	-0.2
CGMW2-3473        	126.303750	-28.140278	11.93	 62	 9	 837	 7.40	TF  	64	 30	 8.31	 7.78	 549	-0.9	ESO495-021     	-0.8
DDO052            	127.118750	+41.856667	12.37	 83	10	 396	10.28	TRGB	72	 38	 8.39	 8.32	 401	-1.2	NGC2841        	-0.9
DDO053            	128.527083	+66.179167	12.77	 30	10	  19	 3.56	TRGB	33	 16	 7.31	 7.62	 150	 0.8	MESSIER081     	 1.0
ESO495-021        	129.063333	-26.409444	 9.00	117	 9	 868	 7.96	h   	45	 72	 9.53	 8.25	 581	-1.2	NGC2784        	-0.9
UGC04483          	129.262500	+69.775278	13.33	 33	10	 156	 3.21	TRGB	64	 12	 7.00	 7.52	 304	 0.6	MESSIER081     	 1.0
ESO496-010        	132.275000	-26.320000	11.90	 61	 9	 814	 7.80	TF  	56	 31	 8.35	 7.68	 524	-0.3	ESO495-021     	-0.2
AGC182595         	132.800417	+27.880000	14.68	 20	 9	 398	 6.10	h'  	64	  3	 7.02	 6.66	 323	-1.1	NGC2683        	-0.9
UMa II            	132.875000	+63.130000	10.35	   	-2	-116	 0.03	TRGB	80	   	 4.18	 2.80	  -3	 3.9	Milky Way      	 3.9
NGC2683           	133.170417	+33.417222	 6.33	428	 3	 411	 7.73	SBF 	90	202	10.60	 8.94	 365	 0.0	KK70           	 0.2
KK69              	133.211250	+33.797778	14.93	 13	10	 462	 7.70	mem 	46	  3	 7.12	 7.51	 418	 3.3	NGC2683        	 3.3
KK70              	133.841667	+33.559167	13.48	   	-3	    	 7.70	mem 	17	   	 7.70	 6.83	    	 2.9	NGC2683        	 2.9
UGC04704          	134.751250	+39.210000	11.91	132	 8	 599	15.20	TF  	90	 57	 8.93	 8.99	 584	-2.3	NGC2964        	-1.8
LSBC D564-08      	135.725000	+20.075278	15.44	 49	10	 483	 8.67	TRGB	51	 26	 7.02	 7.52	 366	-0.3	NGC2903        	-0.2
ESO497-004        	135.762917	-23.808333	12.79	 95	 8	 806	19.00	TF  	79	 42	 8.79	 8.69	 519	-0.9	NGC2613        	-0.7
HIPASS J0905-36   	136.500000	-36.060000	13.38	 70	10	 886	 7.93	h   	47	 42	 7.82	 7.96	 579	-1.3	ESO314-002     	-0.9
UGC04787          	136.895417	+33.276667	11.69	130	 8	 553	20.30	TF  	76	 58	 9.26	 8.83	 504	-1.9	PGC2020885     	-1.5
KKH46             	137.152500	 +5.292222	14.52	 25	10	 598	 5.60	h   	34	  7	 7.01	 7.28	 409	-1.9	NGC2903        	-1.4
LSBC D634-03      	137.222917	+14.581944	15.00	 47	10	 335	 9.55	TRGB	32	 37	 7.28	 6.70	 189	-0.7	NGC2903        	-0.7
KK71              	137.295417	-23.367778	12.90	   	-3	    	 9.80	mem 	48	   	 8.16	 7.03	    	 2.0	NGC2784        	 2.1
DDO056            	137.444167	-23.009167	12.60	 79	10	 724	 9.80	mem 	52	 44	 8.28	 7.86	 438	 1.8	NGC2784        	 1.8
KK72              	137.926250	-23.982222	13.17	   	-3	    	 9.80	mem 	41	   	 8.05	 7.03	    	 3.9	NGC2784        	 3.9
NGC2784 dw01      	138.077083	-24.211111	12.36	   	-3	    	 9.80	mem 	33	   	 8.38	 7.03	    	 5.0	NGC2784        	 5.1
NGC2784           	138.080833	-24.171667	 6.33	   	-2	 687	 9.82	SBF 	90	   	10.80	     	 398	 3.1	KK73           	 3.2
KK73              	138.122083	-24.241111	10.62	   	-3	    	 9.80	mem 	68	   	 9.08	 7.03	    	 4.8	NGC2784        	 4.8
UGCA153           	138.300417	-19.408611	12.36	111	 8	 766	21.90	TF  	54	 59	 9.07	 9.06	 489	-1.7	NGC2613        	-1.4
LV J0913+1937     	138.412500	+19.618889	14.88	 25	10	 445	 4.43	h   	79	  3	 6.66	 6.47	 324	-1.7	MESSIER081     	-1.3
AGC198507         	138.857500	+25.419444	16.12	 37	 9	 502	21.70	TF  	47	 19	 7.54	 7.88	 411	-2.5	NGC3032        	-1.9
UGC04879          	139.009167	+52.840000	11.50	 14	 9	 -25	 1.36	TRGB	66	  3	 6.98	 5.98	  33	-0.7	MESSIER031     	-0.3
HIPASS J0916-23b  	139.241667	-23.279722	13.06	 40	10	 837	10.30	mem 	90	 15	 8.13	 7.51	 550	 1.5	NGC2835        	 1.6
NGC2835           	139.470417	-22.355278	 7.92	194	 5	 885	10.30	TF  	49	113	10.19	 9.34	 600	 0.5	NGC2784        	 0.5
NGC2787           	139.827500	+69.203333	 7.26	358	 1	 700	 7.48	SBF 	55	203	10.19	 8.43	 842	-1.7	NGC2841        	-1.1
LSBC D565-06      	139.872500	+21.603333	14.79	 14	10	 498	 9.08	TRGB	34	  4	 7.32	 6.74	 386	 0.7	NGC2903        	 0.7
UGC04932          	139.892083	+51.109167	13.15	110	 8	 549	20.60	TF  	73	 50	 8.69	 8.72	 597	-1.7	NGC2950        	-1.3
DDO062            	140.364583	-22.500556	11.72	124	 8	 846	18.60	TF  	79	 55	 9.18	 9.33	 560	-1.5	NGC2613        	-1.1
AGC198508         	140.737500	+24.946667	15.30	 29	10	 519	10.40	TF  	65	  9	 7.23	 6.97	 424	-0.8	NGC2903        	-0.7
ESO565-003        	140.791250	-20.167500	12.93	 31	10	 829	 7.52	h   	55	 12	 7.90	 7.32	 549	-1.3	NGC2784        	-1.0
MCG +09-16-010    	140.820833	+51.973056	13.54	   	 8	 484	 7.35	h   	39	   	 7.63	     	 537	-1.1	NGC2841        	-0.8
UGC04998          	141.300417	+68.383056	11.11	 89	 9	 632	 8.24	TRGB	60	 45	 8.71	 7.04	 770	-0.4	NGC2787        	-0.4
LV J0926+3343     	141.539167	+33.717778	15.13	 47	 8	 540	19.70	TF  	79	 20	 7.85	 8.37	 492	-1.5	NGC3003        	-1.1
NGC2915           	141.547917	-76.626389	 9.70	153	 9	 467	 3.78	TRGB	69	 71	 8.63	 8.54	 191	-1.1	CIRCINUS       	-0.7
[CKT2009]d0926+70 	141.616250	+70.506667	15.74	   	10	    	 3.93	TRGB	47	   	 6.24	 5.64	    	 1.3	MESSIER081     	 1.5
UGC05047          	142.206667	+51.560556	13.00	104	 7	 502	19.68	TF  	76	 47	 8.71	 8.12	 552	-1.5	NGC2950        	-1.1
KDG056            	142.553750	+19.991667	14.50	 25	10	 561	 8.90	mem 	41	  4	 7.42	 7.17	 441	 1.7	NGC2903        	 1.7
NGC2903-HI-1      	142.666250	+21.723611	15.73	 24	10	 582	 8.90	mem 	47	  3	 6.92	 6.42	 470	 3.3	NGC2903        	 3.3
NGC2903           	143.040000	+21.500556	 6.04	366	 4	 556	 8.87	BS  	64	189	10.82	 9.44	 443	 1.7	UGC05086       	 1.7
ESO373-007        	143.189167	-33.245556	13.52	 44	10	 862	 8.30	TF  	68	 19	 7.76	 7.69	 556	-1.2	NGC2784        	-0.7
UGC05086          	143.203750	+21.465000	12.13	   	-3	 491	 8.90	mem 	31	   	 8.36	     	 378	 4.1	NGC2903        	 4.1
[CKT2009]d0934+70 	143.515417	+70.215833	14.18	   	-3	    	 3.66	TRGB	37	   	 6.80	     	    	 2.5	MESSIER081     	 2.6
CGCG 035-007      	143.687083	 +6.425556	12.68	 89	 9	 552	13.00	TF  	59	 45	 8.48	 8.17	 366	-1.6	NGC3169        	-1.1
LeoT              	143.722500	+17.051389	14.03	 15	10	  39	 0.42	TRGB	51	  3	 4.94	 5.63	 -97	 0.7	Milky Way      	 0.8
LV J0935-1348     	143.840000	-13.814444	14.08	   	 9	 796	 7.30	h   	47	   	 7.42	 7.10	 533	-1.3	NGC3115        	-1.0
[CKT2009]d0939+71 	144.816250	+71.311667	17.09	   	10	    	 3.63	TRGB	35	   	 5.60	     	    	 2.3	MESSIER081     	 2.5
LV J0939-2507     	144.895833	-25.126389	12.92	 56	10	 741	 6.15	h   	65	 26	 7.73	 6.99	 449	-1.9	NGC3621        	-1.3
KISSB023          	145.052917	+29.591389	13.90	 77	10	 544	19.80	TF  	90	 33	 8.35	 8.28	 474	-1.0	NGC3032        	-0.5
KUG 0937+480      	145.081667	+47.777222	14.59	   	 9	 546	 7.88	h   	90	   	 7.27	     	 575	-0.8	NGC2841        	-0.6
KDG058            	145.112500	 +0.042500	14.62	   	10	    	10.00	txt 	44	   	 7.47	     	    	-0.7	NGC3115        	-0.6
HolmI             	145.134583	+71.186389	11.20	 29	10	 139	 3.84	TRGB	40	 12	 8.01	 8.01	 291	 1.7	MESSIER081     	 1.8
UGC05186          	145.749167	+33.264444	13.87	 34	10	 546	 8.30	TF  	90	 12	 7.61	 7.38	 496	-1.0	NGC2683        	-0.6
LV J0944-2254     	146.083750	-22.916111	14.18	   	 9	 729	 6.05	h   	46	   	 7.22	 6.94	 442	-1.6	LV J0939-2507  	-1.1
[CKT2009]d0944+69 	146.093750	+69.211111	16.52	   	-3	    	 3.98	TRGB	10	   	 5.92	     	    	 1.3	MESSIER081     	 1.5
[CKT2009]d0944+71 	146.143333	+71.482500	12.47	   	-1	    	 3.39	TRGB	60	   	 7.39	 5.49	    	 1.8	MESSIER082     	 2.0
IC0559            	146.182917	 +9.615278	12.52	 67	 9	 541	 9.40	TF  	48	 39	 8.25	 8.00	 370	-1.1	NGC2903        	-0.7
F8D1              	146.208333	+67.475556	11.22	   	-3	-125	 3.77	TRGB	29	   	 7.99	 6.20	   8	 2.2	MESSIER081     	 2.3
UGC05209          	146.267500	+32.238333	13.64	 32	10	 535	 6.56	h   	18	 32	 7.49	 7.15	 479	-1.1	NGC2683        	-0.8
FM1               	146.291667	+68.765000	13.12	   	-3	    	 3.40	TRGB	33	   	 7.14	 6.12	    	 2.1	MESSIER082     	 2.3
RKK1610           	146.353333	-48.141389	12.63	 79	10	 882	14.90	TF  	54	 43	 8.68	 8.67	 566	-2.3	NGC2997        	-1.7
NGC2976           	146.815000	+67.913611	 7.53	 91	 7	   6	 3.56	TRGB	64	 44	 9.42	 8.03	 142	 2.9	MESSIER081     	 3.0
AGC191803         	147.024583	 +7.129167	14.05	 55	 9	 535	14.90	TF  	63	 26	 8.04	 7.97	 352	-1.1	NGC3169        	-0.6
KK77              	147.541667	+67.506667	11.63	   	-3	    	 3.48	TRGB	52	   	 7.76	 6.14	    	 2.2	MESSIER081     	 2.5
KK78              	147.581667	+31.456667	15.25	 20	10	 539	 7.10	mem 	62	  3	 6.92	 7.35	 479	 2.8	DDO064         	 2.8
DDO064            	147.593333	+31.487500	12.45	 84	10	 521	 7.11	BS  	90	 37	 8.04	 8.24	 461	 1.6	KK78           	 1.6
UGC05288          	147.821667	 +7.827222	11.49	 93	 9	 557	 6.85	BS  	60	 47	 8.39	 8.28	 378	-1.5	NGC2903        	-1.1
NGC3037           	147.850000	-27.011111	11.12	 91	 8	 887	 8.10	h   	30	 79	 8.69	 8.31	 591	-1.1	ESO499-037     	-0.7
BK3N              	148.452083	+68.969167	16.11	 15	10	 -40	 4.02	TRGB	41	  4	 6.09	 7.26	 101	 1.2	MESSIER081     	 1.4
LV J0954+3620     	148.710833	+36.333889	15.54	 35	10	 503	15.40	TF  	55	 15	 7.47	 7.20	 470	-1.7	NGC2964        	-1.3
KKSG15            	148.793750	 -6.270000	12.63	 54	10	 791	 9.70	mem 	90	 23	 8.24	 7.77	 554	 0.9	NGC3115        	 0.9
[CKT2009]d0955+70 	148.806667	+70.408056	14.81	   	-3	    	 3.93	TRGB	36	   	 6.60	     	    	 1.5	MESSIER081     	 1.7
MESSIER081        	148.889583	+69.066667	 3.83	423	 3	 -38	 3.63	Cep 	62	226	10.93	 9.44	 104	 2.5	MESSIER082     	 2.6
MESSIER082        	148.974583	+69.682500	 4.67	147	 8	 183	 3.53	TRGB	69	 69	10.57	 8.95	 328	 2.8	MESSIER081     	 2.8
LV J0956-0929     	149.156667	 -9.486389	13.28	   	 9	 627	 5.18	h   	49	   	 7.44	 6.80	 378	-2.0	NGC3115        	-1.4
DDO068            	149.190417	+28.825000	12.82	 74	10	 503	 9.80	TF  	90	 32	 8.17	 8.73	 429	-0.9	NGC2903        	-0.7
