#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:17:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:17:03	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/clusters&-out.max=unlimited&-out=Name,Type,CST,N,Nt,GLON,GLAT,r50pc,rcpc,rtpc,s_pmRA,e_pmRA,s_pmDE,e_pmDE,Plx,s_Plx,e_Plx,dist16,dist50,dist84,X,Y,Z,RV,s_RV,e_RV,n_RV,logAge50,AV50,r50Jpc,rJpc,probJ,NJ,MassJ,e_MassJ,MassTot,e_MassTot,CMDCl50	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_clusters:
#Name: J/A+A/686/A42/clusters
#Title: Main catalogue (table 1)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id;meta.main]
#Column	Type	(A1)	[omgdr] Estimated type of object (1)	[ucd=src.class]
#Column	CST	(F11.8)	[3/99] Astrometric SNR (cluster significance test) (2)	[ucd=stat.snr]
#Column	N	(I6)	[10/153797] Number of member stars	[ucd=meta.number]
#Column	Nt	(I5)	[10/53464] Number of stars within tidal radius	[ucd=meta.number]
#Column	GLON	(F12.8)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(E10.3)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	r50pc	(F13.8)	Radius containing 50% of members in parsecs	[ucd=phys.size.radius]
#Column	rcpc	(F13.8)	Core radius in parsecs	[ucd=phys.size.radius]
#Column	rtpc	(F13.8)	Tidal radius in parsecs	[ucd=phys.size.radius]
#Column	s_pmRA	(F11.8)	Standard deviation of pmra	[ucd=stat.stdev]
#Column	e_pmRA	(F11.8)	Standard error of pmra	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	s_pmDE	(F11.8)	Standard deviation of pmdec	[ucd=stat.stdev]
#Column	e_pmDE	(F11.8)	Standard error of pmdec	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F12.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	s_Plx	(F11.8)	Standard deviation of parallax	[ucd=stat.stdev;pos.parallax]
#Column	e_Plx	(F11.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	dist16	(F15.8)	16th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	dist50	(F15.8)	50th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	dist84	(F16.8)	84th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	X	(F16.8)	X coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.x;pos.galactic;pos.heliocentric]
#Column	Y	(F16.8)	Y coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.y;pos.galactic;pos.heliocentric]
#Column	Z	(F16.8)	Z coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.z;pos.galactic;pos.heliocentric]
#Column	RV	(F13.8)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F13.8)	? Standard deviation of radial velocity	[ucd=stat.stdev;spect.dopplerVeloc]
#Column	e_RV	(F13.8)	? Standard error of radial velocity	[ucd=stat.error]
#Column	n_RV	(I4)	Number of member stars with a radial velocity	[ucd=meta.note]
#Column	logAge50	(F11.8)	? 50th percentile of logarithm of cluster age	[ucd=time.age]
#Column	AV50	(F11.8)	? 50th percentile of V-band cluster extinction	[ucd=phys.absorption]
#Column	r50Jpc	(F12.8)	? Radius containing 50% of members within the Jacobi radius in parsecs	[ucd=phys.size.radius]
#Column	rJpc	(F13.8)	? Jacobi radius in parsecs	[ucd=phys.size.radius]
#Column	probJ	(E10.3)	? Probability of the cluster having a valid Jacobi radius	[ucd=stat.fit.goodness]
#Column	NJ	(I4)	[9/4171]? Number of stars within best-fit Jacobi radius	[ucd=meta.number]
#Column	MassJ	(F15.8)	? Cluster mass within the Jacobi radius	[ucd=phys.mass]
#Column	e_MassJ	(F15.8)	? Error on cluster mass within the Jacobi radius	[ucd=stat.error]
#Column	MassTot	(F15.8)	? Total observed cluster mass	[ucd=phys.mass]
#Column	e_MassTot	(F15.8)	? Error on total observed cluster mass	[ucd=stat.error]
#Column	CMDCl50	(F11.8)	[0/1] 50th percentile of CMD class	[ucd=meta.code]
Name	Type	CST	N	Nt	GLON	GLAT	r50pc	rcpc	rtpc	s_pmRA	e_pmRA	s_pmDE	e_pmDE	Plx	s_Plx	e_Plx	dist16	dist50	dist84	X	Y	Z	RV	s_RV	e_RV	n_RV	logAge50	AV50	r50Jpc	rJpc	probJ	NJ	MassJ	e_MassJ	MassTot	e_MassTot	CMDCl50
HSC_320             	o	 6.97074685	    52	   37	 32.59701846	-3.037e-01	   2.12943851	   4.78139986	   5.34959399	 0.08373994	 0.01376676	 0.08515263	 0.01399901	  0.23887091	 0.03835000	 0.00630470	  3348.76647469	  3430.18388471	   3515.65889281	  -5232.20545394	   1847.90385692	     -4.77796360	  45.28157375	   2.57740885	   1.05222276	   6	 8.19157171	 5.09863615	  3.54689565	  13.69643011	 1.000e+00	  51	  2021.44774800	   485.61244630	  2065.20202433	   488.51033567	 0.19126049
HSC_321             	o	 7.97300676	    41	   39	 32.59778298	 7.456e-01	   2.00887113	   1.97263896	   7.45113633	 0.08628153	 0.01381610	 0.11351744	 0.01817734	  0.43306577	 0.05473197	 0.00876413	  2020.03771810	  2057.45540992	   2096.28545877	  -6388.70509807	   1108.33430529	     43.13702099	 -70.65108033	  10.54983434	   7.45985940	   1	 7.40389156	 6.28954935	  2.27425253	  12.17808773	 1.000e+00	  41	  1065.54078246	   175.25017991	  1065.54078246	   175.25017991	 0.30179481
HSC_322             	m	 4.29224590	    13	   13	 32.60088385	 2.825e+01	   7.56030553	  15.79688007	  15.79688007	 0.47005353	 0.13036939	 0.52527626	 0.14568542	  1.92308186	 0.02932705	 0.00813386	   503.73009953	   507.14714377	    510.61086355	  -7745.02069810	    240.68643442	    259.91284322	  39.08548259	   7.06058526	   2.03821540	   1	 9.47575283	 0.75422728	  6.01705388	   9.41430226	 0.000e+00	  10	    16.90675451	     3.17131492	    23.19841256	     4.91194852	 0.02666770
HSC_323             	o	 4.58214320	    39	   34	 33.59574607	-7.736e-01	   2.39109252	   4.54737328	   4.54737328	 0.08294387	 0.01422476	 0.08984215	 0.01540780	  0.31708789	 0.03052181	 0.00523445	  2772.37680890	  2823.64321812	   2876.84137161	  -5770.30315727	   1562.26112769	    -23.34092141	  42.92405689	  35.22717519	  20.33841908	   3	 7.83410859	 4.54737663	  2.79431256	  10.16435385	 1.000e+00	  39	   721.13663768	   210.05803224	   721.13663768	   210.05803224	 0.17386910
HSC_324             	o	 3.91965639	    25	   20	 33.63647091	-2.046e+00	   2.54812286	   5.42927641	   5.42927641	 0.09914866	 0.02217031	 0.11866742	 0.02653484	  0.30811493	 0.02301334	 0.00514594	  2780.46657405	  2870.33130255	   2966.19890319	  -5734.01710822	   1588.92292110	    -87.78474809	  35.33409970	  13.71089622	   7.91598962	   3	 9.00878048	 3.44697714	  3.16850354	   9.53179837	 1.000e+00	  24	   602.72286433	    88.31633018	   616.86354916	    96.91434758	 0.08896783
HSC_325             	m	 3.58761170	    28	   19	 33.68678167	 1.845e+01	  10.23080560	  15.84691585	  15.84691585	 0.22414720	 0.05142289	 0.42129641	 0.09665203	  0.24202076	 0.01702189	 0.00390509	  3441.73024720	  3722.72159829	   4053.67350733	  -5180.64757397	   1958.63039582	   1191.70804736	             	             	             	   0	 9.87338543	 0.37132964	  4.22171080	  10.36750287	 0.000e+00	  10	    93.72409449	    28.79318898	   218.27406822	    21.55625529	 0.04284757
HSC_327             	o	 3.61052786	    18	   17	 33.83763210	 5.144e-01	   1.91284488	   2.42668755	   6.00405333	 0.07336493	 0.01779361	 0.14218775	 0.03448559	  0.69298631	 0.03968348	 0.00962466	  1336.88561909	  1352.14972299	   1367.76641327	  -6998.86940518	    752.90138440	     30.06669747	  21.32224980	  18.16897748	   6.86722800	   1	 6.87613368	 4.17588997	  1.96764105	   8.48636683	 1.000e+00	  18	   307.20401157	    50.66770067	   307.20401157	    50.66770067	 0.97764838
HSC_328             	m	 4.30144651	    21	   10	 33.85926347	-6.393e+01	   4.20971801	   6.15958103	   6.15958103	 0.53608973	 0.16952646	 0.30281747	 0.09575929	  0.39907689	 0.05620563	 0.01777378	  2108.05428753	  2196.73577468	   2293.20622102	  -7325.25384907	    537.94353063	  -1954.42222364	             	             	             	   0	 9.51669407	 1.43965077	  4.20971818	   6.37745380	 1.232e-03	  10	    49.83736233	    20.10020764	    79.37596290	    26.90340175	 0.25309254
HSC_329             	o	 8.02041647	    41	   40	 33.87950354	-6.726e+00	   3.97021440	   6.27140738	  11.18978237	 0.13925521	 0.02201818	 0.10495394	 0.01659467	  0.57828826	 0.03028513	 0.00478850	  1583.21157930	  1596.77639586	   1610.57566549	  -6805.91688622	    883.99283835	   -169.58608623	 -15.98700236	  15.93012258	  11.26429770	   2	 8.42086935	 1.47460467	  2.86195826	   5.90276493	 1.000e+00	  29	   109.22645482	    27.03592733	   202.39073996	    26.48031151	 0.94457865
HSC_330             	o	 6.84396985	    36	   33	 34.48586110	-9.785e+00	   4.41713617	   9.76157882	   9.76157882	 0.16410644	 0.02856726	 0.15139684	 0.02635481	  1.22878918	 0.03425868	 0.00596367	   783.75581615	   786.44775560	    789.15825061	  -7483.50540477	    438.81068710	   -114.49196392	 -23.26572083	  32.00967315	  10.12234743	  10	 7.66857362	 1.04482394	  2.48544907	   4.80500263	 1.000e+00	  18	    49.72303535	    10.25498872	   111.53545244	    15.10148087	 0.99608046
HSC_331             	d	 3.51506092	    12	   12	 34.99639899	-3.929e+00	 331.11273175	 511.66194385	 511.66194385	 0.17356239	 0.05010315	 0.19836852	 0.05726406	 -0.71745107	 0.01956021	 0.00564655	 28540.30626910	 78352.26619786	 417646.96542449	  55898.47090014	  44831.28898720	  -5512.36022160	             	             	             	   0	           	           	            	             	          	    	               	               	               	               	 0.02078581
HSC_332             	o	 3.22913827	    27	   25	 35.01788132	-3.858e+00	   4.36392866	   7.53445727	   7.53445727	 0.07360203	 0.01472041	 0.15482610	 0.03096522	  0.46657561	 0.02852199	 0.00570440	  1965.17385426	  2073.58779372	   2194.66204772	  -6427.97061931	   1187.19349268	   -123.04937613	             	             	             	   0	 9.84337950	 1.36678040	  3.24458044	   6.47519254	 1.000e+00	  22	   184.52010964	    46.60059924	    94.90650859	    31.16370933	 0.32962945
HSC_333             	m	 3.04057293	    12	   11	 35.18416223	 2.273e+01	   2.48750788	   3.35326508	   7.55504024	 0.21206761	 0.06394079	 0.25444823	 0.07671903	  0.55067554	 0.03014235	 0.00908826	  1680.44310474	  1716.17970580	   1753.46929478	  -6826.54862286	    912.08923277	    680.52778372	 -29.95991487	   2.95796370	   2.95796370	   1	 9.79310369	 0.26631482	  2.40004093	   7.22862273	 0.000e+00	  10	    38.63806440	    10.09906589	    29.65841656	     9.28922592	 0.28080839
HSC_334             	m	 3.17616407	    18	   10	 35.22106706	 2.885e+01	   4.97578950	   9.57029793	   9.57029793	 0.30470402	 0.09635587	 0.35349845	 0.11178602	  1.42806353	 0.01729491	 0.00546913	   681.28486385	   685.55619130	    689.88141497	  -7630.56771532	    346.32152901	    350.29837075	 -28.49321048	   1.85478183	   1.31152881	   2	 9.57002974	 0.35804443	  4.97578987	   9.59198569	 0.000e+00	  10	    43.83596088	     9.56602884	    31.42175159	     8.83779854	 0.99463600
HSC_336             	o	 5.20250898	    23	   18	 35.73266352	 5.301e-02	   1.91779989	   4.08695414	   4.08695414	 0.11381176	 0.02682569	 0.12847788	 0.03028253	  0.84810283	 0.05294808	 0.01247998	  1080.82763962	  1090.94862724	   1101.26095464	  -7236.39512708	    637.11734487	     19.54354683	   3.70114466	  20.10642211	  11.60844822	   3	 7.35762548	 3.97353923	  2.95816860	   7.10753412	 1.000e+00	  22	   170.17089771	    24.52732678	   168.41005320	    25.33869263	 0.92679378
HSC_337             	m	 3.19545214	    14	   14	 35.78470563	-2.085e+01	  10.24948107	  18.12842881	  18.12842881	 0.17933325	 0.04792883	 0.35707520	 0.09543236	  0.17363416	 0.03117549	 0.00833200	  4317.82667268	  4750.85512127	   5280.42070073	  -4524.58142718	   2596.18626842	  -1678.96836085	             	             	             	   0	 9.73544216	 0.14849743	  8.96778492	  12.45185009	 0.000e+00	  10	   186.51001716	    18.83433938	   215.03559648	    17.85941161	 0.53519821
HSC_338             	o	20.80457915	  1212	 1022	 35.86883078	 6.325e-01	   9.00995397	  10.14301670	  30.40950158	 0.49596531	 0.01551407	 0.69063757	 0.02160353	  0.42926114	 0.12231956	 0.00382622	  1820.98324157	  1827.80658401	   1834.68125378	  -6640.83355035	   1070.90297602	     37.18812464	  49.02639474	  79.32942509	  11.69648562	  46	 8.07625198	 4.37191701	  6.78982429	  20.05922185	 1.000e+00	 784	  4534.92258212	   648.03294497	  8888.75440567	   808.21606567	 0.15344171
HSC_339             	o	 6.30323470	    15	   15	 36.02780283	 2.721e+00	   2.00771826	   4.77417663	   4.77417663	 0.10921846	 0.02820009	 0.11145502	 0.02877756	  0.32589712	 0.01687671	 0.00435755	  2424.71996176	  2550.51347101	   2690.07341194	  -6061.31287937	   1498.46221915	    136.59422236	  49.45462481	   5.61217579	   3.96840756	   2	 8.45392656	 5.97725749	  2.00771826	  11.62364341	 1.000e+00	  15	   994.73733551	   283.55225964	   994.73733551	   283.55225964	 0.97160316
HSC_340             	o	 3.36424059	    11	   10	 36.19891732	-1.281e+00	   1.20157164	   1.41406716	   3.94201312	 0.07667567	 0.02424698	 0.10633206	 0.03362515	  0.45900122	 0.01870421	 0.00591479	  1865.14014870	  1949.78572983	   2042.47949548	  -6549.06112949	   1151.23535760	    -26.83023735	             	             	             	   0	 9.51466179	 5.30299520	  1.28277217	  20.86108723	 1.000e+00	  11	  5102.96705797	   705.87183470	  5102.96705797	   705.87183470	 0.31147395
HSC_341             	d	 4.32458144	    22	   21	 36.58128257	-7.837e+01	  50.01822054	 110.66668146	 110.66668146	 1.19475345	 0.26071658	 0.47184551	 0.10296513	  0.03568693	 0.07191744	 0.01569367	 12233.97724282	 15153.14955844	  19902.11705622	  -5706.55739265	   1820.83970103	 -14827.37328828	 -24.18240366	  17.05297508	   7.62632230	   1	           	           	            	             	          	    	               	               	               	               	 0.07125521
HSC_343             	m	 4.44187528	    16	   16	 36.87802375	-2.579e+00	  11.42589772	  19.71818850	  19.71818850	 0.14135934	 0.03533983	 0.10493623	 0.02623406	  1.59652082	 0.02402935	 0.00600734	   608.72337233	   611.18846604	    613.67360627	  -7633.64159163	    366.41040445	     -7.95473086	  -1.61963436	  16.44877742	   5.81552103	   8	 8.12469769	 1.15962821	  8.68672887	  13.74297987	 0.000e+00	  10	    39.17436440	     2.55980437	    57.47839642	     7.79389213	 0.88973224
HSC_344             	d	 3.86763287	    18	   18	 36.99078862	-5.341e+00	 318.61974959	 475.54914114	 475.54914114	 0.13818852	 0.03257135	 0.20945768	 0.04936965	 -0.44877982	 0.02993534	 0.00705583	 42639.04118303	116852.16292731	 620163.82849698	  84778.27101863	  70003.02422461	 -11094.46758353	             	             	             	   0	           	           	            	             	          	    	               	               	               	               	 0.96006778
HSC_345             	o	 3.73769112	    28	   21	 37.51555991	 2.419e+00	   1.18508066	   0.62935143	   7.71567899	 0.12211363	 0.02664738	 0.14385195	 0.03139107	  0.31779836	 0.04165544	 0.00908996	  2852.42268079	  2941.01663679	   3035.29031452	  -5790.96167110	   1789.41243121	    138.97989070	  42.66473351	   0.00000000	   0.63498150	   1	 7.72476554	 5.71261382	  1.18508066	   9.13138283	 9.980e-01	  21	   510.30194542	   220.05281511	   505.55660125	   217.96365927	 0.93900457
HSC_346             	o	 3.68205195	    15	   14	 37.65573097	-1.758e+00	   2.13982607	   4.72225988	   4.72225988	 0.06761112	 0.01806983	 0.10606668	 0.02834751	  0.48721987	 0.01967865	 0.00525934	  1811.90977196	  1961.82780144	   2138.79219342	  -6569.69205952	   1197.94528460	    -43.37291329	             	             	             	   0	 9.72961569	 1.93748134	  2.29875793	   8.04403056	 1.000e+00	  15	   290.14679168	    64.61388735	   290.14679168	    64.61388735	 0.90838990
HSC_347             	o	 3.38081611	    44	   15	 37.68922167	 1.116e+00	   1.23216112	   2.47535800	   3.18849787	 0.17295166	 0.04465593	 0.29658517	 0.07657796	  0.47472723	 0.05478813	 0.01414623	  1779.93086821	  1822.29138018	   1866.71731985	  -6680.11048285	   1113.89631526	     52.61664637	             	             	             	   0	 8.05063772	 6.05419540	  4.30688945	   8.84880990	 1.000e+00	  38	   535.61994192	   177.38497875	   592.83726150	   171.59939714	 0.42130497
HSC_348             	o	 4.00070154	    52	   25	 37.75281421	-5.756e+00	   2.64833222	   4.34729235	   4.34729235	 0.36892607	 0.07378521	 0.31333085	 0.06266617	  0.86789994	 0.02274216	 0.00454843	  1089.81395612	  1104.38223914	   1119.34528753	  -7253.47108340	    672.75514352	    -92.17978540	 -24.09633934	  15.75823468	   5.57137730	   1	 8.99931860	 1.59161413	  3.50985079	   5.38420724	 1.000e+00	  33	    73.68705880	    20.42844929	    89.04072127	    19.93272782	 0.20979178
HSC_349             	o	 3.20258211	    30	   24	 38.09874329	 6.275e+00	   5.34026865	  10.39336090	  13.95258322	 0.11129861	 0.02271873	 0.11200693	 0.02286332	  0.33107937	 0.02371484	 0.00484077	  2757.39838520	  2815.05017717	   2875.16422181	  -5919.16320245	   1726.53021941	    322.84020305	   0.11030707	  34.59950592	  19.97603406	   3	 9.17463350	 1.42050248	  3.71409117	   6.37978042	 9.916e-01	  15	   168.12392004	    23.34017772	   183.32153896	    70.59561408	 0.04438613
HSC_350             	o	10.10807551	    46	   45	 38.20833328	 7.690e-01	   3.81234942	   9.16054055	   9.16054055	 0.19863473	 0.02961072	 0.26221959	 0.03908939	  0.84214169	 0.07918260	 0.01180385	  1122.43874974	  1130.39117380	   1138.45708700	  -7233.79277274	    699.10876787	     33.69845078	  24.98345645	  74.88104687	  28.30237542	   7	 8.19993830	 5.04895902	  3.69339918	   8.34989259	 1.000e+00	  43	   275.68519100	    66.58540436	   327.00841881	    63.69353745	 0.21752705
HSC_351             	o	 7.22419739	    33	   32	 38.39505464	 4.899e-01	   5.65919132	  12.45402517	  12.45402517	 0.11003653	 0.01945189	 0.20550769	 0.03632897	  0.72563626	 0.03067514	 0.00542265	  1295.40655597	  1306.53944243	   1317.86534252	  -7097.98834175	    811.43506541	     29.35097120	             	             	             	   0	 6.63635826	 4.88142562	  4.21931783	   8.77577150	 1.000e+00	  24	   334.67008637	    47.73156186	   361.27404276	    69.36657702	 0.97652161
HSC_353             	o	 5.30726339	    27	   27	 38.51520564	-7.728e-01	   3.44703186	   7.53294999	   8.71804808	 0.08578136	 0.01650863	 0.13260495	 0.02551983	  0.37970142	 0.02727596	 0.00524926	  2273.99446466	  2331.05060082	   2391.04358248	  -6298.31033080	   1451.46351848	    -15.30667133	  17.74878679	  14.92894627	   7.46447313	   4	 7.74240661	 6.36105680	  3.44703186	  10.12592989	 9.999e-01	  27	   616.32459201	   229.43682416	   616.32459201	   229.43682416	 0.35400057
HSC_354             	m	 3.69772469	    12	   12	 39.29127857	-3.955e+00	   3.59411029	   7.87952793	   7.87952793	 0.07047964	 0.02034572	 0.09437911	 0.02724490	  0.36959783	 0.01440302	 0.00415779	  2266.90268628	  2490.57699109	   2763.22300664	  -6199.45884916	   1573.43342196	   -155.88884308	             	             	             	   0	 9.72942209	 2.13650775	  3.31370588	   6.60606887	 2.301e-01	  10	   143.12031011	    43.31888324	   162.52808611	    54.33722644	 0.81940910
HSC_355             	o	 3.19484761	    32	   28	 39.32241197	 1.264e+01	   6.73752116	  11.02946737	  11.02946737	 0.16001424	 0.03023985	 0.20029976	 0.03785310	  0.32450235	 0.01936621	 0.00365987	  2712.51541034	  2870.40680270	   3047.81550297	  -5953.68167242	   1774.82736526	    643.48303937	             	             	             	   0	 9.84770632	 0.47249120	  3.08954178	   5.92905822	 9.728e-01	  12	   132.83783892	    26.75054726	   257.86928437	    51.79331798	 0.03393784
HSC_356             	m	 3.57257306	    23	   19	 39.68407597	-3.703e+01	   9.38656555	  18.51844635	  18.51844635	 0.46235530	 0.10607158	 0.28947312	 0.06640969	  2.86428715	 0.04977148	 0.01141836	   345.15047427	   346.07971518	    347.01397314	  -7909.88633581	    176.42167634	   -188.16328134	  -8.54825355	   3.97453660	   1.77746680	   5	 9.59042788	 0.26050757	  5.98809964	   9.67439173	 0.000e+00	  11	     8.37976091	     2.87420114	    22.46908289	     4.08888781	 0.11978407
HSC_357             	d	 3.95329343	    24	   16	 39.78218793	-7.081e+00	 105.75526218	 182.84226349	 182.84226349	 0.10980114	 0.02745029	 0.16613005	 0.04153251	 -0.01870921	 0.01664873	 0.00416218	 28470.54897143	 57339.29652152	 195081.02154544	  35587.93948426	  36409.83662467	  -7159.88528482	             	             	             	   0	           	           	            	             	          	    	               	               	               	               	 0.65078932
HSC_358             	o	15.94105691	  1277	 1093	 40.38095125	 2.113e-01	  11.30840173	  24.64146424	  24.64146424	 0.45651656	 0.01380850	 0.76697355	 0.02319906	  0.25243555	 0.11091975	 0.00335505	  2974.39521480	  3005.87390630	   3038.02601685	  -5832.23054982	   1947.39016991	     26.02512206	  39.88284286	  37.12097893	   7.28002292	  26	 8.36550283	 6.37173128	 12.54869969	  35.52980141	 1.000e+00	1238	 29367.68695075	  1394.10418786	 30314.12911369	  1386.23900448	 0.11538786
HSC_359             	o	 3.27713287	    91	   42	 40.98459506	 2.487e+00	   9.19922632	  15.67409085	  15.67409085	 0.31606022	 0.04876915	 0.28433874	 0.04387442	  0.05658727	 0.05021783	 0.00774878	  6246.57432007	  7404.83419225	   9090.40657440	  -2536.62485102	   4851.92524718	    327.83871973	             	             	             	   0	 9.43667603	 5.51179147	 14.25027066	  24.30915092	 1.000e+00	  78	 11361.28746865	  3616.74464733	 12749.61165819	  3877.93785958	 0.99969575
HSC_361             	o	 8.54651451	    47	   39	 41.15823035	-1.976e+00	   2.02842614	   4.86012205	   4.86012205	 0.08096499	 0.01296477	 0.10071758	 0.01612772	  0.74517400	 0.03736319	 0.00598290	  1265.01215420	  1271.53601725	   1278.12751825	  -7165.32424364	    836.35121070	    -25.49202914	 -25.59969202	  21.62463874	  12.48499100	   1	 7.87862897	 1.43480211	  2.67471354	   7.53445021	 1.000e+00	  45	   204.91820823	    29.45230477	   208.98809192	    30.29775686	 0.97260869
HSC_363             	o	 3.02509734	    14	   11	 41.19394305	 2.633e+00	   3.05714881	   7.03459675	   7.03459675	 0.08272908	 0.02494376	 0.19641796	 0.05922224	  0.36165358	 0.01782960	 0.00537583	  2174.25169231	  2479.74078530	   2885.10729019	  -6257.68995402	   1631.45556690	    129.95335484	             	             	             	   0	 9.02521753	 6.63300538	  4.22015318	  10.79539246	 9.972e-01	  14	   745.77935982	   192.52893013	   745.77935982	   192.52893013	 0.99909356
HSC_365             	o	 4.17120611	    21	   18	 41.53294288	-1.549e+00	   1.95944051	   3.49986038	   3.49986038	 0.06507917	 0.01533931	 0.09849288	 0.02321500	  0.58137196	 0.04096018	 0.00965441	  1552.77365808	  1573.40756480	   1594.59724080	  -6944.70227704	   1042.86671807	    -24.73192412	             	             	             	   0	 7.62977743	 3.42725432	  2.58594953	   7.39192199	 1.000e+00	  21	   203.97830410	    23.04609542	   203.97830410	    23.04609542	 0.87671089
HSC_366             	o	 3.17659518	    16	   10	 41.54101940	-3.311e+00	   4.88070497	   9.97226447	   9.97226447	 0.06291494	 0.01989545	 0.13449733	 0.04253179	  0.18335869	 0.01758578	 0.00556111	  4008.01278497	  4369.59024393	   4802.87513612	  -4857.52999282	   2892.88127532	   -239.90345086	  28.01911356	  11.88291275	   3.58283300	   1	 9.45634699	 3.84818447	  7.76962780	  15.69636013	 1.000e+00	  16	  2930.30198409	   640.00931703	  2930.30198409	   640.00931703	 0.56457490
HSC_368             	o	 3.03957153	    18	   16	 41.92907030	-4.376e+00	   5.37763265	   8.43877639	   8.43877639	 0.14606793	 0.03651698	 0.16982532	 0.04245633	  0.42001727	 0.01746188	 0.00436547	  2075.73718035	  2179.79804505	   2294.84313011	  -6505.41997105	   1452.31618428	   -149.64746686	             	             	             	   0	 9.48242760	 2.76441014	  4.53780655	   6.46765739	 9.776e-01	  13	   151.60596949	    46.09480765	   114.19544050	    34.68363212	 0.87376434
HSC_369             	m	 3.40532547	    11	   11	 42.83764094	 3.941e+01	   4.69233233	   8.48281787	   8.48281787	 0.40209457	 0.12123608	 0.29114196	 0.08778260	  0.54952054	 0.03926481	 0.01183878	  1692.38219651	  1750.89203892	   1813.59241880	  -7127.17292952	    919.77153448	   1129.86056987	             	             	             	   0	 9.66740036	 0.25117981	  4.66409554	   7.36891249	 0.000e+00	  10	    35.27902466	     5.32158855	    35.08119496	     6.28904080	 0.30183034
HSC_370             	o	 7.12970728	    88	   70	 42.99407224	-8.704e-01	   4.19797628	   9.16842246	  10.61910919	 0.15599509	 0.01864498	 0.19101248	 0.02283036	  0.32906970	 0.03770394	 0.00450648	  2798.93672032	  2840.04595644	   2882.38077271	  -6045.04999026	   1936.46643188	    -27.65702938	  33.20309723	  11.05457885	   7.81676767	   2	 7.82214379	 4.53626060	  4.79019904	  11.76420386	 1.000e+00	  75	  1013.13541560	    91.49425422	  1184.78628929	   131.58826702	 0.19747469
HSC_371             	m	 3.00004920	    12	   12	 43.24535177	-5.961e+00	   5.59960322	  10.06291740	  10.06291740	 0.12155975	 0.03509128	 0.13791055	 0.03981135	  0.37981356	 0.02134605	 0.00616207	  2276.01244690	  2395.34504278	   2527.88337101	  -6387.21447618	   1632.23443013	   -232.38023786	             	             	             	   0	 9.41606712	 1.06970036	  4.18475279	   8.33494169	 0.000e+00	  10	   179.84625516	    21.85752119	    74.93432455	    26.36731727	 0.02908687
HSC_373             	o	 3.18177659	    18	   11	 43.57992327	 1.067e+00	   2.81192207	   4.61603730	   4.61603730	 0.07166297	 0.02160720	 0.09476421	 0.02857248	  0.25244061	 0.01425417	 0.00429779	  3033.70088559	  3184.48407845	   3351.03988342	  -5815.34384474	   2194.89149541	     74.18932842	             	             	             	   0	 9.08784056	 5.54476690	  4.01965642	  13.44368884	 9.989e-01	  18	  1552.47663835	   542.04768039	  1552.47663835	   542.04768039	 0.60695130
