#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:02:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:02:28	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/842/133&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18420133
#Name: J/ApJ/842/133
#Title: HI-bearing ultra-diffuse ALFALFA galaxies (Leisman+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/842/133	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/842/133	    IVOID of underlying data collection
#INFO	creator=Leisman L.	    First author or institution
#INFO	cites=bibcode:2017ApJ...842..133L	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/842/133	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18420133	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_842_133_table1:
#Name: J/ApJ/842/133/table1
#Title: Properties of HI-bearing ultra-diffuse ALFALFA sources (HUDS)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	AGC	(I6)	[102791/749488] Arecibo General Catalog ID	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I4)	[1796/8416] Recessional velocity	[ucd=phys.veloc]
#Column	W50	(I3)	[19/215] Width of the HI line measured at the 50% flux level, corrected for channel broadening	[ucd=spect.line.width;em.line.HI]
#Column	e_W50	(I2)	[2/59] W50 error	[ucd=stat.error]
#Column	SdV	(F5.2)	[0.3/3.5] HI line flux density	[ucd=phot.flux]
#Column	e_SdV	(F5.2)	[0.02/0.1] Flux density error	[ucd=stat.error]
#Column	Dist	(I3)	[28/120] Distance from ALFALFA flow model (1)	[ucd=pos.distance;pos.heliocentric]
#Column	logMHI	(F5.2)	[7.9/9.5] HI mass	[ucd=phys.mass]
#Column	e_logMHI	(F5.2)	[0.05/0.2] HI mass error (1)	[ucd=stat.error]
#Column	mug0	(F5.2)	[23/25.4] g-band central surface brightness (2)	[ucd=phot.mag.sb]
#Column	e_mug0	(F5.2)	[0.1/0.4] g-band central SB error	[ucd=stat.error]
#Column	rh	(F4.1)	[1.6/8] Half light radius	[ucd=phys]
#Column	e_rh	(F4.1)	[0.2/3.3] Half light radius error (1)	[ucd=stat.error]
#Column	gMAG	(F5.1)	[-17.1/-13.9] g-band absolute magnitude (3)	[ucd=phys.magAbs]
#Column	e_gMAG	(F4.1)	[0.3/1.1] gMAG error (1)	[ucd=stat.error]
#Column	g-r	(F5.2)	[-0.2/0.9] g minus r color index (2)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_g-r	(F5.2)	[0.1/2] g-r color error	[ucd=stat.error;phot.color;em.opt.B]
#Column	Ag	(F5.2)	[0.05/0.8] g band galactic extinction (4)	[ucd=phys.absorption.gal]
#Column	Ar	(F5.2)	[0.03/0.6] r band galactic extinction (4)	[ucd=phys.absorption.gal]
#Column	Set	(A1)	Broad (B) or Restrictive (R) Sample	[ucd=meta.code]
#Column	H11	(I3)	Display ALFALFA data from Haynes+, 2011, J/AJ/142/170 within 30"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	AGC	RAJ2000	DEJ2000	cz	W50	e_W50	SdV	e_SdV	Dist	logMHI	e_logMHI	mug0	e_mug0	rh	e_rh	gMAG	e_gMAG	g-r	e_g-r	Ag	Ar	Set	H11	Sloan	Simbad	NED
      81	238636	208.4754	+09.5044	4872	 45	 5	 0.66	 0.05	 72	 8.90	 0.07	23.27	 0.14	 1.8	 0.2	-15.4	 0.4	 0.14	 0.23	 0.11	 0.08	B	  1	Sloan	Simbad	NED
      82	243835	210.5338	+11.1175	6036	 58	 4	 0.88	 0.05	 90	 9.22	 0.05	24.35	 0.15	 5.8	 1.1	-16.9	 0.6	 0.70	 0.21	 0.08	 0.06	B	  0	Sloan	Simbad	NED
      83	249569	213.7571	+21.1975	4665	 28	 7	 0.50	 0.04	 70	 8.76	 0.07	23.57	 0.13	 2.3	 0.3	-15.7	 0.4	 0.45	 0.19	 0.10	 0.07	B	  0	Sloan	Simbad	NED
      84	248937	216.4779	+12.9189	8041	 40	 5	 0.61	 0.05	118	 9.30	 0.05	23.81	 0.14	 3.9	 0.6	-16.6	 0.4	 0.26	 0.20	 0.10	 0.07	B	  0	Sloan	Simbad	NED
      85	248981	220.5275	+12.4928	5691	 66	 6	 0.54	 0.05	 84	 8.95	 0.07	23.80	 0.14	 2.4	 0.4	-15.6	 0.5	 0.34	 0.20	 0.10	 0.07	B	  0	Sloan	Simbad	NED
      86	249542	224.9542	+19.3833	6454	 65	 4	 1.05	 0.06	 95	 9.35	 0.05	24.01	 0.13	 3.7	 0.6	-16.3	 0.4	 0.11	 0.20	 0.12	 0.09	B	  0	Sloan	Simbad	NED
      87	749343	226.9908	+25.8253	6606	 38	11	 0.61	 0.05	 96	 9.13	 0.06	23.57	 0.13	 3.3	 0.4	-16.5	 0.4	 0.41	 0.18	 0.16	 0.12	B	  1	Sloan	Simbad	NED
      88	258576	238.3838	+00.3947	5414	118	 5	 1.42	 0.08	 79	 9.32	 0.06	23.73	 0.14	 3.0	 0.4	-16.1	 0.4	 0.42	 0.20	 0.34	 0.24	B	  0	Sloan	Simbad	NED
      89	749368	248.1012	+25.8003	4188	 51	 3	 1.30	 0.06	 65	 9.11	 0.07	23.70	 0.14	 2.2	 0.3	-15.5	 0.4	 0.07	 0.19	 0.13	 0.10	B	  1	Sloan	Simbad	NED
      90	748765	350.9312	+14.4278	3472	 32	 3	 0.72	 0.04	 50	 8.63	 0.09	23.62	 0.12	 2.0	 0.3	-15.4	 0.4	 0.54	 0.18	 0.16	 0.12	B	  0	Sloan	Simbad	NED
      91	102907	004.4429	+28.7494	6300	 87	 5	 1.05	 0.06	 89	 9.30	 0.05	23.43	 0.12	 3.2	 0.3	-16.6	 0.3	 0.30	 0.18	 0.13	 0.09	B	  1	Sloan	Simbad	NED
      92	102791	010.2404	+31.9064	5370	 97	 4	 1.42	 0.05	 75	 9.28	 0.06	23.86	 0.13	 3.4	 0.5	-16.3	 0.4	 0.24	 0.19	 0.25	 0.18	B	  1	Sloan	Simbad	NED
      93	103857	014.8067	+06.2733	4589	120	18	 0.88	 0.08	 64	 8.93	 0.08	23.77	 0.14	 3.0	 0.5	-16.1	 0.5	 0.35	 0.19	 0.17	 0.13	B	  0	Sloan	Simbad	NED
      94	114607	029.5296	+00.8781	5753	 28	14	 0.54	 0.06	 80	 8.91	 0.07	23.84	 0.13	 2.8	 0.4	-15.9	 0.4	 0.40	 0.18	 0.09	 0.07	B	  0	Sloan	Simbad	NED
      95	123863	035.3867	+23.1983	5217	 45	 6	 0.48	 0.04	 72	 8.77	 0.07	23.84	 0.12	 2.0	 0.3	-15.2	 0.4	 0.57	 0.17	 0.47	 0.34	B	  0	Sloan	Simbad	NED
      96	749388	128.2971	+24.5719	5409	 56	 7	 0.45	 0.05	 79	 8.82	 0.07	23.59	 0.12	 3.0	 0.4	-16.2	 0.3	 0.52	 0.18	 0.12	 0.09	B	  1	Sloan	Simbad	NED
      97	749279	128.7841	+26.8819	7301	 69	11	 0.49	 0.05	108	 9.13	 0.06	23.38	 0.15	 1.8	 0.3	-15.4	 0.5	-0.06	 0.23	 0.17	 0.12	B	  1	Sloan	Simbad	NED
      98	193833	145.0550	+09.9253	3381	 44	 3	 0.73	 0.03	 51	 8.66	 0.09	23.51	 0.12	 2.1	 0.3	-15.6	 0.4	 0.20	 0.17	 0.12	 0.08	B	  1	Sloan	Simbad	NED
      99	208759	157.2821	+20.2467	3928	 19	 3	 0.38	 0.02	 59	 8.49	 0.08	23.62	 0.13	 1.7	 0.3	-15.0	 0.4	-0.08	 0.20	 0.08	 0.06	B	  0	Sloan	Simbad	NED
     100	215283	168.8267	+12.8986	6015	109	 3	 0.81	 0.05	 91	 9.20	 0.05	23.62	 0.13	 3.2	 0.4	-16.3	 0.4	 0.40	 0.19	 0.07	 0.05	B	  1	Sloan	Simbad	NED
     101	219487	174.4367	+28.1958	5539	 41	 4	 0.51	 0.03	 81	 8.90	 0.06	23.67	 0.23	 4.4	 0.6	-17.0	 0.4	 0.54	 0.53	 0.09	 0.06	B	  0	Sloan	Simbad	NED
     102	219247	177.7763	+07.4000	5552	215	 6	 1.12	 0.08	 81	 9.24	 0.06	23.28	 0.12	 2.4	 0.3	-16.1	 0.3	 0.33	 0.17	 0.05	 0.03	B	  1	Sloan	Simbad	NED
     103	215218	179.5650	+15.9256	6806	 59	 8	 0.46	 0.04	102	 9.05	 0.06	23.80	 0.15	 2.4	 0.4	-15.6	 0.5	 0.50	 0.21	 0.23	 0.17	B	  0	Sloan	Simbad	NED
     104	229376	181.5129	+20.9033	2996	 45	 7	 0.52	 0.05	 46	 8.40	 0.11	23.59	 0.13	 2.1	 0.3	-15.5	 0.4	 0.21	 0.18	 0.11	 0.08	B	  0	Sloan	Simbad	NED
     105	223555	186.1067	+07.1314	4220	 80	 8	 0.76	 0.06	 62	 8.84	 0.08	23.75	 0.13	 3.1	 0.5	-16.2	 0.4	 0.52	 0.18	 0.08	 0.06	B	  1	Sloan	Simbad	NED
     106	226136	188.1025	+10.4844	7249	 60	 7	 0.71	 0.05	108	 9.29	 0.05	23.18	 0.13	 3.2	 0.3	-16.8	 0.4	 0.11	 0.19	 0.12	 0.09	B	  0	Sloan	Simbad	NED
     107	226721	193.6354	+01.1086	2921	 68	13	 1.14	 0.06	 44	 8.71	 0.10	23.43	 0.11	 2.3	 0.3	-15.8	 0.3	 0.30	 0.17	 0.07	 0.05	B	  0	Sloan	Simbad	NED
     108	238961	206.3763	+01.2556	4650	 35	 7	 0.74	 0.05	 68	 8.90	 0.07	23.64	 0.13	 2.5	 0.4	-15.8	 0.4	 0.29	 0.18	 0.10	 0.07	B	  0	Sloan	Simbad	NED
     109	238984	208.5000	+03.2319	7215	 95	 9	 0.67	 0.06	107	 9.26	 0.06	23.60	 0.13	 4.3	 0.5	-17.1	 0.4	 0.42	 0.18	 0.10	 0.07	B	  0	Sloan	Simbad	NED
     110	248887	212.3000	+13.3147	4703	 43	 8	 0.41	 0.04	 70	 8.67	 0.08	23.26	 0.12	 1.8	 0.2	-15.5	 0.4	 0.22	 0.18	 0.08	 0.06	B	  1	Sloan	Simbad	NED
     111	749329	212.9921	+27.4928	5325	 76	 7	 0.58	 0.05	 79	 8.93	 0.07	24.07	 0.16	 2.5	 0.5	-15.4	 0.6	 0.30	 0.22	 0.06	 0.05	B	  0	Sloan	Simbad	NED
     112	248945	221.7479	+13.1697	5680	 70	 8	 0.62	 0.05	 84	 9.01	 0.06	23.97	 0.16	 2.9	 0.5	-15.8	 0.5	 0.46	 0.22	 0.07	 0.05	B	  1	Sloan	Simbad	NED
     113	258600	239.0038	+03.6183	7627	 45	12	 0.77	 0.06	111	 9.35	 0.05	24.05	 0.15	 3.9	 0.7	-16.3	 0.5	 0.69	 0.21	 0.49	 0.36	B	  0	Sloan	Simbad	NED
     114	223471	185.3538	+09.6208	6375	126	 7	 0.64	 0.05	 96	 9.14	 0.06	23.89	 0.14	 3.7	 0.6	-16.4	 0.4	 0.38	 0.19	 0.08	 0.06	B	  1	Sloan	Simbad	NED
     115	253921	237.7179	+11.2175	4636	109	59	 0.86	 0.06	 69	 8.99	 0.07	24.13	 0.14	 4.5	 0.7	-16.6	 0.5	 0.61	 0.19	 0.21	 0.15	B	  1	Sloan	Simbad	NED

