#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
     199	Abell 644            	 0.0704	08 17 24.50	-07 30 46.0	X-ray	 4.60	 0.90	 0.90	  7.000	       	 	      	 6.00	 1.20	 1.20	  8.000	        	 	      	Buote, Humphrey & Stocke (2005)     	Virial         	 0.300	 0.700	 0.700	Abell 644
     200	Abell 644            	 0.0704	08 17 24.50	-07 30 46.0	X-ray	 4.60	 0.20	 0.20	       	       	 	      	 6.00	 0.30	 0.30	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 644
     201	Abell 1767           	 0.0714	13 36 06.10	+59 12 28.0	LOSVD	 3.70	 1.10	 1.10	  6.480	       	 	      	 4.90	 1.40	 1.40	  8.020	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1767
     202	Abell 1767           	 0.0714	13 36 06.10	+59 12 28.0	LOSVD	 4.05	 0.15	 1.87	  9.520	  1.130	-	 2.890	 5.34	 0.20	 2.46	 11.710	   1.380	-	 3.560	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1767
     203	Abell 1767           	 0.0714	13 36 06.10	+59 12 28.0	CM   	 6.12	     	     	  7.270	       	 	      	 7.97	     	     	  8.620	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1767
     204	Abell 1691           	 0.0720	13 11 23.20	+39 12 05.0	LOSVD	 2.65	 0.67	 1.15	  4.070	  1.280	-	 0.770	 3.56	 0.90	 1.55	  5.270	   1.660	-	 1.000	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1691
     205	Abell 399            	 0.0720	02 57 56.40	+13 00 59.0	X-ray	 2.15	 0.37	 0.33	 37.900	  3.940	-	 4.110	 2.97	 0.51	 0.46	 51.500	   5.350	-	 5.580	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 399
     206	RX J1053.7+5450      	 0.0727	10 53 43.90	+54 52 20.0	CM   	 8.49	     	     	  4.570	       	 	      	10.96	     	     	  5.280	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	RX J1053.7+5450
     207	Abell 2462           	 0.0730	22 39 16.40	-17 19 46.0	X-ray	13.23	 0.72	 0.67	 20.730	  2.470	-	 2.490	17.20	 0.94	 0.87	 23.470	   2.800	-	 2.820	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2462
     208	Abell 2065           	 0.0730	15 22 42.60	+27 43 21.0	X-ray	 2.38	 0.64	 0.56	 39.430	  5.820	-	 4.180	 3.27	 0.88	 0.77	 52.760	   7.790	-	 5.590	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2065
     209	Abell 1238           	 0.0733	11 22 58.00	+01 05 32.0	LOSVD	 3.80	 2.20	 2.20	  1.350	       	 	      	 5.00	 2.80	 2.80	  1.660	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1238
     210	Abell 2067           	 0.0737	15 23 07.90	+30 50 42.0	CM   	18.24	     	     	  0.510	       	 	      	23.22	     	     	  0.570	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2067
     211	Abell 2064           	 0.0738	15 20 59.40	+48 38 17.0	CM   	 6.67	     	     	  2.600	       	 	      	 8.66	     	     	  3.060	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2064
     212	Abell 1569           	 0.0740	12 36 18.70	+16 35 30.0	X-ray	10.37	 2.01	 2.04	 14.350	  1.340	-	 1.110	13.54	 2.62	 2.66	 16.480	   1.540	-	 1.270	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1569
     213	Abell 401            	 0.0748	02 58 57.50	+13 34 46.0	X-ray	 3.19	 0.38	 0.33	 37.970	  4.160	-	 2.810	 4.32	 0.51	 0.45	 48.790	   5.350	-	 3.610	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 401
     214	Abell 401            	 0.0748	02 58 57.50	+13 34 46.0	X-ray	 4.20	 0.30	 0.30	       	       	 	      	 5.50	 0.40	 0.40	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 401
     215	Abell 3112           	 0.0750	03 17 58.50	-44 14 20.0	X-ray	 9.36	 0.73	 0.73	 18.840	  3.140	-	 2.160	12.25	 0.96	 0.96	 21.780	   3.630	-	 2.500	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3112
     216	Abell 3112           	 0.0750	03 17 58.50	-44 14 20.0	X-ray	 7.06	 3.62	 3.23	  2.900	 13.500	-	 1.900	 9.14	 2.82	 3.05	  3.400	  16.400	-	 2.200	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	Abell 3112
     217	Abell 1424           	 0.0754	11 57 28.70	+05 03 46.0	LOSVD	 5.40	 1.90	 1.90	  2.320	       	 	      	 7.00	 2.40	 2.40	  2.760	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1424
     218	Abell 1424           	 0.0754	11 57 28.70	+05 03 46.0	CM   	 5.92	     	     	  4.210	       	 	      	 7.71	     	     	  5.000	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1424
     219	Abell 1190           	 0.0755	11 11 38.50	+40 50 33.0	LOSVD	 2.93	 0.44	 1.21	  3.490	  0.450	-	 0.820	 3.91	 0.59	 1.61	  4.460	   0.580	-	 1.050	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1190
     220	Abell 1190           	 0.0755	11 11 38.50	+40 50 33.0	CM   	 6.08	     	     	  3.290	       	 	      	 7.91	     	     	  3.900	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1190
     221	Abell 1205           	 0.0756	11 13 20.70	+02 31 56.0	LOSVD	12.50	 6.30	 6.30	  3.330	       	 	      	16.00	 8.00	 8.00	  3.760	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1205
     222	Abell 1205           	 0.0756	11 13 20.70	+02 31 56.0	CM   	 2.05	     	     	  3.660	       	 	      	 2.78	     	     	  4.910	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1205
     223	Abell 1173           	 0.0760	11 09 18.80	+41 33 45.0	CM   	 5.90	     	     	  1.190	       	 	      	 7.68	     	     	  1.410	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1173
     224	Abell 2670           	 0.0761	23 54 13.70	-10 25 08.0	LOSVD	14.10	 3.20	 3.20	  6.790	       	 	      	18.00	 4.00	 4.00	  7.630	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 2670
     225	Abell 2670           	 0.0761	23 54 13.70	-10 25 08.0	LOSVD	11.62	 1.02	 3.67	  7.250	  0.950	-	 0.790	14.88	 1.30	 4.70	  8.200	   1.080	-	 0.890	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2670
     226	Abell 2670           	 0.0761	23 54 13.70	-10 25 08.0	X-ray	 5.33	 1.11	 1.09	 16.620	  1.250	-	 1.620	 7.08	 1.47	 1.45	 20.150	   1.520	-	 1.960	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2670
     227	Abell 2670           	 0.0761	23 54 13.70	-10 25 08.0	CM   	 3.35	     	     	  2.030	       	 	      	 4.45	     	     	  2.560	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2670
     228	RXC J1210.3+0523     	 0.0764	12 10 19.90	+05 22 25.0	CM   	 3.96	     	     	  0.840	       	 	      	 5.22	     	     	  1.040	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	RXC J1210.3+0523
     229	Abell 2029           	 0.0767	15 10 55.00	+05 43 12.0	X-ray	 6.99	 0.41	 0.43	 33.430	  3.710	-	 4.120	 9.21	 0.54	 0.57	 39.520	   4.390	-	 4.870	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2029
     230	Abell 2029           	 0.0767	15 10 55.00	+05 43 12.0	X-ray	 6.64	 0.34	 0.38	  7.660	  0.770	-	 0.580	 8.60	 0.42	 0.48	  8.970	   0.940	-	 0.710	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 2029
     231	Abell 2029           	 0.0767	15 10 55.00	+05 43 12.0	X-ray	 4.38	 1.64	 1.76	 20.000	 57.000	-	16.000	 5.74	 2.08	 2.24	 24.000	  74.000	-	20.000	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	Abell 2029
     232	Abell 2029           	 0.0767	15 10 55.00	+05 43 12.0	X-ray	 6.00	 0.30	 0.30	 10.810	  1.080	-	 1.080	 7.80	 0.38	 0.38	 12.760	   1.330	-	 1.330	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	Abell 2029
     233	Abell 2029           	 0.0767	15 10 55.00	+05 43 12.0	X-ray	 4.40	 0.90	 0.90	 12.000	  2.000	-	 2.000	 5.80	 1.10	 1.10	 15.000	   3.000	-	 3.000	Lewis, Buote & Stocke (2003)        	200            	 0.300	 0.700	 0.700	Abell 2029
     234	Abell 2029           	 0.0767	15 10 55.00	+05 43 12.0	X-ray	 8.40	 0.60	 0.60	       	       	 	      	10.80	 0.80	 0.80	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 2029
     235	ZwCl 1215.1+0400     	 0.0772	12 17 40.60	+03 39 45.0	X-ray	 5.62	 0.42	 0.40	 33.710	  4.170	-	 4.290	 7.45	 0.56	 0.53	 40.650	   5.030	-	 5.170	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	ZwCl 1215+0400
     236	ZwCl 1215.1+0400     	 0.0772	12 17 40.60	+03 39 45.0	CM   	 6.78	     	     	  2.540	       	 	      	 8.79	     	     	  2.980	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	ZwCl 1215+0400
     237	Abell 1773           	 0.0782	13 42 05.50	+02 13 39.0	LOSVD	 3.89	 1.18	 1.31	  5.070	  1.130	-	 0.880	 5.12	 1.55	 1.73	  6.250	   1.390	-	 1.090	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1773
     238	Abell 1773           	 0.0782	13 42 05.50	+02 13 39.0	CM   	 9.83	     	     	  2.610	       	 	      	12.63	     	     	  2.980	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1773
     239	Abell 2061           	 0.0783	15 21 17.00	+30 38 24.0	LOSVD	 9.30	 2.40	 2.40	  4.780	       	 	      	12.00	 3.00	 3.00	  5.480	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 2061
     240	Abell 2061           	 0.0783	15 21 17.00	+30 38 24.0	CM   	 6.35	     	     	  6.410	       	 	      	 8.24	     	     	  7.560	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2061
     241	Abell 1809           	 0.0790	13 53 06.40	+05 08 59.0	LOSVD	 4.60	 1.50	 1.50	  2.880	       	 	      	 6.00	 1.90	 1.90	  3.470	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1809
     242	Abell 1809           	 0.0790	13 53 06.40	+05 08 59.0	LOSVD	 6.95	 0.73	 2.42	  4.220	  0.770	-	 0.550	 8.99	 0.95	 3.13	  4.930	   0.900	-	 0.640	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1809
     243	Abell 1809           	 0.0790	13 53 06.40	+05 08 59.0	CM   	 2.90	     	     	  2.130	       	 	      	 3.87	     	     	  2.730	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1809
     244	Abell 1035B          	 0.0801	10 32 14.16	+40 14 49.2	CM   	 4.53	     	     	  2.860	       	 	      	 5.94	     	     	  3.480	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1035B
     245	Abell 2255           	 0.0801	17 12 31.00	+64 05 33.0	LOSVD	16.50	10.40	10.40	  9.060	       	 	      	21.00	13.00	13.00	 10.100	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 2255
     246	Abell 2255           	 0.0801	17 12 31.00	+64 05 33.0	CM   	 5.96	     	     	  8.240	       	 	      	 7.75	     	     	  9.770	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2255
     247	RX J1159.8+5531      	 0.0810	11 59 51.40	+55 32 01.0	X-ray	 8.30	 2.10	 2.10	  0.789	  0.451	-	 0.451	10.60	 2.70	 2.70	  0.909	   0.536	-	 0.536	Gastaldello et al. (2007b)          	500            	 0.300	 0.700	 0.700	RX J1159.8+5531
     248	RX J1159.8+5531      	 0.0810	11 59 51.40	+55 32 01.0	X-ray	 2.63	 0.43	 0.43	       	       	 	      	 3.51	 0.55	 0.55	       	        	 	      	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	RX J1159.8+5531
     249	Abell 1651           	 0.0825	12 59 21.50	-04 11 41.0	X-ray	 4.29	 0.74	 0.71	 19.480	  2.450	-	 2.170	 5.73	 0.99	 0.95	 24.120	   3.030	-	 2.690	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1651
     250	Abell 1651           	 0.0825	12 59 21.50	-04 11 41.0	X-ray	 4.90	 0.20	 0.20	       	       	 	      	 6.40	 0.30	 0.30	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 1651
     251	RX J1326.2+0013      	 0.0827	13 26 17.60	+00 13 17.0	CM   	 2.98	     	     	  0.890	       	 	      	 3.97	     	     	  1.130	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	RX J1326.2+0013
     252	MS 1306              	 0.0832	13 09 16.99	-01 36 45.0	CM   	 3.25	     	     	  0.710	       	 	      	 4.31	     	     	  0.900	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	1ES 1306-01.3
     253	Abell 2428           	 0.0836	22 16 15.50	-09 20 24.0	CM   	 3.07	     	     	  1.560	       	 	      	 4.08	     	     	  1.980	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2428
     254	Abell 1663           	 0.0837	13 02 50.70	-02 30 22.0	LOSVD	14.10	 9.60	 9.60	  3.700	       	 	      	18.00	12.00	12.00	  4.150	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1663
     255	Abell 1663           	 0.0837	13 02 50.70	-02 30 22.0	CM   	 4.06	     	     	  5.070	       	 	      	 5.34	     	     	  6.240	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1663
     256	Abell 1459           	 0.0839	12 04 15.70	+02 30 18.0	LOSVD	26.10	 5.60	 5.60	  1.530	       	 	      	33.00	 7.00	 7.00	  1.670	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1459
     257	Abell 1650           	 0.0843	12 58 41.10	-01 45 25.0	LOSVD	 2.12	 0.25	 0.78	  5.980	  1.080	-	 1.230	 2.87	 0.34	 1.05	  7.990	   1.440	-	 1.650	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1650
     258	Abell 1650           	 0.0843	12 58 41.10	-01 45 25.0	X-ray	 2.03	 0.35	 0.37	 39.440	  3.740	-	 2.780	 2.80	 0.48	 0.51	 53.840	   5.110	-	 3.800	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1650
     259	Abell 1650           	 0.0843	12 58 41.10	-01 45 25.0	CM   	 2.30	     	     	  1.560	       	 	      	 3.09	     	     	  2.050	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1650
     260	Abell 2597           	 0.0852	23 25 20.00	-12 07 38.0	X-ray	 8.28	 1.27	 1.26	 10.760	  1.270	-	 1.220	10.83	 1.66	 1.65	 12.530	   1.480	-	 1.420	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2597
     261	Abell 2597           	 0.0852	23 25 20.00	-12 07 38.0	X-ray	 5.86	 0.50	 0.50	  3.000	  0.330	-	 0.330	 7.59	 0.63	 0.63	  3.540	   0.420	-	 0.420	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	Abell 2597
     262	Abell 2597           	 0.0852	23 25 20.00	-12 07 38.0	X-ray	 6.70	 0.60	 0.60	       	       	 	      	 8.70	 0.80	 0.80	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 2597
     263	Abell 1750N          	 0.0856	13 30 49.90	-01 52 22.0	WL   	 3.97	 2.71	 2.71	  3.390	  2.680	-	 2.680	 5.21	 3.42	 3.42	  4.140	   2.970	-	 2.970	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 1750N
     264	Abell 1750C          	 0.0856	13 30 49.90	-01 52 22.0	WL   	 4.22	 3.87	 3.87	  2.210	  2.130	-	 2.130	 5.52	 4.89	 4.89	  2.690	   2.330	-	 2.330	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 1750C
     265	Abell 1750           	 0.0856	13 30 49.90	-01 52 22.0	CM   	 2.96	     	     	  2.700	       	 	      	 3.94	     	     	  3.440	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1750
     266	Abell 1552           	 0.0861	12 29 50.00	+11 44 26.0	CM   	 2.42	     	     	  2.390	       	 	      	 3.24	     	     	  3.120	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1552
     267	Abell 2249           	 0.0863	17 09 48.80	+34 26 26.0	CM   	10.90	     	     	  8.610	       	 	      	13.94	     	     	  9.760	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2249
     268	Abell 2245           	 0.0868	17 02 31.90	+33 30 47.0	CM   	11.31	     	     	  7.900	       	 	      	14.45	     	     	  8.930	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2245
     269	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	WL   	 3.40	 1.25	 0.95	 13.060	  4.520	-	 3.490	 4.56	 1.67	 1.28	 16.480	   5.700	-	 4.410	Okabe et al. (2015)                 	Virial         	 0.270	 0.730	 0.700	Abell 478
     270	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 4.51	 0.51	 0.48	 23.350	  2.620	-	 2.170	 6.01	 0.68	 0.64	 28.720	   3.220	-	 2.670	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 478
     271	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 3.92	 0.36	 0.33	 13.100	  2.300	-	 2.100	 5.13	 0.45	 0.41	 16.000	   3.000	-	 2.600	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 478
     272	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 2.88	 2.02	 2.88	 34.000	       	i	26.000	 3.81	 2.56	 3.81	 43.000	        	i	33.000	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	Abell 478
     273	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 4.22	 0.39	 0.39	 10.800	  1.800	-	 1.800	 5.52	 0.49	 0.49	 13.100	   2.300	-	 2.300	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	Abell 478
     274	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 5.33	 0.39	 0.39	 10.530	  1.510	-	 1.510	 6.92	 0.49	 0.49	 12.510	   1.880	-	 1.880	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	Abell 478
     275	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 4.20	 0.40	 0.40	 11.000	       	 	      	 5.50	 0.50	 0.50	 13.000	        	 	      	Pointecouteau et al. (2004)         	200            	 0.300	 0.700	 0.700	Abell 478
     276	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 3.67	 0.31	 0.35	 18.400	  4.800	-	 2.400	 4.82	 0.39	 0.44	 22.600	   6.200	-	 3.100	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	Abell 478
     277	Abell 478            	 0.0880	04 13 25.60	+10 28 01.0	X-ray	 6.70	 0.40	 0.40	       	       	 	      	 8.60	 0.50	 0.50	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 478
     278	Abell 1885           	 0.0882	14 13 43.50	+43 39 48.0	CM   	 4.67	     	     	  6.130	       	 	      	 6.10	     	     	  7.420	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1885
     279	Abell 1728           	 0.0899	13 23 30.20	+11 17 46.0	CM   	 4.59	     	     	  3.960	       	 	      	 6.00	     	     	  4.800	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1728
     280	Abell 2142           	 0.0903	15 58 20.60	+27 13 37.0	LOSVD	 3.30	 1.00	 1.00	  7.770	       	 	      	 4.40	 1.30	 1.30	  9.690	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 2142
     281	Abell 2142           	 0.0903	15 58 20.60	+27 13 37.0	LOSVD	 2.24	 0.30	 0.78	 12.320	  1.780	-	 2.070	 3.01	 0.41	 1.05	 16.290	   2.350	-	 2.740	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2142
     282	Abell 2142           	 0.0903	15 58 20.60	+27 13 37.0	WL   	 4.29	 0.69	 0.61	 12.620	  2.590	-	 1.890	 5.60	 0.90	 0.80	 15.290	   3.140	-	 2.290	Umetsu et al. (2009)                	Virial         	 0.300	 0.700	 0.700	Abell 2142
     283	Abell 2142           	 0.0903	15 58 20.60	+27 13 37.0	WL   	 3.27	 1.35	 1.35	 13.660	  6.700	-	 6.700	 4.32	 1.70	 1.70	 17.070	   7.490	-	 7.490	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 2142
     284	Abell 2142           	 0.0903	15 58 20.60	+27 13 37.0	X-ray	 5.27	 0.83	 0.79	 29.870	  2.470	-	 3.170	 6.97	 1.10	 1.04	 36.140	   2.990	-	 3.840	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2142
     285	Abell 2142           	 0.0903	15 58 20.60	+27 13 37.0	CM   	 1.97	     	     	  4.560	       	 	      	 2.66	     	     	  6.130	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2142
     286	Abell 2700           	 0.0920	00 03 50.60	+02 03 48.0	X-ray	 8.06	 1.52	 1.30	  1.900	  0.230	-	 0.230	10.35	 1.95	 1.67	  2.190	   0.270	-	 0.270	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2700
     287	Abell 971            	 0.0923	10 19 46.70	+40 57 55.0	CM   	10.49	     	     	  4.570	       	 	      	13.40	     	     	  5.190	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 971
     288	Abell 954            	 0.0928	10 13 44.80	-00 06 31.0	LOSVD	 4.03	 1.19	 1.49	  4.320	  1.320	-	 0.950	 5.28	 1.57	 1.95	  5.280	   1.610	-	 1.160	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 954
     289	Abell 954            	 0.0928	10 13 44.80	-00 06 31.0	CM   	 0.58	     	     	  0.840	       	 	      	 0.85	     	     	  1.440	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 954
