#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/153/114/table5&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51530114
#Name: J/AJ/153/114
#Title: GCs in 27 nearby ETGs from the SLUGGS survey (Forbes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	creator=Forbes D.A.	    First author or institution
#INFO	cites=bibcode:2017AJ....153..114F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/153/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51530114	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-09-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_153_114_table5:
#Name: J/AJ/153/114/table5
#Title: Globular Cluster Radial Velocities (from Erratum, 2017, AJ, 154, 80)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Star	(a14)	Object identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(I4)	[-379/2777]? Heliocentric radial velocity (1)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(I3)	[2/194]? Uncertainty in HRV (1)	[ucd=stat.error]
#Column	Rgal	(F6.2)	[0.02/173]? Galactocentric radius (not in table 2)	[ucd=phys.angSize;pos.galactocentric]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Star	RAJ2000	DEJ2000	HRV	e_HRV	Rgal	SimbadName
     803	NGC2974_S8    	145.646750	-03.689917	1959	 11	  0.74	[FAB2017] NGC2974 S8
     804	NGC2974_S9    	145.640000	-03.724639	1951	  6	  1.53	[FAB2017] NGC2974 S9
     805	NGC2974_S10   	145.672542	-03.697833	1735	 28	  2.03	[FAB2017] NGC2974 S10
     806	NGC2974_S11   	145.673750	-03.672028	1935	 15	  2.66	[FAB2017] NGC2974 S11
     807	NGC2974_S12   	145.626917	-03.757917	1861	 14	  3.60	[FAB2017] NGC2974 S12
     808	NGC2974_S13   	145.653750	-03.709139	1905	 13	  1.09	[FAB2017] NGC2974 S13
     809	NGC2974_S14   	145.634625	-03.693889	1899	 15	  0.39	[FAB2017] NGC2974 S14
     810	NGC2974_S15   	145.631167	-03.695472	1823	 13	  0.50	[FAB2017] NGC2974 S15
     811	NGC2974_S16   	145.616667	-03.702056	1571	 16	  1.33	[FAB2017] NGC2974 S16
     812	NGC2974_S17   	145.635542	-03.714278	1856	 22	  0.93	[FAB2017] NGC2974 S17
     813	NGC2974_S18   	145.692458	-03.735111	2066	 22	  3.88	[FAB2017] NGC2974 S18
     814	NGC2974_S19   	145.618792	-03.678167	1891	 27	  1.73	[FAB2017] NGC2974 S19
     815	NGC2974_S20   	145.708542	-03.770944	1971	 29	  6.01	[FAB2017] NGC2974 S20
     816	NGC2974_S21   	145.666458	-03.713361	1918	 15	  1.87	[FAB2017] NGC2974 S21
     817	NGC2974_S22   	145.606250	-03.679833	1564	 15	  2.26	[FAB2017] NGC2974 S22
     818	NGC2974_S23   	145.641167	-03.655306	1801	 12	  2.63	[FAB2017] NGC2974 S23
     819	NGC2974_S24   	145.575167	-03.641278	1900	 11	  5.15	[FAB2017] NGC2974 S24
     820	NGC2974_S25   	145.648292	-03.709556	1926	  7	  0.85	[FAB2017] NGC2974 S25
     821	NGC2974_S26   	145.705625	-03.782444	1973	 22	  6.41	[FAB2017] NGC2974 S26
     822	NGC3115_S1    	151.299530	-07.708301	 689	  7	  0.81	[FAB2017] NGC3115 S1
     823	NGC3115_S2    	151.289159	-07.618746	 798	 11	  6.10	[FAB2017] NGC3115 S2
     824	NGC3115_S3    	151.275474	-07.689257	 665	  7	  2.63	[FAB2017] NGC3115 S3
     825	NGC3115_S4    	151.217659	-07.736487	 709	  6	  5.49	[FAB2017] NGC3115 S4
     826	NGC3115_S5    	151.358511	-07.645020	 782	  5	  5.33	[FAB2017] NGC3115 S5
     827	NGC3115_S6    	151.273497	-07.717291	 750	 10	  2.07	[FAB2017] NGC3115 S6
     828	NGC3115_S7    	151.322774	-07.694805	 997	  7	  1.67	[FAB2017] NGC3115 S7
     829	NGC3115_S8    	151.305240	-07.734598	 531	  6	  0.98	[FAB2017] NGC3115 S8
     830	NGC3115_S9    	151.364593	-07.693063	 661	  6	  3.68	[FAB2017] NGC3115 S9
     831	NGC3115_S10   	151.291367	-07.724440	 480	  8	  1.06	[FAB2017] NGC3115 S10
     832	NGC3115_S11   	151.247232	-07.726436	 678	  5	  3.66	[FAB2017] NGC3115 S11
     833	NGC3115_S12   	151.273746	-07.694876	 850	  5	  2.50	[FAB2017] NGC3115 S12
     834	NGC3115_S13   	151.312464	-07.648258	 583	  9	  4.23	[FAB2017] NGC3115 S13
     835	NGC3115_S14   	151.252107	-07.713421	 499	  5	  3.35	[FAB2017] NGC3115 S14
     836	NGC3115_S15   	151.436694	-07.702196	 963	 18	  7.70	[FAB2017] NGC3115 S15
     837	NGC3115_S16   	151.306838	-07.758759	 510	  8	  2.41	[FAB2017] NGC3115 S16
     838	NGC3115_S17   	151.302756	-07.674310	 859	  7	  2.68	[FAB2017] NGC3115 S17
     839	NGC3115_S18   	151.367658	-07.682886	 652	  6	  4.13	[FAB2017] NGC3115 S18
     840	NGC3115_S19   	151.231802	-07.763917	 625	  5	  5.30	[FAB2017] NGC3115 S19
     841	NGC3115_S20   	151.262489	-07.732154	 904	  8	  2.84	[FAB2017] NGC3115 S20
     842	NGC3115_S21   	151.262133	-07.674147	 424	  6	  3.82	[FAB2017] NGC3115 S21
     843	NGC3115_S22   	151.242490	-07.758109	 711	  5	  4.57	[FAB2017] NGC3115 S22
     844	NGC3115_S23   	151.313856	-07.726056	 649	 11	  0.56	[FAB2017] NGC3115 S23
     845	NGC3115_S24   	151.298470	-07.731563	 510	  5	  0.97	[FAB2017] NGC3115 S24
     846	NGC3115_S25   	151.276213	-07.671011	 742	  7	  3.43	[FAB2017] NGC3115 S25
     847	NGC3115_S26   	151.335937	-07.710894	 810	  5	  1.71	[FAB2017] NGC3115 S26
     848	NGC3115_S27   	151.328249	-07.704507	 924	  5	  1.46	[FAB2017] NGC3115 S27
     849	NGC3115_S28   	151.311439	-07.649388	 881	  5	  4.16	[FAB2017] NGC3115 S28
     850	NGC3115_S29   	151.290010	-07.708754	 437	  5	  1.23	[FAB2017] NGC3115 S29
     851	NGC3115_S30   	151.313127	-07.735679	 525	  6	  1.07	[FAB2017] NGC3115 S30
     852	NGC3115_S31   	151.386503	-07.661079	 826	  7	  5.79	[FAB2017] NGC3115 S31
     853	NGC3115_S32   	151.256576	-07.646569	 611	  8	  5.30	[FAB2017] NGC3115 S32
     854	NGC3115_S33   	151.272939	-07.744195	 539	  7	  2.60	[FAB2017] NGC3115 S33
     855	NGC3115_S34   	151.332793	-07.705964	 879	  7	  1.64	[FAB2017] NGC3115 S34
     856	NGC3115_S35   	151.338252	-07.693622	1028	  5	  2.33	[FAB2017] NGC3115 S35
     857	NGC3115_S36   	151.293028	-07.721406	 525	  6	  0.92	[FAB2017] NGC3115 S36
     858	NGC3115_S37   	151.289525	-07.663932	 878	  7	  3.46	[FAB2017] NGC3115 S37
     859	NGC3115_S38   	151.305009	-07.697021	 895	  5	  1.31	[FAB2017] NGC3115 S38
     860	NGC3115_S39   	151.315776	-07.732765	 862	  6	  0.96	[FAB2017] NGC3115 S39
     861	NGC3115_S40   	151.242728	-07.725242	 665	  5	  3.92	[FAB2017] NGC3115 S40
     862	NGC3115_S41   	151.306511	-07.736340	 596	  6	  1.07	[FAB2017] NGC3115 S41
     863	NGC3115_S42   	151.326706	-07.736413	 702	  8	  1.53	[FAB2017] NGC3115 S42
     864	NGC3115_S43   	151.329273	-07.695902	 660	  9	  1.85	[FAB2017] NGC3115 S43
     865	NGC3115_S44   	151.300641	-07.758852	 770	  5	  2.46	[FAB2017] NGC3115 S44
     866	NGC3115_S45   	151.302910	-07.729558	 649	 12	  0.73	[FAB2017] NGC3115 S45
     867	NGC3115_S46   	151.329511	-07.641075	 512	  5	  4.82	[FAB2017] NGC3115 S46
     868	NGC3115_S47   	151.284635	-07.815101	 486	  7	  5.96	[FAB2017] NGC3115 S47
     869	NGC3115_S48   	151.293860	-07.680923	 463	  7	  2.42	[FAB2017] NGC3115 S48
     870	NGC3115_S49   	151.320219	-07.686945	 805	  5	  2.03	[FAB2017] NGC3115 S49
     871	NGC3115_S50   	151.322637	-07.686235	 809	  5	  2.12	[FAB2017] NGC3115 S50
     872	NGC3115_S51   	151.296566	-07.660322	 547	  6	  3.56	[FAB2017] NGC3115 S51
     873	NGC3115_S52   	151.316019	-07.703975	 821	  8	  0.99	[FAB2017] NGC3115 S52
     874	NGC3115_S53   	151.334687	-07.678280	 879	  5	  2.88	[FAB2017] NGC3115 S53
     875	NGC3115_S54   	151.304355	-07.806150	 696	  6	  5.26	[FAB2017] NGC3115 S54
     876	NGC3115_S55   	151.270596	-07.685785	 795	  7	  2.98	[FAB2017] NGC3115 S55
     877	NGC3115_S56   	151.246506	-07.791864	 651	  5	  5.73	[FAB2017] NGC3115 S56
     878	NGC3115_S57   	151.381252	-07.750796	 642	  7	  4.75	[FAB2017] NGC3115 S57
     879	NGC3115_S58   	151.222397	-07.772308	 684	  5	  6.04	[FAB2017] NGC3115 S58
     880	NGC3115_S59   	151.274429	-07.731100	 893	  7	  2.15	[FAB2017] NGC3115 S59
     881	NGC3115_S60   	151.297094	-07.705900	 740	  5	  1.01	[FAB2017] NGC3115 S60
     882	NGC3115_S61   	151.256212	-07.742261	 711	  5	  3.40	[FAB2017] NGC3115 S61
     883	NGC3115_S62   	151.276743	-07.722720	 480	  5	  1.89	[FAB2017] NGC3115 S62
     884	NGC3115_S63   	151.319170	-07.688236	 771	  7	  1.93	[FAB2017] NGC3115 S63
     885	NGC3115_S64   	151.354557	-07.715708	1056	  5	  2.76	[FAB2017] NGC3115 S64
     886	NGC3115_S65   	151.339893	-07.677216	 887	  7	  3.11	[FAB2017] NGC3115 S65
     887	NGC3115_S66   	151.359512	-07.731451	 592	  6	  3.14	[FAB2017] NGC3115 S66
     888	NGC3115_S67   	151.323095	-07.731152	 782	  5	  1.16	[FAB2017] NGC3115 S67
     889	NGC3115_S68   	151.340570	-07.658001	 773	  8	  4.11	[FAB2017] NGC3115 S68
     890	NGC3115_S69   	151.238711	-07.748375	 601	  7	  4.50	[FAB2017] NGC3115 S69
     891	NGC3115_S70   	151.289666	-07.812870	 658	 10	  5.76	[FAB2017] NGC3115 S70
     892	NGC3115_S71   	151.267896	-07.762677	 471	  5	  3.57	[FAB2017] NGC3115 S71
     893	NGC3115_S72   	151.289548	-07.746073	 471	  5	  1.99	[FAB2017] NGC3115 S72
     894	NGC3115_S73   	151.264034	-07.775244	 396	  5	  4.30	[FAB2017] NGC3115 S73
     895	NGC3115_S74   	151.280808	-07.728090	 597	  5	  1.73	[FAB2017] NGC3115 S74
     896	NGC3115_S75   	151.323373	-07.686665	 856	  6	  2.12	[FAB2017] NGC3115 S75
     897	NGC3115_S76   	151.345741	-07.667215	 869	  6	  3.80	[FAB2017] NGC3115 S76
     898	NGC3115_S77   	151.369107	-07.715737	 636	  7	  3.62	[FAB2017] NGC3115 S77
     899	NGC3115_S78   	151.344057	-07.709771	1192	  7	  2.19	[FAB2017] NGC3115 S78
     900	NGC3115_S79   	151.339695	-07.694410	 706	  8	  2.37	[FAB2017] NGC3115 S79
     901	NGC3115_S80   	151.340423	-07.692583	 579	  8	  2.47	[FAB2017] NGC3115 S80
     902	NGC3115_S81   	151.282757	-07.731523	 803	  7	  1.70	[FAB2017] NGC3115 S81
     903	NGC3115_S82   	151.336142	-07.624190	 983	  8	  5.90	[FAB2017] NGC3115 S82
     904	NGC3115_S83   	151.308464	-07.738934	 601	  5	  1.22	[FAB2017] NGC3115 S83
     905	NGC3115_S84   	151.310605	-07.704722	 586	  5	  0.84	[FAB2017] NGC3115 S84
     906	NGC3115_S85   	151.297559	-07.733508	 628	  8	  1.10	[FAB2017] NGC3115 S85
     907	NGC3115_S86   	151.367018	-07.790661	 593	  9	  5.56	[FAB2017] NGC3115 S86
     908	NGC3115_S87   	151.362808	-07.674682	 899	  7	  4.18	[FAB2017] NGC3115 S87
     909	NGC3115_S88   	151.322545	-07.625632	 773	  7	  5.64	[FAB2017] NGC3115 S88
     910	NGC3115_S89   	151.330458	-07.738787	 580	  5	  1.79	[FAB2017] NGC3115 S89
     911	NGC3115_S90   	151.332995	-07.683229	 603	  6	  2.58	[FAB2017] NGC3115 S90
     912	NGC3115_S91   	151.323239	-07.690867	 539	  6	  1.89	[FAB2017] NGC3115 S91
     913	NGC3115_S92   	151.261220	-07.781116	 637	  6	  4.68	[FAB2017] NGC3115 S92
     914	NGC3115_S93   	151.318336	-07.705782	 959	  5	  0.97	[FAB2017] NGC3115 S93
     915	NGC3115_S94   	151.286937	-07.680215	 825	  9	  2.63	[FAB2017] NGC3115 S94
     916	NGC3115_S95   	151.373218	-07.668995	 703	  7	  4.88	[FAB2017] NGC3115 S95
     917	NGC3115_S96   	151.337577	-07.811136	 482	  9	  5.82	[FAB2017] NGC3115 S96
     918	NGC3115_S97   	151.279772	-07.719272	 885	  6	  1.69	[FAB2017] NGC3115 S97
     919	NGC3115_S98   	151.326184	-07.716174	 407	  5	  1.08	[FAB2017] NGC3115 S98
     920	NGC3115_S99   	151.286866	-07.760444	 837	  5	  2.82	[FAB2017] NGC3115 S99
     921	NGC3115_S100  	151.338123	-07.714700	 980	  5	  1.79	[FAB2017] NGC3115 S100
     922	NGC3115_S101  	151.271866	-07.724991	 562	  6	  2.20	[FAB2017] NGC3115 S101
     923	NGC3115_S102  	151.299377	-07.780190	 467	  6	  3.73	[FAB2017] NGC3115 S102
     924	NGC3115_S103  	151.330942	-07.698488	 949	  5	  1.81	[FAB2017] NGC3115 S103
     925	NGC3115_S104  	151.292946	-07.757453	 441	 10	  2.50	[FAB2017] NGC3115 S104
     926	NGC3115_S105  	151.280227	-07.678983	 627	  5	  2.90	[FAB2017] NGC3115 S105
     927	NGC3115_S106  	151.310694	-07.654078	 614	 12	  3.87	[FAB2017] NGC3115 S106
     928	NGC3115_S107  	151.297565	-07.749811	 426	  5	  1.98	[FAB2017] NGC3115 S107
     929	NGC3115_S108  	151.299555	-07.758767	 582	 10	  2.47	[FAB2017] NGC3115 S108
     930	NGC3115_S109  	151.289974	-07.700152	 697	  6	  1.55	[FAB2017] NGC3115 S109
     931	NGC3115_S110  	151.318398	-07.734052	 844	  5	  1.11	[FAB2017] NGC3115 S110
     932	NGC3115_S111  	151.180432	-07.712909	 663	  6	  7.61	[FAB2017] NGC3115 S111
     933	NGC3115_S112  	151.345318	-07.684971	 809	  5	  2.99	[FAB2017] NGC3115 S112
     934	NGC3115_S113  	151.283590	-07.704559	 798	  5	  1.69	[FAB2017] NGC3115 S113
     935	NGC3115_S114  	151.303853	-07.745751	 428	  8	  1.65	[FAB2017] NGC3115 S114
     936	NGC3115_S115  	151.406137	-07.664708	 808	  6	  6.66	[FAB2017] NGC3115 S115
     937	NGC3115_S116  	151.313435	-07.733457	 841	  6	  0.94	[FAB2017] NGC3115 S116
     938	NGC3115_S117  	151.327623	-07.674870	 573	  5	  2.86	[FAB2017] NGC3115 S117
     939	NGC3115_S118  	151.335988	-07.690753	 910	  5	  2.35	[FAB2017] NGC3115 S118
     940	NGC3115_S119  	151.220319	-07.743761	 503	  5	  5.44	[FAB2017] NGC3115 S119
     941	NGC3115_S120  	151.279329	-07.701391	 662	  7	  2.01	[FAB2017] NGC3115 S120
     942	NGC3115_S121  	151.312606	-07.808115	 708	  8	  5.38	[FAB2017] NGC3115 S121
     943	NGC3115_S122  	151.270589	-07.736211	 519	  7	  2.48	[FAB2017] NGC3115 S122
     944	NGC3115_S123  	151.347705	-07.680742	 970	  7	  3.26	[FAB2017] NGC3115 S123
     945	NGC3115_S124  	151.309051	-07.732858	 729	  5	  0.86	[FAB2017] NGC3115 S124
     946	NGC3115_S125  	151.310090	-07.667824	 794	  5	  3.05	[FAB2017] NGC3115 S125
     947	NGC3115_S126  	151.353724	-07.735060	 650	  6	  2.88	[FAB2017] NGC3115 S126
     948	NGC3115_S127  	151.290122	-07.729256	 673	  7	  1.25	[FAB2017] NGC3115 S127
     949	NGC3115_S128  	151.329609	-07.773203	 762	  5	  3.51	[FAB2017] NGC3115 S128
     950	NGC3115_S129  	151.324535	-07.626198	 618	  8	  5.63	[FAB2017] NGC3115 S129
     951	NGC3115_S130  	151.235926	-07.661403	 641	  6	  5.50	[FAB2017] NGC3115 S130
     952	NGC3115_S131  	151.299970	-07.752374	 609	  7	  2.09	[FAB2017] NGC3115 S131
     953	NGC3115_S132  	151.303547	-07.712862	1035	  5	  0.44	[FAB2017] NGC3115 S132
     954	NGC3115_S133  	151.272990	-07.681364	 689	  7	  3.06	[FAB2017] NGC3115 S133
     955	NGC3115_S134  	151.348508	-07.682946	 939	 14	  3.21	[FAB2017] NGC3115 S134
     956	NGC3115_S135  	151.326000	-07.735496	1123	  5	  1.46	[FAB2017] NGC3115 S135
     957	NGC3115_S136  	151.275679	-07.726128	 575	  8	  1.99	[FAB2017] NGC3115 S136
     958	NGC3115_S137  	151.325404	-07.666935	1033	  6	  3.26	[FAB2017] NGC3115 S137
     959	NGC3115_S138  	151.282169	-07.799972	 753	 10	  5.12	[FAB2017] NGC3115 S138
     960	NGC3115_S139  	151.239022	-07.723396	 579	  5	  4.13	[FAB2017] NGC3115 S139
     961	NGC3115_S140  	151.373520	-07.650659	 732	  7	  5.63	[FAB2017] NGC3115 S140
     962	NGC3115_S141  	151.355650	-07.692199	 895	  8	  3.23	[FAB2017] NGC3115 S141
     963	NGC3115_S142  	151.388183	-07.675435	 718	  5	  5.41	[FAB2017] NGC3115 S142
     964	NGC3115_S143  	151.294810	-07.726279	 610	  7	  0.92	[FAB2017] NGC3115 S143
     965	NGC3115_S144  	151.336170	-07.692060	 886	  5	  2.30	[FAB2017] NGC3115 S144
     966	NGC3115_S145  	151.289215	-07.772296	 518	  8	  3.42	[FAB2017] NGC3115 S145
     967	NGC3115_S146  	151.286072	-07.702492	 433	  6	  1.63	[FAB2017] NGC3115 S146
     968	NGC3115_S147  	151.314773	-07.675478	 957	  8	  2.62	[FAB2017] NGC3115 S147
     969	NGC3115_S148  	151.277270	-07.672374	 770	  7	  3.33	[FAB2017] NGC3115 S148
     970	NGC3115_S149  	151.329340	-07.739321	 925	  5	  1.77	[FAB2017] NGC3115 S149
     971	NGC3115_S150  	151.292767	-07.798222	 710	 12	  4.87	[FAB2017] NGC3115 S150
     972	NGC3377_S1    	161.947137	+14.007417	 810	  8	  1.77	[FAB2017] NGC3377 S1
     973	NGC3377_S2    	161.907196	+13.966167	 724	 10	  1.63	[FAB2017] NGC3377 S2
     974	NGC3377_S3    	161.895612	+13.970222	 729	 13	  2.02	[FAB2017] NGC3377 S3
     975	NGC3377_S4    	161.926000	+14.013917	 453	 17	  1.68	[FAB2017] NGC3377 S4
     976	NGC3377_S5    	161.897446	+13.970861	 681	 15	  1.91	[FAB2017] NGC3377 S5
     977	NGC3377_S6    	161.934667	+13.963889	 779	 15	  1.41	[FAB2017] NGC3377 S6
     978	NGC3377_S7    	161.916888	+13.960306	 617	 18	  1.63	[FAB2017] NGC3377 S7
     979	NGC3377_S8    	161.889813	+13.957097	 754	  5	  2.74	[FAB2017] NGC3377 S8
     980	NGC3377_S9    	161.941037	+14.036651	 804	  7	  3.16	[FAB2017] NGC3377 S9
     981	NGC3377_S10   	161.870975	+13.911456	 820	  8	  5.51	[FAB2017] NGC3377 S10
     982	NGC3377_S11   	161.940883	+14.079903	 564	  6	  5.70	[FAB2017] NGC3377 S11
     983	NGC3377_S12   	161.828954	+13.935324	 720	 12	  6.43	[FAB2017] NGC3377 S12
     984	NGC3377_S13   	161.964537	+14.011293	 727	 10	  2.69	[FAB2017] NGC3377 S13
     985	NGC3377_S14   	161.945171	+14.043575	 678	  7	  3.63	[FAB2017] NGC3377 S14
     986	NGC3377_S15   	162.003271	+14.071326	 607	  8	  6.80	[FAB2017] NGC3377 S15
     987	NGC3377_S16   	162.008762	+14.058941	 703	 13	  6.50	[FAB2017] NGC3377 S16
     988	NGC3377_S17   	161.988425	+14.039355	 795	 15	  4.83	[FAB2017] NGC3377 S17
     989	NGC3377_S18   	161.820033	+13.950382	 737	 16	  6.55	[FAB2017] NGC3377 S18
     990	NGC3377_S19   	161.980508	+14.052072	 644	 17	  5.07	[FAB2017] NGC3377 S19
     991	NGC3377_S20   	161.854758	+13.972343	 622	 11	  4.25	[FAB2017] NGC3377 S20
     992	NGC3377_S21   	161.946613	+14.023664	 749	 21	  2.55	[FAB2017] NGC3377 S21
     993	NGC3377_S22   	161.900113	+13.981722	 885	  5	  1.55	[FAB2017] NGC3377 S22
     994	NGC3377_S23   	161.943029	+13.967972	 831	  5	  1.45	[FAB2017] NGC3377 S23
     995	NGC3377_S24   	161.952029	+13.957639	 537	  7	  2.26	[FAB2017] NGC3377 S24
     996	NGC3377_S25   	161.943167	+13.958944	 780	  9	  1.89	[FAB2017] NGC3377 S25
     997	NGC3377_S26   	161.927279	+13.961500	 799	  8	  1.47	[FAB2017] NGC3377 S26
     998	NGC3377_S27   	161.950667	+13.969694	 740	 12	  1.72	[FAB2017] NGC3377 S27
     999	NGC3377_S28   	161.924971	+14.009778	 756	 15	  1.43	[FAB2017] NGC3377 S28
    1000	NGC3377_S29   	161.919337	+14.019839	 736	  5	  2.08	[FAB2017] NGC3377 S29
    1001	NGC3377_S30   	161.843304	+14.071283	 565	  7	  7.04	[FAB2017] NGC3377 S30
    1002	NGC3377_S31   	161.891821	+14.097451	 661	  7	  6.99	[FAB2017] NGC3377 S31
    1003	NGC3377_S32   	161.905288	+14.037391	 839	  9	  3.32	[FAB2017] NGC3377 S32
    1004	NGC3377_S33   	161.841062	+14.066763	 589	 15	  6.94	[FAB2017] NGC3377 S33
    1005	NGC3377_S34   	161.978571	+13.959312	 821	 14	  3.43	[FAB2017] NGC3377 S34
    1006	NGC3377_S35   	161.897158	+14.066449	 584	 13	  5.12	[FAB2017] NGC3377 S35
    1007	NGC3377_S36   	161.877217	+14.030434	 638	 21	  3.92	[FAB2017] NGC3377 S36
    1008	NGC3377_S37   	161.954237	+13.953191	 837	 17	  2.55	[FAB2017] NGC3377 S37
    1009	NGC3377_S38   	161.934296	+13.946213	 592	 16	  2.43	[FAB2017] NGC3377 S38
    1010	NGC3377_S39   	161.864075	+14.067944	 559	 18	  6.11	[FAB2017] NGC3377 S39
    1011	NGC3377_S40   	161.873546	+14.018089	 700	 20	  3.63	[FAB2017] NGC3377 S40
    1012	NGC3377_S41   	161.913563	+14.024882	 576	 18	  2.45	[FAB2017] NGC3377 S41
    1013	NGC3377_S42   	161.919429	+14.042942	 727	 15	  3.45	[FAB2017] NGC3377 S42
    1014	NGC3377_S43   	161.900154	+14.029854	 840	 14	  3.05	[FAB2017] NGC3377 S43
    1015	NGC3377_S44   	161.903250	+13.981500	 664	  5	  1.37	[FAB2017] NGC3377 S44
    1016	NGC3377_S45   	161.953804	+13.990972	 727	  5	  1.63	[FAB2017] NGC3377 S45
    1017	NGC3377_S46   	161.958054	+13.994139	 797	  5	  1.91	[FAB2017] NGC3377 S46
    1018	NGC3377_S47   	161.950417	+13.985750	 657	  5	  1.40	[FAB2017] NGC3377 S47
    1019	NGC3377_S48   	161.911167	+13.965806	 722	  9	  1.50	[FAB2017] NGC3377 S48
    1020	NGC3377_S49   	161.942263	+13.992986	 505	  5	  1.02	[FAB2017] NGC3377 S49
    1021	NGC3377_S50   	161.882617	+13.965335	 687	  5	  2.83	[FAB2017] NGC3377 S50
    1022	NGC3377_S51   	161.900508	+13.963268	 674	  6	  2.03	[FAB2017] NGC3377 S51
    1023	NGC3377_S52   	161.840808	+13.967595	 740	  8	  5.10	[FAB2017] NGC3377 S52
    1024	NGC3377_S53   	161.996246	+14.006155	 641	  7	  4.25	[FAB2017] NGC3377 S53
    1025	NGC3377_S54   	161.893446	+13.982151	 775	  5	  1.93	[FAB2017] NGC3377 S54
    1026	NGC3377_S55   	161.898571	+13.998423	 642	  8	  1.78	[FAB2017] NGC3377 S55
    1027	NGC3377_S56   	161.886783	+13.979734	 792	  7	  2.34	[FAB2017] NGC3377 S56
    1028	NGC3377_S57   	161.834158	+14.033488	 804	 12	  6.08	[FAB2017] NGC3377 S57
    1029	NGC3377_S58   	161.967342	+14.006735	 557	 10	  2.69	[FAB2017] NGC3377 S58
    1030	NGC3377_S59   	161.888658	+13.980913	 636	 10	  2.22	[FAB2017] NGC3377 S59
    1031	NGC3377_S60   	161.963283	+14.014988	 709	 10	  2.77	[FAB2017] NGC3377 S60
    1032	NGC3377_S61   	161.965538	+13.986753	 628	 12	  2.28	[FAB2017] NGC3377 S61
    1033	NGC3377_S62   	162.052025	+14.001399	 736	 15	  7.37	[FAB2017] NGC3377 S62
    1034	NGC3377_S63   	161.972954	+13.993563	 657	 11	  2.75	[FAB2017] NGC3377 S63
    1035	NGC3377_S64   	161.896471	+13.975028	 533	 10	  1.86	[FAB2017] NGC3377 S64
    1036	NGC3377_S65   	161.862467	+14.026177	 572	 18	  4.44	[FAB2017] NGC3377 S65
    1037	NGC3377_S66   	161.983821	+14.041965	 779	 10	  4.74	[FAB2017] NGC3377 S66
    1038	NGC3377_S67   	161.905304	+14.001806	 600	  5	  1.55	[FAB2017] NGC3377 S67
    1039	NGC3377_S68   	161.918554	+13.964083	 703	  9	  1.39	[FAB2017] NGC3377 S68
    1040	NGC3377_S69   	161.929388	+14.009389	 531	 11	  1.42	[FAB2017] NGC3377 S69
    1041	NGC3377_S70   	161.935667	+13.960444	 615	  9	  1.62	[FAB2017] NGC3377 S70
    1042	NGC3377_S71   	161.937279	+13.954667	 805	  6	  1.98	[FAB2017] NGC3377 S71
    1043	NGC3377_S72   	161.910588	+13.889813	 721	  5	  5.84	[FAB2017] NGC3377 S72
    1044	NGC3377_S73   	161.901400	+13.860332	 713	  8	  7.67	[FAB2017] NGC3377 S73
    1045	NGC3377_S74   	161.932871	+14.089294	 648	  9	  6.21	[FAB2017] NGC3377 S74
    1046	NGC3377_S75   	161.916600	+14.018299	 673	  8	  2.02	[FAB2017] NGC3377 S75
    1047	NGC3377_S76   	161.912967	+13.953066	 637	  6	  2.12	[FAB2017] NGC3377 S76
    1048	NGC3377_S77   	161.929750	+13.931513	 669	  6	  3.27	[FAB2017] NGC3377 S77
    1049	NGC3377_S78   	161.925725	+13.918831	 631	 10	  4.03	[FAB2017] NGC3377 S78
    1050	NGC3377_S79   	161.951875	+14.081600	 552	 11	  5.93	[FAB2017] NGC3377 S79
