#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T11:47:57 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:47:57	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/834/57/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18340057
#Name: J/ApJ/834/57
#Title: Milky Way molecular clouds from ^12^CO (Miville-Deschenes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	creator=Miville-Deschenes M.-A.	    First author or institution
#INFO	cites=bibcode:2017ApJ...834...57M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/834/57	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18340057	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-08-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_834_57_table1:
#Name: J/ApJ/834/57/table1
#Title: The molecular clouds catalog
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cloud	(I4)	[1/8107] Cloud number	[ucd=meta.id;meta.main]
#Column	Ncomp	(I3)	[5/600] Number of Gaussian components	[ucd=meta.number]
#Column	Npix	(I3)	[5/444] Number of pixels on the sky	[ucd=meta.number]
#Column	Area	(D12.5)	[0.07/7] Angular area	[ucd=phys.angArea]
#Column	GLON	(F10.6)	[-179/180] Baricentric Galactic longitude	[ucd=pos.galactic.lon]
#Column	Sigb	(D12.5)	[0.1/1.5] Standard deviation in GLON ({sigma}_l_)	[ucd=phys.angSize;src]
#Column	GLAT	(F10.6)	[-5.2/5] Baricentric Galactic latitude	[ucd=pos.galactic.lat]
#Column	Sigl	(D12.5)	[0.1/1.2] Standard deviation in GLAT ({sigma}_b_)	[ucd=phys.angSize]
#Column	theta	(D12.5)	? Angle with respect to b=0	[ucd=pos.posAng]
#Column	WCO	(D12.5)	[2/13929] Integrated CO emission	[ucd=phot.flux]
#Column	NH2	(D12.5)	Average column density	[ucd=meta.number]
#Column	Sigma	(D12.5)	[1.8/739] Surface density	[ucd=phot.flux.density.sb]
#Column	Vcent	(D12.5)	[-188/185] Centroid velocity	[ucd=spect.dopplerVeloc]
#Column	SigV	(D12.5)	[0.09/17] Velocity standard deviation ({sigma}_V_)	[ucd=phys.veloc.dispersion]
#Column	Rmax	(D12.5)	[0.1/3] Largest eigenvalue of the inertia matrix	[ucd=phys.angSize]
#Column	Rmin	(D12.5)	[0.1/1.5] Smallest eigenvalue of the inertia matrix	[ucd=phys.angSize;src]
#Column	Rang	(D12.5)	[0.1/1.7] Angular radius (1)	[ucd=phys.angSize]
#Column	Rgal	(D12.5)	[0.003/97] Galacto-centric radius	[ucd=phys.size.radius]
#Column	INF	(I1)	Near or far distance flag (0=near; 1=far) (2)	[ucd=meta.code]
#Column	Dnear	(D12.5)	[0.001/88.5] Near kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	Dfar	(D12.5)	[0.01/88.5] Far kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	znear	(D12.5)	[-2.8/1.6] Near distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	zfar	(D12.5)	[-2.8/1.6] Far distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	Snear	(D12.5)	[/744960] Near derived physical area	[ucd=phys.area]
#Column	Sfar	(D12.5)	[0.003/744960] Far derived physical area	[ucd=phys.area]
#Column	Rnear	(D12.5)	[0.008/470] Near derived physical size	[ucd=phys.angSize]
#Column	Rfar	(D12.5)	[0.03/470] Far derived physical size	[ucd=phys.angSize]
#Column	Mnear	(D12.5)	[0.0003/] Near derived mass	[ucd=phys.mass]
#Column	Mfar	(D12.5)	[0.01/] Far derived mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Cloud	Ncomp	Npix	Area	GLON	Sigb	GLAT	Sigl	theta	WCO	NH2	Sigma	Vcent	SigV	Rmax	Rmin	Rang	Rgal	INF	Dnear	Dfar	znear	zfar	Snear	Sfar	Rnear	Rfar	Mnear	Mfar	Simbad	_RA.icrs	_DE.icrs
     849	 849	204	142	 2.21875e+00	059.163420	 4.49941e-01	-00.435289	 2.61727e-01	-9.69639e+00	 1.28738e+03	 1.81321e+21	 3.95360e+01	 2.52294e+01	 3.79468e+00	 9.18374e-01	 4.90287e-01	 6.04375e-01	 7.57522e+00	0	 2.32791e+00	 6.38639e+00	-1.76855e-02	-4.85183e-02	 3.66268e+03	 2.75661e+04	 2.45565e+01	 6.73683e+01	 1.44808e+05	 1.08985e+06	Simbad	295.933057	+22.948178
     850	 850	 16	 13	 2.03125e-01	007.491528	 1.25000e-01	-01.000879	 1.25000e-01	-6.39390e+00	 2.64502e+02	 4.06926e+21	 8.87282e+01	 2.62468e+01	 3.18255e+00	 2.56690e-01	 2.23691e-01	 2.34190e-01	 4.38955e+00	0	 4.18074e+00	 1.26767e+01	-7.30280e-02	-2.21434e-01	 1.08150e+03	 9.94338e+03	 1.70884e+01	 5.18150e+01	 9.59592e+04	 8.82258e+05	Simbad	271.566461	-22.968219
     851	 851	  8	  8	 1.25000e-01	004.792791	 1.25000e-01	-00.449238	 1.25000e-01	 1.39932e+00	 1.70785e+02	 4.26963e+21	 9.30971e+01	 2.67941e+01	 7.88180e+00	 1.90439e-01	 1.81389e-01	 1.84357e-01	 3.38565e+00	1	 5.16012e+00	 1.17810e+01	-4.04584e-02	-9.23699e-02	 1.01388e+03	 5.28479e+03	 1.66034e+01	 3.79070e+01	 9.43890e+04	 4.91999e+05	Simbad	269.582849	-25.042681
     852	 852	218	141	 2.20312e+00	013.345950	 4.23695e-01	+01.218704	 3.09513e-01	 3.76327e+00	 1.61502e+03	 2.29081e+21	 4.99499e+01	 2.63872e+01	 5.69492e+00	 8.51237e-01	 6.13725e-01	 6.84436e-01	 5.58417e+00	0	 3.04302e+00	 1.35016e+01	 6.47213e-02	 2.87163e-01	 6.21447e+03	 1.22340e+05	 3.63526e+01	 1.61293e+02	 3.10412e+05	 6.11086e+06	Simbad	272.525767	-16.772773
     853	 853	 38	 35	 5.46875e-01	302.642490	 1.56628e-01	-00.854239	 1.99871e-01	-1.03319e+01	 2.41339e+02	 1.37908e+21	 3.00701e+01	 2.86544e+01	 4.99749e+00	 4.05718e-01	 3.05476e-01	 3.35783e-01	 1.02800e+01	0	 1.19652e+01	 1.19652e+01	-1.78387e-01	-1.78387e-01	 2.38500e+04	 2.38500e+04	 7.01234e+01	 7.01234e+01	 7.17171e+05	 7.17171e+05	Simbad	192.205744	-63.724519
     854	 854	 17	 14	 2.18750e-01	011.576340	 1.25000e-01	+00.041739	 1.95049e-01	-4.54346e+01	 3.03536e+02	 4.33623e+21	 9.45493e+01	 3.09133e+01	 5.65869e+00	 4.07315e-01	 1.64584e-01	 2.22622e-01	 4.96782e+00	0	 3.66129e+00	 1.29929e+01	 2.66718e-03	 9.46509e-03	 8.93248e+02	 1.12491e+04	 1.42260e+01	 5.04840e+01	 8.44559e+04	 1.06359e+06	Simbad	272.711762	-18.890539
     855	 855	 41	 36	 5.62500e-01	008.733668	 2.87882e-01	+00.004196	 2.68798e-01	 3.55581e+00	 4.42567e+02	 2.45871e+21	 5.36108e+01	 2.90552e+01	 7.06911e+00	 5.82967e-01	 5.29776e-01	 5.46944e-01	 4.49985e+00	1	 4.09065e+00	 1.27122e+01	 2.99597e-04	 9.31037e-04	 2.86724e+03	 2.76899e+04	 3.90505e+01	 1.21354e+02	 1.53715e+05	 1.48448e+06	Simbad	271.275346	-21.393332
     856	 856	 14	 13	 2.03125e-01	010.045860	 1.38597e-01	-01.107447	 1.25000e-01	-2.07407e+01	 2.33230e+02	 3.58816e+21	 7.82378e+01	 3.24689e+01	 3.26647e+00	 3.06250e-01	 1.63997e-01	 2.01953e-01	 4.56042e+00	0	 4.05779e+00	 1.26847e+01	-7.84264e-02	-2.45162e-01	 1.01882e+03	 9.95589e+03	 1.43027e+01	 4.47105e+01	 7.97103e+04	 7.78928e+05	Simbad	272.999408	-20.785140
     857	 857	 32	 27	 4.21875e-01	012.144650	 1.69280e-01	-01.341487	 3.69458e-01	-6.02193e+01	 2.27101e+02	 1.68223e+21	 3.66802e+01	 3.43475e+01	 6.79934e+00	 7.90353e-01	 1.89637e-01	 3.05180e-01	 4.84415e+00	0	 3.80881e+00	 1.28153e+01	-8.91689e-02	-3.00022e-01	 1.86431e+03	 2.11055e+04	 2.02874e+01	 6.82598e+01	 6.83833e+04	 7.74156e+05	Simbad	274.283697	-19.053121
     858	 858	 13	 10	 1.56250e-01	014.219830	 1.31357e-01	-00.681109	 1.25000e-01	-9.30948e+00	 2.93951e+02	 5.87902e+21	 1.28189e+02	 3.49693e+01	 4.19313e+00	 2.68623e-01	 1.68059e-01	 1.96497e-01	 5.13486e+00	0	 3.54863e+00	 1.29317e+01	-4.21837e-02	-1.53723e-01	 5.99373e+02	 7.95948e+03	 1.21701e+01	 4.43496e+01	 7.68331e+04	 1.02032e+06	Simbad	274.705723	-16.913033
     859	 859	 15	 14	 2.18750e-01	009.246440	 1.49737e-01	-00.098508	 1.25000e-01	-1.29108e+01	 3.18345e+02	 4.54778e+21	 9.91620e+01	 3.14527e+01	 5.27762e+00	 3.10613e-01	 1.65828e-01	 2.04415e-01	 4.45038e+00	0	 4.15394e+00	 1.26252e+01	-7.14182e-03	-2.17063e-02	 1.14981e+03	 1.06214e+04	 1.48201e+01	 4.50432e+01	 1.14017e+05	 1.05324e+06	Simbad	271.640249	-20.996174
     860	 860	149	114	 1.78125e+00	055.547030	 2.98082e-01	+00.005580	 2.92701e-01	-4.42638e-01	 1.36155e+03	 2.38868e+21	 5.20839e+01	 3.39552e+01	 4.81639e+00	 5.96639e-01	 5.84917e-01	 5.88799e-01	 7.21949e+00	0	 3.07819e+00	 6.53921e+00	 2.99774e-04	 6.36831e-04	 5.14128e+03	 2.32023e+04	 3.16341e+01	 6.72024e+01	 2.67778e+05	 1.20847e+06	Simbad	293.609427	+20.015806
     861	 861	  7	  6	 9.37500e-02	011.942850	 1.25000e-01	-00.888464	 1.25000e-01	 2.33417e+01	 1.82591e+02	 6.08635e+21	 1.32710e+02	 3.57999e+01	 3.20043e+00	 1.90005e-01	 1.25000e-01	 1.43724e-01	 4.71901e+00	0	 3.93755e+00	 1.26965e+01	-6.10556e-02	-1.96872e-01	 4.42772e+02	 4.60356e+03	 9.87717e+00	 3.18485e+01	 5.87601e+04	 6.10938e+05	Simbad	273.760639	-19.015069
     862	 862	 20	 18	 2.81250e-01	018.088780	 1.60682e-01	-00.155979	 1.37567e-01	 1.84296e+01	 4.19423e+02	 4.66025e+21	 1.01614e+02	 3.80509e+01	 5.74576e+00	 3.55752e-01	 2.28939e-01	 2.65173e-01	 5.44407e+00	0	 3.31833e+00	 1.28415e+01	-9.03366e-03	-3.49592e-02	 9.43383e+02	 1.41280e+04	 1.53578e+01	 5.94328e+01	 9.58612e+04	 1.43561e+06	Simbad	276.110659	-13.251858
     863	 863	  8	  6	 9.37500e-02	019.032570	 1.25000e-01	-01.284343	 1.25000e-01	-3.99979e+01	 1.48527e+02	 4.95089e+21	 1.07952e+02	 4.08894e+01	 5.39360e+00	 2.45185e-01	 1.25000e-01	 1.56472e-01	 5.39806e+00	0	 3.40416e+00	 1.26705e+01	-7.63014e-02	-2.83999e-01	 3.30939e+02	 4.58477e+03	 9.29666e+00	 3.46028e+01	 3.57254e+04	 4.94933e+05	Simbad	277.586938	-12.941556
     864	 864	112	 99	 1.54688e+00	039.072330	 3.15630e-01	-00.388841	 3.24978e-01	-9.30748e+00	 7.46657e+02	 1.50840e+21	 3.28899e+01	 4.10549e+01	 2.92411e+00	 6.90553e-01	 5.86573e-01	 6.19366e-01	 6.58936e+00	0	 2.76288e+00	 1.04354e+01	-1.87502e-02	-7.08198e-02	 3.59695e+03	 5.13132e+04	 2.98678e+01	 1.12811e+02	 1.18303e+05	 1.68768e+06	Simbad	286.015050	+05.284498
     865	 865	 62	 50	 7.81250e-01	019.372860	 2.76399e-01	-00.210412	 2.04154e-01	-1.13442e+01	 8.25266e+02	 3.30106e+21	 7.19780e+01	 3.94514e+01	 7.45603e+00	 5.73392e-01	 3.78845e-01	 4.34969e-01	 5.50458e+00	1	 3.29112e+00	 1.27464e+01	-1.20862e-02	-4.68097e-02	 2.57771e+03	 3.86656e+04	 2.49855e+01	 9.67683e+01	 1.85538e+05	 2.78307e+06	Simbad	276.774324	-12.141612
     866	 866	 63	 50	 7.81250e-01	030.410770	 2.26261e-01	+00.056958	 2.07242e-01	 7.44244e+00	 6.25256e+02	 2.50102e+21	 5.45335e+01	 4.11517e+01	 5.64266e+00	 4.68733e-01	 3.96059e-01	 4.18937e-01	 6.22191e+00	1	 2.83620e+00	 1.18249e+01	 2.81947e-03	 1.17551e-02	 1.91435e+03	 3.32769e+04	 2.07382e+01	 8.64633e+01	 1.04396e+05	 1.81470e+06	Simbad	281.658571	-02.217649
     867	 867	 32	 28	 4.37500e-01	012.918680	 1.79698e-01	-01.206841	 3.23679e-01	-4.86097e+01	 2.46457e+02	 1.76041e+21	 3.83848e+01	 4.39633e+01	 5.06368e+00	 6.93004e-01	 2.60740e-01	 3.61174e-01	 4.44087e+00	0	 4.27206e+00	 1.23013e+01	-8.99772e-02	-2.59088e-01	 2.43225e+03	 2.01668e+04	 2.69300e+01	 7.75446e+01	 9.33615e+04	 7.74101e+05	Simbad	274.545692	-18.307899
     868	 868	 24	 17	 2.65625e-01	034.863880	 1.62517e-01	-00.566921	 1.84261e-01	-4.05130e+01	 4.72243e+02	 5.55581e+21	 1.21141e+02	 4.20566e+01	 4.55184e+00	 4.60708e-01	 1.70893e-01	 2.37843e-01	 6.39242e+00	0	 2.82062e+00	 1.11288e+01	-2.79086e-02	-1.10113e-01	 6.43746e+02	 1.00212e+04	 1.17089e+01	 4.61974e+01	 7.79844e+04	 1.21398e+06	Simbad	284.245344	+01.460669
     869	 869	 25	 23	 3.59375e-01	035.393960	 1.87503e-01	-00.389050	 1.81933e-01	-3.06023e+01	 3.68978e+02	 3.20850e+21	 6.99597e+01	 4.31993e+01	 2.89634e+00	 4.68819e-01	 2.30731e-01	 2.92240e-01	 6.36953e+00	0	 2.88771e+00	 1.09708e+01	-1.96080e-02	-7.44935e-02	 9.12876e+02	 1.31760e+04	 1.47290e+01	 5.59577e+01	 6.38645e+04	 9.21785e+05	Simbad	284.329076	+02.013479
     870	 870	 18	 17	 2.65625e-01	022.315440	 1.65359e-01	-00.306220	 1.61161e-01	-2.24653e+01	 3.47973e+02	 4.09380e+21	 8.92632e+01	 4.22811e+01	 7.67757e+00	 3.89799e-01	 2.47635e-01	 2.88064e-01	 5.63570e+00	1	 3.24346e+00	 1.24836e+01	-1.73347e-02	-6.67188e-02	 8.51220e+02	 1.26097e+04	 1.63072e+01	 6.27638e+01	 7.59826e+04	 1.12558e+06	Simbad	278.249620	-09.578617
     871	 871	 16	 15	 2.34375e-01	019.114430	 1.90023e-01	-00.666464	 1.25000e-01	 1.19476e+00	 4.38929e+02	 5.85239e+21	 1.27608e+02	 4.65994e+01	 6.08161e+00	 3.80168e-01	 2.14184e-01	 2.59329e-01	 5.13561e+00	0	 3.71568e+00	 1.23481e+01	-4.32198e-02	-1.43630e-01	 9.85699e+02	 1.08860e+04	 1.68178e+01	 5.58898e+01	 1.25783e+05	 1.38915e+06	Simbad	277.064566	-12.582504
     872	 872	  9	  9	 1.40625e-01	018.711430	 1.25000e-01	-00.595370	 1.25000e-01	-2.77005e+01	 2.19449e+02	 4.87664e+21	 1.06332e+02	 4.48135e+01	 7.16775e+00	 2.76294e-01	 1.29715e-01	 1.66898e-01	 5.17444e+00	1	 3.65329e+00	 1.24491e+01	-3.79613e-02	-1.29358e-01	 5.71726e+02	 6.63884e+03	 1.06418e+01	 3.62632e+01	 6.07930e+04	 7.05924e+05	Simbad	276.807905	-12.906193
     873	 873	  5	  5	 7.81250e-02	015.839000	 1.25000e-01	-00.628428	 1.25000e-01	-4.50590e+00	 1.21739e+02	 4.86956e+21	 1.06178e+02	 4.58542e+01	 6.60611e+00	 2.43628e-01	 1.25000e-01	 1.56141e-01	 4.78212e+00	1	 3.99582e+00	 1.23597e+01	-4.38259e-02	-1.35560e-01	 3.79979e+02	 3.63549e+03	 1.08893e+01	 3.36824e+01	 4.03454e+04	 3.86010e+05	Simbad	275.452331	-15.460424
     874	 874	 15	 14	 2.18750e-01	024.944870	 1.38798e-01	-00.274651	 1.25000e-01	 1.44653e+01	 2.60933e+02	 3.72761e+21	 8.12787e+01	 4.57521e+01	 2.61067e+00	 2.97996e-01	 2.08337e-01	 2.34736e-01	 5.68694e+00	0	 3.29233e+00	 1.21220e+01	-1.57819e-02	-5.81073e-02	 7.22290e+02	 9.79155e+03	 1.34885e+01	 4.96631e+01	 5.87067e+04	 7.95844e+05	Simbad	279.444623	-07.229702
     875	 875	 23	 23	 3.59375e-01	003.053884	 2.37225e-01	-00.389421	 1.54281e-01	 2.46689e+00	 4.73711e+02	 4.11922e+21	 8.98175e+01	 4.66824e+01	 1.18591e+01	 4.75207e-01	 3.07393e-01	 3.55432e-01	 1.62250e+00	1	 6.93007e+00	 1.00462e+01	-4.71011e-02	-6.82802e-02	 5.25750e+03	 1.10486e+04	 4.29910e+01	 6.23220e+01	 4.72215e+05	 9.92355e+05	Simbad	268.554282	-26.515586
     876	 876	 20	 19	 2.96875e-01	019.142260	 1.25000e-01	-00.027018	 2.57929e-01	-5.48120e+01	 2.11460e+02	 2.22590e+21	 4.85346e+01	 4.47771e+01	 4.49992e+00	 5.38087e-01	 1.70624e-01	 2.50214e-01	 5.22178e+00	0	 3.61436e+00	 1.24457e+01	-1.70438e-03	-5.86887e-03	 1.18138e+03	 1.40077e+04	 1.57842e+01	 5.43512e+01	 5.73380e+04	 6.79857e+05	Simbad	276.498358	-12.260158
     877	 877	 13	 13	 2.03125e-01	021.836240	 1.25000e-01	-00.587572	 1.70289e-01	-3.01188e+01	 2.55049e+02	 3.92383e+21	 8.55571e+01	 4.78709e+01	 5.34507e+00	 3.57041e-01	 1.98951e-01	 2.41770e-01	 5.34428e+00	0	 3.58155e+00	 1.21995e+01	-3.67283e-02	-1.25105e-01	 7.93708e+02	 9.20888e+03	 1.51131e+01	 5.14786e+01	 6.79074e+04	 7.87885e+05	Simbad	278.278519	-10.133565
     878	 878	 52	 34	 5.31250e-01	025.210240	 1.89622e-01	+00.022480	 2.25538e-01	 7.35326e+00	 7.45173e+02	 4.38337e+21	 9.55771e+01	 5.16022e+01	 6.25743e+00	 4.56918e-01	 3.72186e-01	 3.98523e-01	 5.46735e+00	0	 3.59356e+00	 1.17872e+01	 1.40993e-03	 4.62467e-03	 2.08981e+03	 2.24842e+04	 2.49956e+01	 8.19876e+01	 1.99738e+05	 2.14897e+06	Simbad	279.301439	-06.857527
     879	 879	 11	 10	 1.56250e-01	022.339660	 2.51483e-01	-00.060962	 1.25000e-01	-2.03621e+01	 2.38102e+02	 4.76205e+21	 1.03834e+02	 5.30075e+01	 9.36002e+00	 5.38619e-01	 1.25000e-01	 2.03408e-01	 5.17783e+00	1	 3.81584e+00	 1.19083e+01	-4.06000e-03	-1.26702e-02	 6.93039e+02	 6.74952e+03	 1.35468e+01	 4.22761e+01	 7.19610e+04	 7.00829e+05	Simbad	278.040389	-09.443874
     880	 880	 15	 15	 2.34375e-01	018.996830	 1.62286e-01	-00.139718	 1.25000e-01	-3.71093e+00	 3.09504e+02	 4.12672e+21	 8.99809e+01	 5.48808e+01	 8.95918e+00	 3.25947e-01	 2.30605e-01	 2.58798e-01	 4.77441e+00	1	 4.14614e+00	 1.19280e+01	-1.01105e-02	-2.90869e-02	 1.22731e+03	 1.01579e+04	 1.87278e+01	 5.38779e+01	 1.10435e+05	 9.14020e+05	Simbad	276.530961	-12.441367
     881	 881	 78	 57	 8.90625e-01	025.555350	 3.67016e-01	-00.476201	 3.11468e-01	-3.35243e+01	 9.28040e+02	 3.25628e+21	 7.10015e+01	 5.47841e+01	 4.10086e+00	 9.10084e-01	 3.14007e-01	 4.47699e-01	 5.37157e+00	0	 3.74318e+00	 1.15942e+01	-3.11102e-02	-9.63616e-02	 3.80131e+03	 3.64698e+04	 2.92492e+01	 9.05970e+01	 2.69898e+05	 2.58941e+06	Simbad	279.907152	-06.779657
     882	 882	  5	  5	 7.81250e-02	000.619552	 1.25000e-01	-00.437674	 1.25000e-01	-1.44132e+01	 1.41469e+02	 5.65877e+21	 1.23387e+02	 5.50552e+01	 1.06207e+01	 2.35713e-01	 1.25000e-01	 1.54431e-01	 3.14045e-01	1	 8.19945e+00	 8.80006e+00	-6.26338e-02	-6.72217e-02	 1.59998e+03	 1.84296e+03	 2.21003e+01	 2.37191e+01	 1.97416e+05	 2.27397e+05	Simbad	267.198405	-28.633091
     883	 883	 59	 51	 7.96875e-01	041.975660	 2.09629e-01	-00.325315	 3.07319e-01	-3.31151e+01	 6.62718e+02	 2.59889e+21	 5.66675e+01	 5.51947e+01	 4.67032e+00	 6.55420e-01	 3.52111e-01	 4.33138e-01	 6.19561e+00	0	 3.85603e+00	 8.78246e+00	-2.18937e-02	-4.98649e-02	 3.60934e+03	 1.87232e+04	 2.91510e+01	 6.63939e+01	 2.04532e+05	 1.06100e+06	Simbad	287.302122	+07.891906
     884	 884	 16	 14	 2.18750e-01	039.101830	 2.00245e-01	-00.502663	 1.61451e-01	-3.41632e+01	 2.84930e+02	 4.07042e+21	 8.87535e+01	 5.82011e+01	 6.61534e+00	 4.94712e-01	 1.41132e-01	 2.14388e-01	 5.99439e+00	1	 3.91442e+00	 9.27853e+00	-3.43413e-02	-8.14007e-02	 1.02103e+03	 5.73671e+03	 1.46470e+01	 3.47184e+01	 9.06202e+04	 5.09153e+05	Simbad	286.130211	+05.258506
     885	 885	 18	 16	 2.50000e-01	019.600490	 1.54957e-01	-00.232259	 1.25000e-01	-9.13289e+00	 2.63155e+02	 3.28943e+21	 7.17244e+01	 5.80914e+01	 7.18100e+00	 3.19219e-01	 2.35192e-01	 2.60402e-01	 4.71664e+00	1	 4.25035e+00	 1.17647e+01	-1.72295e-02	-4.76903e-02	 1.37577e+03	 1.05404e+04	 1.93174e+01	 5.34695e+01	 9.86760e+04	 7.56007e+05	Simbad	276.902427	-11.950310
     886	 886	 16	 16	 2.50000e-01	035.980270	 1.25000e-01	-00.051574	 2.05734e-01	 3.04495e+01	 2.18487e+02	 2.73109e+21	 5.95499e+01	 5.78177e+01	 5.19874e+00	 4.22960e-01	 2.19877e-01	 2.73455e-01	 5.87423e+00	0	 3.78507e+00	 9.97166e+00	-3.40709e-03	-8.97587e-03	 1.09105e+03	 7.57236e+03	 1.80651e+01	 4.75921e+01	 6.49719e+04	 4.50934e+05	Simbad	284.296457	+02.689186
     887	 887	 44	 36	 5.62500e-01	019.462600	 2.14620e-01	-01.065639	 1.82157e-01	-2.13900e+01	 5.90884e+02	 3.28269e+21	 7.15773e+01	 6.08366e+01	 5.72779e+00	 4.84887e-01	 2.86108e-01	 3.41114e-01	 4.60223e+00	0	 4.38745e+00	 1.16439e+01	-8.15971e-02	-2.16552e-01	 3.29840e+03	 2.32315e+04	 2.61213e+01	 6.93238e+01	 2.36091e+05	 1.66285e+06	Simbad	277.592222	-12.459215
     888	 888	  8	  8	 1.25000e-01	001.429626	 1.41386e-01	-00.852889	 1.25000e-01	 3.25541e+01	 1.56204e+02	 3.90509e+21	 8.51485e+01	 6.19841e+01	 1.29347e+01	 3.44837e-01	 1.25000e-01	 1.75312e-01	 6.34015e-01	1	 7.90073e+00	 9.09586e+00	-1.17604e-01	-1.35393e-01	 2.37684e+03	 3.15031e+03	 2.41745e+01	 2.78313e+01	 2.02385e+05	 2.68244e+05	Simbad	268.075462	-28.150145
     889	 889	114	 93	 1.45312e+00	039.938180	 2.53669e-01	-00.333856	 3.24348e-01	-1.81755e+01	 1.19543e+03	 2.57081e+21	 5.60552e+01	 5.93610e+01	 5.64060e+00	 6.75756e-01	 4.70694e-01	 5.30994e-01	 5.99059e+00	0	 4.04510e+00	 8.98966e+00	-2.35702e-02	-5.23814e-02	 7.24297e+03	 3.57722e+04	 3.74894e+01	 8.33149e+01	 4.06006e+05	 2.00522e+06	Simbad	286.365227	+06.079022
     890	 890	 11	 10	 1.56250e-01	042.501020	 1.25000e-01	-00.135012	 1.25000e-01	 2.43396e+01	 1.29537e+02	 2.59074e+21	 5.64897e+01	 6.18282e+01	 6.51519e+00	 2.52741e-01	 1.63040e-01	 1.88693e-01	 6.00963e+00	1	 4.49536e+00	 8.03819e+00	-1.05929e-02	-1.89413e-02	 9.61844e+02	 3.07534e+03	 1.48047e+01	 2.64723e+01	 5.43343e+04	 1.73725e+05	Simbad	287.376338	+08.445817
     891	 891	 17	 12	 1.87500e-01	020.627550	 1.25000e-01	-00.527299	 1.29775e-01	-7.80497e+00	 2.83097e+02	 4.71829e+21	 1.02880e+02	 6.29514e+01	 6.28440e+00	 2.62194e-01	 2.04633e-01	 2.22258e-01	 4.64876e+00	1	 4.39940e+00	 1.15114e+01	-4.04876e-02	-1.05939e-01	 1.10546e+03	 7.56857e+03	 1.70660e+01	 4.46545e+01	 1.13730e+05	 7.78653e+05	Simbad	277.655709	-11.177503
     892	 892	 59	 45	 7.03125e-01	042.581670	 3.25762e-01	-00.308424	 2.32591e-01	-2.33104e+01	 1.06639e+03	 4.73952e+21	 1.03343e+02	 6.09750e+01	 5.80922e+00	 7.28604e-01	 3.31682e-01	 4.31167e-01	 6.03792e+00	0	 4.42097e+00	 8.09654e+00	-2.37980e-02	-4.35835e-02	 4.18624e+03	 1.40406e+04	 3.32697e+01	 6.09299e+01	 4.32618e+05	 1.45100e+06	Simbad	287.569490	+08.437322
     893	 893	  8	  6	 9.37500e-02	019.950590	 1.25000e-01	-00.213922	 1.25000e-01	 2.66239e+01	 1.81530e+02	 6.05101e+21	 1.31939e+02	 6.22531e+01	 6.23608e+00	 2.59180e-01	 1.46115e-01	 1.76874e-01	 4.60352e+00	1	 4.41490e+00	 1.15650e+01	-1.64836e-02	-4.31794e-02	 5.56633e+02	 3.81960e+03	 1.36290e+01	 3.57016e+01	 7.34417e+04	 5.03956e+05	Simbad	277.052149	-11.631839
