#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
     321	F579-V1    	coreNFW-Flat	 0.49	 0.13	 0.00	 0.00	 88.88	 9.05	24.3	 9.2	 58.49	 33.42	300.68	200.96	  0.27	    0.23	 1.76	  1.37	10.80	 0.74	 0.00	 0.00	 0.25
     322	F579-V1    	coreNFW-LCDM	 0.75	 0.18	 0.00	 0.00	 94.10	 8.65	32.3	 3.2	 94.11	  8.44	  5.21	  1.24	 24.74	    6.28	-2.85	  0.36	11.42	 0.12	 0.00	 0.00	 4.13
     323	F579-V1    	Lucky13-Flat	 0.51	 0.13	 0.00	 0.00	 88.78	 8.83	28.1	 9.6	 55.76	 31.78	 54.07	 22.84	  1.41	    1.00	-0.21	  1.19	10.74	 0.74	 0.00	 0.00	 0.14
     324	F579-V1    	Lucky13-LCDM	 0.96	 0.21	 0.00	 0.00	 90.53	 8.64	38.8	 4.5	101.37	 12.61	  4.68	  3.93	 29.66	   25.16	-2.75	  1.17	11.52	 0.16	 0.00	 0.00	 3.17
     325	F583-1     	pISO-Flat   	 0.50	 0.13	 0.00	 0.00	 30.54	 8.63	61.8	 5.1	 97.59	  7.77	 56.91	 29.60	  2.35	    1.24	-1.48	  0.73	11.47	 0.10	 0.00	 0.00	 0.36
     326	F583-1     	Burkert-Flat	 0.49	 0.12	 0.00	 0.00	 32.56	 8.54	62.5	 5.1	 59.57	  4.93	 18.97	  5.34	  4.30	    1.26	-1.52	  0.40	10.83	 0.11	 0.00	 0.00	 0.21
     327	F583-1     	NFW-Flat    	 0.50	 0.13	 0.00	 0.00	 32.80	 8.80	62.0	 5.0	100.14	 22.72	  4.99	  1.77	 27.47	   11.57	-2.89	  0.63	11.51	 0.30	 0.00	 0.00	 1.79
     328	F583-1     	NFW-LCDM    	 0.59	 0.14	 0.00	 0.00	 39.61	 6.23	66.8	 4.4	 68.88	  4.10	  6.01	  1.08	 15.70	    2.98	-2.71	  0.26	11.02	 0.08	 0.00	 0.00	 2.23
     329	F583-1     	Einasto-Flat	 0.50	 0.13	 0.00	 0.00	 34.10	 8.67	62.0	 5.0	 41.67	  4.66	  9.13	  1.86	  6.25	    1.45	-2.36	  0.34	10.36	 0.15	 1.11	 0.28	 2.23
     330	F583-1     	Einasto-LCDM	 0.50	 0.12	 0.00	 0.00	 25.25	 7.71	60.9	 5.1	 54.78	  6.09	 10.23	  2.95	  7.34	    2.27	-2.47	  0.43	10.72	 0.14	 0.51	 0.07	 2.23
     331	F583-1     	DC14-Flat   	 0.47	 0.11	 0.00	 0.00	 29.89	 7.12	61.8	 5.1	 64.50	  4.96	 25.19	  7.38	  3.51	    1.06	-1.70	  0.31	10.93	 0.10	 0.00	 0.00	 0.19
     332	F583-1     	DC14-LCDM   	 0.49	 0.11	 0.00	 0.00	 42.26	 5.55	65.1	 4.4	 65.58	  3.58	 15.67	  2.58	  5.73	    1.00	-2.15	  0.18	10.95	 0.07	 0.00	 0.00	 0.40
     333	F583-1     	coreNFW-Flat	 0.48	 0.12	 0.00	 0.00	 29.16	 7.68	61.8	 5.1	 57.55	  6.20	 21.05	  7.98	  3.75	    1.48	-1.37	  0.54	10.78	 0.14	 0.00	 0.00	 0.25
     334	F583-1     	coreNFW-LCDM	 0.51	 0.12	 0.00	 0.00	 36.93	 5.25	63.5	 4.5	 63.09	  3.55	 13.17	  2.69	  6.56	    1.39	-1.88	  0.29	10.90	 0.07	 0.00	 0.00	 0.40
     335	F583-1     	Lucky13-Flat	 0.51	 0.12	 0.00	 0.00	 30.06	 8.51	62.5	 5.0	 70.53	  6.40	 21.04	  6.74	  4.59	    1.53	-1.26	  0.46	11.05	 0.12	 0.00	 0.00	 0.50
     336	F583-1     	Lucky13-LCDM	 0.56	 0.13	 0.00	 0.00	 46.24	 6.35	65.7	 4.3	 68.87	  3.89	 14.33	  2.08	  6.58	    1.02	-1.67	  0.22	11.02	 0.07	 0.00	 0.00	 0.64
     337	F583-4     	pISO-Flat   	 0.51	 0.13	 0.00	 0.00	 52.06	11.02	55.6	10.7	 64.99	 17.39	 72.73	 43.68	  1.22	    0.80	-1.27	  0.96	10.94	 0.35	 0.00	 0.00	 0.42
     338	F583-4     	Burkert-Flat	 0.50	 0.14	 0.00	 0.00	 52.84	11.10	55.8	10.4	 39.83	 20.70	 21.76	  8.08	  2.51	    1.60	-1.36	  1.07	10.30	 0.68	 0.00	 0.00	 0.64
     339	F583-4     	NFW-Flat    	 0.52	 0.13	 0.00	 0.00	 54.27	10.59	56.5	 9.9	 91.83	 92.53	  3.83	  2.75	 32.82	   40.57	-3.15	  2.09	11.39	 1.31	 0.00	 0.00	 0.21
     340	F583-4     	NFW-LCDM    	 0.49	 0.12	 0.00	 0.00	 48.39	 9.44	53.1	 7.6	 64.24	  5.17	  7.68	  1.76	 11.45	    2.79	-2.46	  0.34	10.93	 0.10	 0.00	 0.00	 0.34
     341	F583-4     	Einasto-Flat	 0.49	 0.16	 0.00	 0.00	 54.03	11.47	55.8	10.8	 76.48	 80.14	  4.65	  3.36	 22.54	   28.68	-3.56	  2.17	11.15	 1.37	 0.22	 0.36	 0.34
     342	F583-4     	Einasto-LCDM	 0.50	 0.12	 0.00	 0.00	 44.27	10.36	47.0	 8.1	 63.00	  5.70	  9.49	  2.42	  9.10	    2.46	-2.80	  0.38	10.90	 0.12	 0.24	 0.05	 0.34
     343	F583-4     	DC14-Flat   	 0.50	 0.14	 0.00	 0.00	 55.49	10.84	56.3	 9.9	 53.28	 45.30	 13.18	  8.64	  5.54	    5.95	-2.19	  1.52	10.68	 1.11	 0.00	 0.00	 0.25
     344	F583-4     	DC14-LCDM   	 0.59	 0.14	 0.00	 0.00	 61.94	 7.91	57.8	 8.4	 69.03	  5.11	  9.43	  2.33	 10.03	    2.58	-2.60	  0.27	11.02	 0.10	 0.00	 0.00	 0.52
     345	F583-4     	coreNFW-Flat	 0.55	 0.13	 0.00	 0.00	 55.05	10.08	56.4	 9.2	255.94	 98.08	  1.09	 13.53	320.31	 3962.27	-4.22	 17.49	12.73	 0.50	 0.00	 0.00	 0.35
     346	F583-4     	coreNFW-LCDM	 0.52	 0.13	 0.00	 0.00	 55.08	 8.80	54.2	 7.2	 67.24	  4.76	  7.35	  1.75	 12.54	    3.12	-2.50	  0.34	10.99	 0.09	 0.00	 0.00	 0.59
     347	F583-4     	Lucky13-Flat	 0.51	 0.14	 0.00	 0.00	 53.90	11.08	55.7	10.2	 46.89	 16.19	 22.90	  9.12	  2.80	    1.48	-1.17	  0.83	10.52	 0.45	 0.00	 0.00	 0.39
     348	F583-4     	Lucky13-LCDM	 0.63	 0.15	 0.00	 0.00	 62.90	 8.46	62.2	 7.9	 71.40	  5.32	  9.81	  2.55	  9.97	    2.70	-2.06	  0.37	11.06	 0.10	 0.00	 0.00	 0.76
     349	IC2574     	pISO-Flat   	 0.77	 0.09	 0.00	 0.00	  4.04	 0.20	80.0	 5.5	119.39	 57.47	 14.76	  1.32	 11.08	    5.43	-2.62	  0.90	11.73	 0.63	 0.00	 0.00	 2.51
     350	IC2574     	Burkert-Flat	 0.69	 0.09	 0.00	 0.00	  4.03	 0.19	77.8	 5.6	 85.83	 44.24	  7.49	  0.57	 15.69	    8.17	-2.52	  0.96	11.30	 0.67	 0.00	 0.00	 2.41
     351	IC2574     	NFW-Flat    	 0.26	 0.05	 0.00	 0.00	  4.83	 0.19	87.4	 2.1	105.03	  5.57	  1.00	  0.01	143.87	    7.74	-4.29	  0.10	11.57	 0.07	 0.00	 0.00	36.55
     352	IC2574     	NFW-LCDM    	 0.44	 0.05	 0.00	 0.00	  5.45	 0.16	88.4	 1.8	 78.56	  2.99	  1.00	  0.01	107.59	    4.36	-4.29	  0.07	11.19	 0.05	 0.00	 0.00	36.30
     353	IC2574     	Einasto-Flat	 0.41	 0.10	 0.00	 0.00	  3.92	 0.20	76.2	 6.4	275.92	 98.58	  1.64	  0.81	230.07	  140.20	-4.49	  0.95	12.83	 0.47	 0.33	 0.10	36.30
     354	IC2574     	Einasto-LCDM	 0.44	 0.09	 0.00	 0.00	  3.84	 0.20	76.8	 5.9	 63.18	  3.50	  4.71	  0.25	 18.39	    1.42	-3.33	  0.13	10.90	 0.07	 0.76	 0.06	36.30
     355	IC2574     	DC14-Flat   	 0.44	 0.10	 0.00	 0.00	  3.92	 0.20	75.4	 6.4	123.50	 11.53	  7.68	  0.79	 22.03	    3.05	-2.83	  0.18	11.78	 0.12	 0.00	 0.00	 2.17
     356	IC2574     	DC14-LCDM   	 0.42	 0.05	 0.00	 0.00	  4.00	 0.19	80.8	 4.8	 67.56	  3.12	  9.53	  0.59	  9.72	    0.75	-2.68	  0.10	10.99	 0.06	 0.00	 0.00	 2.43
     357	IC2574     	coreNFW-Flat	 0.50	 0.12	 0.00	 0.00	  3.71	 0.20	10.4	 0.9	495.74	 49.16	 11.69	  0.62	 58.11	    6.54	-2.01	  0.20	13.59	 0.13	 0.00	 0.00	 3.08
     358	IC2574     	coreNFW-LCDM	 0.43	 0.09	 0.00	 0.00	  1.47	 0.20	59.3	 8.8	 54.70	  4.82	 14.65	  0.80	  5.12	    0.53	-1.77	  0.18	10.72	 0.11	 0.00	 0.00	 6.22
     359	IC2574     	Lucky13-Flat	 0.54	 0.11	 0.00	 0.00	  4.02	 0.20	77.9	 5.7	105.99	 32.05	  7.09	  0.73	 20.49	    6.54	-2.37	  0.57	11.58	 0.39	 0.00	 0.00	 2.27
     360	IC2574     	Lucky13-LCDM	 0.39	 0.06	 0.00	 0.00	  4.17	 0.19	83.7	 3.9	 74.04	  3.07	  7.99	  0.47	 12.70	    0.92	-2.26	  0.11	11.11	 0.05	 0.00	 0.00	 2.70
     361	IC4202     	pISO-Flat   	 0.50	 0.11	 0.31	 0.06	 17.05	 3.91	89.8	 0.6	271.62	  3.76	989.51	128.51	  0.38	    0.05	 0.99	  0.18	12.81	 0.02	 0.00	 0.00	 8.67
     362	IC4202     	Burkert-Flat	 0.56	 0.12	 0.58	 0.14	  1.47	 4.03	89.7	 0.6	 43.55	 11.06	913.24	191.48	  0.07	    0.02	 3.10	  0.54	10.42	 0.33	 0.00	 0.00	 2.95
     363	IC4202     	NFW-Flat    	 0.83	 0.15	 0.16	 0.03	 52.88	 9.33	89.9	 0.6	132.83	  5.57	 29.88	  4.79	  6.09	    1.01	-0.97	  0.22	11.87	 0.05	 0.00	 0.00	20.17
     364	IC4202     	NFW-LCDM    	 0.67	 0.10	 0.14	 0.02	 67.51	 8.03	89.9	 0.6	140.80	  4.86	 24.25	  2.48	  7.95	    0.86	-1.21	  0.15	11.95	 0.04	 0.00	 0.00	20.56
     365	IC4202     	Einasto-Flat	 0.56	 0.12	 0.64	 0.14	  1.82	 4.64	90.0	 0.6	 26.86	  7.55	267.61	 49.00	  0.14	    0.05	 1.92	  0.57	 9.79	 0.37	 0.76	 0.04	20.56
     366	IC4202     	Einasto-LCDM	 0.20	 0.04	 0.17	 0.04	 44.07	 9.64	89.7	 0.6	 75.90	  5.23	 30.91	  5.47	  3.36	    0.64	-0.89	  0.26	11.14	 0.09	 0.77	 0.04	20.56
     367	IC4202     	DC14-Flat   	 0.54	 0.13	 0.37	 0.08	 10.55	 2.35	89.9	 0.6	108.32	  4.40	359.49	 62.25	  0.41	    0.07	 1.11	  0.18	11.61	 0.05	 0.00	 0.00	 3.48
     368	IC4202     	DC14-LCDM   	 0.19	 0.04	 0.17	 0.03	 39.80	 5.36	90.0	 0.6	135.74	  3.73	105.36	 13.05	  1.76	    0.22	-0.15	  0.13	11.90	 0.04	 0.00	 0.00	 5.58
     369	IC4202     	coreNFW-Flat	 0.46	 0.11	 0.49	 0.10	  4.98	 1.38	90.0	 0.6	 56.82	  3.40	999.27	109.18	  0.08	    0.01	 3.22	  0.18	10.77	 0.08	 0.00	 0.00	 9.21
     370	IC4202     	coreNFW-LCDM	 0.26	 0.05	 0.16	 0.03	 71.15	 8.48	89.9	 0.6	116.84	  3.72	130.87	 13.91	  1.22	    0.14	 0.75	  0.15	11.71	 0.04	 0.00	 0.00	12.58
     371	IC4202     	Lucky13-Flat	 0.52	 0.12	 0.63	 0.13	  1.67	 3.61	90.0	 0.6	 52.98	 11.41	993.88	205.38	  0.07	    0.02	 3.25	  0.48	10.68	 0.28	 0.00	 0.00	 6.89
     372	IC4202     	Lucky13-LCDM	 0.35	 0.06	 0.13	 0.02	 70.58	 8.35	89.9	 0.6	134.89	  4.06	 62.10	  6.43	  2.98	    0.32	-0.05	  0.15	11.89	 0.04	 0.00	 0.00	 9.95
     373	KK98-251   	pISO-Flat   	 0.49	 0.13	 0.00	 0.00	  7.44	 2.03	59.6	 5.0	 49.08	134.73	 27.98	 13.39	  2.40	    6.70	-2.09	  5.10	10.58	 3.58	 0.00	 0.00	 0.35
     374	KK98-251   	Burkert-Flat	 0.50	 0.13	 0.00	 0.00	  7.43	 2.06	59.5	 4.8	 33.41	148.08	 11.86	  4.59	  3.86	   17.18	-2.03	  8.18	10.07	 5.78	 0.00	 0.00	 0.37
     375	KK98-251   	NFW-Flat    	 0.51	 0.13	 0.00	 0.00	 10.13	 1.76	62.8	 4.6	 48.44	 23.75	  1.01	  0.45	 65.68	   43.63	-4.28	  1.10	10.56	 0.64	 0.00	 0.00	 1.57
     376	KK98-251   	NFW-LCDM    	 0.53	 0.13	 0.00	 0.00	  5.47	 1.03	60.1	 4.8	 41.11	  2.80	  4.71	  1.17	 11.96	    3.09	-2.95	  0.36	10.35	 0.09	 0.00	 0.00	 3.61
     377	KK98-251   	Einasto-Flat	 0.54	 0.13	 0.00	 0.00	  7.05	 1.88	61.2	 4.8	 14.49	147.38	  7.32	  1.74	  2.71	   27.58	-2.50	 18.74	 8.99	13.25	 1.96	 0.51	 3.61
     378	KK98-251   	Einasto-LCDM	 0.50	 0.13	 0.00	 0.00	  3.77	 1.47	58.7	 5.0	 36.63	  4.60	  9.14	  3.41	  5.49	    2.16	-2.63	  0.54	10.19	 0.16	 0.48	 0.09	 3.61
     379	KK98-251   	DC14-Flat   	 0.49	 0.13	 0.00	 0.00	  7.37	 1.87	58.5	 4.9	 35.59	 18.44	 14.43	  5.70	  3.38	    2.20	-2.27	  0.93	10.16	 0.67	 0.00	 0.00	 0.40
     380	KK98-251   	DC14-LCDM   	 0.51	 0.13	 0.00	 0.00	  8.65	 1.29	60.8	 4.7	 46.15	  3.37	 10.52	  2.42	  6.01	    1.45	-2.58	  0.25	10.50	 0.10	 0.00	 0.00	 0.40
     381	KK98-251   	coreNFW-Flat	 0.51	 0.12	 0.00	 0.00	  3.09	 1.56	58.5	 5.2	 31.31	 13.42	 15.89	  7.40	  2.70	    1.71	-1.68	  1.00	 9.99	 0.56	 0.00	 0.00	 0.72
     382	KK98-251   	coreNFW-LCDM	 0.49	 0.12	 0.00	 0.00	  3.48	 0.70	58.3	 5.0	 35.57	  2.52	 12.17	  2.70	  4.01	    0.93	-1.97	  0.32	10.16	 0.09	 0.00	 0.00	 0.84
     383	KK98-251   	Lucky13-Flat	 0.51	 0.13	 0.00	 0.00	  7.96	 1.90	59.7	 4.8	 53.82	131.80	  9.49	  3.90	  7.77	   19.29	-2.09	  4.55	10.70	 3.19	 0.00	 0.00	 0.39
     384	KK98-251   	Lucky13-LCDM	 0.49	 0.13	 0.00	 0.00	  7.88	 1.23	60.4	 4.6	 45.09	  3.20	 10.07	  2.20	  6.14	    1.41	-2.03	  0.32	10.47	 0.09	 0.00	 0.00	 0.42
     385	NGC0024    	pISO-Flat   	 0.54	 0.12	 0.00	 0.00	  7.29	 0.36	64.4	 3.0	104.69	  3.88	233.73	 30.34	  0.61	    0.08	-0.27	  0.19	11.56	 0.05	 0.00	 0.00	 0.37
     386	NGC0024    	Burkert-Flat	 0.45	 0.11	 0.00	 0.00	  7.25	 0.36	63.9	 3.0	 56.11	  1.72	 50.86	  3.81	  1.51	    0.12	-0.39	  0.11	10.75	 0.04	 0.00	 0.00	 0.86
     387	NGC0024    	NFW-Flat    	 0.65	 0.20	 0.00	 0.00	  7.40	 0.36	64.7	 3.0	 68.70	  4.96	 19.47	  3.50	  4.83	    0.94	-1.45	  0.27	11.01	 0.09	 0.00	 0.00	 0.93
     388	NGC0024    	NFW-LCDM    	 1.18	 0.21	 0.00	 0.00	  7.62	 0.34	65.8	 2.8	 85.54	  6.47	  9.16	  2.64	 12.79	    3.81	-2.27	  0.41	11.30	 0.10	 0.00	 0.00	 0.66
     389	NGC0024    	Einasto-Flat	 0.58	 0.19	 0.00	 0.00	  7.31	 0.37	64.2	 3.0	 54.17	 12.83	 19.74	  3.73	  3.76	    1.14	-1.81	  0.51	10.70	 0.31	 0.32	 0.09	 0.66
     390	NGC0024    	Einasto-LCDM	 0.80	 0.17	 0.00	 0.00	  7.43	 0.35	65.1	 2.9	 79.34	  5.36	 12.59	  2.39	  8.63	    1.74	-2.56	  0.28	11.20	 0.09	 0.17	 0.02	 0.66
     391	NGC0024    	DC14-Flat   	 0.44	 0.14	 0.00	 0.00	  7.22	 0.37	63.6	 3.0	 65.93	  2.54	 43.82	  9.63	  2.06	    0.46	-0.92	  0.22	10.96	 0.05	 0.00	 0.00	 0.77
     392	NGC0024    	DC14-LCDM   	 1.19	 0.20	 0.00	 0.00	  7.70	 0.34	66.0	 2.8	 81.67	  6.30	 13.09	  3.03	  8.54	    2.09	-2.07	  0.26	11.24	 0.10	 0.00	 0.00	 0.62
     393	NGC0024    	coreNFW-Flat	 0.46	 0.11	 0.00	 0.00	  7.26	 0.36	63.8	 3.0	 52.93	  1.67	 88.39	 12.47	  0.82	    0.12	 0.29	  0.19	10.67	 0.04	 0.00	 0.00	 1.07
     394	NGC0024    	coreNFW-LCDM	 1.51	 0.13	 0.00	 0.00	  7.69	 0.34	66.8	 2.8	 92.02	  5.91	  6.89	  0.93	 18.28	    2.73	-2.57	  0.21	11.39	 0.08	 0.00	 0.00	 0.57
     395	NGC0024    	Lucky13-Flat	 0.49	 0.12	 0.00	 0.00	  7.31	 0.36	63.6	 3.0	 61.25	  1.99	 58.87	  5.11	  1.43	    0.13	-0.12	  0.13	10.86	 0.04	 0.00	 0.00	 0.62
     396	NGC0024    	Lucky13-LCDM	 1.66	 0.13	 0.00	 0.00	  7.81	 0.34	67.6	 2.8	 96.67	  7.50	 13.43	  1.44	  9.86	    1.30	-1.74	  0.20	11.46	 0.10	 0.00	 0.00	 0.47
     397	NGC0055    	pISO-Flat   	 0.39	 0.07	 0.00	 0.00	  2.11	 0.11	77.2	 3.0	 97.10	  3.95	 33.74	  3.40	  3.94	    0.43	-1.93	  0.16	11.46	 0.05	 0.00	 0.00	 0.55
     398	NGC0055    	Burkert-Flat	 0.40	 0.07	 0.00	 0.00	  2.11	 0.11	76.9	 3.0	 63.97	  2.68	 13.69	  1.02	  6.40	    0.55	-1.88	  0.12	10.92	 0.05	 0.00	 0.00	 0.41
     399	NGC0055    	NFW-Flat    	 0.32	 0.06	 0.00	 0.00	  2.16	 0.11	77.2	 2.9	157.50	 44.18	  2.18	  0.61	 98.87	   39.28	-3.66	  0.65	12.10	 0.37	 0.00	 0.00	 2.85
     400	NGC0055    	NFW-LCDM    	 0.36	 0.06	 0.00	 0.00	  2.15	 0.11	78.0	 2.9	 83.92	  4.19	  4.55	  0.46	 25.26	    2.85	-2.98	  0.16	11.27	 0.07	 0.00	 0.00	 4.35
     401	NGC0055    	Einasto-Flat	 0.49	 0.08	 0.00	 0.00	  2.10	 0.11	77.4	 3.0	 38.08	  2.59	  7.06	  0.40	  7.38	    0.65	-2.54	  0.15	10.25	 0.09	 1.98	 0.27	 4.35
     402	NGC0055    	Einasto-LCDM	 0.34	 0.06	 0.00	 0.00	  2.07	 0.11	76.8	 3.0	 71.37	  4.24	  6.22	  0.46	 15.73	    1.50	-3.11	  0.15	11.06	 0.08	 0.48	 0.05	 4.35
     403	NGC0055    	DC14-Flat   	 0.30	 0.05	 0.00	 0.00	  2.05	 0.11	76.1	 3.1	 73.87	  3.21	 13.74	  1.50	  7.36	    0.86	-2.25	  0.13	11.11	 0.06	 0.00	 0.00	 0.68
     404	NGC0055    	DC14-LCDM   	 0.31	 0.05	 0.00	 0.00	  2.10	 0.11	76.8	 3.0	 73.87	  2.94	 12.88	  1.31	  7.86	    0.86	-2.31	  0.12	11.11	 0.05	 0.00	 0.00	 0.78
     405	NGC0055    	coreNFW-Flat	 0.31	 0.06	 0.00	 0.00	  1.93	 0.11	75.4	 3.2	 67.46	  7.92	  9.71	  2.21	  9.52	    2.44	-2.21	  0.37	10.99	 0.15	 0.00	 0.00	 0.98
     406	NGC0055    	coreNFW-LCDM	 0.31	 0.06	 0.00	 0.00	  1.94	 0.10	75.6	 3.1	 70.05	  3.43	  8.88	  1.27	 10.80	    1.63	-2.30	  0.21	11.04	 0.06	 0.00	 0.00	 1.02
     407	NGC0055    	Lucky13-Flat	 0.36	 0.07	 0.00	 0.00	  2.11	 0.11	76.9	 3.0	 78.34	  4.28	 13.95	  1.17	  7.69	    0.77	-1.70	  0.15	11.19	 0.07	 0.00	 0.00	 0.85
     408	NGC0055    	Lucky13-LCDM	 0.39	 0.07	 0.00	 0.00	  2.16	 0.11	77.7	 2.9	 77.33	  3.35	 13.40	  1.09	  7.90	    0.73	-1.74	  0.13	11.17	 0.06	 0.00	 0.00	 0.93
     409	NGC0100    	pISO-Flat   	 0.49	 0.12	 0.00	 0.00	 12.97	 3.76	89.0	 0.8	103.00	  7.88	 53.16	 35.83	  2.65	    1.80	-1.54	  0.94	11.54	 0.10	 0.00	 0.00	 0.10
     410	NGC0100    	Burkert-Flat	 0.49	 0.11	 0.00	 0.00	 13.66	 3.89	89.1	 0.8	 63.17	 10.39	 18.10	  9.14	  4.78	    2.54	-1.57	  0.73	10.90	 0.21	 0.00	 0.00	 0.10
     411	NGC0100    	NFW-Flat    	 0.49	 0.11	 0.00	 0.00	 14.00	 2.90	89.1	 0.8	409.88	 95.14	  1.00	  1.36	559.89	  770.09	-4.29	  1.97	13.34	 0.30	 0.00	 0.00	 0.89
     412	NGC0100    	NFW-LCDM    	 0.46	 0.10	 0.00	 0.00	 13.64	 2.43	88.9	 0.8	 78.88	  4.77	  7.11	  1.57	 15.20	    3.48	-2.54	  0.31	11.19	 0.08	 0.00	 0.00	 1.94
     413	NGC0100    	Einasto-Flat	 0.48	 0.12	 0.00	 0.00	 13.55	 3.73	89.1	 0.8	 43.06	 35.21	  9.18	  3.25	  6.43	    5.73	-2.38	  1.58	10.41	 1.07	 1.03	 0.44	 1.94
     414	NGC0100    	Einasto-LCDM	 0.51	 0.12	 0.00	 0.00	  9.55	 2.85	89.1	 0.8	 66.41	  6.65	 10.14	  2.86	  8.97	    2.69	-2.57	  0.41	10.97	 0.13	 0.40	 0.05	 1.94
     415	NGC0100    	DC14-Flat   	 0.46	 0.12	 0.00	 0.00	 10.45	 3.54	89.0	 0.8	 68.05	 11.36	 24.86	 16.70	  3.75	    2.60	-1.65	  0.71	11.00	 0.22	 0.00	 0.00	 0.18
     416	NGC0100    	DC14-LCDM   	 0.46	 0.10	 0.00	 0.00	 16.11	 2.28	89.0	 0.8	 79.75	  5.54	 12.47	  2.77	  8.76	    2.04	-2.32	  0.24	11.21	 0.09	 0.00	 0.00	 0.36
     417	NGC0100    	coreNFW-Flat	 0.48	 0.11	 0.00	 0.00	 11.17	 2.74	89.0	 0.8	 61.75	 19.49	 17.00	 11.84	  4.98	    3.80	-1.60	  1.09	10.88	 0.41	 0.00	 0.00	 0.12
