#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/160/271/table1&-out.max=unlimited&-out=AGC,Flag,RAJ2000,DEJ2000,RVel,Dist,e_Dist,b/a,e_b/a,imag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51600271
#Name: J/AJ/160/271
#Title: A catalog of ~30000 galaxies with ALFALFA-SDSS (Durbala+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/160/271	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/160/271	    IVOID of underlying data collection
#INFO	creator=Durbala A.	    First author or institution
#INFO	cites=bibcode:2020AJ....160..271D	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/160/271	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51600271	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_160_271_table1:
#Name: J/AJ/160/271/table1
#Title: Basic optical properties of cross-listed objects in the ALFALFA-SDSS catalog
#Column	AGC	(I6)	[1/749512] AGC catalog identifier	[ucd=meta.id;meta.main]
#Column	Flag	(I1)	[0/3] Photometry flag (1)	[ucd=meta.code.error]
#Column	RAJ2000	(F10.6)	[0.003/360] Right Ascension (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-0.21/36.4] Declination (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	RVel	(I5)	[-430/17823] HI profile midpoint heliocentric radial velocity	[ucd=spect.dopplerVeloc;spect.line;pos.heliocentric]
#Column	Dist	(F5.1)	[0.3/260] Distance from Haynes+, 2018, J/ApJ/861/49	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[0/30.9] Uncertainty in Dist	[ucd=stat.error]
#Column	b/a	(F5.2)	[0.05/1]? Axial ratio b/a from SDSS r band	[ucd=phys.angSize;arith.ratio]
#Column	e_b/a	(F6.2)	[0.01/865]? Uncertainty in b/a (4)	[ucd=stat.error]
#Column	imag	(F5.2)	[9.58/30.89]? SDSS i band cmodel magnitude	[ucd=phot.mag;em.opt.I]
AGC	Flag	RAJ2000	DEJ2000	RVel	Dist	e_Dist	b/a	e_b/a	imag
  6508	1	172.839160	+26.29528	 9876	145.5	 2.3	 0.87	  0.01	13.99
  6509	1	172.844160	+23.11500	 2914	 40.4	 8.6	 0.11	  0.01	14.80
  6512	1	172.936250	+34.33333	 1866	 29.7	 2.3	 0.69	  0.01	14.15
  6513	1	172.921250	+03.48806	 6650	100.2	 2.0	 0.78	  0.01	12.62
  6516	1	172.973330	+28.35806	 7060	105.1	 2.3	 0.83	  0.01	13.25
  6519	1	173.042920	+01.20694	 5792	 88.6	 4.4	 0.13	  0.01	14.67
  6521	1	173.056260	+00.81889	 5869	 88.6	 4.4	 0.71	  0.01	12.65
  6525	1	173.173340	+20.43806	 6055	 96.2	 4.3	 0.57	  0.01	13.28
  6526	1	173.161670	+35.32778	 1891	 26.2	 4.3	 0.19	  0.01	13.64
  6533	1	173.217910	+05.72667	 5408	 83.2	17.8	 0.24	  0.01	13.80
  6536	1	173.315840	+24.44639	 6962	103.9	 2.2	 0.68	  0.01	12.74
  6539	1	173.349580	+32.60305	 6265	 93.5	 2.3	 0.37	  0.01	13.69
  6540	1	173.374180	+34.31611	 8077	119.3	 2.3	 0.85	  0.01	13.43
  6543	1	173.435840	+21.37972	 6598	 98.9	 2.3	 0.94	  0.01	13.44
  6544	1	173.425430	+23.41250	 7155	106.7	 2.2	 0.49	  0.01	13.39
  6545	1	173.433330	+32.63334	 2633	 40.2	 2.4	 0.38	  0.01	13.01
  6546	1	173.432510	+17.39556	 5751	 86.9	 2.3	 0.20	  0.01	14.63
  6556	1	173.730000	+16.11556	 5443	 78.3	15.6	 0.18	  0.01	14.81
  6557	1	173.781660	+29.89028	13794	201.2	 2.2	 0.73	  0.01	14.25
  6558	1	173.770830	+02.55083	 5240	 77.0	 2.2	 0.25	  0.01	14.99
  6559	1	173.784590	+15.95833	 5124	102.3	20.2	 0.18	  0.01	15.24
  6561	1	173.861250	+33.30333	 2425	 37.3	 2.3	 0.20	  0.01	15.45
  6564	1	173.906660	+25.08833	 9610	141.7	 2.2	 0.33	  0.01	13.57
  6568	1	173.903750	+00.12722	 5937	 90.0	 2.2	 0.54	  0.01	13.87
  6569	1	173.964160	+17.44722	 3311	 49.9	 2.2	 0.69	  0.01	15.12
  6570	1	173.957900	+35.33528	 1606	 26.3	 4.3	 0.46	  0.01	12.99
  6578	1	174.152510	+00.81694	 1101	 15.3	 3.2	 0.54	  0.01	14.49
  6583	1	174.226260	+19.97056	 6199	 96.2	 4.3	 0.61	  0.01	13.73
  6586	1	174.257920	+15.57056	 3956	 70.5	14.0	 0.86	  0.01	13.39
  6587	1	174.289580	+02.83861	 8789	130.7	 2.2	 0.57	  0.01	14.00
  6588	1	174.306240	+15.43250	 4036	 55.2	10.3	 0.35	  0.01	13.85
  6590	1	174.315000	+16.87667	 6416	 96.4	 2.2	 0.71	  0.01	12.75
  6593	1	174.342500	+25.74111	 3280	 49.4	 2.1	 0.52	  0.01	13.55
  6594	1	174.404170	+16.55611	 1039	 20.9	 4.2	 0.31	  0.01	13.95
  6599	1	174.427080	+24.13333	 1570	 26.2	 2.3	 0.40	  0.01	15.14
  6603	1	174.508760	+35.20389	 1625	 24.3	 4.8	 0.27	  0.01	13.86
  6605	1	174.554170	+12.11195	  983	 11.9	 4.2	 0.96	  0.01	12.72
  6607	1	174.604170	+20.74000	 3359	 53.2	10.2	 0.51	  0.01	14.18
  6610	1	174.683330	+33.80444	 1853	 32.1	 6.2	 0.23	  0.01	14.03
  6612	1	174.763750	-00.20583	 5420	 80.2	15.7	 0.25	  0.01	13.37
  6614	1	174.812070	+17.14305	 6350	 95.5	 2.2	 0.88	  0.01	13.21
  6622	1	174.910000	+04.46556	 5755	 87.3	 2.3	 0.59	  0.01	14.03
  6623	1	174.935840	+31.93028	 2670	 41.2	 4.5	 0.37	  0.01	12.08
  6624	1	174.947080	+17.71167	 3385	 50.9	 4.3	 0.42	  0.01	13.00
  6625	1	174.948330	+19.93305	10946	161.0	 2.2	 0.77	  0.01	13.31
  6626	1	174.970410	+08.87472	 1984	 30.5	 4.3	 0.48	  0.01	13.63
  6627	1	174.981250	+13.46722	 3547	 53.2	 2.3	 0.30	  0.01	15.16
  6631	1	175.048750	+17.31194	 3528	 50.9	 4.2	 0.57	  0.01	13.27
  6632	1	175.057920	+24.69722	 3544	 53.9	 4.3	 0.68	  0.01	12.13
  6633	1	175.077510	+09.00972	 1810	 30.5	 4.2	 0.26	  0.01	12.21
  6634	1	175.055010	+15.34167	 3293	 49.7	 4.3	 0.35	  0.01	12.13
  6636	1	175.077930	+17.76528	 3242	 50.9	 4.3	 0.36	  0.01	12.82
  6637	1	175.103760	+28.37361	 1844	 29.7	 2.4	 0.58	  0.01	13.85
  6641	1	175.194170	+17.79528	 3495	 50.9	 4.3	 0.79	  0.01	13.54
  6643	1	175.184170	+22.42944	 7084	105.7	 2.2	 0.90	  0.01	13.44
  6644	1	175.245010	+11.47111	  992	 16.4	 3.2	 0.79	  0.01	10.67
  6645	1	175.235020	+25.78056	 6866	102.5	 2.3	 0.62	  0.01	13.33
  6646	1	175.245830	+05.06389	 5824	 88.3	 2.3	 0.43	  0.01	13.53
  6647	1	175.265430	+10.22444	 6278	 92.8	 4.4	 0.72	  0.01	14.75
  6652	1	175.337100	+33.69445	10115	148.4	 2.3	 0.49	  0.01	14.12
  6653	1	175.415410	+15.96556	 3219	 49.7	 4.4	 0.44	  0.01	13.17
  6654	1	175.412920	+24.80000	 3713	 53.9	 4.4	 0.42	  0.01	12.59
  6655	1	175.460420	+15.97333	  750	  8.7	 2.2	 0.69	  0.01	13.89
  6657	1	175.470830	+10.30417	 6090	 92.8	 4.4	 0.61	  0.01	12.77
  6658	1	175.510830	+32.00028	 1449	 24.4	 2.4	 0.40	  0.01	14.12
  6659	1	175.502910	+32.54667	 9960	146.3	 2.3	 0.88	  0.01	14.66
  6661	1	175.546660	+10.27750	 6267	 92.8	 4.4	 0.52	  0.01	12.33
  6662	1	175.533330	+12.94194	 6148	 92.7	 2.1	 0.48	  0.01	15.19
  6663	1	175.538330	+20.31500	 5725	 97.7	 4.3	 0.69	  0.01	12.70
  6664	1	175.575000	+30.23028	 9683	142.5	 2.4	 0.28	  0.01	14.16
  6665	1	175.550840	+00.33417	 5479	 80.2	 2.2	 0.56	  0.01	14.02
  6666	1	175.585420	+16.01083	 3077	 49.7	 4.4	 0.46	  0.01	13.78
  6668	1	175.599170	+10.26389	 6415	 92.8	 4.4	 0.78	  0.01	12.24
  6669	1	175.575410	+14.99472	 1019	 16.1	 2.1	 0.31	  0.01	15.92
  6670	1	175.622500	+18.33195	  924	 12.4	 4.3	 0.35	  0.01	13.38
  6672	1	175.580840	+33.63889	 9399	138.2	 2.3	 0.22	  0.01	14.86
  6673	1	175.651250	+18.84500	 3136	 50.2	 4.3	 0.73	  0.01	12.88
  6674	1	175.664170	+24.82250	 6304	 94.5	 2.3	 0.55	  0.01	13.66
  6678	1	175.757900	+26.25833	 9470	139.6	 2.3	 0.47	  0.01	15.13
  6681	1	175.758330	+23.94500	 6822	101.9	 2.4	 0.23	  0.01	13.54
  6684	1	175.837080	+31.45556	 1783	 28.8	 2.2	 0.36	  0.01	14.66
  6686	1	175.844160	+16.48528	 6543	 96.2	 4.3	 0.38	  0.01	13.49
  6687	1	175.832900	+18.19028	 3193	 48.2	 2.3	 0.19	  0.01	15.39
  6689	1	175.852490	+21.64972	 3522	 52.8	 2.3	 0.31	  0.01	14.45
  6692	1	175.870410	+10.16111	 6060	 92.8	 4.4	 0.50	  0.01	13.08
  6693	1	175.881650	+22.72472	 6911	 96.2	 4.3	 0.80	  0.01	12.87
  6695	1	175.894580	+08.94167	 5968	 90.3	 2.3	 0.46	  0.01	11.99
  6696	1	175.914990	+33.41722	 9558	141.1	 4.3	 0.69	  0.01	13.97
  6697	1	175.953320	+19.96861	 6703	 97.7	 4.3	 0.23	  0.01	14.65
  6700	1	175.976240	+10.78444	 5916	 92.8	 4.4	 0.59	  0.01	13.19
  6702	1	175.995410	+20.07639	 7363	 97.7	 4.3	 0.73	  0.01	13.35
  6709	1	176.107510	+33.35500	 9324	141.1	 4.3	 0.57	  0.01	13.10
  6715	1	176.119170	+10.78389	 5908	 92.8	 4.4	 0.34	  0.01	13.36
  6716	1	176.173340	+35.96806	11206	163.9	 2.3	 0.83	  0.01	13.04
  6717	1	176.190830	+09.21250	 2869	 43.5	 2.3	 0.63	  0.01	15.44
  6719	1	176.195850	+20.12472	 6575	 97.7	 4.3	 0.84	  0.01	12.90
  6721	1	176.217910	+19.45361	 5453	 90.4	16.7	 0.32	  0.01	13.79
  6722	1	176.272920	+08.46917	 4519	 63.4	11.6	 0.26	  0.01	12.41
  6724	1	176.266250	+19.97306	 5082	 90.4	18.0	 0.68	  0.01	12.48
  6729	1	176.322910	+26.76722	 9041	133.5	 2.2	 0.71	  0.01	13.33
  6730	1	176.361250	+09.16055	 2892	 43.8	 2.3	 0.64	  0.01	13.13
  6734	1	176.399170	+09.11778	 6262	 94.5	 2.5	 0.30	  0.01	13.69
  6736	1	176.442090	+03.02917	 5987	 90.7	 2.3	 0.26	  0.01	14.15
  6740	1	176.452090	+10.47639	 5452	 80.0	 2.1	 0.61	  0.01	13.86
  6741	1	176.478760	+17.19278	 3317	 49.9	 2.2	 0.91	  0.03	16.11
  6743	1	176.481670	+21.02500	 6751	 97.7	 4.3	 0.92	  0.01	13.21
  6746	1	176.550840	+20.39111	 6947	 97.7	 4.3	 0.72	  0.01	12.13
  6747	1	176.600420	+13.82722	 2696	 41.2	 2.3	 0.19	  0.01	16.12
  6748	1	176.601240	+35.72833	10778	157.8	 2.2	 0.42	  0.01	15.32
  6751	1	176.677490	+23.96306	 6393	 95.8	 2.1	 0.83	  0.03	17.61
  6753	1	176.692500	+14.53278	 3149	 30.9	 6.1	 0.43	  0.01	14.10
  6754	1	176.696660	+20.67472	 7024	 97.7	 4.3	 0.88	  0.01	12.83
  6758	1	176.776260	+13.70639	 3103	 47.2	 4.4	 0.73	  0.01	13.23
  6769	1	176.931670	+01.82583	 8536	127.1	 2.3	 0.58	  0.01	13.46
  6771	1	177.000840	+04.48778	 5959	 90.2	 2.4	 0.57	  0.01	12.42
  6772	1	177.013750	+30.35945	 6273	 93.7	 2.3	 0.69	  0.01	12.05
  6775	1	177.052920	+13.20833	 3165	 45.9	 9.3	 0.48	  0.01	14.07
  6777	1	177.158750	+32.64056	 7000	104.0	 2.4	 0.87	  0.01	13.79
  6782	1	177.238340	+23.83778	  523	 13.7	 1.4	 0.68	  0.02	15.44
  6783	1	177.243330	+31.30444	 6508	 97.0	 2.2	 0.67	  0.02	15.74
  6784	1	177.247920	+35.01583	 6409	 95.4	 2.3	 0.78	  0.01	12.43
  6786	1	177.289170	+27.02194	 1797	 37.1	 7.9	 0.67	  0.01	11.04
  6790	1	177.328340	+26.12167	 3598	 57.8	11.7	 0.73	  0.01	12.81
  6791	1	177.347920	+26.74083	 1854	 31.8	 6.7	 0.19	  0.01	13.67
  6794	1	177.350010	+16.64194	 3459	 53.8	 4.4	 0.22	  0.01	13.98
  6795	1	177.341660	+24.93833	 5961	 89.6	 2.3	 0.72	  0.01	14.28
  6799	1	177.483750	+28.98222	12736	186.1	 2.2	 0.13	  0.01	14.64
  6801	1	177.518750	+26.48000	 1784	 29.2	 4.2	 0.37	  0.01	12.48
  6803	1	177.524570	+24.92028	 3637	 54.4	 2.3	 0.93	  0.01	13.06
  6804	1	177.551250	+06.99806	 5997	 91.9	 4.3	 0.14	  0.01	14.49
  6806	1	177.583760	+25.96167	 3760	 54.4	 4.3	 0.35	  0.01	13.91
  6807	1	177.605410	+25.98917	 3717	 55.5	 2.1	 0.88	  0.02	15.92
  6808	1	177.575410	+35.25389	 6363	 94.7	 2.3	 0.24	  0.01	15.11
  6809	1	177.636250	+06.56722	 6144	 91.9	 4.3	 0.76	  0.01	12.80
  6821	1	177.754580	+20.39861	 6449	 99.4	 4.3	 0.77	  0.01	13.29
  6822	1	177.759580	+20.79917	 6392	 95.9	 2.2	 0.62	  0.01	13.62
  6830	1	177.879590	+23.86278	 7037	105.0	 2.3	 0.66	  0.01	13.22
  6837	1	177.968770	+18.54583	 5979	 96.2	 4.3	 0.15	  0.01	15.19
  6839	1	178.008760	+16.80889	 3715	 47.6	 9.7	 0.45	  0.01	13.00
  6841	1	178.052920	+16.85139	 3783	 53.8	 4.3	 0.71	  0.01	12.98
  6845	1	178.150830	+13.46722	 6286	 94.6	 2.4	 0.21	  0.01	14.06
  6847	1	178.158330	+24.30722	 4939	 64.0	12.2	 0.30	  0.01	14.33
  6848	1	178.113750	+35.37055	 6345	 94.5	 2.3	 0.27	  0.01	16.56
  6853	1	178.197490	+29.32833	 8662	127.9	 2.2	 0.54	  0.01	12.92
  6854	1	178.181240	+01.74000	 6133	 92.7	 2.3	 0.85	  0.01	13.90
  6861	1	178.296250	+25.43750	13303	194.4	 2.2	 0.63	  0.01	13.54
  6862	1	178.314180	+11.63361	 2732	 56.2	11.7	 0.18	  0.01	15.50
  6863	1	178.334990	+20.75139	 6202	 99.4	 4.3	 0.52	  0.01	12.77
  6864	1	178.390410	+10.87694	 6482	 97.5	 2.3	 0.30	  0.01	14.94
  6867	1	178.421660	+23.38250	 6455	 96.2	 4.3	 0.49	  0.01	12.99
  6871	1	178.442920	+10.40278	 6500	 97.8	 2.4	 0.57	  0.01	13.22
  6872	1	178.461670	+33.36528	 3203	 34.5	 7.4	 0.44	  0.01	13.58
  6875	1	178.503740	+06.34278	 6107	 92.3	 2.1	 0.41	  0.01	14.23
  6876	1	178.498750	+20.57222	 6961	 99.4	 4.3	 0.62	  0.01	13.24
  6877	1	178.551250	+00.13667	 1143	 18.2	 1.8	 0.95	  0.01	13.06
  6878	1	178.574170	+32.86055	 3194	 48.1	 2.3	 0.21	  0.01	14.57
  6881	2	178.687480	+20.05583	  607	  7.1	 2.3	 0.32	  0.02	15.57
  6883	1	178.743740	+26.20222	 5150	 66.6	 4.1	 0.88	  0.01	14.57
  6886	1	178.797090	+06.16889	 6978	104.7	 2.2	 0.43	  0.01	12.99
  6887	1	178.804180	+22.69528	 6807	101.7	 2.2	 0.49	  0.01	13.37
  6890	1	178.798750	+00.48778	 3223	 48.1	 2.4	 0.33	  0.01	16.05
  6891	1	178.819580	+17.48694	 6780	 96.2	 4.3	 0.37	  0.01	13.95
  6892	1	178.852510	+33.12611	 3165	 48.3	 4.2	 0.34	  0.01	13.86
  6895	1	178.869580	+11.96805	 6389	 96.2	 2.3	 0.77	  0.01	11.77
  6897	1	178.901670	+09.78194	 6521	 98.1	 2.3	 0.47	  0.01	15.42
  6898	1	178.896260	+25.88917	 5027	 66.6	 4.1	 0.38	  0.01	13.64
  6900	1	178.912930	+31.51889	  587	 10.1	 4.0	 0.50	  0.01	13.80
  6903	1	178.903760	+01.23667	 1891	 29.7	 2.2	 0.62	  0.01	13.29
  6905	1	178.944170	+29.94111	 6793	101.2	 2.3	 0.24	  0.01	14.21
  6906	1	178.988750	+06.74917	 2495	 36.8	 7.3	 0.54	  0.01	11.60
  6911	1	179.025010	+15.13167	 6348	 95.5	 2.4	 0.31	  0.01	14.02
  6913	1	179.062500	+17.02917	 6796	101.8	 2.2	 0.44	  0.01	13.56
  6915	1	179.096250	+32.03833	 3234	 48.4	 4.2	 0.37	  0.01	14.49
  6920	1	179.183330	+32.02111	 3263	 48.4	 4.2	 0.47	  0.01	12.01
  6924	1	179.205840	+12.77583	 6400	 96.3	 2.3	 0.25	  0.01	15.30
  6927	1	179.285420	+30.39222	 3322	 49.9	 2.3	 0.78	  0.01	12.88
  6928	1	179.337080	+25.19500	 4499	 67.1	 4.2	 0.27	  0.01	13.17
  6932	1	179.369160	+31.08389	 6896	102.6	 2.4	 0.39	  0.01	15.09
  6933	1	179.376660	+32.33416	 3204	 48.4	 4.3	 0.28	  0.01	13.79
  6935	1	179.407500	+25.24056	 4821	 67.1	 4.2	 0.35	  0.01	13.25
  6936	1	179.402920	+32.27722	 2981	 48.4	 4.3	 0.48	  0.01	12.23
  6941	1	179.441650	+14.29722	 6949	104.1	 2.3	 0.71	  0.01	12.87
  6942	1	179.450820	+25.27056	 4771	 67.1	 4.3	 0.69	  0.01	14.20
  6943	1	179.465420	+29.03917	 6407	 95.7	 2.3	 0.82	  0.01	15.68
  6944	1	179.433330	+32.29389	 3253	 48.4	 4.3	 0.48	  0.01	13.10
  6947	1	179.486660	+22.19000	 9252	136.7	 2.3	 0.16	  0.01	15.02
  6949	1	179.487080	+25.14389	 4546	 67.1	 4.2	 0.25	  0.01	14.20
  6950	1	179.521240	+27.87889	 3362	 51.8	 4.2	 0.54	  0.01	13.08
  6954	1	179.621250	+27.52861	 3436	 51.8	 4.4	 0.68	  0.01	14.00
  6960	1	179.614990	+10.02083	 4183	 66.4	12.6	 0.32	  0.01	12.95
  6961	1	179.649580	+16.17667	 3757	 56.1	 2.3	 0.49	  0.01	12.08
  6965	1	179.677490	+25.03639	 4345	 67.1	 4.2	 0.93	  0.01	12.41
  6966	1	179.669160	+25.31667	 4473	 67.1	 4.3	 0.23	  0.01	13.45
  6967	1	179.690830	+27.45222	 3453	 51.8	 4.4	 0.62	  0.01	12.79
  6968	1	179.686250	+28.28917	 8226	121.7	 2.2	 0.76	  0.01	13.66
  6971	1	179.736240	+30.41278	  759	 13.0	 2.6	 0.33	  0.01	12.40
  6974	1	179.750410	+20.88833	 9886	145.8	 2.4	 0.30	  0.01	14.51
  6976	1	179.759580	+21.80750	 6457	 96.7	 2.2	 0.84	  0.01	12.75
  6977	1	179.772920	+24.98889	 4047	 67.1	 4.2	 0.81	  0.01	13.42
  6980	1	179.775420	+24.47278	 3342	 50.3	 2.3	 0.58	  0.03	16.75
  6981	1	179.802510	+30.73111	 3327	 50.0	 2.3	 0.35	  0.01	14.34
  6986	1	179.862090	+17.75639	 6453	 96.9	 2.2	 0.35	  0.01	14.20
  6987	1	179.882490	+30.15528	 8779	129.5	 2.3	 0.43	  0.01	14.13
  6989	1	180.022090	+21.64639	 6404	 96.0	 2.4	 0.75	  0.01	15.01
  6990	1	180.013340	+08.18111	 6177	 93.2	 2.3	 0.52	  0.01	13.07
  6991	1	180.045430	+19.22861	 7011	104.8	 2.3	 0.21	  0.01	14.99
  6994	1	180.130420	+08.86306	 6260	 94.4	 2.2	 0.31	  0.01	14.65
  6995	1	180.137080	+20.07333	 1268	 23.0	 2.2	 0.86	  0.01	12.49
  6997	1	180.210830	+31.87833	 8028	118.7	 2.2	 0.84	  0.01	14.68
  6998	1	180.198760	-00.02361	 1941	 30.2	 2.2	 0.67	  0.01	15.39
  7001	1	180.293320	+14.10389	 1509	 25.5	 4.3	 0.17	  0.01	13.63
  7002	1	180.349150	+13.40028	  930	 16.7	 1.2	 0.61	  0.01	12.80
  7003	2	180.339570	+14.44972	 1287	 25.5	 4.2	 0.43	  0.02	16.30
  7007	1	180.387080	+33.34139	  774	 10.8	 2.3	 0.82	  0.01	14.36
  7008	1	180.420820	+04.76972	 6280	 94.7	 2.3	 0.36	  0.01	13.40
  7010	1	180.469160	+22.53111	 6682	 99.9	 2.3	 0.24	  0.01	13.43
  7012	1	180.512510	+29.84750	 3080	 44.7	 8.7	 0.54	  0.01	13.70
  7015	1	180.595840	+04.32972	 6435	 97.0	 2.3	 0.88	  0.01	12.67
  7016	1	180.600010	+14.84305	 7259	108.5	 2.4	 0.29	  0.01	12.91
  7017	1	180.593340	+29.86139	 3143	 47.6	 4.4	 0.23	  0.01	13.13
  7021	1	180.675840	+01.97694	 1976	 33.7	 6.8	 0.97	  0.01	11.33
  7023	1	180.709180	+18.01500	 4755	 70.2	 2.3	 0.52	  0.01	13.46
  7024	1	180.692500	+22.33417	 7509	111.7	 2.3	 0.23	  0.01	14.13
  7026	1	180.740010	+04.84583	 6274	 94.7	 2.3	 0.45	  0.01	13.09
  7027	1	180.727510	+18.75222	  826	  9.5	 2.4	 0.60	  0.01	13.64
  7028	1	180.793330	+16.45889	 6838	102.4	 2.2	 0.47	  0.01	14.03
  7031	1	180.839580	+29.41917	 3574	 48.1	 9.2	 0.21	  0.01	14.01
  7032	1	180.863750	+16.48528	 4066	 60.4	 2.3	 0.94	  0.01	13.23
  7035	1	180.917500	+02.64139	 1226	 22.7	 4.3	 0.35	  0.01	13.70
  7037	1	180.952500	+04.22167	 5596	 86.4	 4.3	 0.50	  0.01	13.65
  7038	1	180.960830	+14.55083	  891	  9.9	 2.2	 0.60	  0.02	16.25
  7039	1	180.960830	+16.55417	 2063	 39.1	 7.9	 0.54	  0.01	14.52
  7040	1	180.973330	+25.43361	 3233	 48.8	 2.3	 0.37	  0.01	14.34
  7041	1	180.957500	+29.71528	 3161	 47.6	 4.3	 0.12	  0.01	14.61
  7045	1	181.016660	+31.89556	  766	 14.7	 3.0	 0.56	  0.01	11.08
  7048	1	181.048340	+10.85417	 2415	 44.9	 9.0	 0.73	  0.01	12.28
  7049	1	181.039990	+20.18444	 7552	105.3	 4.3	 0.26	  0.01	14.48
  7054	1	181.046660	+18.44389	  930	  8.5	 1.7	 0.39	  0.01	11.63
  7061	1	181.135830	+20.20472	 6217	105.3	 4.3	 0.86	  0.01	12.79
  7064	1	181.181240	+31.17694	 7530	111.6	 2.2	 0.89	  0.01	12.92
  7068	1	181.215840	+26.99250	  565	  9.1	 4.1	 0.48	  0.01	12.86
  7072	1	181.303330	+28.78167	 3152	 47.6	 2.3	 0.77	  0.01	13.89
  7073	1	181.346240	+17.88583	 4360	 64.0	 4.3	 0.67	  0.01	13.04
  7074	1	181.347500	+17.91972	 4277	 64.0	 4.3	 0.33	  0.01	13.14
  7076	1	181.372500	+20.24639	 7113	105.3	 4.3	 0.78	  0.01	13.18
  7077	1	181.366240	+20.30833	 7315	105.3	 4.3	 0.49	  0.01	13.14
  7080	1	181.396260	+25.09722	 7063	101.8	 4.4	 0.23	  0.01	13.43
  7084	1	181.408740	+33.09778	 7164	106.2	 2.2	 0.54	  0.01	12.48
  7085	1	181.426250	+08.98972	 6309	 95.0	 2.3	 0.46	  0.01	13.56
  7087	1	181.459170	+20.47667	 6730	105.3	 4.3	 0.81	  0.01	12.59
  7091	1	181.515010	+20.60750	 7300	105.3	 4.3	 0.93	  0.01	12.84
  7100	1	181.685420	+17.71500	 4315	 60.5	12.1	 0.35	  0.01	13.22
  7102	1	181.764160	+18.53139	 7196	107.4	 2.5	 0.61	  0.01	12.89
  7104	1	181.787920	+16.92056	 6527	 97.9	 2.5	 0.20	  0.01	14.55
  7107	1	181.835420	+17.26111	 6733	100.8	 2.3	 0.36	  0.01	13.41
  7109	1	181.855420	+16.88861	 6931	103.7	 2.4	 0.26	  0.01	13.98
  7111	1	181.904170	+02.69139	 1312	 22.8	 4.3	 0.38	  0.01	12.59
  7113	1	181.960830	+19.76694	 7408	110.4	 2.3	 0.38	  0.01	15.72
  7116	1	182.046250	+02.87833	 1327	 22.9	 4.2	 0.43	  0.01	11.96
  7123	1	182.156250	+16.14222	 6810	102.0	 2.4	 0.68	  0.01	12.88
  7126	1	182.197490	+29.30444	 3739	 57.9	 4.3	 0.40	  0.01	12.55
  7130	1	182.291670	+29.17639	 3827	 57.9	 4.3	 0.50	  0.01	12.33
  7131	1	182.299160	+30.90583	  249	  4.1	 0.8	 0.33	  0.01	15.20
  7133	1	182.332490	+18.99694	 2576	 39.6	 2.3	 0.55	  0.01	14.47
  7134	1	182.323730	+29.92694	  607	  9.7	 4.1	 0.99	  0.01	12.61
  7137	1	182.366240	+22.10417	 7322	109.0	 2.4	 0.29	  0.01	15.27
  7138	1	182.370000	+26.22611	 2168	 34.2	 2.3	 0.59	  0.01	14.35
  7141	1	182.414150	+23.28917	 6933	103.4	 2.2	 0.26	  0.01	13.91
  7143	1	182.444990	+25.02611	 2573	 39.6	 4.3	 0.43	  0.01	13.76
  7148	1	182.473740	+00.92778	 5905	 89.4	 2.5	 0.39	  0.01	14.13
  7149	1	182.477080	+13.04945	 2535	 30.1	 2.2	 0.70	  0.01	14.85
  7150	2	182.507510	+14.36611	  817	 16.7	 1.2	 0.65	  0.05	16.09
  7158	1	182.532930	+35.87750	 6765	100.4	 2.2	 0.61	  0.01	12.52
  7161	1	182.549590	+12.32528	 8749	129.8	 2.3	 0.36	  0.01	14.00
  7162	1	182.560850	+23.88750	 6587	 98.5	 2.3	 0.31	  0.01	13.70
  7163	1	182.576250	+26.43056	 6531	 97.5	 2.2	 0.67	  0.01	12.83
  7169	1	182.656270	+16.03250	 2169	 16.7	 1.2	 0.91	  0.01	11.54
  7170	1	182.653760	+18.82806	 2452	 28.8	 6.1	 0.20	  0.01	14.54
  7171	1	182.674160	+13.33083	 6816	102.1	 2.2	 0.43	  0.01	13.74
  7178	2	182.765430	+02.00500	 1335	 23.4	 2.3	 0.83	  0.04	16.50
