#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
IC 2007   	SB(s)m                                       	SB(rs)dm                                     	 8.5	 1.00	SB(r\underline{s})d\underline{m}                         	F	058.84478	-28.15831
NGC 1487  	Pec                                          	Pec (adv. merger)                            	    	     	Pec (adv. merger)                                        	 	058.94375	-42.36694
ESO 302-21	SB(s)m sp                                    	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	 	058.96908	-40.68442
NGC 1493  	SB(rs)c                                      	SB(rs)cd                                     	 5.5	 1.00	SB(rs)\underline{c}d                                     	F	059.36409	-46.21074
NGC 1494  	SA(s)d                                       	SA(s)d                                       	 7.0	 0.00	SA(s)d                                                   	F	059.42792	-48.90750
NGC 1495  	Sdm sp                                       	Sd spw                                       	 7.5	     	S\underline{d}m spw                                      	 	059.59085	-44.46625
ESO 249-35	SB(s)dm sp                                   	dSB(s)m sp                                   	 8.5	 1.00	SB(s)d\underline{m} sp                                   	 	059.73500	-45.85889
ESO 249-36	SA\underline{B}(s)m                          	dIm                                          	 9.5	 0.75	S/IA\underline{B}:(s:)m                                  	 	059.81333	-45.87056
NGC 1511  	SB(s)c: pec sp                               	SB:(s)c pec                                  	 5.0	 1.00	SB:(s)c: pec sp                                          	 	059.89875	-67.63500
NGC 1511A 	S0/a: sp                                     	Scd: sp                                      	    	     	S: sp                                                    	 	060.07710	-67.80677
ESO 419-13	dSB0 / Sph                                   	Im sp? / Sph                                 	10.0	     	Im sp? / Sph                                             	 	060.17337	-30.83102
NGC 1511B 	Im sp                                        	Im sp                                        	10.0	     	Im sp                                                    	 	060.22583	-67.61194
NGC 1510  	SA0^+^:                                      	SA(l:)0/a                                    	-0.5	 0.00	SA\underline{0}/a:                                       	 	060.88600	-43.40016
NGC 1515A 	SB(rs)a                                      	SB(r\underline{s},bl)b                       	 2.0	 1.00	SB(rs,bl)ab                                              	 	060.95750	-54.11309
NGC 1512  	(RL)SB(r,nr)a                                	(R\underline{L})SB(\underline{r}s,bl,nr)a    	 1.0	 1.00	(R\underline{L})SB(r,bl,nr)a                             	G	060.97617	-43.34885
NGC 1515  	(L)SA\underline{B}(\underline{r}s,nb_a)0/a sp	(L)SAB(rs,nr)0/a                             	 0.0	 0.62	(L)SAB(rs,nd)0/a sp                                      	G	061.01133	-54.10006
NGC 1507  	SB(s)m sp                                    	SB(s)m                                       	 9.0	 1.00	SB(s)m sp                                                	 	061.11400	-02.18614
ESO 550-5 	SB(s)d sp                                    	SAB(s)d spw                                  	 7.0	 0.75	SA\underline{B}(s)d spw                                  	 	061.49979	-17.77436
ESO 483-8 	IB(s)m:                                      	Im                                           	10.0	 1.00	IB:(s:)m:                                                	 	061.51092	-22.63114
NGC 1518  	SB(s)m                                       	SB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	F	061.70712	-21.17262
IC 2032   	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	061.76625	-55.32417
PGC 14487 	S\underline{A}B(s)m                          	S\underline{A}B(s)m                          	 9.0	 0.25	S\underline{A}B(s)m                                      	F	061.80400	-17.20350
NGC 1519  	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	F	062.03163	-17.19291
ESO 359-22	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	062.18992	-35.38950
IC 2035   	SAB(l)0^-^                                   	SAB(s)0^o^                                   	-2.5	 0.50	SAB(s)0^{-/o}^                                           	 	062.25776	-45.51749
NGC 1533  	(RL)SB0^o^                                   	(RL)SB(bl)0^o^                               	-2.0	 1.00	(RL)SB(bl)0^o^                                           	 	062.46605	-56.11844
ESO 420-6 	IB(s:)m                                      	dIm                                          	10.0	 1.00	IB:(s:)m                                                 	 	062.50642	-31.25803
PGC 14600 	SB(s)m sp                                    	SAB(s)d / E(d)8-9                            	 8.0	 0.75	SA\underline{B}(s)dm sp / E(d)8-9                        	 	062.63792	-07.16667
ESO 420-9 	S\underline{A}B(rs)c                         	SAB(r\underline{s})cd                        	 5.5	 0.38	SAB(rs)\underline{c}d                                    	F	062.75249	-31.40782
PGC 14626 	dE7 ,N /Sph                                  	SAB(s)dm sp                                  	 8.0	 0.50	SAB(s)dm sp                                              	 	062.83133	-16.22986
NGC 1531  	dSB0,N                                       	dSB_a0                                       	11.0	 1.00	dSB_a_0                                                  	 	062.99720	-32.85079
NGC 1532  	SAB(rs,nd)ab sp pec                          	SA(r\underline{s},nd or nl)ab pec sp         	 2.0	 0.25	S\underline{A}B(rs,nd)ab sp pec                          	G	063.01806	-32.87421
ESO 483-13	dE4,N/SA0^-^                                 	E4-5                                         	11.0	     	dE4-5,N                                                  	 	063.17133	-23.15889
ESO 359-29	dSB0 / Sph                                   	dIm / Sph                                    	10.0	     	dIm (dE/S0) / Sph                                        	 	063.21112	-33.00111
IC 2040   	Im (cc) / Sph                                	Im (cc) / Sph                                	10.0	     	Im (cc) / Sph                                            	 	063.24902	-32.55325
ESO 359-31	IA\underline{B}(s)m / Sph                    	I\underline{A}Bm                             	10.0	 0.50	IAB(s:)m                                                 	 	063.29004	-34.42633
NGC 1546  	(R')SA(r)ab / E(b)3                          	(R')SA(r)0/a / E(b)4                         	 1.0	 0.00	(R')SA(r)a / E(b)3-4                                     	G	063.65226	-56.06081
NGC 1553  	SA(rl,nr'l)0^+^                              	SA(\underline{r}l,nl,nb)0^+^ /E(d)0          	-1.0	 0.00	SA(rl,nrl,nb)0^+^ / E(d)0                                	 	064.04361	-55.78014
PGC 14768 	SAB(s)d                                      	SAB(s)d                                      	 7.0	 0.50	SAB(s)d                                                  	 	064.05227	-16.75067
IC 2056   	SA(r\underline{s})bc                         	(L)SA(r\underline{s})bc                      	 4.0	 0.00	(L)SA(r\underline{s})bc                                  	M	064.10226	-60.20684
NGC 1559  	SB(s)cd                                      	SB(s)cd                                      	 6.0	 1.00	SB(s)cd                                                  	F	064.39909	-62.78369
NGC 1556  	IB:m:                                        	SBdm:                                        	 9.0	 1.00	SBm:                                                     	 	064.43681	-50.16446
IC 2058   	SB(s)m sp                                    	SB(s)dm sp / E(d)8                           	 8.5	 1.00	SB(s)d\underline{m} sp / E(d)8                           	 	064.47650	-55.93288
NGC 1566  	(R_1_')SAB(r'l,s,nb)b                        	(R_1_')SAB(rs,r\underline{s})b               	 3.0	 0.50	(R_1_')SAB(rs,r\underline{s})b                           	G	065.00175	-54.93781
ESO 550-24	S\underline{A}B(s)dm                         	S\underline{A}B(s)dm                         	 8.0	 0.25	S\underline{A}B(s)dm                                     	F	065.30680	-21.84613
NGC 1596  	S0^-^ sp                                     	S0^-^ sp                                     	-3.0	     	S0^-^ sp                                                 	 	066.90878	-55.02783
NGC 1602  	Im                                           	I\underline{A}Bm                             	10.0	 0.25	I\underline{A}B:m                                        	 	066.97907	-55.05784
PGC 15214 	IB(s)m                                       	IB(s)m                                       	10.0	 1.00	IB(s)m                                                   	 	067.18750	-12.51022
NGC 1592  	Im pec                                       	Im                                           	10.0	     	Im pec                                                   	 	067.42024	-27.40869
UGC 3070  	SAB(s)dm                                     	S\underline{A}B(s)m                          	 8.5	 0.38	SAB(s)d\underline{m}                                     	F	067.74854	-02.00334
IC 2085   	S0^-^ sp/ E7                                 	S0^o^ sp / E7                                	-2.5	     	S0^{-/o}^ sp / E7                                        	 	067.85098	-54.41687
ESO 202-35	SA(s)c sp                                    	SA(s)c sp                                    	 5.0	 0.00	SA(s)c sp                                                	 	068.06844	-49.67583
ESO 551-16	SB(s)dm sp                                   	Sd sp / E(d)6-7                              	 7.5	 1.00	SB:(s:)\underline{d}m sp / E(d)6-7                       	 	068.91871	-21.98844
PGC 15625 	IB(s)m                                       	SB(s)m pec                                   	 9.5	 1.00	S/IB(s)m pec                                             	 	069.10254	-09.51372
ESO 202-41	SB(rs)m                                      	SAB(s)m                                      	 9.0	 0.75	SA\underline{B}(r\underline{s})m                         	F	069.23621	-52.17367
ESO 157-49	SB:(s)dm /Sph                                	Sbc sp / E6-7                                	 6.0	 1.00	SB:(s:)cd: sp / E6-7                                     	 	069.90368	-53.01265
NGC 1637  	SAB(s)b                                      	SAB(r\underline{s})b                         	 3.0	 0.50	SAB(s)b                                                  	M	070.36762	-02.85804
NGC 1640  	(R')SB_a(r,bl)a                              	(R')SB_a(r,bl)ab                             	 1.5	 1.00	(R')SB_a_(r,bl)\underline{a}b                            	M	070.56056	-20.43478
ESO 551-31	Im /Sph                                      	IABm / Sph                                   	10.0	 0.50	IAB:m / Sph                                              	F	070.62046	-21.69169
PGC 15869 	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	070.73875	-08.09068
NGC 1672  	(R')SA\underline{B}(rs,nr)b                  	(R')SA\underline{B}(rs,nr)b                  	 3.0	 0.75	(R')SA\underline{B}(rs,nr)b                              	G	071.42730	-59.24741
ESO 361-9 	dIB(s)m                                      	dIm sp                                       	10.0	 1.00	dIm                                                      	 	071.74417	-35.91750
NGC 1688  	SB(s)dm                                      	(R')SB(s)dm                                  	 8.0	 1.00	(R')SB(s)dm                                              	M	072.09912	-59.80031
PGC 16090 	SBm                                          	SB(s)m                                       	 9.0	 1.00	SB(s:)m                                                  	 	072.35029	-12.74758
ESO 421-19	S\underline{A}B(s)dm                         	SA(s)m                                       	 8.5	 0.12	SA(s)d\underline{m}                                      	F	072.30042	-29.20750
NGC 1679  	SB(s)m                                       	IB(s)m                                       	 9.5	 1.00	S/IB(s)m                                                 	F	072.48160	-31.96551
ESO 119-16	(R')SAB(s)dm:                                	(R')SAB(s)dm                                 	 8.0	 0.50	(R')SAB(s)dm:                                            	 	072.87167	-61.65083
ESO 361-15	SB(s)dm / Sph                                	SA(s)d                                       	 7.5	 0.50	SAB(s)\underline{d}m                                     	 	072.98893	-33.17929
ESO 422-5 	SB(r\underline{s}:)dm:                       	SAB(s)dm:                                    	 8.0	 0.75	SA\underline{B}(s)dm:                                    	F	073.02458	-28.59250
NGC 1703  	SA(s)c                                       	SA(ls)c                                      	 5.0	 0.00	SA(s)c                                                   	M	073.21727	-59.74222
ESO 485-21	SA\underline{B}(s)c                          	SAB(s)cd                                     	 5.5	 0.62	SAB(s)\underline{c}d                                     	G	073.22083	-25.24667
NGC 1705  	dE3,N                                        	dE3,N / Sph                                  	11.0	     	dE3,N / Sph                                              	 	073.55625	-53.36106
ESO 85-14 	SBm                                          	SBm                                          	 9.0	 1.00	SBm                                                      	F	073.67985	-62.80058
ESO 361-19	IB(s)m                                       	Im (cc)                                      	10.0	 1.00	Im (cc)                                                  	 	073.72015	-37.32117
PGC 16389 	Im                                           	dIm                                          	10.0	     	Im                                                       	 	074.24471	-42.80078
ESO 486-3 	Im                                           	IAm                                          	10.0	 0.00	IA:m                                                     	 	074.89458	-22.69944
NGC 1744  	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	 	074.99084	-26.02221
ESO 85-30 	SAc sp/E3 pec                                	Sc sp / E(d)3                                	 5.0	 0.00	SA:c sp pec / E(d)3                                      	F	075.37400	-63.29334
NGC 1809  	SAd sp                                       	SAdm:                                        	 7.5	 0.00	SA\underline{d}m: sp                                     	 	075.52087	-69.56828
ESO 486-21	dE (Im)                                      	dIm: / Sph                                   	10.0	     	dIm: (dE1) / Sph                                         	 	075.83292	-25.42389
NGC 1792  	SA(s:)c pec                                  	SA(s)c pec                                   	 5.0	 0.00	SA(s)c: pec                                              	M	076.31022	-37.98075
NGC 1800  	IB(s)m / Sph                                 	IBm / Sph                                    	10.0	 1.00	IB(s:)m / Sph                                            	 	076.60724	-31.95422
ESO 422-33	Im sp                                        	dIm                                          	10.0	     	Im sp                                                    	 	076.70667	-27.65806
NGC 1824  	IBm sp                                       	Im sp                                        	10.0	 1.00	IB:m sp                                                  	 	076.73417	-59.72389
PGC 16784 	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	F	076.94542	-16.29361
NGC 1808  	(R_1_)SAB(s,nr)a                             	(R')SAB(l,s,nr)a                             	 1.0	 0.50	(R_1_')SAB(l,s,nr)a                                      	G	076.92643	-37.51305
ESO 85-47 	SB(s)m                                       	SB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	 	076.93292	-62.99000
ESO 305-9 	SAB(s)dm                                     	S\underline{A}B(s)dm                         	 8.0	 0.38	SAB(s)dm                                                 	F	077.03175	-38.30931
NGC 1827  	Sdm sp                                       	Sd sp                                        	 7.5	     	S\underline{d}m sp                                       	 	077.51911	-36.96024
ESO 422-41	(R')SA(l)c:                                  	S\underline{A}B(s)m                          	 7.0	 0.12	(R')SA(ls)d:                                             	F	077.69568	-31.59714
ESO 553-17	SBm sp                                       	Sd: sp / E6:                                 	 8.0	 1.00	SB:dm: sp / E6:                                          	 	077.79792	-19.61306
ESO 362-9 	S\underline{A}B(s)dm                         	SA(s)dm                                      	 8.0	 0.12	SA(s)dm                                                  	F	077.99708	-32.97250
NGC 1853  	SAB(s)dm                                     	SAB(s)c                                      	 6.5	 0.50	SAB(s)c\underline{d}                                     	 	078.06889	-57.39904
ESO 305-17	IB(s)m                                       	IB(s)m:                                      	10.0	 1.00	IB(s)m:                                                  	 	078.75196	-41.39267
ESO 423-2 	SB(s)dm                                      	SA\underline{B}(s)m                          	 8.5	 0.88	SB(s)d\underline{m}                                      	F	078.81813	-30.52645
ESO 362-11	Sc sp                                        	Sb spw                                       	 4.0	     	Sbc spw                                                  	 	079.16167	-37.10252
NGC 1892  	SAc: sp                                      	SAc:                                         	 5.0	 0.00	SAc: sp                                                  	 	079.28749	-64.95981
NGC 1879  	SAB(s)m                                      	SAB(s)m                                      	 9.0	 0.50	SAB(s)m                                                  	F	079.95125	-32.14222
ESO 362-19	(R')SB(s)d                                   	SAB(s)dm                                     	 7.5	 0.75	(R')SA\underline{B}(s)\underline{d}m                     	 	080.26750	-36.95667
IC 2135   	SB(s)m sp                                    	Sd sp / E(b)7                                	 8.0	 1.00	SB:(s:)dm sp / E(b)7                                     	 	083.30372	-36.39880
ESO 120-12	IAB(s)m                                      	IAB(s)m                                      	10.0	 0.50	IAB(s)m                                                  	 	084.99577	-58.58549
ESO 159-25	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	085.77667	-52.70611
NGC 2101  	Im                                           	Im                                           	10.0	     	Im                                                       	 	086.59625	-52.08917
NGC 2104  	SA(s)dm                                      	SA(s)dm                                      	 8.0	 0.00	SA(s)dm                                                  	F	086.76988	-51.55295
ESO 120-21	Im                                           	Im sp                                        	10.0	     	Im sp                                                    	 	088.30917	-59.06611
NGC 2320  	E(d)3-4                                      	SA(l)0^-^                                    	-4.0	     	E^+^3-4                                                  	 	106.42510	+50.58110
UGC 4024  	SAb: sp                                      	SA(s)c sp                                    	 4.0	 0.00	SA(s:)bc: sp                                             	 	117.13862	+62.20740
NGC 2460  	S\underline{A}B(rs)a                         	SA(rl)a                                      	 1.0	 0.12	SA(r'l)a                                                 	M	119.21779	+60.34938
UGC 4121  	SB(s)m                                       	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	 	119.72658	+58.04231
UGC 4148  	Im sp                                        	Sdm sp                                       	 9.0	     	Sm sp                                                    	 	120.09929	+42.19372
NGC 2500  	SAB(s)d                                      	SAB(s)cd                                     	 6.5	 0.50	SAB(s)c\underline{d}                                     	F	120.47177	+50.73710
UGC 4169  	SAB(s)cd                                     	S\underline{A}B(s)cd                         	 6.0	 0.38	SAB(s)cd                                                 	F	120.63717	+61.38822
UGC 4151  	SA(rl)c                                      	SA(s)c                                       	 5.0	 0.00	SA(s)c                                                   	M	121.07777	+77.81664
UGC 4241  	SA0^-^ sp                                    	E(d)6                                        	-4.0	     	E^+^(d)6                                                 	 	122.34904	+57.76319
UGC 4238  	SBm in ET disk                               	SBcd:                                        	 7.5	 1.00	SB\underline{d}m:                                        	F	122.90315	+76.42174
NGC 2543  	SA\underline{B}(s)b                          	SAB(s,bl)b                                   	 3.0	 0.62	SAB(s,bl)b                                               	G	123.24148	+36.25451
NGC 2537  	SB(s)m                                       	SB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	F	123.31101	+45.98979
IC 2233   	SBdm sp                                      	SB(s)dm sp / E8-9                            	 8.0	 1.00	SB(s:)dm sp / E8-9                                       	 	123.49545	+45.74215
NGC 2541  	SA(s)d                                       	SA(s)dm                                      	 7.5	 0.00	SA(s)\underline{d}m                                      	F	123.66697	+49.06144
UGC 4306  	SA(r)0^+^                                    	SA(r'l)0^+^                                  	-1.0	 0.00	SA(underline{ r}'l)0^+^                                  	 	124.40319	+35.44597
UGC 4305  	Im                                           	dIm / Sph                                    	10.0	     	Im / Sph                                                 	 	124.77074	+70.72003
NGC 2552  	(R')SAB(s)m                                  	(R')SAB(s)dm                                 	 8.5	 0.50	(R')SAB(s)d\underline{m}                                 	F	124.83158	+50.00578
NGC 2550  	(R)SAB(s)b pec                               	(R)SAB(s)b                                   	 3.0	 0.50	(R)SAB(s)b pec                                           	 	126.14017	+74.01231
NGC 2551  	SA(l)0/a                                     	SA(l)0/a                                     	 0.0	 0.00	SA(l)0/a                                                 	 	126.20956	+73.41200
IC 2361   	SA(r\underline{s})bc                         	SAB(rs)b                                     	 3.5	 0.25	S\underline{A}B(rs)\underline{b}c                        	G	126.43547	+27.87448
UGC 4393  	Pec                                          	IB(s)m pec                                   	10.0	 1.00	IB(s)m pec                                               	 	126.51815	+45.96746
UGC 4390  	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	126.96612	+73.51733
UGC 4426  	Im                                           	dIm / Sph                                    	10.0	     	Im / Sph                                                 	 	127.11850	+41.85669
UGC 4413  	SB(s)dm sp                                   	Sd sp                                        	 7.5	 1.00	SB:(s:)\underline{d}m sp                                 	 	127.44300	+73.85736
NGC 2604  	(R_1_')SB(r\underline{s})c                   	SB(r\underline{s})cd                         	 5.5	 1.00	(R_1_')SB(r\underline{s})\underline{c}d                  	M	128.34607	+29.53862
NGC 2608  	SA\underline{B}(r\underline{s})b             	SAB(s)b                                      	 3.0	 0.62	SAB(s)b                                                  	M	128.82237	+28.47352
UGC 4483  	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	129.26371	+69.77478
NGC 2591  	SB(r\underline{s})d sp                       	(R')SB(s)d sp                                	 7.0	 1.00	(R')SB(s)d sp                                            	 	129.35637	+78.02644
UGC 4499  	SA\underline{B}(s)m                          	SAm:                                         	 9.0	 0.38	SAB(s:)m:                                                	F	129.42287	+51.65238
UGC 4514  	IB(s)m                                       	Im sp                                        	10.0	 1.00	IB:(s:)m sp                                              	 	129.90708	+53.45650
PGC 24469 	                                             	SB(s)m? pec                                  	 9.0	 1.00	SB(s)m? pec                                              	 	130.70091	+14.26522
NGC 2648  	SA(r)a                                       	SA(r)a                                       	 1.0	 0.00	SA(r)a                                                   	G	130.66594	+14.28550
UGC 4550  	Sbc sp / E(d)4                               	Sb sp / E(d)5                                	 3.5	     	S\underline{b}c sp / E(d)5                               	 	130.81667	+13.08585
UGC 4543  	S\underline{A}B(s)m                          	S\underline{A}B(s)dm                         	 8.5	 0.25	S\underline{A}B(s)d\underline{m}                         	F	130.84102	+45.73599
UGC 4551  	SB(r)0^+^ sp                                 	SA(r)0^+^                                    	-1.0	 0.50	SA(r)0^+^ sp                                             	 	131.02458	+49.79397
UGC 4559  	SA(r)0/a                                     	SA(r)0/a sp / E(b)7-8                        	 0.0	 0.00	SA(r)0/a sp / E(b)7-8                                    	 	131.03171	+30.11911
UGC 4549  	SA(r)c                                       	SA(\underline{r}s)bc                         	 4.5	 0.00	SA(r)b\underline{c}                                      	M	131.08943	+58.84187
IC 2389   	SB:(s)m sp                                   	SAB(s)dm pec                                 	 8.5	 0.75	SA\underline{B}(s)d\underline{m}: sp pec                 	 	131.99037	+73.53934
NGC 2633  	SAB(rs)b                                     	(R_2_')SAB(rs)b                              	 3.0	 0.50	(R_2_')SAB(rs)b                                          	G	132.01936	+74.09879
NGC 2634  	SA(nl)0^-^ (shells)                          	E^+^0pec (shells?)                           	-3.5	 0.00	E^+^2/SA(nl)0^-^ pec                                     	 	132.10597	+73.96712
NGC 2634A 	SB(s)m: sp                                   	SB(s)m sp                                    	 9.0	 1.00	SB(s)m: sp                                               	 	132.15906	+73.93932
NGC 2654  	SB_x(r,nd)0^+^                               	SB_x(r,nd)0/a sp                             	-0.5	 1.00	SB_x_(r,nd)\underline{0}/a sp                            	 	132.29947	+60.22112
UGC 4621  	SB(\underline{r}s)ab                         	SA\underline{B}(\underline{r}s)0/a           	 1.0	 0.88	SB(\underline{r}s)a                                      	G	132.54916	+35.07643
UGC 4628  	SBm: sp                                      	dIm: sp / Sph                                	 9.5	 1.00	S/IB:m: sp / Sph                                         	 	132.91946	+51.11869
NGC 2683  	(RL)SB_x(\underline{r}s)0/a sp               	(R')SB_xa_(\underline{r}s)0/a                	 0.0	 1.00	(R'L)SB_{xa}_(\underline{r}s)0/a sp                      	 	133.17227	+33.42180
UGC 4623  	SA(rs)bc                                     	SA(r\underline{s})bc                         	 4.0	 0.00	SA(rs)bc                                                 	M	133.29637	+76.48607
NGC 2681  	(R)S\underline{A}B(\underline{r}s)0/a        	(RL)SAB(\underline{r}s)0^+^                  	-0.5	 0.38	(\underline{R}L)SAB(\underline{r}s)\underline{0}/a       	G	133.38641	+51.31371
UGC 4659  	SAB(s)dm                                     	SAB(s)dm                                     	 8.0	 0.50	SAB(s)dm                                                 	 	133.66787	+47.10397
NGC 2684  	SA(rs)b                                      	SA(rs)b                                      	 3.0	 0.00	SA(rs)b                                                  	F	133.72522	+49.16042
NGC 2686  	SA(l)0^o^                                    	SA(l)0^o^                                    	-2.0	 0.00	SA(l)0^o^                                                	 	133.74557	+49.14235
NGC 2685  	(R)S0^o^ pec                                 	S0^-^ pec                                    	-2.5	     	(R)S0^{-/o}^ pec                                         	 	133.89479	+58.73441
NGC 2655  	(L)S\underline{A}B(s)0/a                     	(L)SAB(s)0/a pec                             	 0.0	 0.38	(L)SAB(s)0/a pec                                         	 	133.90721	+78.22308
UGC 4704  	Sdm: sp                                      	Sdm sp                                       	 8.0	     	Sdm: sp                                                  	 	134.75117	+39.20992
NGC 2701  	S\underline{A}B(s)bc pec                     	S\underline{A}B(s)b                          	 3.5	 0.25	S\underline{A}B(s)\underline{b}c pec                     	F	134.77383	+53.77176
NGC 2712  	(R')SAB(rs,nl)ab                             	(R')SAB(r\underline{s},nl)b                  	 2.5	 0.50	(R')SAB(rs,nl)a\underline{b}                             	M	134.87691	+44.91400
NGC 2710  	SA\underline{B}(s)bc                         	SB(s)c                                       	 4.5	 0.88	SB(s)b\underline{c}                                      	G	134.95142	+55.70644
UGC 4725  	Sdm: sp                                      	Sd sp                                        	 7.5	     	S\underline{d}m: sp                                      	 	135.23071	+31.99308
UGC 4722  	Im sp pec                                    	SAB(s)d sp pec (tidal tail)                  	 8.5	 0.50	SAB:(s:)d\underline{m} sp pec                            	 	135.09800	+25.61128
UGC 4701  	SA\underline{B}(s)cd                         	SAB(s)d                                      	 6.5	 0.62	SAB(s)c\underline{d}                                     	G	135.50420	+78.27751
NGC 2731  	SB(s)dm: pec                                 	S pec / RG?                                  	    	 1.00	S pec / RG?                                              	F	135.53497	+08.30177
NGC 2735  	SA:(r)0/a sp pec                             	SA(r)a pec / E3                              	 0.5	 0.00	SA(r)0/\underline{a}: sp pec / E3                        	G	135.66098	+25.93459
UGC 4714  	S\underline{A}B(rs)m                         	SA(s)m                                       	 9.0	 0.12	SA(r\underline{s})m                                      	F	135.81365	+78.56290
UGC 4753  	SBm sp                                       	Sm sp                                        	 9.0	 1.00	SB:m sp                                                  	 	136.14142	+45.29232
NGC 2743  	SB(rs)m                                      	SB(rs)dm                                     	 8.5	 1.00	SB(rs)d\underline{m}                                     	F	136.22500	+25.00405
NGC 2726  	SB?(rs)0/a                                   	(RL:)SA(\underline{r}s)0/a                   	 0.0	 0.50	(RL:)SAB(rs)0/a:                                         	 	136.23691	+59.93297
NGC 2750  	SAB(s)b pec                                  	SA(s)bc                                      	 3.5	 0.25	S\underline{A}B(s)\underline{b}c pec                     	M	136.44955	+25.43736
UGC 4777  	SB(s)m sp                                    	Sm: sp                                       	 9.0	 1.00	SB:(s:)m: sp                                             	 	136.66900	+34.61886
NGC 2742  	SA(s)c                                       	SA(s)c                                       	 5.0	 0.00	SA(s)c                                                   	M	136.88970	+60.47929
UGC 4787  	dE7 / Sph                                    	Sm sp                                        	 9.0	     	Sm sp                                                    	F	136.89550	+33.27689
UGC 4797  	SA(s)m                                       	IA(s)m                                       	 9.5	 0.00	S/IA(s)m                                                 	 	137.04462	+05.92767
NGC 2715  	SA(rs)bc                                     	SA(s)c                                       	 4.5	 0.00	SA(r\underline{s})b\underline{c}                         	F	137.02582	+78.08516
NGC 2764  	S(rs)a sp / E(b)3                            	SA(rs)a / E4-5                               	 1.0	 0.00	SA:(rs)a sp / E4-5                                       	 	137.07298	+21.44345
UGC 4800  	SB(s)bc:                                     	(R')SB(r\underline{s})cd                     	 5.0	 1.00	(R')SB(s)c:                                              	 	137.33167	+54.91169
