name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
CRISTAL-10a-E,5.671,79.2,11.05,det,,,Chabrier,,,1.3,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 79.2 +13.1/-9.0 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 111.8 +40.3/-20.6 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.3 +0.0/-0.2; CRISTAL class: Disk (Table 2); R_e,disk fixed to [CII] radius (square brackets in Table 3); no separate M*; Table 1 gives log M*=9.99 only for CRISTAL-10a as a whole; alias eastern component of DEIMOS_COSMOS_417567/HZ2; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-11,4.439,107.8,14.45,det,9.68,0.33,Chabrier,,,1.5,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 107.8 +16.7/-12.2 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 160.3 +47.9/-98.9 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.6 +0.1/-0.3; CRISTAL class: Best Disk (Table 2); R_e,disk = 1.5 +0.6/-0.9 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias DEIMOS_COSMOS_630594; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-12,5.572,48.5,14.8,det,9.3,0.47,Chabrier,,,1.5,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 48.5 +14.8/-14.8 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 69.6 +32.9/-69.6 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 9.7 +0.1/-0.1; CRISTAL class: Disk (Table 2); R_e,disk fixed to [CII] radius (square brackets in Table 3); M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias CANDELS_GOODSS_21; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-15,4.58,100.5,14,det,9.69,0.33,Chabrier,,,1.7,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 100.5 +27.0/-1.0 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 117.8 +45.1/-117.8 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.5 +0.1/-0.5; CRISTAL class: Best Disk (Table 2); R_e,disk fixed to [CII] radius (square brackets in Table 3); M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias vuds_cosmos_5101244930; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-19,5.233,70.3,9.7,det,9.51,0.36,Chabrier,,,2.3,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 70.3 +12.0/-7.4 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 156.0 +50.3/-81.5 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.5 +0.1/-0.4; CRISTAL class: Best Disk (Table 2); R_e,disk = 2.3 +0.4/-0.2 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias DEIMOS_COSMOS_494763; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-20,5.545,61.2,5.25,det,10.11,0.35,Chabrier,,,3.5,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 61.2 +3.8/-6.7 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 98.7 +37.2/-33.9 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.3 +0.2/-0.1; CRISTAL class: Best Disk (Table 2); R_e,disk = 3.5 +0.9/-0.6 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias DEIMOS_COSMOS_494057/HZ4; same object as HZ4 in Parlanti+2023; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-23b,4.562,66.8,2.25,det,10.46,0.24,Chabrier,,,1.4,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 66.8 +2.0/-2.5 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 93.3 +24.2/-27.1 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 9.8 +0.1/-0.1; CRISTAL class: Disk (Table 2); R_e,disk = 1.4 +0.2/-0.2 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; note DysmalPy log M_tot=9.8 < Table-1 log M*=10.46; alias DEIMOS_COSMOS_818760 component b; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-23c,4.565,56.5,13.35,det,,,Chabrier,,,0.4,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 56.5 +11.0/-15.7 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 114.4 +17.3/-34.8 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 9.2 +0.1/-0.3; CRISTAL class: Best Disk (Table 2); R_e,disk = 0.4 +0.1/-0.1 kpc; no M* for this component in Table 1; alias DEIMOS_COSMOS_818760 component c; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-01a,4.554,159.4,20,det,10.65,0.5,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=375.5+/-47 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-01b,4.53,87.4,13.2,det,9.81,0.34,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=205.9+/-31 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-01c,4.54,49.8,11.9,det,,,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=117.3+/-28 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); no M* in Table 1 for this component; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-02,5.294,138.5,5.1,det,10.3,0.28,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=326.2+/-12 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); Sect. 6.2: global spectrum of CRISTAL-02/-04/-06/-22 needs a 2nd Gaussian (outflow for 02, interaction for 04/06/22); tabulated FWHM is the single-Gaussian fit; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-03,5.689,123.5,6.8,det,10.4,0.29,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=290.9+/-16 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-04a,4.52,89.5,5.1,det,10.15,0.29,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=210.8+/-12 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); Sect. 6.2: global spectrum of CRISTAL-02/-04/-06/-22 needs a 2nd Gaussian (outflow for 02, interaction for 04/06/22); tabulated FWHM is the single-Gaussian fit; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-04b,4.52,51.3,8.1,det,8.91,0.55,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=120.8+/-19 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); Sect. 6.2: global spectrum of CRISTAL-02/-04/-06/-22 needs a 2nd Gaussian (outflow for 02, interaction for 04/06/22); tabulated FWHM is the single-Gaussian fit; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-05,5.541,141.4,10.2,det,10.16,0.35,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=333.0+/-24 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-06a,4.562,77.8,3,det,10.09,0.3,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=183.3+/-7 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); Sect. 6.2: global spectrum of CRISTAL-02/-04/-06/-22 needs a 2nd Gaussian (outflow for 02, interaction for 04/06/22); tabulated FWHM is the single-Gaussian fit; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-06b,4.562,79,5.1,det,9.19,0.46,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=186.1+/-12 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); Sect. 6.2: global spectrum of CRISTAL-02/-04/-06/-22 needs a 2nd Gaussian (outflow for 02, interaction for 04/06/22); tabulated FWHM is the single-Gaussian fit; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-07a,5.154,84.7,5.9,det,10,0.33,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=199.5+/-14 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-07b,5.154,90.9,6.8,det,9.9,0.66,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=214.1+/-16 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-07c,5.155,109.6,6.8,det,10.21,0.35,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=258.0+/-16 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-07d,5.155,159.2,31,det,,,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=374.9+/-73 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); no M* in Table 1 for this component; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-08,4.43,104.9,5.1,det,9.85,0.36,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=247.0+/-12 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-09a,5.575,129.5,13.2,det,9.84,0.39,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=305.0+/-31 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-09b,5.575,62.5,13.2,det,,,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=147.1+/-31 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); no M* in Table 1 for this component; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-10a,5.671,137.7,13.2,det,9.99,0.31,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=324.3+/-31 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-10b,5.671,106.9,26.8,det,,,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=251.7+/-63 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); no M* in Table 1 for this component; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-11,4.439,129.9,10.2,det,9.68,0.33,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=306.0+/-24 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-12,5.572,52.8,10.2,det,9.3,0.47,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=124.3+/-24 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-13a,4.579,99.6,6.8,det,9.65,0.34,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=234.5+/-16 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-13b,4.579,37.4,12.3,det,,,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=88.0+/-29 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); no M* in Table 1 for this component; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-14,4.411,130.5,14,det,9.53,0.38,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=307.4+/-33 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-15,4.58,134.5,14.9,det,9.69,0.33,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=316.8+/-35 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-16,5.571,108.6,13.2,det,9.6,0.39,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=255.7+/-31 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); FWHM table lists ""CRISTAL-16""; M* is the Table 1 value for CRISTAL-16a (16b has none); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-17,5.635,65.8,29.3,det,9.51,0.4,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=154.9+/-69 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-19,5.233,117.7,5.9,det,9.51,0.36,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=277.3+/-14 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-20,5.545,81.9,3,det,10.11,0.35,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=192.9+/-7 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-21,5.255,108.6,11,det,10.11,0.32,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=255.7+/-26 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-22a,5.653,249.8,10.2,det,10.35,0.37,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=588.2+/-24 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); Sect. 6.2: global spectrum of CRISTAL-02/-04/-06/-22 needs a 2nd Gaussian (outflow for 02, interaction for 04/06/22); tabulated FWHM is the single-Gaussian fit; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-22b,5.653,148,8.1,det,,,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=348.5+/-19 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); Sect. 6.2: global spectrum of CRISTAL-02/-04/-06/-22 needs a 2nd Gaussian (outflow for 02, interaction for 04/06/22); tabulated FWHM is the single-Gaussian fit; no M* in Table 1 for this component; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-23a,4.56,119.7,6.8,det,10.55,0.29,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=281.8+/-16 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-23b,4.562,75.5,5.9,det,10.46,0.24,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=177.9+/-14 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-23c,4.565,102.2,10.2,det,,,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=240.6+/-24 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); no M* in Table 1 for this component; M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-24,4.546,320.2,14.9,det,10.53,0.08,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=754.1+/-35 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
CRISTAL-25,4.573,116.6,8.1,det,10.9,0.32,Chabrier,,,,,unclear,[CII]158,ALMA,integrated line FWHM/2.355,no,2505.06340,"Table 2 (table:fluxes) FWHM; z, M* Table 1 (table:sample)","FWHM=274.7+/-19 km/s /2.355 (single-Gaussian fit to global [CII] spectrum; integrated, includes rotation/merger motions); M* CIGALE (Mitsuhashi+2024), Chabrier stated Sect. 1; kinematic class not given in this paper (see 2507.11600)"
BRI1335-0417,4.4071,75,10,det,10.4,0.1,Chabrier,9.8,,3.06,2.7,rotation,[CII]158,ALMA,"3D-Barolo intrinsic dispersion, radial mean <sigma>",yes,2302.03049;2403.00904,"RO23 Table 5 (tab:vel) <sigma>; M*,Mgas RO24 Table 3 (tab:dy_fid); Reff RO24 Table 1","<sigma> = 75 +10/-10; v_over_sigma = Vmax/<sigma> = 2.7+/-0.4; log M* = 10.4 +0.1/-0.1 from rotation-curve mass decomposition (dynamical; RO24 Table 3 tab:dy_fid); RO24 states Chabrier IMF adopted throughout; log M_gas = 9.8 +0.3/-0.5 (RO24 Table 3); re_kpc = [CII] gas R_eff 3.06 +0.03/-0.04 (RO24 Table 1, Sersic n=1); stellar R_eff,* = 2.3 kpc (RO24 Table 3); kinematic_type: paper classifies as rotating disc; quasar-host starburst; RO24 fixes f_bar to cosmic value so M_gas is effectively an upper limit (RO24 Sect. 3.2); 3D-Barolo tilted-ring fit to the cube (beam smearing and instrumental broadening handled)"
BRI1335-0417 [sigma_ext],4.4071,57,11,det,10.4,0.1,Chabrier,9.8,,3.06,2.2,rotation,[CII]158,ALMA,"3D-Barolo intrinsic dispersion, outer (mean of last two rings) sigma_ext",yes,2302.03049;2403.00904,"RO23 Table 5 (tab:vel) sigma_ext; M*,Mgas RO24 Table 3; Reff RO24 Table 1","sigma_ext = 57 +11/-11; v_over_sigma = V_rot,ext/sigma_ext = 2.2+/-0.6; DUPLICATE of the <sigma> row for the same galaxy (outer-disc value); log M* = 10.4 +0.1/-0.1 from rotation-curve mass decomposition (dynamical; RO24 Table 3 tab:dy_fid); RO24 states Chabrier IMF adopted throughout; log M_gas = 9.8 +0.3/-0.5 (RO24 Table 3); re_kpc = [CII] gas R_eff 3.06 +0.03/-0.04 (RO24 Table 1, Sersic n=1); stellar R_eff,* = 2.3 kpc (RO24 Table 3); kinematic_type: paper classifies as rotating disc; quasar-host starburst; RO24 fixes f_bar to cosmic value so M_gas is effectively an upper limit (RO24 Sect. 3.2); 3D-Barolo tilted-ring fit to the cube (beam smearing and instrumental broadening handled)"
