name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
BR1202-0725 C2,4.6973,230,10,det,,,,,,,,unclear,narrow component (integrated),NIRSpec IFU G235H+G395H R2700,integrated narrow-component velocity dispersion corrected for instrumental broadening,no,2412.02751,"table label tab:Comp (coordinates, z, sigma of companions)",companion of the z=4.69 QSO/SMG pair in a dense overdensity; NO stellar mass tabulated; Mdyn quoted as upper limits (ionised-gas sizes)
BR1202-0725 C3,4.6973,226,7,det,,,,,,,,unclear,narrow component (integrated),NIRSpec IFU G235H+G395H R2700,integrated narrow-component velocity dispersion corrected for instrumental broadening,no,2412.02751,"table label tab:Comp (coordinates, z, sigma of companions)",companion of the z=4.69 QSO/SMG pair in a dense overdensity; NO stellar mass tabulated; Mdyn quoted as upper limits (ionised-gas sizes)
BR1202-0725 C4,4.6939,156,7,det,,,,,,,,unclear,narrow component (integrated),NIRSpec IFU G235H+G395H R2700,integrated narrow-component velocity dispersion corrected for instrumental broadening,no,2412.02751,"table label tab:Comp (coordinates, z, sigma of companions)",companion of the z=4.69 QSO/SMG pair in a dense overdensity; NO stellar mass tabulated; Mdyn quoted as upper limits (ionised-gas sizes)
GN-z11,10.603,91,25,det,9.1,0.35,unstated (Tacchella+23),9.48,9.66,0.209,2.83,rotation,"CIII]1907,1909",NIRSpec IFU G235M R1000 (flag: medium resolution),sigma_v from 3D forward model (fiducial rotating disc; beam smearing and doublet blending included),yes,2404.16963,deluxetable tab:models (Fiducial column); M* in Discussion 'Rotation disk at z>10',"sigma 91(+18/-32); other models 87-88; median observed spaxel sigma 80(+12/-10) (table tab:results); M* 9.1(+0.3/-0.4); Mdyn(<2Re)=4.6+-2.7e9 and Mgas=3.0+-2.7e9 (Mdyn - M* - DM) converted to log; 'hints of' rotation, marginally resolved doublet; possible AGN"
J1120+0641 quasar host (Region 1),7.0804,88,49,det,9.477,0.268,Chabrier,,10.11,1.93,,merger,[OIII]5007,NIRSpec IFU G395H R2700,intrinsic integrated line dispersion corrected for FWHM_inst=115 km/s; error = one wavelength element,no,2410.11035,table tab:DynamicalMasses; text Sect. on host (92+-49),"QUASAR HOST (quasar-subtracted, core missing); text gives 92+-49 km/s vs table 88+-49; M* 3.0(+2.5/-1.4)e9 -> log; Mdyn(rot, best) 1.3(+1.9/-1.1)e10; R = Sersic radius of [OIII]"
J1120+0641 companion (Region 2),7.0804,104,49,det,9.431,0.081,Chabrier,,10.26,1.83,,merger,[OIII]5007,NIRSpec IFU G395H R2700,intrinsic integrated line dispersion corrected for FWHM_inst=115 km/s; error = one wavelength element,no,2410.11035,table tab:DynamicalMasses,z given relative to host (dv=32+-49 km/s); velocity gradient ~100 km/s across companion; M* 2.7+-0.5e9 -> log; Mdyn(rot) 1.8(+2.1/-1.3)e10
Gz9p3 (integrated),9.313,77.3,0.6,upper,9.204,0.122,Chabrier,,,,,merger,[OIII]5007,NIRSpec IFU G395H R2700,"observed FWHM of aperture spectrum /2.355, NOT corrected for instrumental broadening (upper bound on intrinsic)",no,2608.16996,Table A1 (tab:tablea1; FWHM) + Table 1 (tab:table1; M*),"[OIII]5007 FWHM 182(+2/-1) km/s uncorrected; lensed mu=1.66+-0.02, all values delensed; M* (1.6+0.5/-0.4)e9 -> log, M* from Boyett+24; paper: no ordered rotation, dispersion-dominated, interacting ('dynamically hot')"
Gz9p3 core,9.313,79.4,0.6,upper,9.0,0.134,Chabrier,,,,,merger,[OIII]5007,NIRSpec IFU G395H R2700,"observed FWHM of aperture spectrum /2.355, NOT corrected for instrumental broadening (upper bound on intrinsic)",no,2608.16996,Table A1 (tab:tablea1; FWHM) + Table 1 (tab:table1; M*),"[OIII]5007 FWHM 187(+1/-2) km/s uncorrected; lensed mu=1.66+-0.02, all values delensed; M* (1.0+0.3/-0.3)e9 -> log, sub-region M* scaled from F444W flux fraction; paper: no ordered rotation, dispersion-dominated, interacting ('dynamically hot')"
Gz9p3 tail,9.313,73.9,0.6,upper,8.23,0.114,Chabrier,,,,,merger,[OIII]5007,NIRSpec IFU G395H R2700,"observed FWHM of aperture spectrum /2.355, NOT corrected for instrumental broadening (upper bound on intrinsic)",no,2608.16996,Table A1 (tab:tablea1; FWHM) + Table 1 (tab:table1; M*),"[OIII]5007 FWHM 174(+1/-2) km/s uncorrected; lensed mu=1.66+-0.02, all values delensed; M* (0.17+0.05/-0.04)e9 -> log, sub-region M* scaled from F444W flux fraction; paper: no ordered rotation, dispersion-dominated, interacting ('dynamically hot')"
"Gz9p3 (MIRI MRS Halpha, integrated)",9.313,58.6,20.8,det,9.204,0.122,Chabrier,,,,,merger,Halpha,MIRI MRS IFU (ch1 LONG) R~3500,single-Gaussian FWHM of integrated elliptical-aperture spectrum corrected for instrumental broadening /2.355,no,2604.22460,"Sect. 'Integrated spectra of Gz9p3' (MRS paragraph): 'FWHM of 138+-49 km/s, corrected for the instrumental broadening'","Halpha detected at 7.5 sigma; NIRSpec IFU in this paper is PRISM only; M* 1.6(+0.5/-0.4)e9 taken from 2608.16996 Table 1 (Boyett+24 value), not printed in 2604.22460"
MACS0647 v7-5191/v4-3754,7.466,54.4,4.9,upper,8.37,0.055,Kroupa,,,,,unclear,[OIII]5008,"NIRSpec MOS G395H R~2700-3000 (slit, not IFU)",FWHM of slit spectrum /2.355; instrumental correction NOT stated (values near instrumental ~100-110 km/s) -> treated as upper bound,no,2512.11985,deluxetable tab:spec_g395h (FWHM) + table tab:catalog (Bagpipes M*) + table tab:catalog2 (mu),[OIII]5008 FWHM 128(+12/-11) km/s; M* from photometric Bagpipes fit at z_phot (not z_spec); delensing of M* not stated; mu=7.51
MACS0647 v7-7282/v4-5094,6.999,77.3,20.8,upper,8.78,0.11,Kroupa,,,,,unclear,[OIII]5008,"NIRSpec MOS G395H R~2700-3000 (slit, not IFU)",FWHM of slit spectrum /2.355; instrumental correction NOT stated (values near instrumental ~100-110 km/s) -> treated as upper bound,no,2512.11985,deluxetable tab:spec_g395h (FWHM) + table tab:catalog (Bagpipes M*) + table tab:catalog2 (mu),[OIII]5008 FWHM 182(+50/-48) km/s; [OIII]4959 FWHM 202(+14/-13); M* from photometric Bagpipes fit at z_phot (not z_spec); delensing of M* not stated; mu=2.32
MACS0647 v7-4268/v4-3090,6.127,66.7,2.1,upper,,,Kroupa,,,,,unclear,[OIII]5008,"NIRSpec MOS G395H R~2700-3000 (slit, not IFU)",FWHM of slit spectrum /2.355; instrumental correction NOT stated (values near instrumental ~100-110 km/s) -> treated as upper bound,no,2512.11985,deluxetable tab:spec_g395h (FWHM) + table tab:catalog (Bagpipes M*) + table tab:catalog2 (mu),[OIII]5008 FWHM 157(+5/-5) km/s; two spatially resolved components ~1 kpc apart with dv~90 km/s (paper: Mdyn~1e8 if bound); no M* in Bagpipes table; M* from photometric Bagpipes fit at z_phot (not z_spec); delensing of M* not stated; mu=1.98
MACS0647 v7-5931/v4-4219,6.117,53.5,3.2,upper,7.52,0.22,Kroupa,,,,,unclear,[OIII]5008,"NIRSpec MOS G395H R~2700-3000 (slit, not IFU)",FWHM of slit spectrum /2.355; instrumental correction NOT stated (values near instrumental ~100-110 km/s) -> treated as upper bound,no,2512.11985,deluxetable tab:spec_g395h (FWHM) + table tab:catalog (Bagpipes M*) + table tab:catalog2 (mu),[OIII]5008 FWHM 126(+8/-7) km/s; [OIII]4959 FWHM 102+-5 (sigma 43.3); Halpha 105(+43/-29); M* from photometric Bagpipes fit at z_phot (not z_spec); delensing of M* not stated; mu=7.41
MACS0647 v7-7120/v4-5010,6.115,83.7,3.8,upper,8.98,0.09,Kroupa,,,,,unclear,[OIII]5008,"NIRSpec MOS G395H R~2700-3000 (slit, not IFU)",FWHM of slit spectrum /2.355; instrumental correction NOT stated (values near instrumental ~100-110 km/s) -> treated as upper bound,no,2512.11985,deluxetable tab:spec_g395h (FWHM) + table tab:catalog (Bagpipes M*) + table tab:catalog2 (mu),[OIII]5008 FWHM 197(+9/-9) km/s; M* from photometric Bagpipes fit at z_phot (not z_spec); delensing of M* not stated; mu=2.63
MACS0647 v7-4010/v4-2876,6.101,73.0,3.4,upper,8.9,0.1,Kroupa,,,,,unclear,[OIII]5008,"NIRSpec MOS G395H R~2700-3000 (slit, not IFU)",FWHM of slit spectrum /2.355; instrumental correction NOT stated (values near instrumental ~100-110 km/s) -> treated as upper bound,no,2512.11985,deluxetable tab:spec_g395h (FWHM) + table tab:catalog (Bagpipes M*) + table tab:catalog2 (mu),[OIII]5008 FWHM 172(+8/-8) km/s; M* from photometric Bagpipes fit at z_phot (not z_spec); delensing of M* not stated; mu=1.80
MACS0647 v7-2193/v4-1742 (LRD),5.797,67.9,2.8,upper,10.04,0.035,Kroupa,,,,,unclear,[OIII]5008,"NIRSpec MOS G395H R~2700-3000 (slit, not IFU)",FWHM of slit spectrum /2.355; instrumental correction NOT stated (values near instrumental ~100-110 km/s) -> treated as upper bound,no,2512.11985,deluxetable tab:spec_g395h (FWHM) + table tab:catalog (Bagpipes M*) + table tab:catalog2 (mu),[OIII]5008 FWHM 160(+7/-6) km/s; LITTLE RED DOT (SED unreliable per paper); M* from photometric Bagpipes fit at z_phot (not z_spec); delensing of M* not stated; mu=1.10
MS1358+62 arc clump 0,4.92,86,15,det,,,Salpeter (galaxy M*),,,,,unclear,"[OII]3726,3729",Gemini NIFS IFU (ground) R=5300,"line width of individual star-forming-region spectrum, deconvolved for instrumental resolution (sigma_inst=25 km/s)",no,0909.0111,Sect. 'Star-formation rate and dynamics' text ('sigma_0=86+-15 and sigma_4=80+-15 km/s'),"CLUMP-scale sigma (galaxy-integrated sigma not printed); galaxy M*=7+-2e8 Msun (Salpeter, delensed mu=12.5+-2.0) -> log 8.85 applies to whole galaxy, not clump, so logMstar left empty; galaxy dv_peak-to-peak=180+-20 km/s over 4 kpc; clump dynamical masses 6-9e8"
MS1358+62 arc clump 4,4.92,80,15,det,,,Salpeter (galaxy M*),,,,,unclear,"[OII]3726,3729",Gemini NIFS IFU (ground) R=5300,"line width of individual star-forming-region spectrum, deconvolved for instrumental resolution (sigma_inst=25 km/s)",no,0909.0111,Sect. 'Star-formation rate and dynamics' text ('sigma_0=86+-15 and sigma_4=80+-15 km/s'),"CLUMP-scale sigma (galaxy-integrated sigma not printed); galaxy M*=7+-2e8 Msun (Salpeter, delensed mu=12.5+-2.0) -> log 8.85 applies to whole galaxy, not clump, so logMstar left empty; galaxy dv_peak-to-peak=180+-20 km/s over 4 kpc; clump dynamical masses 6-9e8"
RCS0224-002 arc,4.8757,100,20,det,,,,,,,,unclear,"[OII]3726,3729",VLT SINFONI IFU (ground),"intrinsic width of collapsed (integrated) [OII] spectrum, rest-frame",no,astro-ph/0701221,Sect. 'Spatially Resolved Spectroscopy / Nebular emission' text (100+-20); Table 2 lists 100+-30,lensed mu=16+-2; eastern/western components sigma 80+-18 and 85+-12 km/s; velocity shear |v|<30 km/s; Mdyn ~1e10 within 2 kpc (approximate); NO stellar mass in paper
