name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
JADES-1065488,4.15,68.0,,upper,8.01,0.285,unstated (Prospector; JADES default Chabrier),,9.94,1.1,2.1,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <68 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 2.1 +1.5/-0.6; re(Halpha) 1.1 +0.14/-0.14 kpc; logM* +0.42/-0.15; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1025101,4.91,142.0,53.0,det,8.99,0.245,unstated (Prospector; JADES default Chabrier),,10.8,1.19,1.9,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 142.0 +21.0/-85.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.9 +1.3/-0.4; re(Halpha) 1.19 +0.16/-0.13 kpc; logM* +0.29/-0.2; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1077545,4.42,63.0,28.5,det,9.27,0.235,unstated (Prospector; JADES default Chabrier),,9.86,0.87,1.1,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 63.0 +24.0/-33.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.1 +1.4/-0.7; re(Halpha) 0.87 +0.09/-0.09 kpc; logM* +0.11/-0.36; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1095186,4.02,76.0,15.5,det,9.37,0.16,unstated (Prospector; JADES default Chabrier),,10.3,1.92,1.1,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 76.0 +14.0/-17.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.1 +0.8/-0.6; re(Halpha) 1.92 +0.3/-0.27 kpc; logM* +0.1/-0.22; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1091580,4.8,56.0,,upper,8.09,0.3,unstated (Prospector; JADES default Chabrier),,9.45,0.88,1.0,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <56 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.0 +3.4/-0.8; re(Halpha) 0.88 +0.18/-0.16 kpc; logM* +0.31/-0.29; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1086992,4.04,28.0,,upper,9.37,0.345,unstated (Prospector; JADES default Chabrier),,9.84,3.42,4.7,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <28 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 4.7 +5.0/-2.9; re(Halpha) 3.42 +0.2/-0.2 kpc; logM* +0.23/-0.46; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1090054,4.82,68.0,6.5,det,9.62,0.05,unstated (Prospector; JADES default Chabrier),,10.6,1.27,3.4,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 68.0 +6.0/-7.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 3.4 +0.5/-0.4; re(Halpha) 1.27 +0.06/-0.06 kpc; logM* +0.04/-0.06; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1014130,4.38,61.0,,upper,8.49,0.265,unstated (Prospector; JADES default Chabrier),,9.78,1.32,1.9,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <61 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.9 +3.9/-1.4; re(Halpha) 1.32 +0.22/-0.2 kpc; logM* +0.22/-0.31; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1000110,4.06,133.0,11.0,det,9.52,0.21,unstated (Prospector; JADES default Chabrier),,10.8,1.66,1.5,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 133.0 +11.0/-11.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.5 +0.2/-0.2; re(Halpha) 1.66 +0.09/-0.08 kpc; logM* +0.34/-0.08; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1091153,4.07,98.0,,upper,10.37,0.14,unstated (Prospector; JADES default Chabrier),,10.3,1.85,1.4,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <98 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.4 +2.0/-0.5; re(Halpha) 1.85 +0.09/-0.1 kpc; logM* +0.14/-0.14; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1079264,4.05,32.0,,upper,8.73,0.43,unstated (Prospector; JADES default Chabrier),,9.24,2.24,1.6,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <32 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.6 +4.2/-1.2; re(Halpha) 2.24 +0.17/-0.15 kpc; logM* +0.56/-0.3; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1086406,4.41,27.0,,upper,9.46,0.25,unstated (Prospector; JADES default Chabrier),,9.48,0.91,6.3,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <27 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 6.3 +5.0/-3.5; re(Halpha) 0.91 +0.14/-0.12 kpc; logM* +0.18/-0.32; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1028072,4.4,39.0,,upper,9.17,0.11,unstated (Prospector; JADES default Chabrier),,9.76,1.66,3.7,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <39 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 3.7 +5.0/-2.5; re(Halpha) 1.66 +0.23/-0.2 kpc; logM* +0.08/-0.14; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1090742,4.62,37.0,,upper,9.37,0.21,unstated (Prospector; JADES default Chabrier),,9.61,1.34,3.7,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <37 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 3.7 +5.0/-2.3; re(Halpha) 1.34 +0.16/-0.14 kpc; logM* +0.16/-0.26; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1091236,4.17,84.0,13.0,det,9.34,0.325,unstated (Prospector; JADES default Chabrier),,10.0,0.84,0.9,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 84.0 +12.0/-14.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.9 +0.3/-0.3; re(Halpha) 0.84 +0.09/-0.08 kpc; logM* +0.15/-0.5; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1009935,4.89,29.0,,upper,9.65,0.18,unstated (Prospector; JADES default Chabrier),,8.99,1.02,2.1,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <29 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 2.1 +5.0/-1.5; re(Halpha) 1.02 +0.12/-0.11 kpc; logM* +0.11/-0.25; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1085494,4.06,53.0,11.5,det,8.9,0.27,unstated (Prospector; JADES default Chabrier),,9.85,1.06,1.6,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 53.0 +10.0/-13.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.6 +0.6/-0.4; re(Halpha) 1.06 +0.1/-0.1 kpc; logM* +0.39/-0.15; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1008197,4.4,44.0,,upper,8.76,0.225,unstated (Prospector; JADES default Chabrier),,9.77,1.11,3.9,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <44 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 3.9 +5.0/-2.4; re(Halpha) 1.11 +0.19/-0.16 kpc; logM* +0.21/-0.24; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1029814,4.16,48.0,15.0,det,8.38,0.175,unstated (Prospector; JADES default Chabrier),,10.2,1.28,3.2,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 48.0 +12.0/-18.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 3.2 +2.1/-1.1; re(Halpha) 1.28 +0.26/-0.21 kpc; logM* +0.18/-0.17; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
