# MEASURED velocity dispersion profiles of Galactic globular clusters (line-of-sight RV and proper-motion bins).
# Source: https://people.smp.uq.edu.au/HolgerBaumgardt/globular/veldis.html   Retrieved 2026-09-03.
# Radius is in arcsec.  Type RV = line-of-sight radial velocities.  These are the DATA, not model curves.
ClusterName	R[arcsec]	N_star	sigma[km/s]	dsigma_up	dsigma_low	Type
NGC 5139	92.19	2232	17.55	0.18	0.18	W15
NGC 5139	98.41	2232	17.70	0.19	0.19	W15
NGC 5139	100.22	200	15.97	0.84	0.77	RV
NGC 5139	104.18	2232	17.47	0.20	0.20	W15
NGC 5139	109.72	2232	16.70	0.18	0.18	W15
NGC 5139	110.90		16.61	0.24	0.22	K18
NGC 5139	115.15	2232	17.31	0.18	0.18	W15
NGC 5139	120.67	2232	17.08	0.20	0.20	W15
NGC 5139	121.02	200	15.07	0.79	0.73	RV
NGC 5139	125.90	2231	16.95	0.18	0.18	W15
NGC 5139	131.32	2232	16.81	0.17	0.17	W15
NGC 5139	136.88	2232	16.55	0.18	0.18	W15
NGC 5139	137.77	200	15.14	0.80	0.73	RV
NGC 5139	142.98	2232	16.38	0.17	0.17	W15
NGC 5139	150.20	2232	16.11	0.17	0.17	W15
NGC 5139	150.50	500	16.40	0.55	0.51	VB21
NGC 5139	156.41	200	15.14	0.80	0.73	RV
NGC 5139	162.18	2232	16.08	0.15	0.15	W15
NGC 5139	177.90	200	14.85	0.78	0.72	RV
NGC 5139	204.99	200	14.25	0.75	0.69	RV
NGC 5139	228.86	500	14.81	0.49	0.47	VB21
NGC 5139	234.30	200	14.32	0.75	0.69	RV
NGC 5139	236.84	2232	15.62	0.17	0.17	W15
NGC 5139	262.10	200	12.88	0.68	0.62	RV
NGC 5139	273.98	500	13.99	0.46	0.44	VB21
NGC 5139	289.06	200	14.02	0.73	0.68	RV
NGC 5139	311.98	500	13.75	0.46	0.43	VB21
NGC 5139	318.30	200	12.53	0.66	0.61	RV
NGC 5139	344.67	500	13.71	0.46	0.43	VB21
NGC 5139	351.90	200	13.26	0.70	0.64	RV
NGC 5139	378.47	500	11.98	0.40	0.38	VB21
NGC 5139	393.38	200	11.49	0.60	0.56	RV
NGC 5139	409.93	500	12.38	0.41	0.39	VB21
NGC 5139	437.87	500	11.96	0.40	0.38	VB21
NGC 5139	440.61	200	12.48	0.66	0.60	RV
NGC 5139	465.67	500	12.40	0.41	0.39	VB21
NGC 5139	491.58	200	11.81	0.62	0.57	RV
NGC 5139	496.41	500	12.58	0.41	0.40	VB21
NGC 5139	529.88	500	11.41	0.38	0.36	VB21
NGC 5139	549.46	200	11.29	0.59	0.55	RV
NGC 5139	564.21	500	11.36	0.38	0.36	VB21
NGC 5139	602.90	500	11.02	0.36	0.35	VB21
NGC 5139	614.34	200	10.66	0.56	0.52	RV
NGC 5139	641.98	500	11.05	0.37	0.35	VB21
NGC 5139	685.55	500	10.55	0.35	0.33	VB21
NGC 5139	698.61	200	9.88	0.52	0.48	RV
NGC 5139	733.17	500	10.35	0.34	0.33	VB21
NGC 5139	777.68	500	9.09	0.31	0.29	VB21
NGC 5139	804.83	200	9.88	0.52	0.48	RV
NGC 5139	824.21	500	9.23	0.31	0.30	VB21
NGC 5139	885.95	500	9.54	0.32	0.31	VB21
NGC 5139	938.01	200	9.41	0.50	0.46	RV
NGC 5139	1126.12	500	8.35	0.27	0.26	VB21
NGC 5139	1173.57	200	8.04	0.43	0.39	RV
NGC 5139	1747.28	193	7.42	0.40	0.38	RV
NGC 5139	1773.66	172	6.13	0.36	0.33	VB21
NGC 5272	6.82	114	8.30	0.43	0.43	LI22
NGC 5272	12.86	70	7.26	0.68	0.59	RV
NGC 5272	13.97	209	8.10	0.34	0.34	LI22
NGC 5272	19.71	209	7.77	0.29	0.29	LI22
NGC 5272	24.77	209	7.72	0.29	0.29	LI22
NGC 5272	28.75	209	7.52	0.29	0.29	LI22
NGC 5272	32.78	209	7.77	0.29	0.29	LI22
NGC 5272	37.10	209	7.48	0.29	0.29	LI22
NGC 5272	39.55	70	8.30	0.77	0.66	RV
NGC 5272	41.07	208	7.24	0.29	0.29	LI22
NGC 5272	44.80	208	7.14	0.29	0.29	LI22
NGC 5272	48.87	208	7.72	0.29	0.29	LI22
NGC 5272	52.92	208	7.14	0.24	0.24	LI22
NGC 5272	56.60	208	7.24	0.29	0.29	LI22
NGC 5272	61.15	208	6.85	0.24	0.24	LI22
NGC 5272	65.79	208	6.99	0.24	0.24	LI22
NGC 5272	70.89	70	6.22	0.58	0.50	RV
NGC 5272	71.75	208	7.28	0.29	0.29	LI22
NGC 5272	77.63	208	6.61	0.24	0.24	LI22
NGC 5272	89.71	208	6.66	0.24	0.24	LI22
NGC 5272	103.24	70	6.32	0.59	0.52	RV
NGC 5272	122.98	125	5.52	0.41	0.37	VB21
NGC 5272	141.58	70	5.44	0.51	0.44	RV
NGC 5272	165.13	125	4.56	0.37	0.33	VB21
NGC 5272	185.91	70	4.68	0.46	0.39	RV
NGC 5272	205.56	125	4.97	0.39	0.35	VB21
NGC 5272	250.96	70	4.29	0.42	0.36	RV
NGC 5272	265.07	125	4.44	0.36	0.33	VB21
NGC 5272	337.43	70	4.92	0.47	0.41	RV
NGC 5272	339.36	125	3.83	0.32	0.30	VB21
NGC 5272	445.01	125	3.98	0.35	0.31	VB21
NGC 5272	475.27	70	3.65	0.36	0.32	RV
NGC 5272	578.57	33	3.09	0.59	0.50	VB21
NGC 5272	670.45	70	2.98	0.29	0.24	RV
NGC 5272	1119.10	27	2.36	0.40	0.32	RV
NGC 5286	0.52		9.14	2.17	2.17	F13
NGC 5286	1.55		10.36	1.60	1.60	F13
NGC 5286	3.09		9.51	0.95	0.95	F13
NGC 5286	5.50		10.10	0.77	0.77	F13
NGC 5286	6.42	200	9.69	0.53	0.49	RV
NGC 5286	8.13		9.33	0.71	0.71	F13
NGC 5286	11.89	200	9.21	0.51	0.47	RV
NGC 5286	12.59		8.75	0.68	0.68	F13
NGC 5286	16.06	200	9.68	0.53	0.49	RV
NGC 5286	19.78	200	8.73	0.48	0.44	RV
NGC 5286	23.14	200	8.90	0.54	0.49	RV
NGC 5286	26.57	200	8.66	0.48	0.44	RV
NGC 5286	30.79	200	9.25	0.50	0.47	RV
NGC 5286	40.19	200	7.87	0.45	0.41	RV
NGC 5286	56.37	100	7.56	0.62	0.56	RV
NGC 5286	106.50	120	6.90	0.55	0.50	VB21
NGC 5286	142.72	120	4.69	0.45	0.41	VB21
NGC 5286	160.25	69	5.77	0.55	0.48	RV
NGC 5286	185.39	120	4.13	0.43	0.40	VB21
NGC 5286	246.50	120	4.48	0.46	0.42	VB21
NGC 5286	365.89	62	2.71	0.44	0.39	VB21
NGC 5466	53.63	170	1.95	0.26	0.25	P22
NGC 5466	73.00	170	1.78	0.29	0.28	VB21
NGC 5466	102.88	158	1.24	0.31	0.34	P22
NGC 5466	104.47	33	1.41	0.22	0.18	RV
NGC 5466	193.81	154	1.38	0.41	0.43	VB21
NGC 5466	413.26	35	1.07	0.18	0.15	RV
NGC 5634	43.41	25	3.62	0.64	0.51	RV
NGC 5634	74.87	84	4.38	0.91	0.84	VB21
NGC 5634	112.39	25	3.43	0.59	0.46	RV
NGC 5694	0.52		9.54	2.22	2.22	L13
NGC 5694	2.09		8.75	1.00	1.00	L13
NGC 5694	4.17		9.30	0.84	0.84	L13
NGC 5694	6.46		6.65	0.91	0.91	L13
NGC 5694	9.61	35	7.03	0.96	0.80	RV
NGC 5694	42.29	35	4.58	0.65	0.54	RV
NGC 5694	101.00	35	3.46	0.49	0.39	RV
NGC 5694	230.56	31	2.52	0.41	0.33	RV
NGC 5824	0.52		13.32	1.76	1.76	L13
NGC 5824	1.82		11.18	0.85	0.85	L13
NGC 5824	3.63		11.22	0.70	0.70	L13
NGC 5824	7.59		10.86	0.55	0.55	L13
NGC 5824	25.12		8.31	0.62	0.62	L13
NGC 5824	48.95	41	7.68	0.96	0.79	RV
NGC 5824	92.56	90	5.55	1.41	1.42	VB21
NGC 5824	106.66	41	5.08	0.62	0.53	RV
NGC 5824	206.13	41	3.89	0.48	0.41	RV
NGC 5824	252.06	56	4.91	1.65	1.70	VB21
NGC 5824	325.65	17	2.96	0.62	0.46	RV
NGC 5897	25.22	59	3.75	0.30	0.30	LI22
NGC 5897	40.56	59	3.63	0.30	0.30	LI22
NGC 5897	53.29	59	3.39	0.30	0.30	LI22
NGC 5897	63.01	59	3.45	0.30	0.30	LI22
NGC 5897	78.84	200	2.80	0.33	0.31	VB21
NGC 5897	79.01	58	3.27	0.30	0.30	LI22
NGC 5897	86.79	50	3.31	0.38	0.32	RV
NGC 5897	160.96	200	2.65	0.29	0.27	VB21
NGC 5897	165.40	50	2.76	0.32	0.27	RV
NGC 5897	264.05	50	2.16	0.26	0.23	RV
NGC 5897	264.67	150	2.78	0.42	0.39	VB21
NGC 5897	418.96	10	1.52	0.51	0.36	RV
NGC 5904	3.76	54	7.30	0.53	0.53	LI22
NGC 5904	7.60	400	7.66	0.30	0.29	RV
NGC 5904	7.69	150	7.41	0.32	0.32	LI22
NGC 5904	12.85	214	6.98	0.25	0.25	LI22
NGC 5904	15.54	400	7.29	0.29	0.27	RV
NGC 5904	17.98	214	7.69	0.25	0.25	LI22
NGC 5904	21.35	400	6.61	0.26	0.25	RV
NGC 5904	21.79	239	7.66	0.25	0.25	LI22
NGC 5904	25.53	239	7.45	0.25	0.25	LI22
NGC 5904	26.08	400	6.86	0.27	0.27	RV
NGC 5904	29.46	239	7.20	0.25	0.25	LI22
NGC 5904	30.35	400	6.83	0.28	0.26	RV
NGC 5904	33.40	239	7.45	0.25	0.25	LI22
NGC 5904	34.53	400	7.42	0.30	0.29	RV
NGC 5904	38.22	239	7.23	0.25	0.25	LI22
NGC 5904	38.70	400	7.47	0.31	0.29	RV
NGC 5904	42.72	239	7.45	0.25	0.25	LI22
NGC 5904	43.53	400	6.87	0.28	0.27	RV
NGC 5904	47.05	239	7.06	0.25	0.25	LI22
NGC 5904	48.67	400	7.07	0.29	0.27	RV
NGC 5904	51.76	239	7.02	0.25	0.25	LI22
NGC 5904	54.49	400	6.75	0.28	0.26	RV
NGC 5904	56.65	238	7.37	0.25	0.25	LI22
NGC 5904	61.80	238	7.13	0.25	0.25	LI22
NGC 5904	66.60	400	6.73	0.27	0.26	RV
NGC 5904	68.34	238	7.20	0.25	0.25	LI22
NGC 5904	74.32	238	6.91	0.21	0.21	LI22
NGC 5904	81.91	238	6.81	0.25	0.25	LI22
NGC 5904	89.91	400	6.82	0.27	0.27	RV
NGC 5904	91.12	238	6.70	0.21	0.21	LI22
NGC 5904	104.37	238	6.56	0.21	0.21	LI22
NGC 5904	106.92	400	6.71	0.28	0.26	RV
NGC 5904	122.36	400	6.27	0.26	0.25	RV
NGC 5904	142.16	215	6.13	0.35	0.33	VB21
NGC 5904	167.90	100	5.41	0.42	0.37	RV
NGC 5904	187.79	215	5.25	0.34	0.32	VB21
NGC 5904	216.24	100	6.05	0.47	0.42	RV
NGC 5904	224.84	215	5.24	0.34	0.32	VB21
NGC 5904	262.48	215	5.15	0.36	0.33	VB21
NGC 5904	274.72	100	5.16	0.39	0.36	RV
NGC 5904	300.51	215	4.56	0.30	0.28	VB21
NGC 5904	355.10	100	4.50	0.35	0.31	RV
NGC 5904	499.22	100	3.02	0.25	0.21	RV
NGC 5904	882.34	70	3.92	0.37	0.32	RV
NGC 5927	6.83	88	6.39	0.35	0.35	LI22
NGC 5927	12.64	70	7.38	0.71	0.62	RV
NGC 5927	14.56	224	6.00	0.20	0.20	LI22
NGC 5927	21.58	224	6.15	0.20	0.20	LI22
NGC 5927	26.75	224	5.68	0.20	0.20	LI22
NGC 5927	31.08	224	6.04	0.20	0.20	LI22
NGC 5927	33.74	70	6.65	0.75	0.65	RV
NGC 5927	35.97	223	5.92	0.20	0.20	LI22
NGC 5927	41.05	223	5.88	0.20	0.20	LI22
NGC 5927	45.76	223	5.92	0.20	0.20	LI22
NGC 5927	50.72	223	5.76	0.20	0.20	LI22
NGC 5927	52.50	70	5.34	0.65	0.55	RV
NGC 5927	55.67	223	5.61	0.20	0.20	LI22
NGC 5927	60.88	223	6.15	0.24	0.24	LI22
NGC 5927	66.58	223	5.88	0.20	0.20	LI22
NGC 5927	72.16	223	5.88	0.20	0.20	LI22
NGC 5927	77.76	70	4.94	0.50	0.44	RV
NGC 5927	78.17	223	5.45	0.20	0.20	LI22
NGC 5927	85.60	223	5.29	0.20	0.20	LI22
NGC 5927	93.63	223	5.68	0.20	0.20	LI22
NGC 5927	100.94	150	5.25	0.37	0.33	VB21
NGC 5927	106.57	223	5.53	0.20	0.20	LI22
NGC 5927	111.18	70	5.58	0.53	0.46	RV
NGC 5927	152.28	150	4.73	0.35	0.32	VB21
NGC 5927	157.67	70	5.34	0.51	0.44	RV
NGC 5927	201.85	150	5.01	0.36	0.33	VB21
NGC 5927	226.24	70	4.42	0.41	0.36	RV
NGC 5927	280.64	150	4.15	0.32	0.29	VB21
NGC 5927	356.96	70	3.75	0.35	0.31	RV
NGC 5927	466.45	42	2.78	0.48	0.41	VB21
NGC 5927	589.38	22	2.65	0.54	0.42	RV
NGC 5946	7.15	20	4.92	1.04	0.81	RV
NGC 5946	56.90	18	4.84	1.20	0.94	RV
NGC 5946	61.99	60	4.62	0.55	0.48	VB21
NGC 5946	123.25	60	3.38	0.50	0.44	VB21
NGC 5946	190.98	10	2.91	1.00	0.71	VB21
NGC 5986	7.10	124	7.89	0.40	0.40	LI22
NGC 5986	13.97	213	7.34	0.30	0.30	LI22
NGC 5986	19.13	212	7.84	0.30	0.30	LI22
NGC 5986	24.19	212	7.19	0.25	0.25	LI22
NGC 5986	25.81	47	7.02	0.83	0.70	RV
NGC 5986	28.05	212	7.39	0.30	0.30	LI22
NGC 5986	31.79	212	7.29	0.30	0.30	LI22
NGC 5986	35.95	212	7.19	0.25	0.25	LI22
NGC 5986	39.84	212	6.95	0.25	0.25	LI22
NGC 5986	43.84	212	7.19	0.25	0.25	LI22
NGC 5986	44.24	80	7.01	0.63	0.56	VB21
NGC 5986	48.11	212	6.85	0.25	0.25	LI22
NGC 5986	52.34	212	6.75	0.25	0.25	LI22
NGC 5986	56.98	212	6.45	0.25	0.25	LI22
NGC 5986	61.39	212	6.85	0.25	0.25	LI22
NGC 5986	63.54	47	7.15	0.82	0.69	RV
NGC 5986	66.61	212	6.25	0.25	0.25	LI22
NGC 5986	71.33	212	6.20	0.25	0.25	LI22
NGC 5986	77.26	212	6.30	0.25	0.25	LI22
NGC 5986	87.92	212	5.85	0.25	0.25	LI22
NGC 5986	93.08	47	4.65	0.54	0.45	RV
NGC 5986	95.36	80	5.89	0.54	0.48	VB21
NGC 5986	128.10	47	4.84	0.57	0.48	RV
NGC 5986	186.12	56	4.63	0.53	0.46	VB21
NGC 5986	202.50	47	5.37	0.62	0.53	RV
NGC 5986	296.04	9	3.26	1.02	0.69	RV
NGC 6093	6.52	300	10.73	0.47	0.44	RV
NGC 6093	13.62	300	10.63	0.46	0.44	RV
NGC 6093	19.67	300	8.94	0.39	0.38	RV
NGC 6093	22.57	200	8.88	0.48	0.45	RV
NGC 6093	27.33	200	9.02	0.49	0.46	RV
NGC 6093	32.33	200	8.67	0.47	0.44	RV
NGC 6093	39.27	200	8.13	0.45	0.41	RV
NGC 6093	47.53	200	7.83	0.44	0.40	RV
NGC 6093	55.48	100	7.15	0.57	0.51	RV
NGC 6093	70.09	100	7.12	0.57	0.50	RV
NGC 6093	94.56	125	6.48	0.57	0.53	VB21
NGC 6093	138.14	125	6.10	0.54	0.49	VB21
NGC 6093	167.89	87	5.54	0.46	0.41	RV
NGC 6093	245.61	66	3.20	0.52	0.46	VB21
NGC 6101	14.46	66	3.49	0.27	0.27	LI22
NGC 6101	30.00	119	3.77	0.21	0.21	LI22
NGC 6101	42.48	35	3.39	0.54	0.45	RV
NGC 6101	44.46	119	3.56	0.21	0.21	LI22
NGC 6101	55.49	118	3.42	0.21	0.21	LI22
NGC 6101	67.33	118	3.22	0.14	0.14	LI22
NGC 6101	78.94	118	3.49	0.21	0.21	LI22
NGC 6101	88.75	118	3.22	0.14	0.14	LI22
NGC 6101	106.35	118	3.42	0.21	0.21	LI22
NGC 6101	118.85	36	2.21	0.44	0.38	RV
NGC 6101	137.74	42	2.90	0.38	0.32	VB21
NGC 6121	13.50	57	5.11	0.35	0.35	LI22
NGC 6121	29.64	110	4.88	0.25	0.25	LI22
NGC 6121	46.10	110	4.93	0.25	0.25	LI22
NGC 6121	46.97	200	4.84	0.26	0.24	RV
NGC 6121	62.55	110	4.79	0.24	0.24	LI22
NGC 6121	79.68	110	4.76	0.24	0.24	LI22
NGC 6121	89.34	200	4.74	0.25	0.23	RV
NGC 6121	106.73	109	4.98	0.25	0.25	LI22
NGC 6121	108.87	700	4.45	0.13	0.12	VB21
NGC 6121	119.73	200	4.60	0.24	0.22	RV
NGC 6121	145.54	200	4.08	0.22	0.20	RV
NGC 6121	156.61	700	4.41	0.13	0.12	VB21
NGC 6121	170.78	200	4.00	0.21	0.19	RV
NGC 6121	192.76	700	4.25	0.12	0.12	VB21
NGC 6121	196.66	200	4.05	0.22	0.20	RV
NGC 6121	226.24	700	4.27	0.12	0.12	VB21
NGC 6121	226.33	200	4.02	0.21	0.20	RV
NGC 6121	257.27	700	4.03	0.12	0.11	VB21
NGC 6121	259.42	200	4.35	0.23	0.21	RV
NGC 6121	291.97	700	3.91	0.11	0.11	VB21
NGC 6121	293.46	200	4.03	0.21	0.20	RV
NGC 6121	328.00	700	3.95	0.11	0.11	VB21
NGC 6121	333.30	200	4.18	0.22	0.21	RV
NGC 6121	363.49	700	3.72	0.11	0.10	VB21
NGC 6121	376.76	200	3.58	0.19	0.18	RV
NGC 6121	402.29	700	3.62	0.11	0.10	VB21
NGC 6121	431.16	200	3.57	0.19	0.17	RV
NGC 6121	446.50	700	3.41	0.10	0.09	VB21
NGC 6121	494.95	700	3.33	0.10	0.09	VB21
NGC 6121	498.05	200	3.32	0.18	0.16	RV
NGC 6121	551.00	700	3.05	0.09	0.09	VB21
NGC 6121	580.63	200	3.31	0.18	0.17	RV
NGC 6121	622.81	700	3.08	0.09	0.09	VB21
NGC 6121	717.85	700	2.86	0.09	0.08	VB21
NGC 6121	839.68	570	2.82	0.09	0.09	VB21
NGC 6121	998.32	65	2.68	0.27	0.23	RV
NGC 6139	64.60	28	6.49	1.02	0.82	RV
NGC 6139	79.11	120	6.72	0.58	0.52	VB21
NGC 6139	143.73	120	5.17	0.50	0.45	VB21
NGC 6139	209.11	32	5.26	0.79	0.64	RV
NGC 6139	263.06	56	4.03	0.61	0.54	VB21
NGC 6144	14.36	62	3.79	0.31	0.31	LI22
NGC 6144	29.63	132	3.98	0.19	0.19	LI22
NGC 6144	45.66	132	3.55	0.19	0.19	LI22
NGC 6144	61.04	131	3.83	0.19	0.19	LI22
NGC 6144	78.44	131	3.59	0.19	0.19	LI22
NGC 6144	120.23	76	3.04	0.30	0.26	VB21
NGC 6144	138.93	30	2.56	0.48	0.40	RV
NGC 6171	7.04	42	3.50	0.29	0.29	LI22
NGC 6171	20.11	60	3.80	0.43	0.36	RV
NGC 6171	21.44	200	3.84	0.13	0.13	LI22
NGC 6171	36.58	200	3.58	0.13	0.13	LI22
NGC 6171	49.82	60	4.21	0.44	0.39	RV
NGC 6171	50.47	199	3.50	0.13	0.13	LI22
NGC 6171	63.31	199	3.60	0.13	0.13	LI22
NGC 6171	81.74	199	3.47	0.13	0.13	LI22
NGC 6171	82.03	250	3.36	0.20	0.19	VB21
NGC 6171	88.50	60	3.62	0.39	0.34	RV
NGC 6171	123.39	60	3.53	0.39	0.33	RV
NGC 6171	151.90	250	2.87	0.20	0.18	VB21
NGC 6171	173.00	60	3.02	0.31	0.27	RV
NGC 6171	242.30	60	2.64	0.28	0.25	RV
NGC 6171	256.30	250	2.92	0.19	0.18	VB21
NGC 6171	390.94	43	2.59	0.34	0.29	RV
NGC 6171	544.67	83	2.08	0.30	0.27	VB21
NGC 6205	6.87	134	9.11	0.39	0.39	LI22
NGC 6205	14.17	257	8.65	0.28	0.28	LI22
NGC 6205	20.12	257	8.90	0.28	0.28	LI22
NGC 6205	22.32	75	7.68	0.68	0.59	RV
NGC 6205	25.22	257	8.58	0.28	0.28	LI22
NGC 6205	29.27	257	8.76	0.28	0.28	LI22
NGC 6205	33.58	257	8.79	0.28	0.28	LI22
NGC 6205	37.25	257	8.93	0.28	0.28	LI22
NGC 6205	41.17	257	8.69	0.28	0.28	LI22
NGC 6205	45.07	257	8.44	0.28	0.28	LI22
NGC 6205	48.68	257	8.02	0.25	0.25	LI22
NGC 6205	52.62	256	7.81	0.25	0.25	LI22
NGC 6205	56.24	256	7.98	0.25	0.25	LI22
NGC 6205	59.80	256	8.02	0.25	0.25	LI22
NGC 6205	63.08	256	7.74	0.25	0.25	LI22
NGC 6205	67.18	256	7.70	0.25	0.25	LI22
NGC 6205	71.12	256	7.81	0.25	0.25	LI22
NGC 6205	75.37	256	7.91	0.25	0.25	LI22
NGC 6205	79.91	256	7.88	0.25	0.25	LI22
NGC 6205	84.69	256	7.77	0.25	0.25	LI22
NGC 6205	90.39	256	7.70	0.25	0.25	LI22
NGC 6205	90.95	75	6.93	0.61	0.54	RV
NGC 6205	100.16	256	7.32	0.25	0.25	LI22
NGC 6205	172.89	75	5.98	0.53	0.47	RV
NGC 6205	176.65	300	6.11	0.29	0.27	VB21
NGC 6205	233.45	300	6.04	0.30	0.27	VB21
NGC 6205	283.15	300	5.54	0.27	0.26	VB21
NGC 6205	293.87	75	5.85	0.52	0.46	RV
NGC 6205	338.85	300	5.35	0.27	0.25	VB21
NGC 6205	454.51	205	4.16	0.27	0.25	VB21
NGC 6205	490.00	75	4.22	0.39	0.34	RV
NGC 6205	820.44	51	3.07	0.37	0.31	RV
NGC 6218	9.86	300	5.16	0.25	0.23	RV
NGC 6218	10.42	76	4.21	0.24	0.24	LI22
NGC 6218	20.09	300	4.67	0.23	0.21	RV
NGC 6218	20.20	126	4.63	0.22	0.22	LI22
NGC 6218	27.09	300	4.79	0.23	0.21	RV
NGC 6218	28.93	126	4.46	0.22	0.22	LI22
NGC 6218	32.86	300	4.84	0.24	0.22	RV
NGC 6218	36.59	126	4.55	0.22	0.22	LI22
NGC 6218	38.31	300	4.76	0.23	0.21	RV
NGC 6218	43.52	300	4.54	0.22	0.21	RV
NGC 6218	44.33	126	4.87	0.22	0.22	LI22
NGC 6218	48.25	300	4.50	0.22	0.21	RV
NGC 6218	52.37	126	4.19	0.19	0.19	LI22
NGC 6218	53.44	300	4.40	0.21	0.21	RV
NGC 6218	58.69	126	4.48	0.19	0.19	LI22
NGC 6218	61.66	300	4.54	0.22	0.21	RV
NGC 6218	66.83	125	3.85	0.17	0.17	LI22
NGC 6218	74.56	125	3.95	0.17	0.17	LI22
NGC 6218	82.13	125	4.29	0.19	0.19	LI22
NGC 6218	83.51	100	4.34	0.35	0.32	RV
NGC 6218	92.71	125	4.09	0.19	0.19	LI22
NGC 6218	109.76	300	4.13	0.22	0.20	VB21
NGC 6218	128.58	100	3.41	0.26	0.23	RV
NGC 6218	146.27	300	4.03	0.23	0.22	VB21
NGC 6218	173.95	300	3.29	0.20	0.19	VB21
NGC 6218	187.44	100	3.09	0.24	0.21	RV
NGC 6218	200.98	300	3.61	0.21	0.20	VB21
NGC 6218	228.78	300	3.44	0.22	0.21	VB21
NGC 6218	259.52	300	3.24	0.21	0.20	VB21
NGC 6218	303.65	300	2.74	0.20	0.19	VB21
NGC 6218	353.26	300	3.11	0.22	0.21	VB21
NGC 6218	355.96	102	2.96	0.23	0.21	RV
NGC 6218	434.41	300	2.60	0.20	0.19	VB21
NGC 6218	539.35	115	2.06	0.27	0.25	VB21
NGC 6229	83.65	20	3.19	0.59	0.46	RV
NGC 6235	49.06	60	4.09	0.58	0.49	VB21
NGC 6235	80.98	21	2.31	0.90	0.71	RV
NGC 6235	115.15	60	2.83	0.44	0.39	VB21
NGC 6254	7.85	400	6.45	0.27	0.25	RV
NGC 6254	10.75	120	6.37	0.31	0.31	LI22
NGC 6254	16.24	400	5.88	0.25	0.23	RV
NGC 6254	18.11	117	5.76	0.29	0.29	LI22
NGC 6254	22.29	400	5.59	0.24	0.23	RV
NGC 6254	23.61	117	6.08	0.29	0.29	LI22
NGC 6254	27.74	400	6.34	0.26	0.25	RV
NGC 6254	28.59	117	6.15	0.29	0.29	LI22
NGC 6254	32.73	400	5.52	0.24	0.22	RV
NGC 6254	34.20	117	6.13	0.29	0.29	LI22
NGC 6254	37.25	400	5.74	0.25	0.23	RV
NGC 6254	39.45	117	5.76	0.26	0.26	LI22
NGC 6254	41.66	400	5.74	0.24	0.23	RV
NGC 6254	44.51	117	6.27	0.29	0.29	LI22
NGC 6254	46.05	400	6.02	0.25	0.24	RV
NGC 6254	49.26	116	5.88	0.29	0.29	LI22
NGC 6254	50.34	400	5.82	0.25	0.23	RV
NGC 6254	53.83	116	5.45	0.26	0.26	LI22
NGC 6254	55.63	400	5.26	0.24	0.22	RV
NGC 6254	58.30	116	5.52	0.26	0.26	LI22
NGC 6254	63.36	116	6.10	0.29	0.29	LI22
NGC 6254	67.03	400	5.90	0.25	0.23	RV
NGC 6254	68.47	116	5.72	0.26	0.26	LI22
NGC 6254	73.29	116	5.50	0.26	0.26	LI22
NGC 6254	79.47	116	5.79	0.29	0.29	LI22
NGC 6254	85.08	400	5.32	0.23	0.22	RV
NGC 6254	85.72	116	5.36	0.26	0.26	LI22
NGC 6254	96.02	200	5.07	0.32	0.30	RV
NGC 6254	114.83	100	5.13	0.42	0.38	RV
NGC 6254	143.25	300	4.96	0.23	0.21	VB21
NGC 6254	181.31	100	5.01	0.39	0.34	RV
NGC 6254	231.43	300	4.22	0.19	0.19	VB21
NGC 6254	281.32	100	4.22	0.33	0.29	RV
NGC 6254	358.42	300	3.61	0.17	0.16	VB21
NGC 6254	448.08	49	2.73	0.32	0.28	RV
NGC 6254	574.92	146	2.75	0.22	0.20	VB21
NGC 6256	4.05	49	5.84	0.41	0.41	C21
NGC 6256	8.27	97	6.32	0.31	0.31	C21
NGC 6256	12.86	128	5.77	0.27	0.27	C21
NGC 6256	17.64	128	5.42	0.24	0.24	C21
NGC 6256	22.83	153	5.22	0.21	0.21	C21
NGC 6256	28.68	153	5.08	0.21	0.21	C21
NGC 6256	30.05	110	5.93	0.57	0.51	VB21
NGC 6256	34.23	153	5.08	0.21	0.21	C21
NGC 6256	39.52	153	5.18	0.21	0.21	C21
NGC 6256	47.77	14	3.80	0.93	0.68	RV
NGC 6256	48.06	153	4.91	0.21	0.21	C21
NGC 6256	56.19	153	4.57	0.21	0.21	C21
NGC 6256	66.35	153	4.22	0.17	0.17	C21
NGC 6256	80.62	155	4.02	0.17	0.17	C21
NGC 6256	96.53	100	4.09	0.48	0.43	VB21
NGC 6266	0.52		16.20	1.60	1.60	L13
NGC 6266	2.08		15.20	1.00	1.00	L13
NGC 6266	3.12	25	18.66	1.97	1.97	W15
NGC 6266	4.16		14.80	0.80	0.80	L13
NGC 6266	5.97	300	15.03	0.65	0.61	RV
NGC 6266	6.07	68	14.71	0.98	0.98	W15
NGC 6266	6.50		14.90	0.60	0.60	L13
NGC 6266	7.96	68	14.69	0.90	0.90	W15
NGC 6266	9.10		15.00	0.60	0.60	L13
NGC 6266	9.27	69	16.11	1.01	1.01	W15
NGC 6266	11.77	300	14.17	0.62	0.57	RV
NGC 6266	12.07	364	16.07	0.36	0.36	W15
NGC 6266	15.90	363	14.42	0.37	0.37	W15
NGC 6266	16.19	300	13.64	0.59	0.55	RV
NGC 6266	18.74	364	15.05	0.44	0.44	W15
NGC 6266	20.08	300	13.39	0.59	0.54	RV
