#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:05:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:05:24	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/877/12&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18770012
#Name: J/ApJ/877/12
#Title: Coma Ber and a Neighbor Stellar Group tidal tails (Tang+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/877/12	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/877/12	    IVOID of underlying data collection
#INFO	creator=Tang S.-Y.	    First author or institution
#INFO	cites=bibcode:2019ApJ...877...12T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/877/12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18770012	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_ApJ_877_12_table1:
#Name: J/ApJ/877/12/table1
#Title: Coma Ber Member Candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I3)	[1/197] Coma Ber member candidate, running number	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F10.6)	Right Ascension (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F10.6)	Declination (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F5.2)	Parallax (G1)	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Uncertainty in Plx (G1)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.2)	Proper motion in Right Ascension, pmRA*cosDE (G1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	Uncertainty in pmRA (G1)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	Proper motion in Declination (G1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	Uncertainty in pmDEc (G1)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F6.2)	? Radial Velocity (G1)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	? Uncertainty in RV (G1)	[ucd=stat.error]
#Column	Gmag	(F5.2)	Gaia G band magnitude (G1)	[ucd=phot.mag;em.opt]
#Column	Memb	(A1)	[bt] Membership flag (2)	[ucd=meta.code.error]
#Column	GaiaDR2	(a7)	Display the Gaia DR2 data (Gaia Collaboration, 2018, Cat. I/345)	[ucd=meta.ref.url]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
recno	Seq	RA_ICRS	DE_ICRS	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	RV	e_RV	Gmag	Memb	GaiaDR2	SimbadName	_RA.icrs	_DE.icrs
     108	108	179.771646	+26.742925	11.19	 0.03	-12.02	 0.05	 -8.79	 0.04	      	     	13.60	t	GaiaDR2	Gaia DR2 4006473213152260736	179.771704	+26.742963
     109	109	179.912536	+27.146303	11.04	 0.15	-11.12	 0.24	-11.43	 0.17	      	     	17.67	t	GaiaDR2	Gaia DR2 4006512177095553280	179.912590	+27.146352
     110	110	180.223350	+30.824224	12.21	 0.09	-12.33	 0.13	-11.15	 0.11	      	     	15.54	t	GaiaDR2	Gaia DR2 4026284385460203904	180.223412	+30.824272
     111	111	180.423950	+27.486453	11.22	 0.18	-11.60	 0.28	 -7.80	 0.37	      	     	17.58	t	GaiaDR2	Gaia DR2 4006897212323689088	180.424006	+27.486487
     112	112	180.610850	+20.122952	11.08	 0.04	-12.14	 0.07	 -7.95	 0.05	  0.53	 0.43	 9.68	t	GaiaDR2	Gaia DR2 3999244370876485504	180.610906	+20.122986
     113	113	180.886234	+17.471071	10.94	 0.06	-11.76	 0.11	 -9.30	 0.06	      	     	14.47	t	GaiaDR2	Gaia DR2 3925960409056374016	180.886287	+17.471111
     114	114	181.093867	+24.021382	11.71	 0.10	-12.35	 0.15	 -9.40	 0.12	      	     	15.77	t	GaiaDR2	Gaia DR2 4002671479900209536	181.093925	+24.021422
     115	115	181.096930	+24.820646	12.14	 0.05	-12.54	 0.07	 -9.89	 0.05	 -0.44	 0.44	 9.87	t	GaiaDR2	Gaia DR2 4002921034680029056	181.096989	+24.820689
     116	116	181.352914	+18.916862	11.12	 0.07	-11.52	 0.10	 -9.73	 0.07	      	     	14.74	t	GaiaDR2	Gaia DR2 3950889739272160768	181.352966	+18.916904
     117	117	181.799919	+26.061172	11.86	 0.11	-12.19	 0.14	 -9.24	 0.12	      	     	16.08	t	GaiaDR2	Gaia DR2 4003516420226625792	181.799977	+26.061212
     118	118	181.980688	+01.364933	11.43	 0.16	-12.33	 0.28	 -5.75	 0.17	      	     	16.49	t	GaiaDR2	Gaia DR2 3699537189274433408	181.980741	+01.364958
     119	119	181.990428	+25.586465	10.78	 0.11	 -9.93	 0.16	 -8.34	 0.12	 -6.08	 3.76	11.03	t	GaiaDR2	Gaia DR2 4003439523132172288	181.990475	+25.586501
     120	120	182.038349	+24.725059	11.74	 0.14	-11.72	 0.21	 -7.99	 0.16	      	     	16.52	t	GaiaDR2	Gaia DR2 4002824896132242816	182.038404	+24.725093
     121	121	182.081007	+21.082634	11.57	 0.09	-12.00	 0.13	 -9.72	 0.14	      	     	16.02	t	GaiaDR2	Gaia DR2 3951753543094717184	182.081062	+21.082676
     122	122	182.691207	+21.101427	11.36	 0.07	-11.77	 0.10	 -8.47	 0.08	      	     	14.75	t	GaiaDR2	Gaia DR2 3951789723899244800	182.691261	+21.101463
     123	123	182.692006	+27.281466	11.51	 0.12	-12.35	 0.15	 -9.49	 0.14	      	     	 5.96	t	GaiaDR2	Gaia DR2 4006703041146508416	182.692066	+27.281507
     124	124	182.896449	+29.378992	11.19	 0.04	-11.80	 0.06	 -8.84	 0.05	  0.91	 0.83	10.99	t	GaiaDR2	Gaia DR2 4013188785360910336	182.896507	+29.379030
     125	125	183.432853	+22.887953	11.55	 0.13	-13.53	 0.19	 -8.45	 0.15	  6.59	 1.43	 7.96	t	GaiaDR2	Gaia DR2 4001595504693460480	183.432916	+22.887989
     126	126	183.610474	+23.233987	10.99	 0.05	-11.28	 0.09	 -8.92	 0.07	      	     	14.49	t	GaiaDR2	Gaia DR2 4001643230370061056	183.610527	+23.234025
     127	127	183.818144	+29.350716	11.44	 0.07	-11.78	 0.12	 -9.28	 0.08	      	     	15.41	t	GaiaDR2	Gaia DR2 4013361447341974912	183.818202	+29.350756
     128	128	184.331196	+14.065791	11.71	 0.04	-12.45	 0.08	 -7.53	 0.06	      	     	13.91	t	GaiaDR2	Gaia DR2 3921056071800717440	184.331251	+14.065823
     129	129	184.473699	+20.376707	12.16	 0.20	-13.98	 0.23	 -8.02	 0.19	      	     	15.29	t	GaiaDR2	Gaia DR2 3950758897388449152	184.473763	+20.376742
     130	130	184.621084	+32.748856	11.95	 0.06	-13.01	 0.08	 -9.28	 0.10	      	     	 6.62	t	GaiaDR2	Gaia DR2 4016309615972923648	184.621151	+32.748896
     131	131	185.060273	+25.435342	10.83	 0.07	-11.85	 0.11	 -8.66	 0.08	      	     	15.08	t	GaiaDR2	Gaia DR2 4008487999490702720	185.060329	+25.435379
     132	132	185.924224	+26.601459	10.82	 0.09	-12.96	 0.14	 -9.50	 0.09	  8.63	 4.60	 9.16	t	GaiaDR2	Gaia DR2 4008681513537028480	185.924286	+26.601500
     133	133	186.181424	+30.297254	11.72	 0.04	-11.72	 0.06	-10.26	 0.05	      	     	13.92	t	GaiaDR2	Gaia DR2 4011987813721043456	186.181482	+30.297298
     134	134	186.597396	+13.604766	11.38	 0.15	-12.22	 0.28	 -7.86	 0.23	      	     	17.19	t	GaiaDR2	Gaia DR2 3908820878205220352	186.597450	+13.604800
     135	135	188.129405	+35.331154	11.96	 0.04	-12.22	 0.06	-10.34	 0.04	 -0.91	 0.32	 9.44	t	GaiaDR2	Gaia DR2 1518264346362000256	188.129469	+35.331199
     136	136	189.364849	+31.133934	11.42	 0.16	-11.45	 0.22	 -8.24	 0.15	      	     	17.56	t	GaiaDR2	Gaia DR2 4012301410757822464	189.364907	+31.133969
     137	137	191.513020	+04.868906	10.82	 0.04	-10.75	 0.09	 -6.26	 0.05	  0.96	 0.37	10.76	t	GaiaDR2	Gaia DR2 3705719227761753216	191.513066	+04.868933
     138	138	191.777985	+22.616790	12.00	 0.05	-12.59	 0.09	 -8.92	 0.06	      	     	 8.24	t	GaiaDR2	Gaia DR2 3955895059799912320	191.778044	+22.616828
     139	139	191.935209	+19.497266	 9.79	 0.04	 -9.05	 0.09	 -8.89	 0.05	-24.87	 0.33	10.51	t	GaiaDR2	Gaia DR2 3942162881122775296	191.935250	+19.497304
     140	140	192.251685	+25.359842	12.29	 0.06	-12.71	 0.08	 -8.69	 0.06	      	     	11.55	t	GaiaDR2	Gaia DR2 3958058555085345280	192.251746	+25.359879
     141	141	192.350735	+27.166053	11.15	 0.05	-11.28	 0.07	 -7.83	 0.06	 -0.53	 1.54	12.41	t	GaiaDR2	Gaia DR2 3961802632696061056	192.350790	+27.166087
     142	142	192.861615	+21.545411	11.59	 0.14	-11.99	 0.27	 -9.36	 0.16	      	     	17.43	t	GaiaDR2	Gaia DR2 3954790802231914496	192.861671	+21.545451
     143	143	192.924609	+27.540678	11.49	 0.18	-10.99	 0.26	 -8.31	 0.21	      	     	 4.67	t	GaiaDR2	Gaia DR2 3961912034103154944	192.924662	+27.540714
     144	144	193.048345	+25.373459	11.75	 0.04	-11.47	 0.06	 -8.55	 0.04	 -0.65	 0.27	 8.74	t	GaiaDR2	Gaia DR2 3958022924036722048	193.048400	+25.373496
     145	145	193.183334	+30.077660	12.09	 0.14	-11.71	 0.16	 -9.92	 0.14	      	     	17.05	t	GaiaDR2	Gaia DR2 1465022797889682176	193.183392	+30.077703
     146	146	193.980741	+22.920162	11.15	 0.13	-11.04	 0.26	 -8.52	 0.16	      	     	17.41	t	GaiaDR2	Gaia DR2 3956537616971055360	193.980792	+22.920199
     147	147	194.452510	+26.660154	11.82	 0.06	-12.34	 0.09	 -7.74	 0.07	      	     	15.34	t	GaiaDR2	Gaia DR2 3958585461673131520	194.452569	+26.660187
     148	148	194.485608	+24.821652	12.04	 0.06	-12.18	 0.12	 -8.24	 0.08	      	     	14.63	t	GaiaDR2	Gaia DR2 3957357582063045120	194.485666	+24.821687
     149	149	194.762813	+25.518769	11.17	 0.10	-11.43	 0.12	 -8.24	 0.11	      	     	16.48	t	GaiaDR2	Gaia DR2 3958248976756278272	194.762867	+25.518804
     150	150	195.146513	+23.651715	11.61	 0.04	-11.97	 0.09	 -8.88	 0.05	 -0.59	 0.24	 8.13	t	GaiaDR2	Gaia DR2 3956998694596150912	195.146569	+23.651753
     151	151	195.261973	+22.470249	11.58	 0.04	-11.54	 0.07	 -8.33	 0.05	  0.05	 0.99	12.62	t	GaiaDR2	Gaia DR2 3944475772551653632	195.262027	+22.470285
     152	152	195.667169	+33.378392	12.13	 0.03	-12.02	 0.05	 -9.09	 0.04	      	     	14.14	t	GaiaDR2	Gaia DR2 1467522812454038656	195.667231	+33.378431
     153	153	195.859776	+25.652398	11.66	 0.16	-12.45	 0.29	 -8.70	 0.19	      	     	17.35	t	GaiaDR2	Gaia DR2 1459518299083767808	195.859836	+25.652436
     154	154	197.136134	+31.922441	11.26	 0.10	-11.02	 0.14	 -7.59	 0.13	      	     	16.99	t	GaiaDR2	Gaia DR2 1466385127156674176	197.136190	+31.922474
     155	155	197.256732	+19.027949	11.62	 0.06	-11.96	 0.12	 -7.16	 0.09	      	     	15.45	t	GaiaDR2	Gaia DR2 3938325448103058816	197.256786	+19.027980
     156	156	197.480208	+33.721825	11.64	 0.03	-11.32	 0.04	 -8.94	 0.04	 -1.06	 0.24	 9.44	t	GaiaDR2	Gaia DR2 1467757420747501824	197.480267	+33.721864
     157	157	197.640679	+31.941232	11.16	 0.15	-10.88	 0.17	 -8.54	 0.17	      	     	17.26	t	GaiaDR2	Gaia DR2 1466198485057978624	197.640734	+31.941269
     158	158	197.694924	+22.152979	11.18	 0.03	-11.69	 0.08	 -7.72	 0.05	 -0.39	 0.39	10.29	t	GaiaDR2	Gaia DR2 3943853895646618624	197.694978	+22.153012
     159	159	197.696799	+22.152265	11.21	 0.04	 -9.64	 0.07	 -8.10	 0.05	 -1.11	 0.52	11.15	t	GaiaDR2	Gaia DR2 3943853826927170560	197.696844	+22.152300
     160	160	197.820834	+17.169932	 9.54	 0.04	 -9.94	 0.09	 -7.39	 0.06	      	     	14.59	t	GaiaDR2	Gaia DR2 3937058501470568960	197.820879	+17.169964
     161	161	197.924916	+25.962748	11.76	 0.04	-11.54	 0.07	 -8.03	 0.06	 -0.93	 0.59	11.51	t	GaiaDR2	Gaia DR2 1459368662422928384	197.924971	+25.962782
     162	162	198.269443	+47.443432	11.80	 0.08	-11.23	 0.08	 -7.61	 0.09	      	     	16.15	t	GaiaDR2	Gaia DR2 1554365436272271744	198.269514	+47.443465
     163	163	198.995981	+26.279644	12.00	 0.09	-11.63	 0.18	 -7.99	 0.13	      	     	16.24	t	GaiaDR2	Gaia DR2 1447745999883612288	198.996037	+26.279678
     164	164	199.473714	+36.943291	11.84	 0.08	-10.53	 0.12	 -9.29	 0.11	      	     	16.49	t	GaiaDR2	Gaia DR2 1474685340434293504	199.473771	+36.943331
     165	165	199.673504	+29.250784	11.33	 0.04	-12.50	 0.05	 -7.55	 0.05	 -0.52	 0.37	11.65	t	GaiaDR2	Gaia DR2 1461874994882981504	199.673566	+29.250816
     166	166	199.695850	+20.251182	11.74	 0.04	-11.97	 0.08	 -7.56	 0.05	 -0.34	 0.36	 9.95	t	GaiaDR2	Gaia DR2 3940194377351933056	199.695905	+20.251214
     167	167	200.296564	+37.813509	12.03	 0.03	-11.56	 0.04	 -8.56	 0.03	 -2.17	 0.23	 8.96	t	GaiaDR2	Gaia DR2 1474645173901131136	200.296627	+37.813546
     168	168	200.331503	+31.022764	11.34	 0.06	-10.99	 0.08	 -6.81	 0.09	      	     	15.94	t	GaiaDR2	Gaia DR2 1463268080412063360	200.331558	+31.022793
     169	169	200.545665	+26.880869	12.04	 0.08	-11.88	 0.17	 -7.88	 0.16	      	     	16.58	t	GaiaDR2	Gaia DR2 1449325173458893952	200.545722	+26.880903
     170	170	201.277774	+23.854387	11.03	 0.10	-10.84	 0.22	 -7.60	 0.19	      	     	 5.73	t	GaiaDR2	Gaia DR2 1446271417351852544	201.277825	+23.854420
     171	171	201.413988	+25.682150	11.53	 0.04	-10.31	 0.09	 -8.67	 0.07	 -0.35	 0.66	 9.00	t	GaiaDR2	Gaia DR2 1448260262087566848	201.414037	+25.682187
     172	172	201.591491	+17.587092	10.09	 0.04	-12.29	 0.07	 -7.17	 0.06	-11.32	 0.33	10.37	t	GaiaDR2	Gaia DR2 3746340341252375040	201.591546	+17.587123
     173	173	201.715291	+34.907002	11.37	 0.03	-11.15	 0.04	 -7.24	 0.03	      	     	13.97	t	GaiaDR2	Gaia DR2 1473286418047384064	201.715349	+34.907033
     174	174	201.894968	+31.768164	11.64	 0.18	-11.20	 0.22	 -6.53	 0.14	      	     	18.25	t	GaiaDR2	Gaia DR2 1468575384383435264	201.895025	+31.768192
     175	175	203.382435	+26.591815	11.67	 0.09	-10.89	 0.15	 -8.14	 0.06	      	     	15.25	t	GaiaDR2	Gaia DR2 1448560291323299840	203.382487	+26.591850
     176	176	205.166971	+33.348473	10.92	 0.09	-10.15	 0.10	 -6.49	 0.09	      	     	16.61	t	GaiaDR2	Gaia DR2 1470457649507049856	205.167023	+33.348501
     177	177	205.678574	+16.162161	11.28	 0.07	-10.57	 0.15	 -6.39	 0.09	      	     	15.85	t	GaiaDR2	Gaia DR2 3742387837468523008	205.678621	+16.162189
     178	178	206.364795	+41.735976	12.08	 0.05	-11.08	 0.06	 -7.42	 0.06	      	     	15.52	t	GaiaDR2	Gaia DR2 1500586604569943040	206.364859	+41.736008
     179	179	206.562012	+36.441026	11.91	 0.04	-10.12	 0.05	 -6.74	 0.04	      	     	14.45	t	GaiaDR2	Gaia DR2 1471493286380583168	206.562066	+36.441055
     180	180	207.566993	+33.084613	11.06	 0.04	 -9.50	 0.04	 -7.27	 0.04	      	     	14.23	t	GaiaDR2	Gaia DR2 1458297016545431936	207.567042	+33.084644
     181	181	208.650755	+33.435785	12.44	 0.08	 -8.17	 0.09	 -6.97	 0.09	      	     	16.60	t	GaiaDR2	Gaia DR2 1458648963344817664	208.650797	+33.435815
     182	182	209.381928	+31.726625	11.47	 0.10	 -8.84	 0.18	 -4.65	 0.13	      	     	17.31	t	GaiaDR2	Gaia DR2 1457498599303456000	209.381973	+31.726645
     183	183	210.061269	+30.947125	10.98	 0.03	 -8.18	 0.06	 -8.00	 0.04	 -1.75	 0.32	10.30	t	GaiaDR2	Gaia DR2 1454399316541848576	210.061310	+30.947159
     184	184	210.965101	+36.377988	11.34	 0.11	 -9.29	 0.08	 -7.10	 0.13	      	     	17.31	t	GaiaDR2	Gaia DR2 1483407937977056384	210.965151	+36.378019
     185	185	211.008494	+38.128847	11.19	 0.04	 -9.71	 0.04	 -6.62	 0.05	      	     	14.77	t	GaiaDR2	Gaia DR2 1483904436196087552	211.008547	+38.128876
     186	186	212.321841	+26.654638	11.36	 0.12	 -9.49	 0.20	 -6.56	 0.19	      	     	17.68	t	GaiaDR2	Gaia DR2 1259987931126020736	212.321887	+26.654666
     187	187	212.407773	+22.754353	10.95	 0.08	 -9.26	 0.16	 -5.92	 0.13	      	     	15.50	t	GaiaDR2	Gaia DR2 1253655156466983168	212.407816	+22.754379
     188	188	212.783053	+27.522966	11.53	 0.08	-10.02	 0.12	 -7.12	 0.14	      	     	16.20	t	GaiaDR2	Gaia DR2 1260123858250996608	212.783102	+27.522997
     189	189	214.325040	+28.439929	10.47	 0.04	 -8.20	 0.06	 -5.33	 0.07	      	     	14.46	t	GaiaDR2	Gaia DR2 1260617607691437952	214.325080	+28.439952
     190	190	214.826138	+26.321586	11.29	 0.04	 -9.29	 0.07	 -6.72	 0.07	 -1.58	 0.40	11.23	t	GaiaDR2	Gaia DR2 1259389659361730048	214.826182	+26.321615
     191	191	214.974172	+33.392440	11.39	 0.08	 -9.44	 0.07	 -7.47	 0.12	      	     	14.64	t	GaiaDR2	Gaia DR2 1478245490368898816	214.974221	+33.392472
     192	192	216.272551	+31.394059	11.20	 0.07	 -9.34	 0.11	 -6.68	 0.11	      	     	15.80	t	GaiaDR2	Gaia DR2 1285545941474827776	216.272598	+31.394088
     193	193	218.216141	+14.695022	10.86	 0.04	 -8.68	 0.06	 -6.16	 0.07	  0.24	 1.50	12.74	t	GaiaDR2	Gaia DR2 1228225548460366080	218.216180	+14.695049
     194	194	218.624052	+35.291984	10.81	 0.03	 -8.39	 0.03	 -6.40	 0.04	 -2.06	 0.43	11.94	t	GaiaDR2	Gaia DR2 1480156579014364416	218.624096	+35.292012
     195	195	218.757293	+36.819463	10.77	 0.05	 -6.82	 0.06	 -6.59	 0.08	      	     	15.91	t	GaiaDR2	Gaia DR2 1486484268431958272	218.757330	+36.819491
     196	196	219.456417	+29.160866	10.60	 0.07	 -7.52	 0.10	 -6.18	 0.14	      	     	15.90	t	GaiaDR2	Gaia DR2 1281163666083831808	219.456454	+29.160892
     197	197	219.852710	+36.510500	10.39	 0.05	 -8.73	 0.05	 -6.56	 0.07	  0.31	 1.47	 8.42	t	GaiaDR2	Gaia DR2 1486239863316877952	219.852757	+36.510528

#Table	J_ApJ_877_12_table2:
#Name: J/ApJ/877/12/table2
#Title: Group-X Member Candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I3)	[1/218] Group-X candidate, running number	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F10.6)	Right Ascension (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F10.6)	Declination (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F5.2)	Parallax (G1)	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Uncertainty in Plx (G1)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.2)	Proper motion in Right Ascension, pmRA*cosDE (G1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	Uncertainty in pmRA (G1)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	Proper motion in Declination (G1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	Uncertainty in pmDEc (G1)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F6.2)	? Radial Velocity (G1)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	? Uncertainty in RV (G1)	[ucd=stat.error]
#Column	Gmag	(F5.2)	Gaia G band magnitude (G1)	[ucd=phot.mag;em.opt]
#Column	GaiaDR2	(a7)	Display the Gaia DR2 data (Gaia Collaboration, 2018, Cat. I/345)	[ucd=meta.ref.url]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
recno	Seq	RA_ICRS	DE_ICRS	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	RV	e_RV	Gmag	GaiaDR2	SimbadName	_RA.icrs	_DE.icrs
 	 	deg	deg	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	km/s	km/s	mag	 	 	deg	deg
--------	---	----------	----------	-----	-----	------	-----	------	-----	------	-----	-----	-------	----------------------------	----------	----------
       1	  1	178.948766	+39.073363	 9.20	 0.04	-21.02	 0.06	 -9.76	 0.05	  2.88	 0.99	10.08	GaiaDR2	Gaia DR2 4034556767349900032	178.948882	+39.073405
       2	  2	181.613107	+40.057117	 9.69	 0.06	-18.27	 0.06	 -9.78	 0.08	      	     	15.18	GaiaDR2	Gaia DR2 1536085299544341888	181.613210	+40.057159
       3	  3	187.799135	+38.782755	 9.64	 0.05	-16.22	 0.06	 -2.35	 0.05	 17.85	 0.24	 8.99	GaiaDR2	Gaia DR2 1532033908433815552	187.799225	+38.782765
       4	  4	191.762024	+50.574560	11.07	 0.15	-19.93	 0.19	 -8.31	 0.21	      	     	17.87	GaiaDR2	Gaia DR2 1568098400930036352	191.762159	+50.574596
       5	  5	193.693214	+49.169553	11.65	 0.06	-20.77	 0.07	 -8.33	 0.08	      	     	16.03	GaiaDR2	Gaia DR2 1555402481895361664	193.693351	+49.169589
       6	  6	195.253545	+46.072319	11.73	 0.05	-20.54	 0.06	 -8.89	 0.06	      	     	14.77	GaiaDR2	Gaia DR2 1530810976628569344	195.253672	+46.072357
       7	  7	195.729678	+55.236239	10.30	 0.08	-18.82	 0.11	 -7.93	 0.12	      	     	16.88	GaiaDR2	Gaia DR2 1564395731095646720	195.729820	+55.236273
       8	  8	195.819464	+57.315206	10.54	 0.03	-17.37	 0.04	 -8.33	 0.04	 -3.99	 0.90	 8.97	GaiaDR2	Gaia DR2 1577006820227984000	195.819602	+57.315242
       9	  9	197.861213	+60.205489	12.60	 0.07	-21.26	 0.10	 -7.17	 0.10	      	     	15.58	GaiaDR2	Gaia DR2 1579253294281966336	197.861397	+60.205520
      10	 10	198.797593	+50.390444	10.09	 0.07	-15.08	 0.09	 -7.00	 0.09	      	     	15.85	GaiaDR2	Gaia DR2 1556273707421134208	198.797695	+50.390474
      11	 11	199.011693	+53.744031	10.94	 0.08	-19.03	 0.12	 -6.56	 0.10	      	     	16.22	GaiaDR2	Gaia DR2 1563282372493360512	199.011832	+53.744059
      12	 12	199.293192	+58.019116	10.59	 0.07	-18.29	 0.11	 -6.02	 0.09	      	     	16.17	GaiaDR2	Gaia DR2 1566766484322815232	199.293341	+58.019142
      13	 13	199.748892	+60.520051	 9.94	 0.07	-17.71	 0.10	 -6.56	 0.09	      	     	16.02	GaiaDR2	Gaia DR2 1663286184854047232	199.749047	+60.520079
      14	 14	200.730968	+55.004884	11.32	 0.05	-20.15	 0.09	 -5.34	 0.08	      	     	15.78	GaiaDR2	Gaia DR2 1563776774768272768	200.731119	+55.004907
      15	 15	200.924699	+52.462468	10.91	 0.05	-19.54	 0.07	 -6.62	 0.08	      	     	14.88	GaiaDR2	Gaia DR2 1562916406920238592	200.924837	+52.462496
      16	 16	201.044937	+58.974526	13.36	 0.06	-23.08	 0.07	 -7.18	 0.08	      	     	14.84	GaiaDR2	Gaia DR2 1566882139201970432	201.045130	+58.974557
      17	 17	201.061825	+57.490685	10.59	 0.14	-17.05	 0.23	-10.65	 0.28	      	     	16.57	GaiaDR2	Gaia DR2 1565932436033063552	201.061962	+57.490731
      18	 18	201.108284	+58.981921	13.22	 0.08	-23.17	 0.10	 -6.83	 0.11	      	     	15.65	GaiaDR2	Gaia DR2 1566881452007203328	201.108477	+58.981950
      19	 19	201.149630	+50.910558	10.58	 0.06	-19.09	 0.08	 -6.61	 0.08	      	     	16.20	GaiaDR2	Gaia DR2 1553722428127502848	201.149760	+50.910586
      20	 20	201.150954	+54.927181	10.94	 0.02	-19.24	 0.03	 -6.20	 0.03	 -5.95	 0.96	13.01	GaiaDR2	Gaia DR2 1563589892151844992	201.151098	+54.927208
      21	 21	201.215899	+54.897433	10.85	 0.03	-19.91	 0.05	 -5.20	 0.04	      	     	 7.51	GaiaDR2	Gaia DR2 1563586799775391104	201.216048	+54.897455
      22	 22	201.340136	+52.422427	10.62	 0.04	-18.49	 0.06	 -6.60	 0.06	      	     	14.85	GaiaDR2	Gaia DR2 1562901563513294208	201.340267	+52.422455
      23	 23	201.516381	+44.150998	11.08	 0.05	-19.24	 0.06	 -7.16	 0.07	      	     	15.17	GaiaDR2	Gaia DR2 1549717869340250112	201.516496	+44.151029
      24	 24	202.093589	+64.111054	 9.92	 0.10	-17.08	 0.22	 -5.30	 0.15	      	     	17.57	GaiaDR2	Gaia DR2 1665685353585859456	202.093757	+64.111077
      25	 25	203.238937	+53.680402	10.43	 0.13	-18.90	 0.19	 -5.73	 0.17	      	     	17.71	GaiaDR2	Gaia DR2 1560422504094135552	203.239074	+53.680427
      26	 26	203.432097	+62.511880	 9.97	 0.05	-17.36	 0.10	 -7.77	 0.08	      	     	16.04	GaiaDR2	Gaia DR2 1665235447171350528	203.432259	+62.511913
      27	 27	203.519571	+46.640256	11.17	 0.06	-19.56	 0.08	 -5.93	 0.09	      	     	15.52	GaiaDR2	Gaia DR2 1551723103671639808	203.519694	+46.640282
