#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T05:40:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T05:40:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A+A/627/A4&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36270004
#Name: J/A+A/627/A4
#Title: Praesepe (NGC 2632) and its tidal tails (Roeser+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/627/a4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/627/a4	    IVOID of underlying data collection
#INFO	creator=Roeser S.	    First author or institution
#INFO	cites=bibcode:2019A&A...627A...4R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/627/A4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36270004	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_627_A4_stars:
#Name: J/A+A/627/A4/stars
#Title: All the stars shown in Figures 2 and 3
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Source	(I19)	Gaia DR2 source id (source_id)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	Gaia DR2 right ascension (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	Gaia DR2 declination (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F8.4)	G-band mean magnitude (Vega) (phot_g_mean_mag)	[ucd=phot.mag;em.opt.V]
#Column	dvpar	(F6.2)	Velocity parallel to the convergent point (1)	[ucd=phys.veloc]
#Column	vpero	(F6.2)	Velocity perpendicular to the convergent point (2)	[ucd=phys.veloc]
#Column	pcont	(E9.2)	Probability of being contaminated (3)	[ucd=stat.fit.goodness]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Source	RAICRS	DEICRS	Gmag	dvpar	vpero	pcont	Simbad	_RA.icrs	_DE.icrs
     161	 662925629454594944	127.73091895	+19.55544496	 10.6469	 -0.49	  0.14	 0.00e+00	Simbad	127.73091895	+19.55544496
     162	 662665629314342272	127.74538869	+18.69470646	 14.7107	 -0.36	  0.03	 0.00e+00	Simbad	127.74538869	+18.69470646
     163	 602683520510600064	127.75009881	+11.97855323	 18.3785	  0.58	 -0.29	 1.00e-06	Simbad	127.75009881	+11.97855323
     164	 662919066744669568	127.75069885	+19.40441937	 18.1671	  2.44	 -0.19	 0.00e+00	Simbad	127.75069885	+19.40441937
     165	 662215134487682048	127.77498740	+18.12991077	 18.0450	 -1.11	  0.60	 0.00e+00	Simbad	127.77498740	+18.12991077
     166	 665480207282421504	127.77747083	+21.22948930	 17.0032	  1.44	 -0.74	 0.00e+00	Simbad	127.77747083	+21.22948930
     167	 658776313088864896	127.78142754	+16.58440661	 16.6719	  4.10	  0.78	 0.00e+00	Simbad	127.78142754	+16.58440661
     168	 662215551101680128	127.80384653	+18.15359754	  9.7479	  0.15	 -0.19	 0.00e+00	Simbad	127.80384653	+18.15359754
     169	 665412690396632832	127.80446363	+20.90007238	 16.6409	  0.07	  0.11	 0.00e+00	Simbad	127.80446363	+20.90007238
     170	 665431927553215872	127.80816454	+21.13740678	 18.0707	  1.62	  0.58	 0.00e+00	Simbad	127.80816454	+21.13740678
     171	 662917726714872960	127.82037778	+19.35521387	 15.5618	 -1.79	  0.00	 0.00e+00	Simbad	127.82037778	+19.35521387
     172	 651837948040931840	127.87192238	+15.10017723	 15.8545	  1.47	 -0.95	 0.00e+00	Simbad	127.87192238	+15.10017723
     173	 663140171661012480	127.87430870	+20.41036586	 14.0006	 -0.38	 -0.56	 0.00e+00	Simbad	127.87430870	+20.41036586
     174	 665426846608828928	127.88659384	+21.02435732	 13.9461	 -1.02	 -0.50	 0.00e+00	Simbad	127.88659384	+21.02435732
     175	 663140102941534720	127.89961445	+20.40528850	 18.5564	  0.09	  0.21	 0.00e+00	Simbad	127.89961445	+20.40528850
     176	 665440934101454720	127.91838744	+21.27339964	 17.5899	  2.58	 -0.16	 0.00e+00	Simbad	127.91838744	+21.27339964
     177	 662612440439438848	127.92025686	+18.49523971	 16.8225	 -0.77	 -0.42	 0.00e+00	Simbad	127.92025686	+18.49523971
     178	 703692806193429248	127.92455012	+26.11131041	 13.2990	  0.22	  0.42	 0.00e+00	Simbad	127.92455012	+26.11131041
     179	 707741379804759552	127.92683762	+29.54920520	 14.3267	  2.48	 -0.56	 5.61e-01	Simbad	127.92683762	+29.54920520
     180	 662600689408917888	127.92889080	+18.48509055	 17.3273	  1.96	 -0.63	 0.00e+00	Simbad	127.92889080	+18.48509055
     181	 662625978176332160	127.97596496	+18.76001814	 17.6490	  1.94	 -0.73	 0.00e+00	Simbad	127.97596496	+18.76001814
     182	 663044514149509888	128.00768475	+19.97971077	 17.1069	  0.40	  0.27	 0.00e+00	Simbad	128.00768475	+19.97971077
     183	 664656398195401728	128.01122185	+20.77236107	 17.2329	 -0.12	 -0.89	 0.00e+00	Simbad	128.01122185	+20.77236107
     184	 662625668938685184	128.03299412	+18.74072074	 16.2744	 -0.63	 -0.11	 0.00e+00	Simbad	128.03299412	+18.74072074
     185	 665464333083356928	128.04433402	+21.34149237	 13.7402	 -1.35	  0.23	 0.00e+00	Simbad	128.04433402	+21.34149237
     186	 662828833775087488	128.07427590	+19.54702410	 16.8816	 -1.88	 -0.44	 0.00e+00	Simbad	128.07427590	+19.54702410
     187	 651772320940655104	128.09407620	+14.89360182	 14.3577	 -0.82	 -0.11	 0.00e+00	Simbad	128.09407620	+14.89360182
     188	 665417157162598144	128.09764133	+20.99574622	 12.5669	  0.49	 -0.06	 0.00e+00	Simbad	128.09764133	+20.99574622
     189	 658660520770798976	128.12611652	+15.89156346	 17.1327	  0.69	 -0.30	 0.00e+00	Simbad	128.12611652	+15.89156346
     190	 664658700297947008	128.13500931	+20.84467485	 16.4913	  1.63	 -0.03	 0.00e+00	Simbad	128.13500931	+20.84467485
     191	 663069150081902592	128.13907513	+20.08004601	 12.8647	 -0.86	 -0.03	 0.00e+00	Simbad	128.13907513	+20.08004601
     192	 602831443480438912	128.14444437	+12.49879589	 17.1690	  1.71	 -1.50	 5.61e-01	Simbad	128.14444437	+12.49879589
     193	 662645284052268416	128.14669819	+18.73596629	 18.0810	  1.76	 -0.65	 0.00e+00	Simbad	128.14669819	+18.73596629
     194	 663055371825360000	128.16429029	+19.95614670	 12.0299	  2.34	  0.22	 0.00e+00	Simbad	128.16429029	+19.95614670
     195	 596540171089699456	128.16624892	+08.40461947	 16.4748	  0.84	 -0.93	 1.14e-01	Simbad	128.16624892	+08.40461947
     196	 663067638253511552	128.19482464	+19.99767177	 16.7223	  0.54	 -0.05	 0.00e+00	Simbad	128.19482464	+19.99767177
     197	 662632987562951808	128.20308082	+18.67793303	 16.3900	  2.59	 -0.03	 0.00e+00	Simbad	128.20308082	+18.67793303
     198	 662633228081183872	128.20701125	+18.70170077	 12.3889	  0.18	 -0.18	 0.00e+00	Simbad	128.20701125	+18.70170077
     199	 663055818503513088	128.21748685	+19.97660076	 12.7360	  0.06	  0.29	 0.00e+00	Simbad	128.21748685	+19.97660076
     200	 662603575626986368	128.22102267	+18.50811385	 15.7702	  0.55	  0.17	 0.00e+00	Simbad	128.22102267	+18.50811385
     201	 662633743477189632	128.23176357	+18.73277597	 12.7607	  0.51	  0.29	 0.00e+00	Simbad	128.23176357	+18.73277597
     202	3079453003901743744	128.23607207	+02.05307694	 14.9618	  2.32	 -0.78	 5.61e-01	Simbad	128.23607207	+02.05307694
     203	 709673187375055232	128.24192707	+31.13714118	 15.0047	 -1.04	  0.40	 0.00e+00	Simbad	128.24192707	+31.13714118
     204	 659086512807199232	128.24595391	+17.30645832	 15.9052	 -0.10	  0.63	 0.00e+00	Simbad	128.24595391	+17.30645832
     205	 663070971148025728	128.24810795	+20.12074321	 18.0071	  1.98	  0.29	 0.00e+00	Simbad	128.24810795	+20.12074321
     206	1034689713602266880	128.25399612	+58.53911689	 19.3150	 -2.04	  0.65	 0.00e+00	Simbad	128.25399612	+58.53911689
     207	 662647998471924480	128.25999711	+18.85104128	 17.2531	 -0.47	 -0.47	 0.00e+00	Simbad	128.25999711	+18.85104128
     208	 662632540886348928	128.26190303	+18.68258323	 12.9854	 -0.37	  0.44	 0.00e+00	Simbad	128.26190303	+18.68258323
     209	 662655183953995392	128.27307851	+18.93014041	 15.8664	 -0.85	 -0.06	 0.00e+00	Simbad	128.27307851	+18.93014041
     210	 658893995192969728	128.27996136	+17.10437771	 18.6302	  0.31	 -0.34	 0.00e+00	Simbad	128.27996136	+17.10437771
     211	 663070352672827136	128.28092553	+20.13001144	 13.5698	 -0.40	 -0.11	 0.00e+00	Simbad	128.28092553	+20.13001144
     212	 662635083506980992	128.28201655	+18.75432697	 17.4155	  0.24	 -0.01	 0.00e+00	Simbad	128.28201655	+18.75432697
     213	 662823993347982208	128.29556970	+19.48943044	 16.9562	 -2.95	  0.18	 0.00e+00	Simbad	128.29556970	+19.48943044
     214	 658694566974774656	128.29854448	+16.26423938	 18.5011	 -1.75	  0.04	 0.00e+00	Simbad	128.29854448	+16.26423938
     215	 664634820279791488	128.30596311	+20.55027088	 16.3092	  0.85	 -0.78	 0.00e+00	Simbad	128.30596311	+20.55027088
     216	 599658970180845568	128.30719517	+09.29069774	 18.7789	  0.39	 -0.46	 5.72e-04	Simbad	128.30719517	+09.29069774
     217	 664641413053011328	128.30790802	+20.71338939	 18.6421	  0.48	 -1.19	 0.00e+00	Simbad	128.30790802	+20.71338939
     218	 664639454547865472	128.30921505	+20.60585117	 17.7821	 -1.10	  0.35	 0.00e+00	Simbad	128.30921505	+20.60585117
     219	 662661540505500160	128.30984333	+19.07673957	 15.4695	 -0.80	  0.19	 0.00e+00	Simbad	128.30984333	+19.07673957
     220	 664641348629985280	128.31408962	+20.70243547	 12.4594	 -0.06	  0.35	 0.00e+00	Simbad	128.31408962	+20.70243547
     221	 666328239984768512	128.31556277	+23.16196077	 17.7886	 -0.05	  0.52	 0.00e+00	Simbad	128.31556277	+23.16196077
     222	 665450383029558016	128.31915996	+21.33893804	 16.1166	  0.26	 -0.20	 0.00e+00	Simbad	128.31915996	+21.33893804
     223	 662811653905586176	128.32325786	+19.43063558	 13.3603	 -0.52	 -0.02	 0.00e+00	Simbad	128.32325786	+19.43063558
     224	 662805061132155008	128.32476501	+19.27570807	 16.8159	  0.11	  0.27	 0.00e+00	Simbad	128.32476501	+19.27570807
     225	 603299423116967424	128.34212842	+13.35964734	 16.8589	  0.50	 -1.25	 1.00e-06	Simbad	128.34212842	+13.35964734
     226	 663082653459050752	128.34772107	+20.30087539	 18.4692	  1.09	 -0.11	 0.00e+00	Simbad	128.34772107	+20.30087539
     227	 663050527103803136	128.35242437	+19.88266521	 16.7410	  1.75	 -0.69	 0.00e+00	Simbad	128.35242437	+19.88266521
     228	 666354800062502784	128.35941080	+23.52000796	 16.0481	 -0.89	 -0.27	 0.00e+00	Simbad	128.35941080	+23.52000796
     229	 918521538419639680	128.36265927	+46.84980456	 13.4815	 -1.02	  0.82	 0.00e+00	Simbad	128.36265927	+46.84980456
     230	 662634430672023680	128.36738078	+18.72671139	 18.0508	  0.88	  0.18	 0.00e+00	Simbad	128.36738078	+18.72671139
     231	 602814843431122816	128.37302404	+12.42465126	 12.4774	  0.76	 -0.61	 1.00e-06	Simbad	128.37302404	+12.42465126
     232	 663063068408290944	128.39127372	+20.07371576	 16.1792	  0.59	  0.22	 0.00e+00	Simbad	128.39127372	+20.07371576
     233	 663052962348209664	128.39354822	+19.95155428	 18.4890	 -2.60	  0.28	 0.00e+00	Simbad	128.39354822	+19.95155428
     234	 664585685852757888	128.39615865	+20.41496267	 18.8802	 -3.19	  0.14	 0.00e+00	Simbad	128.39615865	+20.41496267
     235	 709672736401952512	128.40594219	+31.24042306	 18.0024	 -1.77	  0.41	 0.00e+00	Simbad	128.40594219	+31.24042306
     236	 662655974227886720	128.40827816	+18.95483534	 16.0827	  1.11	  0.22	 0.00e+00	Simbad	128.40827816	+18.95483534
     237	 664586476127906560	128.40975454	+20.48122522	 17.3275	  0.56	  0.55	 0.00e+00	Simbad	128.40975454	+20.48122522
     238	 602816943670996608	128.41518095	+12.48189514	 16.6565	  0.19	 -0.48	 1.00e-06	Simbad	128.41518095	+12.48189514
     239	 703902847273744256	128.41599576	+27.17001164	 15.4344	  0.31	  0.31	 0.00e+00	Simbad	128.41599576	+27.17001164
     240	3092348793531703296	128.42759510	+04.33542155	 15.4057	  0.70	 -1.14	 5.72e-04	Simbad	128.42759510	+04.33542155
     241	 663078530290541952	128.42786328	+20.24441580	 13.4111	  0.15	  0.56	 0.00e+00	Simbad	128.42786328	+20.24441580
     242	 678392219004277760	128.42877691	+23.76166058	 12.3473	  0.33	  0.27	 0.00e+00	Simbad	128.42877691	+23.76166058
     243	 662640615424927744	128.43295531	+18.79741236	 16.1808	 -0.14	 -0.04	 0.00e+00	Simbad	128.43295531	+18.79741236
     244	 903748156592032384	128.44069236	+35.46210777	 17.0268	  2.31	 -0.77	 5.61e-01	Simbad	128.44069236	+35.46210777
     245	 665458595007014912	128.44553633	+21.44094451	 14.0477	 -0.09	 -0.30	 0.00e+00	Simbad	128.44553633	+21.44094451
     246	 662861136225126016	128.46134744	+19.78289490	 14.8939	 -0.11	 -0.07	 0.00e+00	Simbad	128.46134744	+19.78289490
     247	 662813990368040832	128.46748566	+19.43655945	 18.4130	  3.73	  0.08	 0.00e+00	Simbad	128.46748566	+19.43655945
     248	 594888434041620352	128.49037306	+06.40505989	 12.9265	  0.40	 -1.03	 1.14e-01	Simbad	128.49037306	+06.40505989
     249	 662812414116269312	128.49669120	+19.36257690	 14.1901	  3.68	 -0.37	 0.00e+00	Simbad	128.49669120	+19.36257690
     250	 599806102876558336	128.50027930	+09.80749999	 17.1434	  0.25	 -0.96	 1.14e-01	Simbad	128.50027930	+09.80749999
     251	 662644326276577664	128.50187892	+18.92667209	 16.2926	 -0.58	 -0.10	 0.00e+00	Simbad	128.50187892	+18.92667209
     252	 664687248944151168	128.50630503	+21.01080875	 17.9135	  1.91	 -0.98	 0.00e+00	Simbad	128.50630503	+21.01080875
     253	 664580909850406528	128.51293105	+20.34177602	 16.7351	 -0.91	  0.56	 0.00e+00	Simbad	128.51293105	+20.34177602
     254	 662859654460073984	128.51464500	+19.79522921	 12.9759	 -0.02	 -0.39	 0.00e+00	Simbad	128.51464500	+19.79522921
     255	 658875028617474048	128.51787272	+16.97351138	 17.4521	  0.26	  0.09	 0.00e+00	Simbad	128.51787272	+16.97351138
     256	 664594585026149504	128.51801698	+20.57505551	 12.5124	 -0.39	 -0.24	 0.00e+00	Simbad	128.51801698	+20.57505551
     257	 664642516861165312	128.52022035	+20.67977978	 16.1306	  0.11	 -0.15	 0.00e+00	Simbad	128.52022035	+20.67977978
     258	3080311030993170304	128.52215669	+03.93609799	 17.9821	 -0.11	 -0.60	 1.14e-01	Simbad	128.52215669	+03.93609799
     259	 678822712166441856	128.52710902	+25.23334354	  7.9876	 -0.54	 -0.40	 0.00e+00	Simbad	128.52710902	+25.23334354
     260	 664649040915007872	128.52771515	+20.82962633	 17.8470	  1.43	  0.05	 0.00e+00	Simbad	128.52771515	+20.82962633
     261	 665451860498377088	128.53638456	+21.32089692	 15.2885	  1.60	 -1.13	 0.00e+00	Simbad	128.53638456	+21.32089692
     262	 662859693116109312	128.54249419	+19.80489267	 13.5542	 -0.53	  0.42	 0.00e+00	Simbad	128.54249419	+19.80489267
     263	 918490236698071424	128.54296314	+46.28588047	 17.6971	 -0.65	  0.58	 0.00e+00	Simbad	128.54296314	+46.28588047
     264	 664689276168733056	128.54731407	+21.07071881	 18.1100	  0.14	 -0.28	 0.00e+00	Simbad	128.54731407	+21.07071881
     265	 665454368759275520	128.55770461	+21.39779037	 17.2553	  3.38	  0.11	 0.00e+00	Simbad	128.55770461	+21.39779037
     266	 703849894619660416	128.56086167	+26.97760926	 18.2536	 -0.18	  0.27	 0.00e+00	Simbad	128.56086167	+26.97760926
     267	 659621287774882176	128.57499392	+18.47091639	 17.6586	  0.25	 -0.46	 0.00e+00	Simbad	128.57499392	+18.47091639
     268	 664593309419200000	128.58701380	+20.52896325	 18.2328	  1.19	 -0.56	 0.00e+00	Simbad	128.58701380	+20.52896325
     269	 665580022322839040	128.58823586	+21.87876664	 12.6661	  0.31	  0.48	 0.00e+00	Simbad	128.58823586	+21.87876664
     270	 662859104704260224	128.60034694	+19.79336120	 12.8698	  0.25	 -0.32	 0.00e+00	Simbad	128.60034694	+19.79336120
     271	 657934155901259392	128.60853924	+16.05093768	 17.5516	 -2.46	  0.42	 0.00e+00	Simbad	128.60853924	+16.05093768
     272	 658905918022239872	128.60928042	+17.21222916	 17.7402	 -1.31	 -0.22	 0.00e+00	Simbad	128.60928042	+17.21222916
     273	 659633240668056448	128.61392660	+18.69721753	 18.7083	  2.42	  0.26	 0.00e+00	Simbad	128.61392660	+18.69721753
     274	 664596504874763392	128.62938721	+20.62930840	 18.3069	  2.50	 -0.29	 0.00e+00	Simbad	128.62938721	+20.62930840
     275	 666285565189776512	128.63159818	+23.23621133	  9.7064	 -0.06	  0.15	 0.00e+00	Simbad	128.63159818	+23.23621133
     276	 658819881237501568	128.64025360	+16.72675875	 17.3945	 -1.01	 -0.69	 0.00e+00	Simbad	128.64025360	+16.72675875
     277	 659636406059748608	128.64282361	+18.79900196	 16.0542	  1.80	  0.13	 0.00e+00	Simbad	128.64282361	+18.79900196
     278	 662740739702048512	128.64561936	+19.07301420	 17.3828	 -0.25	 -0.47	 0.00e+00	Simbad	128.64561936	+19.07301420
     279	 659608295497452160	128.65176353	+18.39800914	 14.4741	 -0.45	 -0.55	 0.00e+00	Simbad	128.65176353	+18.39800914
     280	3092537256695586816	128.65586070	+04.95483190	 18.2619	  2.41	 -1.01	 5.61e-01	Simbad	128.65586070	+04.95483190
     281	 662741564335762560	128.66524771	+19.13683350	 16.6450	  2.42	 -0.30	 0.00e+00	Simbad	128.66524771	+19.13683350
     282	 659524152794716032	128.69627699	+18.02109002	 13.2480	  0.01	  0.01	 0.00e+00	Simbad	128.69627699	+18.02109002
     283	 659522430511553792	128.70200537	+17.93292089	 18.0798	 -2.35	  0.85	 0.00e+00	Simbad	128.70200537	+17.93292089
     284	 658927736456077568	128.70527702	+17.42998498	 15.9944	  0.70	  0.53	 0.00e+00	Simbad	128.70527702	+17.42998498
     285	 659524805629742592	128.72424264	+18.01811938	 17.8575	  0.23	  0.50	 0.00e+00	Simbad	128.72424264	+18.01811938
     286	 665555175934680320	128.72876712	+21.64843513	 17.2795	  1.55	 -0.63	 0.00e+00	Simbad	128.72876712	+21.64843513
     287	 664374613981190656	128.72952720	+20.10542504	 15.1901	  0.35	 -0.43	 0.00e+00	Simbad	128.72952720	+20.10542504
     288	 658041353988480512	128.73314813	+16.32547015	 18.4641	 -1.38	  0.89	 0.00e+00	Simbad	128.73314813	+16.32547015
     289	 658931408652027008	128.73869605	+17.48774735	 18.6819	 -0.63	 -0.31	 0.00e+00	Simbad	128.73869605	+17.48774735
     290	 664695087260752384	128.74679285	+21.14366226	 17.5900	 -0.19	 -0.29	 0.00e+00	Simbad	128.74679285	+21.14366226
     291	 603335397762973568	128.74696245	+13.68070619	 16.7153	  1.81	 -1.03	 0.00e+00	Simbad	128.74696245	+13.68070619
     292	 664683130070043136	128.74827648	+21.09693039	 11.0087	  0.64	  0.35	 0.00e+00	Simbad	128.74827648	+21.09693039
     293	 666308929811855744	128.74847880	+23.29974306	 17.9894	  3.61	  0.33	 0.00e+00	Simbad	128.74847880	+23.29974306
     294	 659729417871499392	128.77580065	+18.82347682	 16.8183	  1.38	  0.07	 0.00e+00	Simbad	128.77580065	+18.82347682
     295	 664572594793701376	128.78270315	+20.33972025	 16.3551	  0.66	  0.11	 0.00e+00	Simbad	128.78270315	+20.33972025
     296	 662750222989808512	128.81138865	+19.27543557	 15.7860	  0.61	  0.18	 0.00e+00	Simbad	128.81138865	+19.27543557
     297	 662786743094868224	128.81323921	+19.37540125	 18.5621	  2.58	 -0.07	 0.00e+00	Simbad	128.81323921	+19.37540125
     298	 662748569425476224	128.81670406	+19.20213244	 17.4056	 -1.06	  0.00	 0.00e+00	Simbad	128.81670406	+19.20213244
     299	 662855810465648000	128.82047386	+19.91476231	 15.8320	  0.71	  0.55	 0.00e+00	Simbad	128.82047386	+19.91476231
     300	 664678006173827328	128.82082754	+20.96964354	 18.6012	  4.80	 -0.33	 0.00e+00	Simbad	128.82082754	+20.96964354
     301	 659309232631451392	128.82088162	+17.60670210	 17.2275	 -2.20	  1.02	 0.00e+00	Simbad	128.82088162	+17.60670210
     302	 664591595728990336	128.82388512	+20.56453494	  8.3635	 -0.27	  0.65	 0.00e+00	Simbad	128.82388512	+20.56453494
     303	 662841379375655936	128.82403049	+19.63613599	 11.6328	 -0.33	  0.12	 0.00e+00	Simbad	128.82403049	+19.63613599
     304	 662849209099669120	128.83042474	+19.76139289	 17.3140	  4.30	 -0.64	 0.00e+00	Simbad	128.83042474	+19.76139289
     305	 662794169095142912	128.83086761	+19.59001065	  6.3987	  0.55	 -0.45	 0.00e+00	Simbad	128.83086761	+19.59001065
     306	 659612285523485056	128.84022479	+18.49277908	 15.8514	  0.02	  0.11	 0.00e+00	Simbad	128.84022479	+18.49277908
     307	3092442290674492672	128.85135836	+04.60258715	 15.7705	  0.67	 -0.57	 1.46e-02	Simbad	128.85135836	+04.60258715
     308	 665558165231918208	128.86158855	+21.65044908	 17.8726	  1.54	  0.01	 0.00e+00	Simbad	128.86158855	+21.65044908
     309	 659726669092428160	128.86303097	+18.81472071	 16.7446	  1.82	  0.33	 0.00e+00	Simbad	128.86303097	+18.81472071
     310	 651483454323649408	128.87096106	+14.08047186	 18.7053	 -2.87	 -0.28	 0.00e+00	Simbad	128.87096106	+14.08047186
     311	 659732132290823296	128.89096199	+18.92980543	 14.5218	  0.57	  0.17	 0.00e+00	Simbad	128.89096199	+18.92980543
     312	 602557562006125696	128.89535153	+12.12092908	 17.7258	  1.25	 -0.78	 4.70e-05	Simbad	128.89535153	+12.12092908
     313	 659739072957970176	128.89862439	+18.99567092	 14.7110	  0.83	 -0.67	 0.00e+00	Simbad	128.89862439	+18.99567092
     314	 662792790408901504	128.90038729	+19.53278996	 18.5651	  4.66	 -0.22	 0.00e+00	Simbad	128.90038729	+19.53278996
     315	 664573793087543936	128.91348109	+20.40266721	 17.1057	  1.32	  0.07	 0.00e+00	Simbad	128.91348109	+20.40266721
     316	 662744210035689728	128.91514191	+19.12671338	 16.0616	  1.73	 -0.39	 0.00e+00	Simbad	128.91514191	+19.12671338
     317	 659713303154300288	128.91713743	+18.70782605	 16.2091	 -0.94	 -0.68	 0.00e+00	Simbad	128.91713743	+18.70782605
     318	 658831872786248832	128.93079498	+16.75592539	 17.1425	  0.32	  0.06	 0.00e+00	Simbad	128.93079498	+16.75592539
     319	 659738179604773248	128.93569921	+18.96058728	 17.5142	  0.02	 -0.24	 0.00e+00	Simbad	128.93569921	+18.96058728
     320	 662849900590743936	128.93763560	+19.77110422	  7.4455	  2.02	 -0.36	 0.00e+00	Simbad	128.93763560	+19.77110422
     321	 662800456927247744	128.93799923	+19.64053247	 12.6349	  0.86	 -0.33	 0.00e+00	Simbad	128.93799923	+19.64053247
     322	 596689468447942656	128.94041252	+09.20116545	 13.4371	  1.08	 -0.61	 5.61e-01	Simbad	128.94041252	+09.20116545
     323	 666045459338942208	128.94103635	+22.51174422	 16.7031	 -0.30	 -0.27	 0.00e+00	Simbad	128.94103635	+22.51174422
     324	 664352761187716352	128.94471989	+19.87086503	 13.9999	  0.06	 -0.43	 0.00e+00	Simbad	128.94471989	+19.87086503
     325	 659550884671134336	128.94659902	+18.14158594	 16.5298	  0.45	 -0.10	 0.00e+00	Simbad	128.94659902	+18.14158594
     326	 662799009521584640	128.94693612	+19.58955748	 17.4072	  3.20	  0.42	 0.00e+00	Simbad	128.94693612	+19.58955748
     327	1034253314861284480	128.95739245	+56.99437627	 16.1692	 -3.67	  0.27	 0.00e+00	Simbad	128.95739245	+56.99437627
     328	 664352692468240896	128.95925255	+19.84996191	 17.5076	  0.41	  0.09	 0.00e+00	Simbad	128.95925255	+19.84996191
     329	 659734537472590336	128.96161923	+18.89539901	 15.9071	 -1.78	 -1.07	 0.00e+00	Simbad	128.96161923	+18.89539901
     330	 659559027929113728	128.97024549	+18.31408531	 15.8300	  0.95	 -0.41	 0.00e+00	Simbad	128.97024549	+18.31408531
     331	 659539236719824768	128.97713320	+18.14930007	 10.7350	  0.33	 -0.12	 0.00e+00	Simbad	128.97713320	+18.14930007
     332	 664604549350339200	128.98523933	+20.61854839	 18.2974	 -4.49	 -0.58	 1.00e-06	Simbad	128.98523933	+20.61854839
     333	 664625302630788608	128.98712032	+20.82625337	 11.6297	  1.32	  0.10	 0.00e+00	Simbad	128.98712032	+20.82625337
     334	 662774957704594688	128.98819362	+19.35172918	 18.2788	  1.76	  0.03	 0.00e+00	Simbad	128.98819362	+19.35172918
     335	 659558993569374848	128.99646563	+18.30818224	 15.7634	 -0.22	 -0.26	 0.00e+00	Simbad	128.99646563	+18.30818224
     336	 664359942372888448	128.99752380	+20.07786843	 16.9913	 -2.86	  0.52	 0.00e+00	Simbad	128.99752380	+20.07786843
     337	 662794787570424448	128.99929264	+19.52547267	 12.8439	 -0.46	  0.79	 0.00e+00	Simbad	128.99929264	+19.52547267
     338	 659532399131904768	129.00181847	+17.97589346	 15.5368	 -0.41	 -0.09	 0.00e+00	Simbad	129.00181847	+17.97589346
     339	 664781360266992384	129.00429309	+21.28643561	 18.4176	 -2.17	  0.71	 0.00e+00	Simbad	129.00429309	+21.28643561
     340	 659741233329151744	129.00988000	+19.07396864	 18.3400	  2.49	 -0.30	 0.00e+00	Simbad	129.00988000	+19.07396864
     341	 664625714949149312	129.01333830	+20.83764422	 17.8180	 -0.28	  0.21	 0.00e+00	Simbad	129.01333830	+20.83764422
     342	 662776576909207168	129.01367776	+19.42460060	 17.5983	  0.33	 -0.48	 0.00e+00	Simbad	129.01367776	+19.42460060
     343	 664353379662996224	129.01829420	+19.92022501	 14.0891	  0.75	  0.36	 0.00e+00	Simbad	129.01829420	+19.92022501
     344	 664354994570694400	129.03563657	+19.95699229	 17.3141	  3.50	 -0.37	 0.00e+00	Simbad	129.03563657	+19.95699229
     345	 659714024708794240	129.03583826	+18.74743229	 14.2541	  0.45	  0.05	 0.00e+00	Simbad	129.03583826	+18.74743229
